DateTime,AddedIPs,RemovedIPs
1529543794,103,198
1529545696,62,77
1529547621,75,90
1529549589,65,62
1529551474,87,263
1529553375,49,75
1529555307,71,89
1529557262,83,99
1529559160,82,908
1529561062,237,128
1529563080,4378,98
1529564921,6336,92
1529566815,4081,83
1529568740,101,99
1529570670,142,140
1529572576,157,145
1529574510,104,288
1529576416,87,96
1529578330,121,100
1529580274,101,91
1529582167,369,81
1529584093,138,123
1529586044,128,119
1529587958,120,180
1529589868,96,362
1529591773,462,388
1529593720,302,203
1529595625,94,96
1529597580,119,106
1529599461,112,90
1529601396,115,285
1529603298,147,94
1529605235,112,193
1529607159,101,94
1529609058,88,70
1529610989,81,105
1529612912,77,83
1529614865,80,142
1529616742,135,80
1529618823,271,274
1529621726,1291,1531
1529623707,124,89
1529625635,52,79
1529627560,80,96
1529629464,96,86
1529631284,79,77
1529633322,106,87
1529635232,63,58
1529637141,82,84
1529639059,77,68
1529640988,87,73
1529642897,67,91
1529644833,96,113
1529646744,88,146
1529648654,78,1033
1529650590,63,7343
1529652758,900,7033
1529654668,92,92
1529656575,61,141
1529658531,89,189
1529660676,131,217
1529662581,91,97
1529664511,102,125
1529666527,106,129
1529668353,68,380
1529670258,81,131
1529672185,73,156
1529674097,97,133
1529676052,112,99
1529677937,94,399
1529679961,88,491
1529681787,64,77
1529683718,74,130
1529685628,88,94
1529687556,440,111
1529689453,82,236
1529691393,104,110
1529693298,97,134
1529695226,175,104
1529697132,226,80
1529699087,135,87
1529700969,169,87
1529702908,150,122
1529704844,94,231
1529706737,107,303
1529708676,54,489
1529710571,98,71
1529712508,70,70
1529714410,75,64
1529716335,97,98
1529718266,73,94
1529720171,82,90
1529722112,67,72
1529724259,77,101
1529726177,79,93
1529728099,78,222
1529730056,66,72
1529731950,91,100
1529733893,77,120
1529735789,79,177
1529737708,73,80
1529739618,72,890
1529741545,73,92
1529743474,50,80
1529745379,201,84
1529747311,80,128
1529749216,105,85
1529751142,68,101
1529753061,77,115
1529755000,91,83
1529756899,670,790
1529758852,79,92
1529760738,87,213
1529762834,100,137
1529764825,106,78
1529766739,107,85
1529768665,77,92
1529770835,128,94
1529772740,77,99
1529774654,95,459
1529776593,140,86
1529778499,132,107
1529780451,87,104
1529782341,125,135
1529784266,81,98
1529786435,81,125
1529788347,123,171
1529790256,185,110
1529792189,95,105
1529794699,81,92
1529796508,76,84
1529798436,61,59
1529800356,109,85
1529802257,133,92
1529804186,75,87
1529806101,102,98
1529808031,69,69
1529809957,77,69
1529811862,78,66
1529813793,128,75
1529815692,102,70
1529817628,85,98
1529819551,80,76
1529821468,93,78
1529823371,263,72
1529825308,105,82
1529828197,199,112
1529830093,869,54
1529832024,1128,158
