DateTime,Entries,UniqueIPs
1529543794,11754,11754
1529545696,11739,11739
1529547621,11724,11724
1529549589,11727,11727
1529551474,11551,11551
1529553375,11525,11525
1529555307,11507,11507
1529557262,11491,11491
1529559160,10665,10665
1529561062,10774,10774
1529563080,15054,15054
1529564921,21298,21298
1529566815,25296,25296
1529568740,25298,25298
1529570670,25300,25300
1529572576,25312,25312
1529574510,25128,25128
1529576416,25119,25119
1529578330,25140,25140
1529580274,25150,25150
1529582167,25438,25438
1529584093,25453,25453
1529586044,25462,25462
1529587958,25402,25402
1529589868,25136,25136
1529591773,25210,25210
1529593720,25309,25309
1529595625,25307,25307
1529597580,25320,25320
1529599461,25342,25342
1529601396,25172,25172
1529603298,25225,25225
1529605235,25144,25144
1529607159,25151,25151
1529609058,25169,25169
1529610989,25145,25145
1529612912,25139,25139
1529614865,25077,25077
1529616742,25132,25132
1529618823,25129,25129
1529621726,24889,24889
1529623707,24924,24924
1529625635,24897,24897
1529627560,24881,24881
1529629464,24891,24891
1529631284,24893,24893
1529633322,24912,24912
1529635232,24917,24917
1529637141,24915,24915
1529639059,24924,24924
1529640988,24938,24938
1529642897,24914,24914
1529644833,24897,24897
1529646744,24839,24839
1529648654,23884,23884
1529650590,16604,16604
1529652758,10471,10471
1529654668,10471,10471
1529656575,10391,10391
1529658531,10291,10291
1529660676,10205,10205
1529662581,10199,10199
1529664511,10176,10176
1529666527,10153,10153
1529668353,9841,9841
1529670258,9791,9791
1529672185,9708,9708
1529674097,9672,9672
1529676052,9685,9685
1529677937,9380,9380
1529679961,8977,8977
1529681787,8964,8964
1529683718,8908,8908
1529685628,8902,8902
1529687556,9231,9231
1529689453,9077,9077
1529691393,9071,9071
1529693298,9034,9034
1529695226,9105,9105
1529697132,9251,9251
1529699087,9299,9299
1529700969,9381,9381
1529702908,9409,9409
1529704844,9272,9272
1529706737,9076,9076
1529708676,8641,8641
1529710571,8668,8668
1529712508,8668,8668
1529714410,8679,8679
1529716335,8678,8678
1529718266,8657,8657
1529720171,8649,8649
1529722112,8644,8644
1529724259,8620,8620
1529726177,8606,8606
1529728099,8462,8462
1529730056,8456,8456
1529731950,8447,8447
1529733893,8404,8404
1529735789,8306,8306
1529737708,8299,8299
1529739618,7481,7481
1529741545,7462,7462
1529743474,7432,7432
1529745379,7549,7549
1529747311,7501,7501
1529749216,7521,7521
1529751142,7488,7488
1529753061,7450,7450
1529755000,7458,7458
1529756899,7338,7338
1529758852,7325,7325
1529760738,7199,7199
1529762834,7162,7162
1529764825,7190,7190
1529766739,7212,7212
1529768665,7197,7197
1529770835,7231,7231
1529772740,7209,7209
1529774654,6845,6845
1529776593,6899,6899
1529778499,6924,6924
1529780451,6907,6907
1529782341,6897,6897
1529784266,6880,6880
1529786435,6836,6836
1529788347,6788,6788
1529790256,6863,6863
1529792189,6853,6853
1529794699,6842,6842
1529796508,6834,6834
1529798436,6836,6836
1529800356,6860,6860
1529802257,6901,6901
1529804186,6889,6889
1529806101,6893,6893
1529808031,6893,6893
1529809957,6901,6901
1529811862,6913,6913
1529813793,6966,6966
1529815692,6998,6998
1529817628,6985,6985
1529819551,6989,6989
1529821468,7004,7004
1529823371,7195,7195
1529825308,7218,7218
1529828197,7305,7305
1529830093,8120,8120
1529832024,9090,9090
1529833948,9144,9144
1529835854,9168,9168
1529837769,9177,9177
1529839704,9219,9219
1529841689,9944,9944
1529843556,11043,11043
1529845452,11026,11026
1529847400,11004,11004
1529849315,10997,10997
1529851210,10965,10965
1529853414,10995,10995
1529855337,11029,11029
1529857241,11012,11012
1529859138,11020,11020
1529861307,11037,11037
1529863239,11072,11072
1529865159,11088,11088
1529867070,11130,11130
1529868970,11182,11182
1529871808,11257,11257
1529873767,11258,11258
1529875687,11233,11233
1529877698,11143,11143
1529879532,11158,11158
1529881466,11263,11263
1529883384,11384,11384
1529885316,12486,12486
1529887226,12632,12632
1529889135,14483,14483
1529891054,16384,16384
1529892970,17352,17352
1529894889,17363,17363
1529896816,17403,17403
1529898739,17401,17401
1529900660,17401,17401
1529902569,17383,17383
1529904496,17412,17412
1529906440,17411,17411
1529908336,17358,17358
1529910271,17389,17389
1529912178,18138,18138
1529914116,22392,22392
1529916013,22396,22396
1529917937,20711,20711
1529919868,20692,20692
1529921778,20935,20935
1529923696,20940,20940
1529925627,20926,20926
1529927533,20852,20852
1529929479,19968,19968
1529931371,19987,19987
1529933293,20013,20013
1529936196,20035,20035
1529938094,20020,20020
1529940008,19999,19999
1529941944,19971,19971
1529943856,20008,20008
1529945770,19995,19995
1529947711,20000,20000
1529949637,19987,19987
1529951554,19993,19993
1529953458,20029,20029
1529955372,19998,19998
1529957310,19962,19962
1529959457,20390,20390
1529961373,20915,20915
1529963310,20899,20899
1529965217,20956,20956
1529967385,20974,20974
1529969293,20961,20961
1529971255,20965,20965
1529973138,20974,20974
1529975074,19620,19620
1529976974,17882,17882
1529978897,16607,16607
1529980830,16622,16622
1529982737,16606,16606
1529984673,16616,16616
1529986578,16605,16605
1529988494,16605,16605
1529990431,16574,16574
1529992346,16583,16583
1529994253,16589,16589
1529996186,16607,16607
1529998097,16640,16640
1530000036,11368,11368
1530002194,11152,11152
1530004111,11155,11155
1530006031,11026,11026
1530007940,10813,10813
1530009853,10797,10797
1530011787,11069,11069
1530013691,11163,11163
1530015619,11179,11179
1530017555,11246,11246
1530019455,11251,11251
1530021385,11257,11257
1530023296,11266,11266
1530025273,11382,11382
1530027135,11462,11462
1530029074,11968,11968
1530030973,12713,12713
1530032918,12851,12851
1530034814,12888,12888
1530036735,12890,12890
1530038668,13270,13270
1530040581,15234,15234
1530042610,21497,21497
1530044426,24670,24670
1530046337,23347,23347
1530048252,23052,23052
1530050184,23056,23056
1530052338,22904,22904
1530054256,22880,22880
1530056185,23034,23034
1530058104,23075,23075
1530060029,23114,23114
1530061941,23158,23158
1530063872,23179,23179
1530065783,23191,23191
1530067701,23183,23183
1530069629,23219,23219
1530071547,23220,23220
1530073491,23232,23232
1530075375,23251,23251
1530077320,23297,23297
1530079285,23302,23302
1530081145,23321,23321
1530083067,23284,23284
1530084980,23253,23253
1530086905,23249,23249
1530088817,23646,23646
1530090740,23612,23612
1530092696,23605,23605
1530094587,23616,23616
1530096538,23923,23923
1530098415,23580,23580
1530100339,23545,23545
1530102287,22352,22352
1530104172,22249,22249
1530106094,22223,22223
1530108058,22207,22207
1530109943,22188,22188
1530111861,22138,22138
1530113785,22122,22122
1530115715,21612,21612
1530117612,20883,20883
1530119531,20868,20868
1530121465,20859,20859
1530123369,20865,20865
1530125303,20414,20414
1530127215,17746,17746
1530129157,11762,11762
1530131298,8931,8931
1530133249,10329,10329
1530135157,11794,11794
1530137068,11806,11806
1530139440,12145,12145
1530141379,12892,12892
1530143299,14969,14969
1530145230,14980,14980
1530147136,14944,14944
1530149068,14895,14895
1530150975,14900,14900
1530152905,14964,14964
1530154826,14942,14942
1530156733,14946,14946
1530158663,14913,14913
1530160577,14925,14925
1530162503,14905,14905
1530164412,14867,14867
1530166342,14868,14868
1530168262,14852,14852
1530170178,16443,16443
1530172112,21113,21113
1530174011,20752,20752
1530175939,20743,20743
1530177858,20763,20763
1530179792,20748,20748
1530181691,20733,20733
1530183868,20462,20462
1530185794,20325,20325
1530187731,20279,20279
1530189639,20366,20366
1530191547,20378,20378
1530193455,20340,20340
1530195393,20398,20398
1530197565,20398,20398
1530199478,20459,20459
1530201391,20478,20478
1530203301,20478,20478
1530205244,20546,20546
1530207161,20573,20573
1530209076,20640,20640
1530210992,20539,20539
1530212902,20550,20550
1530214814,20522,20522
1530217115,20503,20503
1530219146,19815,19815
1530221093,17636,17636
1530222967,17667,17667
1530224886,17385,17385
1530226839,17408,17408
1530228740,14938,14938
1530231308,14333,14333
1530233455,14411,14411
1530235609,14425,14425
1530237610,14368,14368
1530239475,14360,14360
1530241896,14342,14342
1530243760,14317,14317
1530245775,14336,14336
1530247598,14321,14321
1530249620,14318,14318
1530251542,14334,14334
1530254656,14189,14189
1530256574,12053,12053
1530258507,7584,7584
1530260418,7477,7477
1530262368,7619,7619
1530264264,7622,7622
1530266189,7630,7630
1530268095,7849,7849
1530270062,9721,9721
1530271983,9724,9724
1530273909,10002,10002
1530275799,10971,10971
1530277707,11779,11779
1530279625,11855,11855
1530281541,11832,11832
1530283470,13082,13082
1530286498,14843,14843
1530288516,15923,15923
1530290422,16409,16409
1530292330,16362,16362
1530294251,16512,16512
1530296803,16457,16457
1530301499,16378,16378
1530303391,16442,16442
1530305323,16485,16485
1530307212,16576,16576
1530309169,16622,16622
1530311057,16649,16649
1530312988,16656,16656
1530314893,16616,16616
1530316836,16588,16588
1530318753,16610,16610
1530320661,16530,16530
1530322576,16637,16637
1530324524,16659,16659
1530326415,16633,16633
1530328345,16700,16700
1530330249,16720,16720
1530332173,16716,16716
1530334107,16734,16734
1530336008,16714,16714
1530337927,16670,16670
1530339866,16714,16714
1530341767,16738,16738
1530343702,16702,16702
1530346592,17102,17102
1530348493,20016,20016
1530350406,22045,22045
1530352343,22874,22874
1530354250,24744,24744
1530356229,23464,23464
