DateTime,Entries,UniqueIPs
1529326463,69,69
1529328401,67,67
1529330301,65,65
1529332238,65,65
1529334169,65,65
1529336086,62,62
1529338270,62,62
1529340149,60,60
1529342086,58,58
1529343987,57,57
1529345790,55,55
1529347837,53,53
1529349848,50,50
1529351780,49,49
1529353685,47,47
1529355508,47,47
1529358547,48,48
1529362582,44,44
1529364488,44,44
1529366553,42,42
1529368577,39,39
1529370501,39,39
1529374352,40,40
1529376257,42,42
1529378180,41,41
1529380101,42,42
1529382026,41,41
1529383951,41,41
1529385864,42,42
1529387771,42,42
1529389695,41,41
1529391678,42,42
1529393556,40,40
1529397381,40,40
1529399301,39,39
1529401247,39,39
1529405061,40,40
1529406978,40,40
1529408894,39,39
1529410832,40,40
1529412743,39,39
1529414901,41,41
1529417783,38,38
1529419699,37,37
1529423781,35,35
1529425689,36,36
1529427667,37,37
1529429548,38,38
1529431455,39,39
1529437209,36,36
1529441065,37,37
1529442970,35,35
1529444888,35,35
1529449021,36,36
1529450902,37,37
1529452846,38,38
1529454755,39,39
1529456660,41,41
1529458574,42,42
1529460513,41,41
1529462415,41,41
1529464338,40,40
1529466267,39,39
1529468174,38,38
1529470096,37,37
1529472026,35,35
1529473934,33,33
1529475964,34,34
1529477788,33,33
1529479707,34,34
1529481693,33,33
1529483556,34,34
1529485462,33,33
1529487375,33,33
1529489329,32,32
1529491223,33,33
1529493142,33,33
1529495073,34,34
1529496978,32,32
1529501059,31,31
1529502990,30,30
1529510934,32,32
1529512835,29,29
1529516659,27,27
1529522435,28,28
1529528469,27,27
1529530365,26,26
1529532279,27,27
1529534197,26,26
1529538029,25,25
1529539943,24,24
1529541861,23,23
1529543796,21,21
1529545697,19,19
1529549714,16,16
1529551690,17,17
1529553647,17,17
1529557454,18,18
1529563478,17,17
1529565384,16,16
1529567301,18,18
1529571168,17,17
1529573075,17,17
1529574978,17,17
1529577155,17,17
1529579224,18,18
1529581210,17,17
1529583152,18,18
1529585053,19,19
1529587123,20,20
1529589134,22,22
1529592997,24,24
1529596862,23,23
1529602820,26,26
1529604744,28,28
1529608586,28,28
1529610503,29,29
1529612429,32,32
1529614380,33,33
1529616265,35,35
1529618178,36,36
1529621728,40,40
1529623709,43,43
1529625664,44,44
1529627562,45,45
1529629466,46,46
1529631286,48,48
1529633324,50,50
1529635233,52,52
1529637143,53,53
1529639060,55,55
1529642899,55,55
1529644835,56,56
1529646747,57,57
1529648656,59,59
1529650591,64,64
1529652760,68,68
1529654669,70,70
1529656576,71,71
1529658532,74,74
1529660678,72,72
1529662582,75,75
1529664513,77,77
1529666528,80,80
1529668354,81,81
1529670259,81,81
1529672186,81,81
1529674098,81,81
1529677004,83,83
1529679034,86,86
1529681068,89,89
1529682968,89,89
