DateTime,AddedIPs,RemovedIPs
1527404659,0,1
1527406630,0,2
1527408509,0,2
1527410442,1,0
1527412330,1,0
1527416166,0,1
1527418117,0,3
1527420024,0,1
1527421950,1,0
1527423850,0,1
1527425805,0,1
1527442084,0,1
1527449779,1,2
1527453608,0,1
1527460589,0,2
1527464450,3,0
1527466345,1,0
1527472132,0,1
1527475988,1,1
1527481696,2,0
1527485566,0,1
1527489370,1,0
1527493209,1,0
1527495132,1,0
1527497074,0,1
1527498970,0,1
1527508588,0,1
1527514360,2,0
1527518171,1,0
1527527792,1,0
1527537388,0,1
1527550812,0,3
1527552787,1,1
1527562398,0,1
1527564309,1,0
1527566191,1,0
1527568133,0,2
1527570990,1,0
1527572892,1,0
1527574825,0,1
1527580593,0,1
1527582496,0,1
1527585386,1,0
1527593056,1,0
1527594998,1,0
1527598845,1,0
1527600739,0,2
1527604572,0,1
1527608426,1,0
1527613147,2,1
1527615136,1,0
1527618971,1,0
1527628570,1,0
1527640088,0,1
1527642970,1,0
1527644952,1,0
1527646811,1,0
1527648863,1,0
1527650669,1,1
1527658352,0,1
1527660282,0,1
1527664121,1,0
1527667975,0,1
1527669866,0,1
1527671800,1,0
1527680584,1,2
1527686411,0,1
1527692186,1,0
1527694092,1,0
1527696091,0,1
1527698211,0,2
1527700023,1,0
1527702008,1,1
1527705854,0,1
1527709717,2,0
1527713528,1,0
1527715451,1,1
1527717369,2,0
1527730820,0,2
1527732744,0,1
1527734677,0,1
1527738501,0,1
1527750091,0,1
1527753877,1,0
1527759621,0,1
1527761555,1,0
1527765382,0,1
1527778856,0,1
1527780784,0,1
1527782663,1,0
1527786534,3,1
1527788459,0,1
1527790493,1,0
1527796133,1,2
1527799953,0,1
1527801872,0,1
1527803793,0,2
1527819388,1,0
1527823223,1,0
1527825165,1,0
1527840522,0,1
1527848189,0,1
1527859701,1,0
1527861697,1,0
1527863564,1,0
1527869343,0,1
1527873082,0,3
1527876971,0,1
1527882732,0,1
1527896434,1,0
1527898399,1,0
1527904145,0,1
1527909921,0,1
1527911822,0,1
1527916434,0,0
1527918673,0,0
1527921131,0,0
1527923311,0,0
1527926021,2,0
1527928512,0,0
1527930854,0,0
1527933069,1,0
1527935212,0,0
1527937868,0,0
1527942639,0,0
1527944964,0,0
1527947204,0,1
1527949062,0,1
1527951388,0,1
1527953715,0,0
1527956402,0,0
1527958692,0,0
1527961192,1,0
1527963554,0,0
1527965962,0,0
1527968416,0,0
1527972876,0,0
1527974852,0,0
1527977283,0,0
1527984234,1,2
1527986637,0,0
1527991397,1,0
1527993818,0,0
1527996218,0,0
1527998608,0,0
1528001073,0,0
1528003375,1,0
1528005403,1,0
1528011136,0,2
1528018838,0,1
1528022652,1,0
1528034174,1,0
1528047697,0,1
1528064910,1,0
1528069694,0,1
1528077379,0,1
1528086045,1,0
1528089894,0,1
1528091767,0,1
1528109087,1,0
1528110977,3,0
1528112916,1,0
1528120537,0,1
1528122498,1,0
1528126334,1,1
1528149381,2,0
1528151322,0,1
1528158993,1,0
1528168581,1,0
1528172427,0,1
1528180400,1,0
1528182263,1,0
1528186099,1,0
1528195692,1,1
1528197622,0,3
1528199539,0,1
1528203376,1,0
1528213492,0,1
1528215397,1,0
1528234811,0,1
1528236743,0,1
1528246332,0,1
1528254100,0,1
1528257860,1,0
1528267769,1,2
1528271555,0,1
1528275386,1,0
1528277303,1,0
1528281152,0,2
1528288818,1,1
1528290754,1,0
1528302272,1,1
1528306270,1,0
1528311703,0,0
1528320490,0,0
1528324414,0,0
1528326774,0,0
1528331798,0,0
1528344999,1,1
1528355782,0,1
1528363449,0,2
1528365373,1,0
1528375958,0,1
1528377850,0,1
1528384576,1,0
1528388426,0,1
1528392264,0,1
1528403796,1,0
1528413608,2,0
1528417473,1,0
1528430917,0,1
1528436813,1,0
1528440960,1,0
1528452978,0,1
1528456807,1,0
1528462568,1,0
1528471208,0,1
1528490655,0,1
1528492594,2,0
1528494499,2,0
1528498499,2,1
1528500507,0,1
1528504356,0,1
1528510190,1,0
