DateTime,Entries,UniqueIPs
1529248335,56,56
1529250263,57,57
1529256020,56,56
1529259852,58,58
1529261782,56,56
1529263686,56,56
1529266570,54,54
1529270424,55,55
1529272330,59,59
1529274273,60,60
1529276168,57,57
1529278357,57,57
1529280256,58,58
1529282210,59,59
1529284098,64,64
1529286034,66,66
1529287954,68,68
1529291774,69,69
1529295639,70,70
1529297561,70,70
1529299469,71,71
1529301484,70,70
1529303299,69,69
1529305293,70,70
1529307148,71,71
1529309083,72,72
1529314815,71,71
1529316776,70,70
1529318657,70,70
1529320612,71,71
1529322509,71,71
1529326465,70,70
1529328402,71,71
1529330302,70,70
1529332239,68,68
1529336088,71,71
1529338271,70,70
1529343988,73,73
1529345791,74,74
1529347838,74,74
1529349850,73,73
1529351781,74,74
1529355509,73,73
1529358548,69,69
1529360422,70,70
1529362583,71,71
1529364490,70,70
1529366554,68,68
1529368578,67,67
1529370502,69,69
1529372411,70,70
1529374353,61,61
1529378181,57,57
1529380102,58,58
1529382027,58,58
1529383952,57,57
1529385865,57,57
1529387773,56,56
1529389696,55,55
1529397382,54,54
1529399302,54,54
1529401248,55,55
1529403136,56,56
1529405062,55,55
1529412744,53,53
1529414902,54,54
1529417784,57,57
1529421760,56,56
1529423783,59,59
1529425690,60,60
1529427701,58,58
1529429549,57,57
1529431455,56,56
1529433368,54,54
1529435313,54,54
1529437210,53,53
1529441066,54,54
1529442970,54,54
1529444889,52,52
1529446822,51,51
1529449022,52,52
1529450903,55,55
1529454756,55,55
1529456661,54,54
1529458575,52,52
1529460515,55,55
1529462417,56,56
1529464339,58,58
1529468175,57,57
1529470097,59,59
1529472027,58,58
1529473935,59,59
1529475965,57,57
1529477789,56,56
1529485463,55,55
1529487377,54,54
1529489330,54,54
1529491224,55,55
1529493143,54,54
1529495074,58,58
1529496979,60,60
1529499146,62,62
1529501061,61,61
1529502991,60,60
1529504895,59,59
1529506889,58,58
1529508758,58,58
1529510935,56,56
1529512836,55,55
1529516660,56,56
1529518601,55,55
1529520507,56,56
1529526498,55,55
1529528472,55,55
1529530366,58,58
1529534198,60,60
1529536214,62,62
1529539945,64,64
1529543797,63,63
1529545699,60,60
1529547624,61,61
1529551692,60,60
1529555535,60,60
1529557456,60,60
1529559373,59,59
1529561294,55,55
1529565386,54,54
1529567303,56,56
1529571171,57,57
1529573077,58,58
1529577157,57,57
1529583154,55,55
1529585055,54,54
1529587125,53,53
1529592999,52,52
1529594892,50,50
1529596893,51,51
1529598741,52,52
1529600916,51,51
1529602821,52,52
1529604745,53,53
1529606667,53,53
