DateTime,Entries,UniqueIPs
1529543798,5304,5304
1529545699,5310,5310
1529549716,5310,5310
1529551692,5311,5311
1529553710,5310,5310
1529555536,5313,5313
1529557456,5304,5304
1529559374,4544,4544
1529561295,4718,4718
1529563481,4738,4738
1529565386,5003,5003
1529567304,5017,5017
1529569236,5028,5028
1529571171,5037,5037
1529573077,5041,5041
1529574980,4906,4906
1529577157,4906,4906
1529579227,4884,4884
1529581212,4887,4887
1529583154,5148,5148
1529585056,5157,5157
1529587125,5159,5159
1529589136,5158,5158
1529591057,4713,4713
1529593000,5298,5298
1529594892,5303,5303
1529596894,5306,5306
1529598742,5305,5305
1529600917,5066,5066
1529602821,5173,5173
1529604745,5175,5175
1529606668,5171,5171
1529608588,5170,5170
1529610505,5172,5172
1529612432,5175,5175
1529614382,5172,5172
1529616267,5176,5176
1529618180,5181,5181
1529621730,3511,3511
1529623711,3511,3511
1529625698,3510,3510
1529627564,3503,3503
1529629468,3502,3502
1529631288,3498,3498
1529633326,3501,3501
1529635236,3500,3500
1529637145,3503,3503
1529639062,3501,3501
1529640992,3497,3497
1529642901,3467,3467
1529644837,3435,3435
1529646749,3360,3360
1529648658,3294,3294
1529650593,3260,3260
1529652762,3825,3825
1529654671,3818,3818
1529656578,3814,3814
1529658534,3815,3815
1529660680,3819,3819
1529662584,3821,3821
1529664514,3817,3817
1529666530,3815,3815
1529668357,3580,3580
1529670261,3573,3573
1529672188,3569,3569
1529674100,3567,3567
1529676100,3571,3571
1529677939,3255,3255
1529679964,2888,2888
1529681789,2889,2889
1529683719,2886,2886
1529685630,2886,2886
1529687558,3274,3274
1529689454,3072,3072
1529691394,3072,3072
1529693300,3027,3027
1529695227,3032,3032
1529697134,3036,3036
1529699088,3038,3038
1529700971,3043,3043
1529702909,3051,3051
1529704899,3058,3058
1529706739,3058,3058
1529708677,2917,2917
1529710572,2917,2917
1529712509,2924,2924
1529714412,2923,2923
1529716336,2926,2926
1529718267,2932,2932
1529720173,2936,2936
1529722113,2936,2936
1529724261,2934,2934
1529726179,2940,2940
1529728100,2812,2812
1529730101,2809,2809
1529731952,2807,2807
1529733894,2808,2808
1529735790,2715,2715
1529737710,2715,2715
1529739620,1898,1898
1529741547,1896,1896
1529743476,1898,1898
1529745381,2025,2025
1529747312,2019,2019
1529749218,2023,2023
1529751144,2021,2021
1529753065,2025,2025
1529755001,2028,2028
1529756901,1292,1292
1529758887,1292,1292
1529760739,1291,1291
1529762835,1292,1292
1529764827,1289,1289
1529766740,1288,1288
1529768667,1288,1288
1529770837,1342,1342
1529772742,1339,1339
1529774655,828,828
1529776595,829,829
1529778500,827,827
1529780494,821,821
1529782343,818,818
1529784268,813,813
1529786437,812,812
1529788349,805,805
1529790257,817,817
1529792191,817,817
1529794702,792,792
1529796511,791,791
1529798487,787,787
1529800359,785,785
1529802261,812,812
1529804189,808,808
1529806104,807,807
1529808034,805,805
1529809959,805,805
1529811864,804,804
1529813796,798,798
1529815695,880,880
1529817631,883,883
1529819554,888,888
1529821471,888,888
1529823374,1131,1131
1529825311,1155,1155
1529827291,1156,1156
1529829157,1239,1239
1529831067,1114,1114
1529833003,1112,1112
1529834900,1108,1108
1529836835,1116,1116
1529838749,1112,1112
1529840656,1619,1619
1529842590,3970,3970
1529844398,4016,4016
1529846427,4008,4008
1529848341,4009,4009
1529850272,4009,4009
1529852173,4007,4007
1529854107,4008,4008
1529856088,4006,4006
1529857959,3956,3956
1529860123,3956,3956
1529862277,3956,3956
1529864209,3983,3983
1529866092,3984,3984
1529868027,3988,3988
1529869958,4031,4031
1529871812,4032,4032
1529873771,4032,4032
1529875690,4014,4014
1529877712,4028,4028
1529879536,4023,4023
1529881469,4024,4024
1529883388,4034,4034
1529885320,5289,5289
1529887230,5290,5290
1529889139,5287,5287
1529891058,5289,5289
1529892974,5289,5289
1529894892,5292,5292
1529896820,5290,5290
1529898743,5290,5290
1529900664,5293,5293
1529902572,5269,5269
1529904500,5273,5273
1529906506,5298,5298
1529908339,5263,5263
1529910274,5298,5298
1529912181,5280,5280
1529914119,5234,5234
1529916017,5239,5239
1529917941,5387,5387
1529919872,5389,5389
1529921781,5391,5391
1529923700,5395,5395
1529925630,5394,5394
1529927537,5258,5258
1529929483,3675,3675
1529931375,3671,3671
1529933296,3671,3671
1529935319,3671,3671
1529937142,3689,3689
1529939065,3692,3692
1529940972,3688,3688
1529942914,3702,3702
1529944828,3701,3701
1529946743,3699,3699
1529948652,3703,3703
1529950590,3683,3683
1529952496,3684,3684
1529954427,3682,3682
1529956338,3682,3682
1529958681,3696,3696
1529960655,5421,5421
1529962584,5419,5419
1529964492,5407,5407
1529966409,5407,5407
1529968343,5435,5435
1529970263,5442,5442
1529972331,5443,5443
1529974344,5446,5446
1529976252,5447,5447
1529978168,5447,5447
1529980106,5448,5448
1529982287,5451,5451
1529984183,5454,5454
1529986128,5454,5454
1529988022,5451,5451
1529989947,5454,5454
1529991876,5454,5454
1529993783,5450,5450
1529995702,5469,5469
1529997654,5469,5469
1529999554,5470,5470
1530001380,5458,5458
1530003246,5457,5457
1530005067,5313,5313
1530006974,5312,5312
1530008906,5308,5308
1530011790,5312,5312
1530013694,5318,5318
1530015622,5317,5317
1530017557,5319,5319
1530019458,5319,5319
1530021388,5322,5322
1530023298,5305,5305
1530025293,5282,5282
1530027138,5284,5284
1530029076,5743,5743
1530030975,6472,6472
1530032921,6580,6580
1530034816,6580,6580
1530036738,6600,6600
1530038671,7004,7004
1530040584,7003,7003
1530042613,7005,7005
1530044429,6909,6909
1530046340,5180,5180
1530048256,4757,4757
1530050187,4741,4741
1530052341,4737,4737
1530054260,4736,4736
1530056189,4873,4873
1530058110,4872,4872
1530060032,4868,4868
1530061945,4862,4862
1530063876,4862,4862
1530065786,4861,4861
1530067704,4857,4857
1530069633,4854,4854
1530071550,4853,4853
1530073495,4851,4851
1530075378,4851,4851
1530077324,4849,4849
1530079302,4852,4852
1530081149,4852,4852
1530083070,4823,4823
1530084983,4823,4823
1530086909,4817,4817
1530088821,5223,5223
1530090744,5221,5221
1530092700,5238,5238
1530094591,5236,5236
1530096541,5231,5231
1530098420,5238,5238
1530100342,5233,5233
1530102291,3666,3666
1530104176,3665,3665
1530106097,3664,3664
1530108096,3663,3663
1530109947,3667,3667
1530111864,3679,3679
1530113789,3684,3684
1530115719,3168,3168
1530117616,2396,2396
1530119535,2388,2388
1530121469,2384,2384
1530123373,2382,2382
1530125307,1659,1659
1530127219,1657,1657
1530129161,1653,1653
1530131302,1647,1647
1530133306,1647,1647
1530135160,1653,1653
1530137072,1655,1655
1530139444,2116,2116
1530141382,2119,2119
1530143302,1963,1963
1530145236,1970,1970
1530147139,1974,1974
1530149071,1982,1982
1530150977,1979,1979
1530152908,1982,1982
1530154832,1984,1984
1530156736,1985,1985
1530158666,1987,1987
1530160580,1981,1981
1530162506,1985,1985
1530164416,1984,1984
1530166345,1959,1959
1530168265,1956,1956
1530170181,1958,1958
1530172115,1963,1963
1530174015,1577,1577
1530175942,1579,1579
1530177862,1580,1580
1530179795,1559,1559
1530181694,1559,1559
1530183872,1587,1587
1530185797,1440,1440
1530187734,1414,1414
1530189642,1390,1390
1530191551,1390,1390
1530193459,1363,1363
1530195396,1362,1362
1530197568,1340,1340
1530199481,1411,1411
1530201394,1416,1416
1530203304,1413,1413
1530205295,1531,1531
1530207164,1529,1529
1530209080,1586,1586
1530210995,1587,1587
1530212906,1587,1587
1530214817,1586,1586
1530217118,1556,1556
1530219149,1558,1558
1530221096,1556,1556
1530222971,1556,1556
1530224890,1080,1080
1530226906,1078,1078
1530228742,1072,1072
1530231311,1074,1074
1530233457,1074,1074
1530235612,1067,1067
1530239479,1068,1068
1530241900,1068,1068
1530243764,1067,1067
1530245778,1069,1069
1530247601,1073,1073
1530249624,1076,1076
1530251546,1072,1072
1530254661,1031,1031
1530256579,1027,1027
1530258510,1024,1024
1530260420,836,836
1530262370,833,833
1530264268,832,832
1530266193,837,837
1530268098,840,840
1530270093,811,811
1530271986,811,811
1530273912,1130,1130
1530275803,3022,3022
1530277710,4289,4289
1530279628,4290,4290
1530281544,4324,4324
1530283473,4323,4323
1530286502,4244,4244
1530288520,4334,4334
1530290426,4174,4174
1530292334,4128,4128
1530294254,4287,4287
1530296807,4232,4232
1530300988,4232,4232
1530302899,4233,4233
1530304833,4242,4242
1530306742,4241,4241
1530308653,4263,4263
1530310600,4265,4265
1530312497,4265,4265
1530314424,4265,4265
1530316348,4267,4267
1530318252,4270,4270
1530320188,4271,4271
1530322090,4271,4271
1530324982,4268,4268
1530326894,4267,4267
1530328808,4271,4271
1530330980,4269,4269
1530332893,4268,4268
1530334863,4270,4270
1530336742,4269,4269
1530338667,4270,4270
1530340588,4273,4273
1530342494,4277,4277
1530344427,4279,4279
1530346341,4282,4282
1530348251,4284,4284
1530350190,4285,4285
1530352096,4287,4287
1530354011,4281,4281
1530355948,4281,4281
1530357852,4280,4280
1530359767,4280,4280
1530361742,2945,2945
1530363685,1123,1123
1530365804,1127,1127
1530367701,1131,1131
1530369654,1151,1151
1530371551,1154,1154
1530373480,1152,1152
1530375378,1060,1060
1530377325,1064,1064
1530379213,1062,1062
1530381131,879,879
1530383068,882,882
1530384970,836,836
1530386899,836,836
1530388861,842,842
1530390739,505,505
1530392658,504,504
1530394587,497,497
1530396496,500,500
1530398574,552,552
1530400650,555,555
1530402894,554,554
1530404757,553,553
1530406619,554,554
1530408643,556,556
1530410553,559,559
1530412590,563,563
1530414680,559,559
1530416664,949,949
1530418586,952,952
1530420511,3014,3014
1530422419,3025,3025
1530424340,3041,3041
1530426264,3036,3036
1530428181,4954,4954
1530430128,5007,5007
1530432112,5152,5152
1530433980,5219,5219
1530435863,5297,5297
1530437810,5297,5297
1530439721,5294,5294
1530441614,5398,5398
1530443552,6084,6084
1530445499,6171,6171
1530447531,6283,6283
1530449536,6288,6288
1530451479,89801,89801
1530455294,6422,6422
1530457292,6422,6422
1530459140,6423,6423
1530461068,6422,6422
1530462979,6421,6421
1530464902,7224,7224
1530466808,9005,9005
1530468745,9005,9005
1530470717,9004,9004
1530472593,9006,9006
1530474574,9003,9003
1530476427,9002,9002
1530478334,9004,9004
1530480271,9004,9004
1530482177,9000,9000
1530484101,8982,8982
1530486097,8973,8973
1530487948,8989,8989
1530489857,8987,8987
1530491795,8989,8989
1530493742,8988,8988
1530495618,8987,8987
1530497613,8988,8988
1530499479,8988,8988
1530501392,8987,8987
1530503299,8791,8791
1530505350,8789,8789
1530507399,6929,6929
1530509332,6914,6914
1530511243,6936,6936
1530513174,6022,6022
1530515069,6080,6080
1530516984,6070,6070
1530518929,5861,5861
1530521118,5842,5842
1530522988,5844,5844
1530524899,5845,5845
1530527089,5837,5837
