DateTime,Entries,UniqueIPs
1529547625,5360,5360
1529549717,5362,5362
1529551693,5363,5363
1529553711,5362,5362
1529555536,5365,5365
1529557457,5356,5356
1529559374,4596,4596
1529561295,4770,4770
1529563481,4792,4792
1529565387,5056,5056
1529567304,5070,5070
1529569236,5082,5082
1529571172,5093,5093
1529573078,5097,5097
1529574981,4961,4961
1529577158,4962,4962
1529579227,4941,4941
1529581212,4945,4945
1529583155,5205,5205
1529585056,5212,5212
1529587126,5214,5214
1529589137,5212,5212
1529591057,4768,4768
1529593000,5355,5355
1529594893,5358,5358
1529596895,5360,5360
1529598742,5359,5359
1529600918,5119,5119
1529602822,5226,5226
1529604746,5229,5229
1529606668,5223,5223
1529608589,5221,5221
1529610506,5224,5224
1529612432,5227,5227
1529614383,5225,5225
1529616268,5226,5226
1529618180,5229,5229
1529621731,3569,3569
1529623711,3566,3566
1529625702,3562,3562
1529627564,3555,3555
1529629468,3550,3550
1529631288,3547,3547
1529633327,3549,3549
1529635236,3547,3547
1529637145,3551,3551
1529639062,3548,3548
1529640992,3543,3543
1529642902,3512,3512
1529644837,3480,3480
1529646750,3403,3403
1529648659,3336,3336
1529650594,3302,3302
1529652763,3865,3865
1529654672,3859,3859
1529656578,3852,3852
1529658535,3852,3852
1529660680,3854,3854
1529662585,3859,3859
1529664515,3855,3855
1529666531,3854,3854
1529668357,3619,3619
1529670262,3612,3612
1529672189,3608,3608
1529674100,3603,3603
1529676101,3612,3612
1529677939,3294,3294
1529679964,2928,2928
1529681789,2929,2929
1529683720,2926,2926
1529685630,2925,2925
1529687558,3311,3311
1529689455,3108,3108
1529691395,3108,3108
1529693300,3064,3064
1529695228,3070,3070
1529697134,3074,3074
1529699088,3077,3077
1529700971,3083,3083
1529702909,3093,3093
1529704913,3098,3098
1529706739,3092,3092
1529708678,2951,2951
1529710573,2953,2953
1529712509,2961,2961
1529714412,2961,2961
1529716336,2966,2966
1529718268,2971,2971
1529720173,2980,2980
1529722114,2984,2984
1529724262,2983,2983
1529726179,2992,2992
1529728101,2865,2865
1529730103,2866,2866
1529731952,2866,2866
1529733895,2868,2868
1529735791,2777,2777
1529737710,2779,2779
1529739620,1960,1960
1529741547,1959,1959
1529743476,1966,1966
1529745381,2093,2093
1529747313,2086,2086
1529749218,2088,2088
1529751144,2087,2087
1529753066,2091,2091
1529755002,2096,2096
1529756901,1360,1360
1529758888,1360,1360
1529760740,1360,1360
1529762836,1362,1362
1529764827,1357,1357
1529766740,1356,1356
1529768667,1361,1361
1529770837,1418,1418
1529772742,1415,1415
1529774656,905,905
1529776595,902,902
1529778501,900,900
1529780494,895,895
1529782343,895,895
1529784268,891,891
