DateTime,Entries,UniqueIPs
1529543800,270,270
1529545701,274,274
1529547626,275,275
1529549718,269,269
1529551694,271,271
1529553712,275,275
1529555538,281,281
1529557458,295,295
1529559376,303,303
1529561296,308,308
1529563483,305,305
1529565388,313,313
1529567305,313,313
1529569237,310,310
1529571173,309,309
1529573079,318,318
1529574982,320,320
1529577159,321,321
1529579228,326,326
1529581213,323,323
1529583156,328,328
1529585057,329,329
1529587127,330,330
1529589138,331,331
1529591058,336,336
1529593001,347,347
1529594894,343,343
1529596896,347,347
1529598743,346,346
1529600919,340,340
1529602823,344,344
1529604747,341,341
1529606670,334,334
1529608591,333,333
1529610508,325,325
1529612435,322,322
1529614384,323,323
1529616269,325,325
1529618181,325,325
1529621732,323,323
1529623712,321,321
1529625713,312,312
1529627565,312,312
1529629469,311,311
1529631290,308,308
1529633328,306,306
1529635237,302,302
1529637147,304,304
1529639064,301,301
1529640993,297,297
1529642903,294,294
1529644839,281,281
1529646751,262,262
1529648660,265,265
1529650595,258,258
1529652764,245,245
1529654672,244,244
1529656580,245,245
1529658537,232,232
1529660682,229,229
1529662586,224,224
1529664516,219,219
1529666532,213,213
1529668358,211,211
1529670263,199,199
1529672189,197,197
1529674101,194,194
1529676102,196,196
1529677940,187,187
1529679965,184,184
1529681790,179,179
1529683721,178,178
1529685631,179,179
1529687559,176,176
1529689456,170,170
1529691396,163,163
1529693301,167,167
1529695229,167,167
1529697135,175,175
1529699090,180,180
1529700972,182,182
1529702910,186,186
1529704936,193,193
1529706741,191,191
1529708679,197,197
1529710574,203,203
1529712511,208,208
1529714414,205,205
1529716338,214,214
1529718269,222,222
1529720174,226,226
1529722115,229,229
1529724263,228,228
1529726180,227,227
1529728103,233,233
1529730104,238,238
1529731953,238,238
1529733896,245,245
1529735792,247,247
1529737711,250,250
1529739622,257,257
1529741548,259,259
1529743477,264,264
1529745382,265,265
1529747314,266,266
1529749219,278,278
1529751145,281,281
1529753067,283,283
1529755003,281,281
1529756903,283,283
1529758889,292,292
1529760741,297,297
1529762837,300,300
1529764828,304,304
1529766742,307,307
1529768668,308,308
1529770839,306,306
1529772743,310,310
1529774657,317,317
1529776597,319,319
1529778503,326,326
1529780496,324,324
1529782345,318,318
1529784269,317,317
1529786439,310,310
1529788351,307,307
1529790259,302,302
1529792192,294,294
1529794704,291,291
1529796513,286,286
1529798489,287,287
1529800361,286,286
1529802262,274,274
1529804190,269,269
1529806105,260,260
1529808035,255,255
1529809961,254,254
1529811866,256,256
1529813797,270,270
1529815696,265,265
1529817633,268,268
1529819555,262,262
1529821472,257,257
1529823375,257,257
1529825312,253,253
1529827293,247,247
1529829158,244,244
1529831068,243,243
1529833005,242,242
1529834902,232,232
1529836836,230,230
1529838751,227,227
1529840657,223,223
1529842592,223,223
1529844400,219,219
1529846429,206,206
1529848343,201,201
1529850274,201,201
1529852175,200,200
1529854109,197,197
1529856090,193,193
1529857961,191,191
1529860124,185,185
1529862279,180,180
1529864210,172,172
1529866094,169,169
1529868028,168,168
1529869960,162,162
1529871813,161,161
1529873772,161,161
1529875692,161,161
1529877713,162,162
1529879537,161,161
1529881471,159,159
1529883389,166,166
1529885321,159,159
1529887231,159,159
1529889141,161,161
1529891059,171,171
1529892975,175,175
1529894894,181,181
1529896822,184,184
1529898745,187,187
1529900666,173,173
1529902575,171,171
1529904501,176,176
1529906508,178,178
1529908341,178,178
1529910276,180,180
1529912182,181,181
1529914121,182,182
1529916019,183,183
1529917942,182,182
1529919873,187,187
1529921783,189,189
1529923702,186,186
1529925632,191,191
1529927539,192,192
1529929485,190,190
1529931377,190,190
1529933298,192,192
1529935321,199,199
1529937144,196,196
1529939067,192,192
1529940974,192,192
1529942915,191,191
1529944829,193,193
1529946745,191,191
1529948655,195,195
1529950592,206,206
1529952498,217,217
1529954429,225,225
1529956340,235,235
1529958683,242,242
1529960657,246,246
1529962587,249,249
1529964494,256,256
1529966410,259,259
1529968345,264,264
1529970265,269,269
1529972333,271,271
1529974345,272,272
1529976254,274,274
1529978169,269,269
1529980107,281,281
1529982289,280,280
1529984184,288,288
1529986130,290,290
1529988023,284,284
1529989949,287,287
1529991878,282,282
1529993784,289,289
1529995704,291,291
1529997655,292,292
1529999555,293,293
1530001382,295,295
1530003247,297,297
1530005069,300,300
1530006975,304,304
1530008908,307,307
1530010884,310,310
1530012740,309,309
1530014683,315,315
1530016581,313,313
1530018521,315,315
1530020415,311,311
1530022336,308,308
1530024271,316,316
1530026199,325,325
1530028099,331,331
1530030031,333,333
1530031939,340,340
1530033857,348,348
1530035786,344,344
1530037699,348,348
1530039701,346,346
1530041554,344,344
1530043458,346,346
1530045373,353,353
1530047458,354,354
1530049465,356,356
1530051374,355,355
1530053310,359,359
1530055212,353,353
1530057136,361,361
1530059069,368,368
1530061016,366,366
1530062918,365,365
1530065788,354,354
1530067706,358,358
1530069635,363,363
1530071552,360,360
1530073496,362,362
1530075380,359,359
1530077326,359,359
1530079304,359,359
1530081150,363,363
1530083072,369,369
1530084985,371,371
1530086911,371,371
1530088823,371,371
1530090745,371,371
1530092701,369,369
1530094592,372,372
1530096543,371,371
1530098422,366,366
1530100344,358,358
1530102292,362,362
1530104177,365,365
1530106099,369,369
1530108098,367,367
1530109948,363,363
1530111866,360,360
1530113790,358,358
1530115721,363,363
1530117618,353,353
1530119537,352,352
1530121471,344,344
1530123375,334,334
1530125308,329,329
1530127221,336,336
1530129162,329,329
1530131303,324,324
1530133307,322,322
1530135161,320,320
1530137073,320,320
1530139445,320,320
1530141384,323,323
1530143303,322,322
1530145238,323,323
1530147140,328,328
1530149072,335,335
1530150979,336,336
1530152909,342,342
