DateTime,Entries,UniqueIPs
1529419703,70,70
1529421763,67,67
1529423786,67,67
1529425693,66,66
1529427728,64,64
1529429552,62,62
1529431458,63,63
1529433371,61,61
1529435316,60,60
1529437212,64,64
1529441069,64,64
1529442973,62,62
1529444891,63,63
1529446825,58,58
1529450905,57,57
1529454758,63,63
1529456664,66,66
1529458578,68,68
1529460517,72,72
1529464341,75,75
1529466271,74,74
1529468178,74,74
1529470100,73,73
1529472030,73,73
1529473937,77,77
1529475969,80,80
1529477792,89,89
1529479712,93,93
1529481701,97,97
1529483560,97,97
1529485466,96,96
1529487380,102,102
1529489333,109,109
1529491227,112,112
1529493146,110,110
1529495077,108,108
1529496982,111,111
1529499149,112,112
1529501063,110,110
1529502994,108,108
1529504898,109,109
1529506892,112,112
1529508761,122,122
1529510937,126,126
1529512839,131,131
1529514754,135,135
1529516663,141,141
1529518604,146,146
1529520510,152,152
1529522439,156,156
1529524582,154,154
1529526501,160,160
1529528494,163,163
1529530369,164,164
1529532283,164,164
1529534202,166,166
1529536218,170,170
1529538034,171,171
1529539948,170,170
1529541866,170,170
1529543801,170,170
1529545702,171,171
1529547628,168,168
1529549719,171,171
1529551695,173,173
1529553713,172,172
1529557459,170,170
1529559377,172,172
1529561297,166,166
1529563484,161,161
1529565389,158,158
1529567306,160,160
1529569238,153,153
1529571174,151,151
1529573080,149,149
1529574983,143,143
1529577160,140,140
1529579229,139,139
1529581215,140,140
1529583157,136,136
1529585058,139,139
1529587128,141,141
1529589139,146,146
1529591059,147,147
1529593003,144,144
1529594895,135,135
1529596897,128,128
1529598745,124,124
1529600920,120,120
1529602824,113,113
1529604749,110,110
1529606671,104,104
1529608592,101,101
1529610509,96,96
1529612436,93,93
1529614385,92,92
1529616270,88,88
1529618182,85,85
1529621733,81,81
1529623713,81,81
1529625721,81,81
1529627566,78,78
1529629471,77,77
1529631291,74,74
1529633329,73,73
1529635238,73,73
1529637148,67,67
1529639065,66,66
1529644840,63,63
1529648661,64,64
1529650596,62,62
1529652764,60,60
1529654673,56,56
1529656581,55,55
1529658538,53,53
1529660683,54,54
1529662587,51,51
1529666533,52,52
1529668359,53,53
1529670264,52,52
1529672190,51,51
1529674102,48,48
1529676103,43,43
1529677941,42,42
1529679966,43,43
1529683722,44,44
1529685632,45,45
1529687560,45,45
1529689457,44,44
1529693302,44,44
1529695230,43,43
1529697136,41,41
1529699091,41,41
1529700973,40,40
1529704938,41,41
1529706741,43,43
1529710575,44,44
1529712512,43,43
1529714415,46,46
1529716339,46,46
1529718270,48,48
1529720176,50,50
1529722116,49,49
1529726181,49,49
1529731954,48,48
1529733897,49,49
1529735793,49,49
1529739623,48,48
1529741549,49,49
1529745383,50,50
1529747314,48,48
1529749220,48,48
1529751146,49,49
1529753069,48,48
1529755004,47,47
1529758890,46,46
1529760741,45,45
1529764829,44,44
1529766743,43,43
1529770840,41,41
1529772744,40,40
1529774658,41,41
1529776598,43,43
1529778504,43,43
1529780497,43,43
1529782346,44,44
1529784271,47,47
1529786440,46,46
1529788352,48,48
1529790260,49,49
1529792193,46,46
1529794705,47,47
1529796514,46,46
1529800362,46,46
1529802263,44,44
1529804191,43,43
1529806106,41,41
1529808036,41,41
1529811866,41,41
1529813798,43,43
1529817634,46,46
1529819557,50,50
1529821473,51,51
1529823376,51,51
1529825313,52,52
1529827294,52,52
1529829159,54,54
1529831069,58,58
1529833006,59,59
1529834902,59,59
1529836837,62,62
1529838752,59,59
1529842593,61,61
1529844401,62,62
1529846430,61,61
1529848344,63,63
1529850275,64,64
1529854110,67,67
1529856091,69,69
1529857962,71,71
1529860125,72,72
1529862280,72,72
1529864211,71,71
1529866095,70,70
1529868029,70,70
1529869960,69,69
1529871814,66,66
1529873773,65,65
1529875693,66,66
1529877714,65,65
1529881472,63,63
1529883390,64,64
1529887232,63,63
1529889142,64,64
1529891060,64,64
1529894895,63,63
1529898746,65,65
1529900667,63,63
1529902576,62,62
1529904502,57,57
1529906509,58,58
1529908342,57,57
1529910277,56,56
1529912183,56,56
1529914122,55,55
1529916020,54,54
1529917943,49,49
1529919874,49,49
1529921784,48,48
1529923703,47,47
1529927540,47,47
1529929486,46,46
1529931378,46,46
1529933298,45,45
1529935322,45,45
1529937145,45,45
1529940975,43,43
1529942916,40,40
1529944830,40,40
1529946745,38,38
1529948655,39,39
1529950593,38,38
1529954430,38,38
1529956341,39,39
1529958684,40,40
1529960658,39,39
1529962587,38,38
1529968346,35,35
1529974346,34,34
1529976255,34,34
1529978170,33,33
1529984185,30,30
1529988024,31,31
1529991879,32,32
1529993785,31,31
1529995705,31,31
1529997656,32,32
1529999557,36,36
1530001382,37,37
1530005069,40,40
1530006976,42,42
