DateTime,AddedIPs,RemovedIPs
1524733954,1,0
1524809560,1,0
1524821309,0,1
1524892857,0,1
1525511125,1,0
1525523091,1,0
1525600373,0,1
1525606134,0,1
1525632955,1,0
1525720132,0,1
1525865941,1,0
1525943564,1,0
1525953587,0,1
1526023969,0,1
1526322773,7,0
1526326620,1,0
1526328511,0,1
1526331057,0,1
1526333072,2,0
1526336895,1,0
1526344599,0,1
1526374901,1,0
1526376766,0,1
1526380585,1,0
1526395233,0,3
1526401186,3,0
1526407311,1,0
1526409399,1,0
1526413236,0,1
1526415826,1,0
1526419694,1,2
1526423811,0,1
1526431489,1,0
1526435326,1,0
1526437246,2,0
1526460286,1,1
1526464127,1,0
1526466046,0,1
1526471804,1,0
1526487180,1,3
1526493149,0,1
1526495078,0,1
1526500902,1,1
1526506609,0,1
1526513805,1,0
1526517642,0,1
1526521463,0,1
1526523413,0,2
1526538764,1,0
1526542580,1,0
1526546442,0,1
1526550271,0,1
1526557961,1,1
1526574035,0,1
1526587481,0,1
1526591310,1,0
1526599958,0,1
1526603807,1,0
1526624967,0,1
1526628844,0,1
1526646359,0,1
1526662340,1,0
1526677968,0,1
1526689967,0,1
1526695973,2,0
1526705566,1,0
1526707483,1,0
1526709431,1,0
1526717085,1,0
1526738496,1,0
1526740367,146,0
1526742286,848,0
1526744185,3059,0
1526746160,1407,0
1526748022,1,0
1526763878,1,0
1526773460,1,0
1526794826,0,1
1526796771,0,1
1526827701,0,240
1526829646,0,1977
1526831571,0,3249
1526833485,0,1
1526850775,0,1
1526852688,1,0
1526859387,0,1
1526884839,1,0
1526907884,1,0
1526909956,691,0
1526911867,2423,0
1526913860,2345,0
1526931633,1,0
1526950917,1,0
1526969572,1,0
1526975557,1,0
1526979428,1,0
1526981333,1,0
1526985170,1,0
1526996725,1,1062
1526998602,0,3018
1527000515,0,1382
1527018051,1,1
1527026087,2,0
1527037976,0,1
1527039898,1,0
1527055308,0,1
1527061011,0,1
1527064871,0,1
1527066780,0,1
1527070618,0,1
1527076946,4,0
1527078769,2,0
1527082609,0,1
1527104204,1,1
1527108026,1,0
1527111909,0,1
1527113795,0,1
1527121822,1,0
1527125578,0,1
1527143675,1,0
1527145976,1,0
1527152023,2,0
1527163969,0,4
1527165883,0,2
1527181860,1,0
1527183864,1,0
1527190117,1,0
1527192100,0,1
1527193950,0,1
1527197804,1,0
1527207876,0,1
1527231150,0,2
1527233099,1,0
1527236954,0,1
1527238891,0,1
1527248652,1,0
1527257025,1,0
1527268932,0,1
1527270766,0,1
1527276737,0,1
1527280528,1,0
1527284682,0,1
1527286593,1,0
1527291354,0,0
1527293551,0,0
1527295603,0,0
1527298160,0,0
1527300905,0,0
1527303223,0,0
1527305661,0,0
1527308448,0,0
1527311244,0,0
1527314164,0,0
1527316672,1,0
1527318583,0,1
1527320953,0,0
1527322898,0,0
1527325316,0,0
1527336893,1,1
1527339161,0,0
1527341650,0,0
1527343543,0,1
1527346510,1,0
1527350717,1,0
1527352739,0,0
