DateTime,Entries,UniqueIPs
1526517642,9,9
1526521463,8,8
1526523413,6,6
1526538764,7,7
1526542580,8,8
1526546442,7,7
1526550271,6,6
1526557961,6,6
1526574035,5,5
1526587481,4,4
1526591310,5,5
1526599958,4,4
1526603807,5,5
1526624967,4,4
1526628844,3,3
1526646359,2,2
1526662340,3,3
1526677968,2,2
1526689967,1,1
1526695973,3,3
1526705566,4,4
1526707483,5,5
1526709431,6,6
1526717085,7,7
1526738496,8,8
1526740367,154,154
1526742286,1002,1002
1526744185,4061,4061
1526746160,5468,5468
1526748022,5469,5469
1526763878,5470,5470
1526773460,5471,5471
1526794826,5470,5470
1526796771,5469,5469
1526827701,5229,5229
1526829646,3252,3252
1526831571,3,3
1526833485,2,2
1526850775,1,1
1526852688,2,2
1526859387,1,1
1526884839,2,2
1526907884,3,3
1526909956,694,694
1526911867,3117,3117
1526913860,5462,5462
1526931633,5463,5463
1526950917,5464,5464
1526969572,5465,5465
1526975557,5466,5466
1526979428,5467,5467
1526981333,5468,5468
1526985170,5469,5469
1526996725,4408,4408
1526998602,1390,1390
1527000515,8,8
1527018051,8,8
1527026087,10,10
1527037976,9,9
1527039898,10,10
1527055308,9,9
1527061011,8,8
1527064871,7,7
1527066780,6,6
1527070618,5,5
1527076946,9,9
1527078769,11,11
1527082609,10,10
1527104204,10,10
1527108026,11,11
1527111909,10,10
1527113795,9,9
1527121822,10,10
1527125578,9,9
1527143675,10,10
1527145976,11,11
1527152023,13,13
1527163969,9,9
1527165883,7,7
1527181860,8,8
1527183864,9,9
1527190117,10,10
1527192100,9,9
1527193950,8,8
1527197804,9,9
1527207876,8,8
1527231150,6,6
1527233099,7,7
1527236954,6,6
1527238891,5,5
1527248652,6,6
1527257025,7,7
1527268932,6,6
1527270766,5,5
1527276737,4,4
1527280528,5,5
1527284682,4,4
1527286593,5,5
1527291354,5,5
1527293551,5,5
1527295603,5,5
1527298160,5,5
1527298160,5,5
1527300905,5,5
1527300905,5,5
1527303223,5,5
1527303223,5,5
1527305661,5,5
1527305661,5,5
1527308448,5,5
1527311244,5,5
1527311244,5,5
1527314164,5,5
1527314164,5,5
1527316672,6,6
1527316672,6,6
1527318583,5,5
1527320953,5,5
1527320953,5,5
1527322898,5,5
1527322898,5,5
1527325316,5,5
1527336893,5,5
1527336893,5,5
1527339161,5,5
1527339161,5,5
1527341650,5,5
1527343543,4,4
1527343543,4,4
1527346510,5,5
1527346510,5,5
1527350717,6,6
1527352739,6,6
1527352739,6,6
1527355506,6,6
1527355506,6,6
1527358183,7,7
1527358183,7,7
1527361553,8,8
1527361553,8,8
1527369506,8,8
1527369506,8,8
1527372653,7,7
1527372653,7,7
1527375540,7,7
1527375540,7,7
1527378882,7,7
1527381325,7,7
1527381325,7,7
1527383943,7,7
1527383943,7,7
1527386917,7,7
1527386917,7,7
1527389400,7,7
1527389400,7,7
1527391918,7,7
1527393924,7,7
1527393924,7,7
1527396089,7,7
1527396089,7,7
1527398012,7,7
1527398012,7,7
1527400182,8,8
1527403970,8,8
1527423163,8,8
1527432770,8,8
1527436599,7,7
1527442363,6,6
1527446222,6,6
1527448128,8,8
1527457706,7,7
1527485569,6,6
1527491314,6,6
1527498974,7,7
1527500899,8,8
1527506657,9,9
1527510494,8,8
1527520120,8,8
1527529695,9,9
1527531620,9,9
1527533537,7,7
1527535456,8,8
1527541300,9,9
1527571994,10,10
1527577731,9,9
1527583513,8,8
1527587330,7,7
1527593060,6,6
1527606540,5,5
1527615140,4,4
1527618975,4,4
1527620901,3,3
1527624738,4,4
1527626677,4,4
1527645957,5,5
1527657372,4,4
1527674682,6,6
1527682575,7,7
1527688332,8,8
1527705858,7,7
1527711615,6,6
1527713532,5,5
1527726983,6,6
1527732748,5,5
1527759625,4,4
1527761560,4,4
1527763497,5,5
1527765387,6,6
1527769249,5,5
1527773063,4,4
1527786539,5,5
1527801876,6,6
1527803797,7,7
1527811713,6,6
1527815561,7,7
1527817500,8,8
1527844367,9,9
1527848192,9,9
1527850115,8,8
1527852044,7,7
1527873087,6,6
1527878913,7,7
1527888494,6,6
1527890544,5,5
1527903151,3,3
1527916440,3,3
1527918679,3,3
1527921137,3,3
1527923321,3,3
1527926027,3,3
1527928518,3,3
1527928518,3,3
1527930861,2,2
1527933075,2,2
1527933075,2,2
1527935217,1,1
1527935217,1,1
1527937873,1,1
1527937873,1,1
1527940235,1,1
1527940235,1,1
1527942646,1,1
1527942646,1,1
1527944970,1,1
1527944970,1,1
1527947211,1,1
1527949068,1,1
1527949068,1,1
1527951393,1,1
1527951393,1,1
1527953721,1,1
1527953721,1,1
1527956408,1,1
1527956408,1,1
1527958698,1,1
1527958698,1,1
1527961198,1,1
1527961198,1,1
1528023878,1,1
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528109091,0,0
1528476491,1,1
1528486098,2,2
1528488277,3,3
1528490171,4,4
1528494022,5,5
1528525475,7,7
1528529299,8,8
1528533168,9,9
1528552379,10,10
1528561963,11,11
1528563878,10,10
1528573458,9,9
1528575377,7,7
1528581155,7,7
1528610935,6,6
1528616696,5,5
1528620530,4,4
1528637786,3,3
1528647645,2,2
1528653393,3,3
1528655346,5,5
1528666377,4,4
1528693460,5,5
1528695284,6,6
