DateTime,AddedIPs,RemovedIPs
1528806056,0,1
1528809854,2,0
1528811788,1,0
1528819892,1,0
1528823776,0,1
1528829532,0,1
1528833387,0,1
1528835291,0,1
1528838910,1,0
1528840946,2,1
1528842969,0,1
1528844896,1,0
1528848732,0,1
1528850665,1,0
1528852568,1,3
1528854489,0,1
1528856423,1,1
1528858346,0,1
1528860252,1,2
1528864090,1,1
1528866105,0,1
1528867952,4,11
1528869868,1,0
1528877540,0,1
1528879470,2,0
1528881383,0,1
1528883295,0,1
1528896756,0,3
1528898664,2,1
1528900574,0,1
1528904419,0,1
1528910181,1,0
1528926497,0,2
1528928434,0,1
1528931670,2,1
1528937428,0,1
1528939232,0,1
1528943059,1,1
1528948088,1,2
1528950008,0,1
1528955768,5,7
1528959749,1,0
1528965631,0,1
1528967532,1,0
1528971372,0,1
1528977131,1,0
1528986752,0,1
1528988661,1,1
1528990574,1,1
1528996340,0,1
1529000183,1,0
1529009786,3,0
1529011855,2,0
1529013737,2,0
1529016827,6,2
1529018668,5,0
1529020571,4,0
1529022507,4,0
1529024497,2,0
1529026335,1,0
1529028279,0,1
1529032099,0,1
1529035943,2,1
1529039790,1,0
1529041702,6,5
1529045551,0,1
1529047467,2,0
1529049388,3,0
1529051302,1,0
1529053300,1,0
1529055154,1,0
1529057066,1,0
1529060918,1,0
1529062816,0,1
1529067856,1,0
1529069781,1,0
1529073617,1,0
1529075548,0,2
1529077468,1,0
1529085132,0,1
1529096012,1,1
1529097841,0,1
1529101737,1,2
1529103756,0,1
1529105576,0,2
1529107457,0,2
1529109395,0,2
1529111320,1,1
1529113241,0,1
1529118985,2,0
1529122831,0,1
1529124777,0,1
1529126656,0,1
1529128608,1,5
1529134585,0,2
1529136544,0,3
1529138419,0,2
1529140374,0,2
1529142290,1,0
1529144196,0,2
1529146097,0,1
1529149941,0,1
1529151877,1,0
1529155712,0,1
1529157695,1,0
1529159580,0,2
1529161463,0,2
1529165335,0,1
1529167255,0,2
1529171242,0,1
1529173223,0,3
1529175131,0,1
1529177053,0,1
1529178983,0,4
1529180892,1,1
1529189074,0,1
1529192902,1,0
1529198655,0,1
1529200608,1,0
1529204498,0,1
1529214036,1,1
1529217878,1,0
1529227468,2,0
1529229392,0,1
1529231301,1,0
1529235156,2,0
1529238980,1,0
1529244746,0,1
1529246680,2,0
1529250499,1,0
1529252437,0,1
1529254344,1,0
1529258201,1,0
1529260098,1,0
1529267776,0,1
1529273700,1,0
1529279529,0,1
1529281466,1,0
1529285290,0,1
1529288173,2,0
1529299687,1,1
1529303302,0,1
1529310992,1,0
1529312933,1,0
1529314818,1,2
1529318659,0,1
1529320614,0,1
1529322511,1,1
1529326467,1,1
1529332242,0,1
1529334173,0,1
1529338274,0,1
1529340153,1,1
1529342090,2,0
1529345793,0,1
1529360427,0,1
1529364493,1,0
1529368582,0,1
1529372414,1,1
1529374356,1,0
1529380104,1,0
1529387775,0,1
1529395466,1,0
1529397384,0,1
1529399305,0,1
1529401252,0,1
1529403139,1,0
1529406983,1,0
1529408898,0,1
1529412747,0,1
1529417787,1,0
1529425694,0,1
1529427729,0,1
1529429553,2,1
1529433371,1,0
1529450906,0,1
1529458578,0,1
1529462420,0,1
1529464342,2,0
1529468178,0,1
1529473938,1,0
1529481702,0,1
1529487380,1,0
1529489333,0,1
1529493146,0,1
1529499149,1,0
1529501064,1,0
1529504898,0,1
1529508761,1,0
1529516664,0,2
1529518604,1,1
1529522440,1,0
1529526502,1,0
1529532284,1,1
1529534203,1,0
1529536219,1,0
1529539949,3,0
1529541867,1,0
1529545703,1,0
1529547629,2,1
1529549721,3,1
1529551696,1,2
1529553714,3,0
1529557460,2,0
1529559378,8,1
1529561298,3,0
1529563485,1,0
1529565390,1,0
1529569239,1,0
1529571175,1,0
1529574984,0,1
1529577161,1,0
1529579230,2,0
1529587129,0,2
1529589140,2,0
1529591060,1,0
1529593003,1,0
1529596898,1,0
1529598745,1,0
1529600921,1,0
1529608594,0,1
1529610510,1,0
1529614386,0,1
1529621734,0,1
1529625727,0,2
1529633330,0,1
1529635239,0,2
1529637148,2,1
1529639066,2,1
1529640995,1,2
1529642904,1,1
1529644840,1,2
1529646753,5,9
1529650596,1,0
1529652765,0,1
1529656582,0,1
1529658538,0,1
1529660684,1,1
1529662587,0,1
1529664517,2,0
1529666534,0,2
1529672191,2,1
1529676104,0,2
1529677941,2,0
1529679967,0,1
1529683722,0,1
1529685632,0,2
1529687561,0,1
1529689457,1,1
1529691398,2,1
1529693303,2,0
1529697137,2,1
1529700974,1,0
1529704939,1,0
1529706743,1,0
1529708681,1,0
1529710576,2,0
1529718271,1,0
1529720177,1,0
1529722117,2,0
1529724264,0,2
1529726181,0,1
1529728104,0,1
1529731954,3,6
1529733898,1,0
1529735793,2,0
1529737713,3,0
1529741549,1,0
1529747315,1,1
1529749221,9,0
1529751147,0,2
1529755004,0,1
1529756904,2,0
1529758891,0,2
1529760742,0,2
1529764829,1,1
1529768670,0,1
1529770841,1,1
1529772745,1,0
1529774659,1,0
1529776599,0,2
1529778505,1,2
1529782347,0,2
1529786441,3,0
1529788353,1,0
1529790261,0,1
1529794706,1,2
1529796515,0,1
1529798491,0,1
1529800363,1,1
1529804192,0,1
1529806106,0,1
1529808037,0,2
1529811867,1,0
1529813799,0,1
1529817634,0,1
1529819557,6,5
1529821473,2,0
1529823377,0,3
1529825313,4,2
1529827294,1,0
1529829160,2,0
1529834903,0,5
1529836838,5,4
1529838752,4,0
1529840659,1,0
1529842593,0,1
1529844401,1,1
1529850276,0,1
1529857962,0,1
1529860126,2,0
1529864212,0,1
1529866095,0,1
1529868030,1,0
1529869961,1,0
1529871815,0,3
1529873774,0,1
1529875693,1,0
1529879538,1,0
1529881472,2,1
1529883391,1,0
1529887233,0,1
1529892977,1,0
1529894896,1,0
1529896824,0,1
1529898748,0,1
1529904504,6,5
1529906510,0,2
1529908343,1,1
1529910278,1,1
1529914122,0,1
1529916020,0,2
1529919875,2,1
1529921785,1,1
1529923703,3,9
1529925633,9,1
1529927541,1,0
1529929487,1,0
1529935323,1,1
1529937145,1,1
1529939068,1,0
1529944831,1,0
1529946746,0,1
1529948656,1,0
1529950594,0,1
1529954430,1,1
1529956341,1,1
1529958685,1,1
1529962339,0,2
1529964262,2,0
1529966189,0,1
1529968100,2,1
1529973858,1,0
1529979610,2,1
1529982740,0,1
1529984676,1,0
1529992350,4,5
1529996189,0,1
1529998100,0,1
1530000114,0,1
1530006033,0,1
1530007943,1,1
1530009856,0,4
1530011791,1,8
1530013694,7,1
1530015623,2,2
1530019459,1,0
1530021389,1,1
1530023300,0,1
1530025295,0,2
1530027140,2,0
1530030977,0,1
1530034818,1,1
1530036739,1,0
1530038672,1,0
1530040586,0,1
1530044432,0,1
1530050189,0,1
1530052343,0,1
1530054262,0,3
1530056191,1,0
1530058113,1,0
1530060034,2,1
1530063878,1,0
1530069637,3,0
1530071554,0,1
1530075381,1,0
1530077327,3,6
1530083073,0,1
1530084987,1,0
1530086912,0,1
1530088824,1,0
1530094594,0,1
1530098424,1,1
1530100345,1,9
1530102294,9,1
1530104179,1,0
1530108100,0,1
1530111867,1,0
1530113792,1,2
1530115723,1,0
1530117621,1,0
1530121473,1,1
1530123377,0,2
1530125311,1,1
1530127223,1,0
1530129164,1,1
1530131305,1,0
1530133308,1,0
1530135163,1,0
1530143305,0,1
1530145241,1,2
1530149074,0,1
1530150980,1,0
1530154838,2,2
1530156738,0,1
1530162509,0,2
1530164418,8,2
1530168268,1,0
1530172119,0,1
1530177865,1,0
1530181697,1,0
1530183874,1,0
1530185800,0,3
1530187737,2,3
1530189645,1,4
1530191554,6,1
1530197571,1,0
1530201397,0,1
1530203307,2,1
1530205298,0,1
1530207168,0,1
1530212909,0,1
1530219152,0,1
1530221099,0,1
1530222974,2,1
1530224893,0,1
1530226909,1,0
1530231314,0,2
1530237692,0,1
1530240647,0,3
1530244583,1,0
1530250341,2,10
1530258512,0,1
1530262373,1,1
1530264270,2,1
1530266195,0,1
1530268100,1,2
1530273916,0,2
1530275805,1,2
1530277713,2,6
1530279630,6,0
1530283475,1,1
1530288523,0,1
1530290429,0,1
1530308656,0,1
1530310603,0,1
1530312500,1,0
1530318254,0,1
1530330017,0,1
1530335783,1,0
1530337715,0,2
1530347316,1,0
1530349309,0,1
1530351144,0,2
1530354981,0,1
1530357147,1,0
1530362894,0,1
1530364975,0,6
1530366971,1,2
1530369142,1,0
1530371059,0,1
1530384511,3,0
1530386413,1,0
1530390275,1,0
1530398577,0,1
1530400653,1,0
1530416667,2,0
1530420513,0,1
1530422421,1,0
1530437813,1,1
1530443555,0,1
1530445501,1,0
1530447534,1,0
1530451589,177435,0
1530454570,0,177436
1530458415,1,0
1530462032,4,0
1530467781,1,0
1530469699,1,3
1530473543,0,1
1530477387,0,1
1530479299,1,0
1530481212,1,0
1530486983,1,1
1530488910,1,0
1530504506,0,2
1530508353,0,1
1530510302,2,0
1530523704,0,1
