DateTime,AddedIPs,RemovedIPs
1526878912,1,0
1526884840,0,1
1526888684,0,2
1526894432,9,0
1526896382,1,0
1526900229,0,1
1526907886,0,1
1526909958,1,0
1526915778,1,0
1526929507,1,0
1526940794,0,1
1526943210,1,0
1526947113,0,1
1526952780,1,0
1526963580,0,1
1526965484,0,1
1526981335,1,10
1526988996,1,0
1526994766,0,1
1527002437,0,1
1527012109,1,0
1527014226,0,1
1527026089,1,0
1527030150,2,1
1527031977,1,0
1527036030,1,0
1527037978,1,0
1527039900,2,1
1527041808,1,0
1527045638,1,0
1527047590,1,0
1527057171,1,0
1527061013,1,0
1527066782,0,1
1527074936,0,1
1527084804,1,0
1527096507,1,0
1527098500,2,1
1527109968,1,0
1527111911,0,1
1527113796,1,0
1527115977,0,1
1527117881,0,2
1527121824,0,1
1527123733,0,1
1527125580,1,1
1527127934,0,2
1527131793,0,1
1527133969,0,1
1527139770,1,0
1527143676,0,1
1527145977,1,0
1527148145,0,1
1527161741,2,0
1527169945,1,0
1527171882,0,1
1527183866,0,2
1527186051,0,1
1527197806,0,1
1527199719,0,1
1527210107,1,0
1527211961,0,1
1527227298,1,1
1527231151,0,1
1527236956,1,0
1527248654,0,2
1527257028,0,1
1527291355,0,0
1527293553,0,0
1527295605,3,0
1527298162,0,1
1527300909,0,0
1527303225,0,0
1527305663,0,0
1527308451,0,0
1527311246,0,0
1527314166,0,1
1527316675,0,0
1527318586,0,0
1527320956,1,0
1527322900,0,1
1527325317,0,0
1527327538,0,0
1527336894,0,0
1527339162,0,0
1527341652,0,0
1527343545,0,0
1527346512,0,0
1527350719,0,0
1527352741,0,0
1527355507,0,0
1527358185,0,0
1527361555,0,0
1527369507,5,0
1527372654,0,0
1527375542,0,0
1527378884,0,0
1527381327,0,0
1527383945,0,0
1527386918,0,0
1527389403,0,0
1527391921,0,0
1527393926,0,0
1527396091,0,0
1527398014,0,0
1527400185,0,0
1527402025,1,0
1527405865,0,1
1527411697,1,0
1527425074,1,0
1527450027,0,1
1527451951,0,3
1527453893,0,1
1527457707,1,0
