DateTime,Entries,UniqueIPs
1529543803,1560,1560
1529545705,1557,1557
1529547631,1557,1557
1529549722,1562,1562
1529551697,1562,1562
1529553716,1557,1557
1529555541,1541,1541
1529557462,1497,1497
1529559379,1480,1480
1529561300,1475,1475
1529563486,1491,1491
1529565391,1494,1494
1529567308,1510,1510
1529569241,1524,1524
1529571178,1535,1535
1529573083,1549,1549
1529574986,1542,1542
1529577163,1553,1553
1529579232,1575,1575
1529581217,1635,1635
1529583159,1658,1658
1529585061,1683,1683
1529587130,1693,1693
1529589141,1687,1687
1529591062,1677,1677
1529593005,1685,1685
1529594898,1682,1682
1529596900,1683,1683
1529598747,1687,1687
1529600923,1705,1705
1529602827,1711,1711
1529604751,1719,1719
1529606674,1734,1734
1529608596,1727,1727
1529610512,1692,1692
1529612439,1696,1696
1529614388,1703,1703
1529616273,1700,1700
1529618185,1832,1832
1529621736,2034,2034
1529623715,2031,2031
1529625735,2020,2020
1529627569,2028,2028
1529629473,2029,2029
1529631293,2041,2041
1529633331,2042,2042
1529635240,2040,2040
1529637150,2046,2046
1529639067,2075,2075
1529640996,2074,2074
1529642906,2072,2072
1529644842,2064,2064
1529646755,2083,2083
1529648663,2037,2037
1529650598,2038,2038
1529652766,2037,2037
1529654675,2035,2035
1529656583,2030,2030
1529658540,2011,2011
1529660685,1905,1905
1529662589,1887,1887
1529664519,1895,1895
1529666535,1889,1889
1529668360,1799,1799
1529670266,1798,1798
1529672192,1787,1787
1529674105,1763,1763
1529676105,1758,1758
1529677943,1753,1753
1529679968,1746,1746
1529681793,1745,1745
1529683724,1714,1714
1529685635,1713,1713
1529687562,1709,1709
1529689458,1702,1702
1529691399,1696,1696
1529693304,1687,1687
1529695232,1705,1705
1529697138,1701,1701
1529699093,1705,1705
1529700975,1761,1761
1529702914,1788,1788
1529704940,1644,1644
1529706744,1465,1465
1529708683,1447,1447
1529710578,1441,1441
1529712514,1435,1435
1529714418,1439,1439
1529716341,1440,1440
1529718272,1430,1430
1529720178,1428,1428
1529722118,1437,1437
1529724265,1433,1433
1529726182,1421,1421
1529728105,1422,1422
1529730107,1434,1434
1529731956,1424,1424
1529733899,1407,1407
1529735795,1410,1410
1529737714,1391,1391
1529739624,1382,1382
1529741551,1367,1367
1529743480,1348,1348
1529745385,1333,1333
1529747316,1308,1308
1529749222,1301,1301
1529751148,1286,1286
1529753073,1271,1271
1529755006,1288,1288
1529756905,1292,1292
1529758892,1300,1300
1529760743,1318,1318
1529762839,1322,1322
1529764830,1323,1323
1529766745,1338,1338
1529768672,1338,1338
1529770842,1347,1347
1529772747,1328,1328
1529774661,1319,1319
1529776600,1326,1326
1529778506,1326,1326
1529780499,1306,1306
1529782348,1298,1298
1529784273,1296,1296
1529786442,1287,1287
1529788354,1237,1237
1529790262,1231,1231
1529792195,1230,1230
1529794708,1228,1228
1529796516,1230,1230
1529798495,1224,1224
1529800364,1248,1248
1529802265,1255,1255
1529804193,1250,1250
1529806107,1253,1253
1529808038,1243,1243
1529809963,1239,1239
1529811868,1229,1229
1529813800,1247,1247
1529815699,1244,1244
1529817636,1238,1238
1529819558,1246,1246
1529821475,1260,1260
1529823378,1259,1259
1529825315,1263,1263
1529827295,1277,1277
1529829161,1289,1289
1529831071,2915,2915
1529833008,2932,2932
1529834904,2939,2939
1529836839,2942,2942
1529838754,2937,2937
1529840660,2930,2930
1529842595,2913,2913
1529844403,2910,2910
1529846433,2876,2876
1529848346,2875,2875
1529850277,2870,2870
1529852178,2875,2875
1529854112,2875,2875
1529856092,2908,2908
1529857964,2925,2925
1529860127,2947,2947
1529862282,2963,2963
1529864214,2980,2980
1529866097,3016,3016
1529868031,3034,3034
1529869962,3059,3059
1529871816,3090,3090
1529873775,3080,3080
1529875695,3088,3088
1529877716,3091,3091
1529879540,3098,3098
1529881473,3093,3093
1529883393,3102,3102
1529885324,3108,3108
1529887234,3077,3077
1529889143,3074,3074
1529891062,3079,3079
1529892978,3083,3083
1529894897,3088,3088
1529896826,3094,3094
1529898749,3095,3095
1529900669,3096,3096
1529902578,3094,3094
1529904505,3097,3097
1529906511,3083,3083
1529908344,3067,3067
1529910279,3073,3073
1529912186,3063,3063
1529914124,3044,3044
1529916022,3036,3036
1529917945,1398,1398
1529919876,1424,1424
1529921786,1429,1429
1529923704,1429,1429
1529925635,1426,1426
1529927542,1431,1431
1529929488,1426,1426
1529931379,1432,1432
1529933300,1439,1439
1529935324,1436,1436
1529937147,1431,1431
1529939069,1414,1414
1529940976,1422,1422
1529942918,1404,1404
1529944832,1397,1397
1529946747,1391,1391
1529948657,1369,1369
1529950595,1341,1341
1529952500,1304,1304
1529954432,1315,1315
1529956343,1277,1277
1529958686,1275,1275
1529960503,1282,1282
1529962340,1283,1283
1529964263,1276,1276
1529966190,1281,1281
1529968101,1276,1276
1529970011,1258,1258
1529971952,1254,1254
1529973859,1257,1257
