DateTime,Entries,UniqueIPs
1529541870,370,370
1529543805,378,378
1529545706,379,379
1529547632,382,382
1529549724,376,376
1529551699,379,379
1529553717,377,377
1529555543,364,364
1529557463,315,315
1529559381,300,300
1529561301,301,301
1529563488,309,309
1529565393,315,315
1529567309,325,325
1529569242,342,342
1529571180,349,349
1529573085,346,346
1529574987,359,359
1529577164,359,359
1529579234,364,364
1529581219,371,371
1529583161,371,371
1529585063,385,385
1529587132,395,395
1529589143,396,396
1529591064,400,400
1529593007,408,408
1529594900,413,413
1529596902,423,423
1529598749,438,438
1529600925,446,446
1529602829,462,462
1529604753,470,470
1529606676,476,476
1529608597,473,473
1529610514,483,483
1529612441,483,483
1529614389,486,486
1529616275,482,482
1529618187,477,477
1529621737,493,493
1529623717,514,514
1529625736,510,510
1529627570,514,514
1529629475,517,517
1529631295,535,535
1529633333,536,536
1529635242,534,534
1529637151,542,542
1529639069,558,558
1529640998,569,569
1529642908,559,559
1529644844,560,560
1529646756,574,574
1529648665,567,567
1529650600,560,560
1529652768,550,550
1529654677,551,551
1529656585,538,538
1529658541,523,523
1529660687,523,523
1529662590,526,526
1529664520,527,527
1529666537,521,521
1529668362,520,520
1529670267,521,521
1529672194,519,519
1529674106,513,513
1529676107,515,515
1529677945,511,511
1529679970,506,506
1529681795,501,501
1529683725,485,485
1529685637,490,490
1529687563,492,492
1529689460,482,482
1529691401,475,475
1529693305,473,473
1529695234,488,488
1529697140,482,482
1529699095,489,489
1529700977,488,488
1529702915,492,492
1529704942,497,497
1529706745,493,493
1529708684,485,485
1529710579,472,472
1529712516,469,469
1529714419,469,469
1529716343,469,469
1529718274,452,452
1529720179,447,447
1529722120,448,448
1529724267,439,439
1529726184,420,420
1529728107,420,420
1529730108,428,428
1529731958,423,423
1529733901,407,407
1529735796,407,407
1529737716,400,400
1529739626,397,397
1529741552,396,396
1529743481,399,399
1529745386,401,401
1529747318,396,396
1529749224,392,392
1529751150,392,392
1529753076,400,400
1529755008,405,405
1529756907,412,412
1529758894,415,415
1529760744,439,439
1529762840,444,444
1529764832,443,443
1529766746,462,462
1529768673,483,483
1529770843,488,488
1529772748,474,474
1529774662,467,467
1529776602,464,464
1529778508,474,474
1529780500,464,464
1529782350,454,454
1529784275,454,454
1529786444,460,460
1529788355,460,460
1529790263,455,455
1529792197,454,454
1529794709,441,441
1529796517,439,439
1529798498,436,436
1529800366,441,441
1529802266,435,435
1529804195,430,430
1529806109,430,430
1529808039,430,430
1529809965,429,429
1529811870,431,431
1529813801,428,428
1529815700,419,419
1529817639,413,413
1529819560,409,409
1529821476,407,407
1529823379,407,407
1529825316,406,406
1529827297,409,409
1529829163,404,404
1529831072,2057,2057
1529833009,2065,2065
1529834906,2065,2065
1529836841,2065,2065
1529838755,2062,2062
1529840662,2061,2061
1529842596,2048,2048
1529844404,2043,2043
1529846435,2019,2019
1529848348,2008,2008
1529850278,2014,2014
1529852179,2012,2012
1529854113,1991,1991
1529856094,1985,1985
1529857965,1993,1993
1529860129,2002,2002
1529862284,2007,2007
1529864215,2005,2005
1529866098,2016,2016
1529868033,2024,2024
1529869964,2022,2022
1529871818,2021,2021
1529873777,2008,2008
1529875696,2017,2017
1529877718,2024,2024
1529879541,2030,2030
1529881475,2036,2036
1529883396,2046,2046
1529885325,2048,2048
1529887236,2040,2040
1529889145,2046,2046
1529891064,2050,2050
1529892980,2051,2051
