DateTime,AddedIPs,RemovedIPs
1528790662,1,1
1528792576,4,0
1528794524,0,2
1528798343,0,3
1528802177,1,1
1528804103,0,6
1528809858,1,0
1528811792,0,4
1528817563,1,1
1528823779,1,1
1528825711,0,5
1528827632,2,0
1528829536,0,2
1528831459,0,1
1528833390,1,1
1528835294,0,2
1528838914,0,1
1528840949,0,1
1528842972,0,1
1528844899,0,1
1528852571,0,4
1528854493,0,1
1528856427,1,1
1528858349,0,1
1528862186,0,1
1528864094,0,1
1528869872,1,2
1528873726,0,2
1528875622,0,1
1528877543,0,4
1528879474,1,1
1528881387,1,0
1528887146,0,1
1528889059,1,0
1528894905,1,1
1528896760,1,0
1528900578,5,0
1528902508,9,0
1528904424,5,1
1528906357,8,0
1528908267,10,0
1528910184,10,1
1528912116,7,0
1528914017,11,2
1528915959,6,0
1528918915,15,0
1528920754,2,1
1528922662,4,0
1528924593,4,0
1528926500,7,0
1528928439,5,0
1528931674,12,0
1528933476,2,0
1528935399,2,0
1528937431,7,0
1528939235,8,0
1528941145,7,0
1528943063,3,1
1528946186,7,0
1528948091,7,0
1528950012,9,0
1528951947,2,0
1528953855,4,0
1528955771,10,1
1528957710,4,0
1528959752,8,0
1528961775,7,0
1528963703,5,0
1528965634,6,1
1528967535,1,0
1528969471,0,1
1528977135,1,1
1528980982,1,1
1528982916,0,1
1528986756,1,3
1528988665,1,11
1528990578,3,5
1528992538,2,8
1528994419,0,8
1528996344,0,10
1528998274,0,9
1529000186,0,8
1529002099,0,6
1529004030,0,12
1529005942,0,6
1529007856,0,5
1529009789,0,1
1529011859,1,7
1529013744,2,5
1529016831,0,11
1529018672,1,5
1529020575,0,2
1529022510,2,6
1529024503,0,5
1529026339,0,10
1529028282,0,4
1529030179,0,3
1529032102,0,4
1529034031,0,8
1529035946,0,9
1529037860,0,3
1529039793,0,4
1529041705,0,7
1529043635,1,6
1529045554,0,7
1529047470,0,6
1529049391,2,6
1529051305,0,8
1529053303,1,1
1529057069,1,0
1529058980,2,0
1529060921,1,0
1529062819,2,1
1529067858,1,1
1529069785,3,0
1529071713,2,0
1529073620,2,1
1529075551,1,1
1529077471,0,3
1529079378,0,2
1529081308,1,0
1529083234,2,0
1529087080,2,0
1529088982,5,0
1529091784,2,0
1529093884,2,0
1529096015,1,0
1529097844,0,1
1529099865,1,1
1529101740,1,1
1529103761,1,0
1529105579,4,1
1529107460,2,1
1529109398,1,1
1529111323,4,0
1529115150,1,0
1529117100,2,0
1529118988,2,0
1529122834,4,0
1529124780,1,0
1529128612,1,0
1529130758,2,1
1529132662,1,0
1529134587,2,2
1529136547,2,0
1529138422,0,1
1529142293,2,0
1529144199,2,3
1529146100,5,0
1529148054,3,2
1529149944,2,1
1529151880,2,0
1529153798,4,1
1529155715,2,3
1529157700,1,2
1529159583,2,0
1529161466,2,3
1529165338,3,0
1529167258,2,1
1529169142,4,2
1529171245,2,0
1529173226,3,2
1529175134,1,5
1529177056,2,1
1529178986,5,3
1529180895,2,0
1529182904,1,1
1529184751,4,1
1529186675,2,0
1529189077,3,1
1529190983,0,2
1529192905,3,3
1529194844,1,2
1529196735,6,1
1529198658,2,4
1529200612,2,1
1529202509,3,1
1529204502,6,2
1529206361,1,1
1529208268,3,1
1529210181,2,4
1529212120,2,0
1529214040,2,1
1529215944,6,0
1529217881,2,3
1529219784,2,2
1529221704,4,0
1529223640,2,2
1529225543,3,0
1529227472,1,0
1529229395,5,3
1529231305,5,2
1529233302,4,7
1529235159,2,1
1529237075,1,2
1529238983,1,2
1529240919,5,4
1529242823,0,2
1529244749,2,2
1529246683,1,1
1529248585,1,1
1529250502,2,1
1529252441,6,2
1529254347,4,4
1529256267,1,2
1529258204,5,3
1529260102,1,2
1529262096,2,1
1529263961,0,2
1529265879,0,6
1529267780,0,1
1529269719,0,1
1529271629,0,4
1529273705,0,3
1529275715,0,2
1529279532,1,3
1529281469,0,1
1529283372,0,6
1529285293,5,3
1529287293,2,4
1529289139,0,1
1529291057,0,5
1529292985,0,1
1529294895,0,3
1529296812,0,2
1529298755,0,2
1529300655,0,2
1529302570,0,6
1529304505,0,2
1529306412,0,3
1529308329,1,5
1529310269,0,1
1529312169,1,2
1529314092,1,1
1529316096,0,6
1529317938,0,4
1529319853,0,4
1529321792,0,2
1529323693,0,1
1529325616,0,1
1529327558,0,5
1529331386,0,2
1529333293,0,1
1529335225,0,1
1529337145,0,4
1529339058,0,6
1529340980,3,3
1529344899,0,5
1529346742,0,1
1529348667,0,2
1529354655,1,0
1529362590,1,0
1529366561,2,1
1529370508,0,5
1529372418,1,2
1529393563,0,1
1529399309,1,2
1529414909,1,0
1529418769,1,0
1529420671,1,0
1529424534,1,0
1529428341,0,3
1529434112,1,0
1529436027,1,0
1529439858,1,1
1529445701,1,0
1529450177,0,1
1529452113,0,2
1529454026,2,0
1529459788,0,1
1529461693,2,0
1529465555,1,0
1529475141,1,0
1529476951,3,0
1529480778,1,0
1529482584,2,0
1529486433,0,1
1529492193,1,0
1529496102,1,0
1529499864,1,0
1529502021,1,1
1529503941,0,1
1529505883,1,1
1529509709,1,0
1529511618,1,1
1529513552,1,0
1529518608,2,0
1529520514,0,1
1529522443,0,1
1529524587,1,0
1529526506,0,1
1529528499,1,0
1529532289,1,1
1529536224,1,0
1529538040,1,0
1529539953,1,2
1529541872,1,0
1529543806,1,0
1529545708,1,0
1529547633,0,2
1529549725,1,0
1529551700,1,1
1529553718,1,0
1529559382,1,0
1529561303,0,1
1529563490,0,3
1529567311,1,1
1529569244,0,2
1529577166,1,1
1529581220,1,1
1529587134,0,1
1529589144,1,1
1529591065,1,0
1529593009,1,1
1529596903,1,1
1529598750,2,2
1529600926,3,0
1529602830,1,1
1529604755,0,1
1529606678,3,0
1529610515,0,1
1529614391,0,1
1529618188,0,1
1529623718,0,1
1529625737,0,2
1529627572,0,1
1529631296,0,2
1529633335,2,0
1529635244,0,1
1529637153,0,1
1529640999,0,1
1529644845,0,1
1529652769,1,1
1529658542,4,0
1529660688,3,0
1529662591,2,1
1529664521,6,0
1529666538,2,0
1529668363,0,1
1529676108,0,2
1529679971,0,1
1529683726,0,1
1529685639,0,2
1529687565,0,3
1529689461,0,1
1529691402,1,0
1529693307,0,3
1529695235,1,0
1529697142,1,0
1529702916,1,0
1529720180,0,2
1529737717,0,1
1529739628,3,0
1529743483,0,1
1529745388,0,4
1529747319,0,2
