DateTime,AddedIPs,RemovedIPs
1528767628,2,12
1528769542,2,0
1528773374,2,0
1528775298,1,0
1528779142,1,1
1528781061,1,0
1528782994,0,1
1528786908,1,0
1528788757,1,0
1528792577,1,0
1528794526,0,1
1528796421,0,1
1528800278,2,1
1528804104,1,0
1528806061,1,0
1528807938,1,0
1528809859,3,1
1528811793,0,3
1528813701,2,0
1528817564,0,1
1528819897,0,1
1528821876,0,2
1528825713,2,0
1528831461,1,0
1528835295,1,0
1528838915,0,2
1528840950,0,2
1528842973,0,1
1528848736,0,2
1528850669,0,4
1528852572,1,0
1528854494,0,2
1528856428,0,1
1528858350,1,0
1528860256,0,2
1528862187,0,1
1528864095,0,1
1528866109,1,2
1528867957,1,0
1528873727,0,1
1528875623,1,1
1528879475,2,2
1528881388,3,0
1528885236,0,1
1528887148,4,1
1528889061,0,1
1528890994,1,1
1528892905,3,0
1528894906,1,1
1528896761,0,3
1528900579,0,2
1528902509,3,0
1528904425,1,0
1528908268,2,0
1528910186,2,0
1528912117,0,2
1528914019,1,0
1528918917,0,1
1528922663,3,1
1528924594,1,0
1528928440,1,0
1528931675,1,0
1528933477,1,0
1528935400,1,0
1528939236,2,1
1528943064,3,0
1528948092,1,0
1528950013,1,0
1528953856,1,0
1528955772,1,1
1528963704,22,0
1528965636,1,2
1528967537,1,1
1528969473,1,0
1528973311,1,2
1528977136,1,0
1528979065,0,2
1528980983,4,0
1528984898,0,1
1528988666,0,2
1528990579,0,1
1528994421,0,1
1528996345,0,1
1529000188,1,1
1529004031,1,0
1529007857,1,11
1529009790,4,1
1529011859,0,1
1529016832,2,3
1529020575,0,2
1529022511,1,0
1529024504,0,1
1529026340,0,1
1529028283,2,3
1529032103,2,0
1529035947,1,2
1529039794,1,1
1529043636,0,1
1529047471,1,0
1529049392,0,24
1529051308,1,1
1529053304,0,1
1529055158,1,1
1529057071,1,0
1529058981,0,1
1529060922,1,0
1529062820,1,1
1529065897,0,1
1529067860,0,3
1529069786,1,0
1529071714,1,0
1529077472,1,0
1529083235,1,0
1529085136,1,0
1529087081,1,1
1529091785,0,1
1529093885,0,1
1529096016,0,4
1529101741,0,1
1529109399,1,1
1529111324,3,0
1529115152,0,2
1529118990,0,2
1529120936,0,1
1529124781,1,0
1529126661,0,1
1529130759,1,0
1529134589,0,1
1529138423,0,1
1529142294,0,1
1529144200,0,1
1529146102,1,0
1529148055,0,1
1529151882,1,0
1529159584,0,2
1529163396,1,1
1529169143,0,1
1529171246,0,1
1529189079,1,0
1529190985,3,0
1529196736,0,3
1529198660,2,0
1529200613,1,0
1529204503,1,0
1529208270,0,1
1529210182,2,1
1529212122,2,1
1529215945,1,0
1529217882,0,1
1529225544,1,0
1529229396,1,0
1529233303,0,1
1529235160,1,2
1529237076,2,0
1529240920,2,0
1529244750,1,0
1529246684,1,0
1529248586,0,1
1529250503,1,1
1529254348,2,0
1529262097,1,0
1529263962,1,0
1529267781,1,0
1529269721,3,0
1529273711,0,1
1529277612,0,3
1529281470,2,0
1529285294,0,2
1529287294,0,1
1529289139,0,1
1529296813,0,3
1529298756,0,1
1529302571,1,1
1529304506,1,0
1529312170,0,1
1529316097,1,1
1529319854,2,0
1529321793,1,2
1529323694,0,1
1529327559,0,2
1529331387,0,2
1529337146,0,1
1529339059,0,1
1529340981,0,1
1529346743,1,1
1529350575,0,1
1529354655,0,4
1529358555,1,0
1529366562,1,2
1529368586,1,0
1529372419,1,0
1529376266,1,0
1529385872,1,0
1529387780,1,0
1529389704,0,1
1529391714,1,1
1529399310,1,0
1529401256,0,1
1529403144,1,0
1529406987,0,3
1529432178,0,1
1529439858,1,0
1529441787,1,0
1529443702,0,1
1529445704,4,0
1529450177,1,0
1529452114,0,1
1529454027,1,0
1529455951,0,1
1529459788,0,1
1529461694,0,1
1529467462,1,0
1529471315,1,0
1529473218,0,2
1529478978,0,1
1529486434,0,1
1529488342,1,1
1529502022,1,0
1529503942,1,0
1529507787,1,0
1529509710,1,0
1529513553,1,0
1529515459,1,0
1529517691,2,0
1529527462,0,2
1529531299,1,0
1529533241,0,1
1529538042,1,0
1529539955,2,0
1529545709,3,0
1529547635,1,0
1529549727,1,0
1529553720,2,0
1529555546,3,0
1529557466,0,1
1529559384,0,1
1529561305,0,4
1529567312,1,0
1529569246,1,0
1529571185,1,0
1529574990,0,1
1529577168,1,0
1529581222,1,0
1529583164,1,0
1529585066,2,0
