DateTime,AddedIPs,RemovedIPs
1529252444,3,0
1529254350,0,1
1529256269,1,2
1529258207,1,1
1529260104,1,2
1529262098,2,2
1529263963,0,1
1529265881,1,0
1529267782,1,2
1529269722,0,1
1529271632,1,0
1529273714,0,1
1529275718,0,1
1529277614,0,1
1529283374,0,1
1529285296,2,1
1529287296,4,0
1529291059,3,0
1529292987,0,1
1529294898,2,0
1529296814,0,1
1529298757,1,2
1529300658,0,2
1529304508,1,0
1529308332,0,1
1529310273,0,2
1529312172,0,1
1529314094,3,2
1529317940,2,0
1529319855,1,0
1529323696,3,0
1529325619,2,2
1529327561,0,2
1529329457,6,1
1529331388,5,0
1529333296,1,3
1529335227,3,0
1529337148,2,0
1529339060,2,2
1529342898,0,1
1529346745,1,0
1529348669,1,2
1529350577,1,0
1529352692,1,2
1529354657,1,0
1529358557,0,1
1529360432,2,0
1529366563,1,0
1529368587,3,0
1529370510,0,2
1529372420,1,4
1529374362,0,1
1529376267,1,2
1529378189,0,2
1529380110,3,1
1529382036,2,1
1529385874,0,1
1529391715,1,1
1529393565,2,0
1529399311,1,0
1529401258,1,4
1529403145,1,1
1529405071,0,1
1529406989,1,1
1529408905,0,2
1529410843,2,2
1529412753,1,0
1529414911,1,3
1529416897,1,4
1529418772,0,5
1529420673,0,1
1529422577,1,3
1529424537,0,2
1529426420,2,0
1529430278,1,0
1529434114,4,2
1529436030,1,0
1529437938,0,2
1529439860,1,0
1529441789,1,1
1529443704,0,1
1529448266,0,2
1529454029,3,1
1529455953,0,3
1529457859,1,0
1529461695,1,1
1529465558,0,2
1529467463,1,2
1529475144,2,0
1529476954,3,1
1529478979,0,2
1529482587,2,0
1529484502,2,0
1529486436,0,1
1529494098,0,1
1529496106,0,1
1529497961,0,3
1529499867,1,0
1529502024,1,2
1529507789,2,0
1529511621,2,2
1529513555,2,0
1529515460,0,2
1529519564,3,1
1529521481,3,2
1529523710,0,1
1529525558,0,1
1529527464,0,1
1529531301,1,0
1529533243,0,1
1529536227,1,1
1529539957,0,1
1529541876,0,2
1529543810,2,1
1529545711,2,0
1529547637,1,1
1529551703,1,0
1529553722,0,1
1529555547,1,0
1529557468,1,0
1529559386,1,0
1529561307,1,1
1529563495,1,4
1529567315,2,0
1529569249,4,2
1529571188,1,1
1529573090,1,0
1529574992,0,1
1529581224,1,0
1529583166,2,0
1529585068,0,1
1529587138,1,0
1529589148,0,1
1529593013,0,1
1529594906,0,1
1529598755,1,4
1529600930,1,1
1529602835,1,0
1529604759,1,1
1529606682,0,2
1529608603,1,3
1529610520,2,0
1529612447,3,0
1529616282,1,0
1529618193,1,1
1529621743,1,0
1529623722,0,1
1529625742,2,1
1529627576,1,0
1529629481,0,2
1529631301,0,1
1529633339,1,0
1529635249,0,2
1529637157,1,0
1529639075,1,1
1529641003,2,0
1529642912,0,2
1529644849,1,1
1529646761,2,0
1529648669,0,1
1529650604,1,1
1529654681,2,4
1529656589,3,2
1529658545,0,1
1529660691,0,1
1529668365,1,2
1529670271,0,1
1529672198,1,0
1529674110,0,1
1529685642,1,0
1529687568,3,1
1529691405,0,1
1529693310,1,0
1529695239,0,2
1529697145,0,3
1529699099,0,3
1529700981,1,1
1529704946,0,1
1529712520,2,2
1529714424,0,1
1529716348,1,0
1529720183,1,1
1529724270,0,1
1529726187,0,1
1529728110,0,2
1529730112,1,0
1529731962,0,1
1529733904,1,2
1529735800,1,0
1529737719,1,1
1529739631,2,1
1529741556,1,1
1529743485,0,3
1529745390,1,0
1529747321,3,1
1529749227,1,0
1529751153,3,0
1529753082,2,0
