DateTime,Entries,UniqueIPs
1529545711,4606,4606
1529547637,4595,4595
1529549728,4452,4452
1529551703,4335,4335
1529553721,4317,4317
1529555547,4315,4315
1529557468,4309,4309
1529559385,4300,4300
1529561307,4278,4278
1529563494,10296,10296
1529565398,16674,16674
1529567314,19215,19215
1529569248,19225,19225
1529571187,19156,19156
1529573090,19168,19168
1529574991,19097,19097
1529577169,19077,19077
1529579238,19107,19107
1529581224,19095,19095
1529583165,19062,19062
1529585068,19107,19107
1529587137,19029,19029
1529589148,18951,18951
1529591069,18842,18842
1529593012,18758,18758
1529594905,18750,18750
1529596907,18763,18763
1529598754,18777,18777
1529600930,18773,18773
1529602834,18775,18775
1529604758,18765,18765
1529606681,18770,18770
1529608603,18783,18783
1529610519,18800,18800
1529612446,18779,18779
1529614394,18703,18703
1529616281,18734,18734
1529618192,18747,18747
1529621742,18916,18916
1529623721,18934,18934
1529625741,18921,18921
1529627575,18907,18907
1529629480,18910,18910
1529631300,18907,18907
1529633338,18915,18915
1529635248,18924,18924
1529637157,18918,18918
1529639074,18903,18903
1529641002,18895,18895
1529642912,18893,18893
1529644848,18909,18909
1529646761,18906,18906
1529648669,17990,17990
1529650604,10627,10627
1529652771,3881,3881
1529654680,3890,3890
1529656588,3830,3830
1529658545,3757,3757
1529660690,3774,3774
1529662593,3777,3777
1529664523,3748,3748
1529666540,3723,3723
1529668365,3724,3724
1529670271,3692,3692
1529672198,3621,3621
1529674110,3615,3615
1529676111,3622,3622
1529677948,3616,3616
1529679974,3556,3556
1529681799,3550,3550
1529683729,3520,3520
1529685642,3517,3517
1529687568,3507,3507
1529689464,3497,3497
1529691405,3502,3502
1529693310,3515,3515
1529695238,3572,3572
1529697145,3728,3728
1529699099,3777,3777
1529700981,3808,3808
1529702919,3817,3817
1529704945,3824,3824
1529706749,3819,3819
1529708688,3573,3573
1529710583,3604,3604
1529712520,3617,3617
1529714423,3621,3621
1529716347,3623,3623
1529718278,3608,3608
1529720183,3603,3603
1529722123,3592,3592
1529724270,3588,3588
1529726187,3589,3589
1529728110,3581,3581
1529730112,3567,3567
1529731961,3574,3574
1529733903,3567,3567
1529735799,3559,3559
1529737719,3567,3567
1529739630,3567,3567
1529741556,3557,3557
1529743485,3543,3543
1529745390,3558,3558
1529747321,3548,3548
1529749227,3564,3564
1529751153,3540,3540
1529753081,3520,3520
1529755011,3511,3511
1529756911,4140,4140
1529758897,4123,4123
1529760748,3995,3995
1529762844,3950,3950
1529764835,3969,3969
1529766750,3968,3968
1529768677,3948,3948
1529770847,3935,3935
1529772752,3934,3934
1529774666,3922,3922
1529776606,3978,3978
1529778513,4001,4001
1529780504,4005,4005
1529782355,3989,3989
1529784279,3979,3979
1529786448,3956,3956
1529788359,3951,3951
1529790268,3936,3936
1529792200,3925,3925
1529794713,3941,3941
1529796521,3933,3933
1529798525,3942,3942
1529800370,3942,3942
1529802269,3932,3932
1529804198,3921,3921
1529806113,3915,3915
1529808043,3924,3924
1529809968,3929,3929
1529811873,3939,3939
1529813805,3945,3945
1529815704,3944,3944
1529817643,3931,3931
1529819564,3929,3929
1529821479,3930,3930
1529823383,3925,3925
1529825319,3913,3913
1529827300,3909,3909
1529829166,3931,3931
1529831075,3980,3980
1529833013,3932,3932
1529834909,3987,3987
1529836844,3987,3987
1529838758,4036,4036
1529840665,4032,4032
1529842599,3316,3316
1529844408,3324,3324
1529846439,3305,3305
1529848352,3291,3291
1529850283,3261,3261
1529852184,3248,3248
1529854118,3238,3238
1529856098,3239,3239
1529857970,3207,3207
1529860133,3178,3178
1529862288,3156,3156
1529864220,3159,3159
1529866103,3154,3154
1529868037,3164,3164
1529869968,3170,3170
1529871822,3171,3171
1529873780,3180,3180
1529875699,3172,3172
1529877721,3149,3149
1529879544,3163,3163
1529881478,3325,3325
1529883400,3467,3467
1529885329,3554,3554
1529887240,3774,3774
1529889149,5754,5754
1529891068,7760,7760
1529892984,8771,8771
1529894903,8765,8765
1529896831,8813,8813
1529898754,8818,8818
1529900674,8828,8828
1529902583,8832,8832
1529904510,8852,8852
1529906516,8861,8861
1529908349,8870,8870
1529910284,8876,8876
1529912191,9870,9870
1529914130,15170,15170
1529916028,15155,15155
1529917951,15120,15120
1529919881,15066,15066
1529921791,15393,15393
1529923710,15388,15388
1529925640,15362,15362
1529927548,15361,15361
1529929494,15369,15369
1529931384,15391,15391
1529933305,15403,15403
1529935329,15408,15408
1529937152,15423,15423
1529939074,15408,15408
1529940981,15421,15421
1529942922,15426,15426
1529944837,15426,15426
1529946751,15428,15428
1529948662,15435,15435
1529950599,15490,15490
1529952504,15525,15525
1529954437,15535,15535
1529956348,15529,15529
1529958691,15538,15538
1529960509,15529,15529
1529962346,15529,15529
1529964268,15652,15652
1529966196,15631,15631
1529968106,15633,15633
1529970016,15630,15630
1529971957,15631,15631
1529973864,15259,15259
1529975789,13523,13523
1529977702,11812,11812
1529979617,11134,11134
1529982988,11124,11124
1529984893,11142,11142
1529986834,11124,11124
1529988738,11130,11130
1529990655,11109,11109
1529992588,11105,11105
1529994503,11091,11091
1529996503,11093,11093
1529998355,10909,10909
1530000261,4633,4633
1530002202,4627,4627
1530004118,4619,4619
1530006038,4623,4623
1530007949,4157,4157
1530009861,4145,4145
1530011796,4523,4523
1530013699,4590,4590
1530015628,4581,4581
1530017562,4561,4561
1530019464,4545,4545
1530021394,4543,4543
1530023304,4548,4548
1530025299,4680,4680
1530027144,4794,4794
1530029082,4892,4892
1530030981,4938,4938
1530032927,4978,4978
1530034823,5016,5016
1530036744,5021,5021
1530038677,5027,5027
1530040591,5039,5039
1530042621,5059,5059
1530044441,5053,5053
1530046347,5051,5051
1530048263,5045,5045
1530050194,5068,5068
1530052348,4886,4886
1530054267,4861,4861
1530056196,4868,4868
1530058124,4877,4877
1530060040,4863,4863
1530061952,4856,4856
1530063883,4865,4865
1530065796,4861,4861
1530067713,4849,4849
1530069642,4843,4843
1530071559,4834,4834
1530073503,4848,4848
1530075386,4856,4856
1530077332,4937,4937
1530079310,4934,4934
1530081159,4930,4930
1530083078,4941,4941
1530084991,4947,4947
1530086917,4938,4938
1530088830,4952,4952
1530090752,4947,4947
1530092708,4949,4949
1530094599,5054,5054
1530096549,5390,5390
1530098429,4979,4979
1530100350,4955,4955
1530102299,4958,4958
1530104184,4946,4946
1530106105,4938,4938
1530108105,4938,4938
1530109955,4928,4928
1530111872,4877,4877
1530113797,4848,4848
1530115729,4812,4812
1530117626,4824,4824
1530119545,4818,4818
1530121479,4807,4807
1530123382,4799,4799
1530125319,4810,4810
1530127229,4842,4842
1530129170,4864,4864
1530131309,4881,4881
1530133313,4890,4890
1530135168,5026,5026
1530137080,5029,5029
1530139452,5030,5030
1530141391,5020,5020
1530143310,4999,4999
1530145251,5010,5010
1530147147,5033,5033
1530149079,5039,5039
1530150985,5037,5037
1530152915,5109,5109
1530154911,5090,5090
1530156743,5096,5096
1530158673,5073,5073
1530160587,5088,5088
1530162513,5078,5078
1530164423,4998,4998
1530166353,5011,5011
1530168273,5004,5004
1530170188,6673,6673
1530172124,11468,11468
1530174025,11465,11465
1530175951,11472,11472
1530177870,11495,11495
1530179804,11490,11490
1530181703,11446,11446
1530183880,11140,11140
1530185806,11125,11125
1530187742,11123,11123
1530189651,11215,11215
1530191562,11217,11217
1530193468,11201,11201
1530195407,11247,11247
1530197579,11236,11236
1530199491,11227,11227
1530201404,11248,11248
1530203314,11244,11244
1530205305,11258,11258
1530207175,11272,11272
1530209091,11263,11263
1530211005,11265,11265
1530212916,11244,11244
1530214827,11220,11220
1530217129,11224,11224
1530219159,11228,11228
1530221106,11047,11047
1530222980,11030,11030
1530224899,11032,11032
1530226915,11032,11032
1530228752,11020,11020
1530231321,10992,10992
1530233467,11061,11061
1530235624,11079,11079
1530237698,11050,11050
1530240653,11037,11037
1530242680,11013,11013
1530244588,10999,10999
1530246523,10994,10994
1530248507,10978,10978
1530250346,10964,10964
1530254911,10905,10905
1530256811,7787,7787
