DateTime,Entries,UniqueIPs
1529545711,1323,1323
1529547638,1326,1326
1529549729,1326,1326
1529551703,1314,1314
1529553722,1311,1311
1529555548,1320,1320
1529557469,1305,1305
1529559386,1305,1305
1529561308,1291,1291
1529563496,7388,7388
1529565399,13869,13869
1529567315,16454,16454
1529569249,16437,16437
1529571189,16408,16408
1529573091,16408,16408
1529574993,16387,16387
1529577171,16382,16382
1529579240,16377,16377
1529581225,16372,16372
1529583167,16379,16379
1529585069,16390,16390
1529587139,16394,16394
1529589149,16397,16397
1529591070,16386,16386
1529593014,16419,16419
1529594907,16430,16430
1529596908,16425,16425
1529598756,16424,16424
1529600931,16414,16414
1529602835,16405,16405
1529604760,16399,16399
1529606683,16409,16409
1529608604,16400,16400
1529610520,16398,16398
1529612448,16373,16373
1529614396,16349,16349
1529616282,16313,16313
1529618193,16282,16282
1529621743,16285,16285
1529623723,16284,16284
1529625743,16284,16284
1529627577,16291,16291
1529629482,16294,16294
1529631301,16302,16302
1529633340,16299,16299
1529635249,16292,16292
1529637158,16298,16298
1529639075,16297,16297
1529641004,16292,16292
1529642913,16296,16296
1529644850,16311,16311
1529646762,16314,16314
1529648670,15373,15373
1529650605,7961,7961
1529652772,1112,1112
1529654681,1113,1113
1529656589,1108,1108
1529658545,1105,1105
1529660692,1102,1102
1529662594,1109,1109
1529664524,1113,1113
1529666541,1108,1108
1529668366,1102,1102
1529670272,1088,1088
1529672198,1081,1081
1529674110,1057,1057
1529676111,1055,1055
1529677949,1045,1045
1529679974,1021,1021
1529681799,1014,1014
1529683730,1000,1000
1529685642,990,990
1529687568,985,985
1529689465,989,989
1529691406,985,985
1529693310,993,993
1529695240,1000,1000
1529697146,1037,1037
1529699099,1090,1090
1529700982,1107,1107
1529702920,1128,1128
1529704946,1150,1150
1529706750,1154,1154
1529708689,1162,1162
1529710584,1187,1187
1529712521,1200,1200
1529714424,1205,1205
1529716348,1203,1203
1529718279,1203,1203
1529720184,1215,1215
1529722124,1230,1230
1529724271,1220,1220
1529726188,1225,1225
1529728111,1224,1224
1529730112,1211,1211
1529731962,1218,1218
1529733904,1219,1219
1529735800,1220,1220
1529737720,1228,1228
1529739631,1223,1223
1529741556,1220,1220
1529743486,1213,1213
1529745391,1230,1230
1529747322,1232,1232
1529749227,1238,1238
1529751154,1216,1216
1529753083,1221,1221
1529755012,1211,1211
1529756911,1207,1207
1529758898,1201,1201
1529760748,1209,1209
1529762844,1198,1198
1529764836,1213,1213
1529766751,1216,1216
1529768678,1209,1209
1529770849,1220,1220
1529772752,1219,1219
1529774667,1217,1217
1529776607,1223,1223
1529778514,1216,1216
1529780505,1204,1204
1529782355,1203,1203
1529784280,1189,1189
1529786449,1182,1182
1529788360,1159,1159
1529790268,1157,1157
1529792201,1150,1150
1529794714,1141,1141
1529796522,1136,1136
1529798526,1136,1136
1529800370,1130,1130
1529802270,1118,1118
1529804199,1116,1116
1529806113,1114,1114
1529808043,1107,1107
1529809969,1108,1108
1529811874,1101,1101
1529813806,1107,1107
1529815704,1106,1106
1529817644,1098,1098
1529819565,1095,1095
1529821480,1093,1093
1529823384,1090,1090
1529825320,1085,1085
1529827302,1072,1072
1529829167,1083,1083
1529831076,1094,1094
1529833014,1060,1060
1529834910,1042,1042
1529836845,1052,1052
1529838759,1091,1091
1529840666,1081,1081
1529842600,1059,1059
1529844409,1048,1048
1529846440,1028,1028
1529848353,1028,1028
1529850284,1013,1013
1529852185,997,997
1529854119,989,989
1529856099,975,975
1529857971,968,968
1529860134,947,947
1529862289,938,938
1529864221,931,931
1529866104,941,941
1529868038,934,934
1529869969,932,932
1529871824,924,924
1529873781,918,918
1529875700,908,908
1529877722,900,900
1529879545,886,886
1529881479,909,909
1529883401,920,920
1529885330,935,935
1529887240,942,942
1529889150,957,957
1529891069,956,956
1529892984,968,968
1529894903,958,958
1529896832,974,974
1529898755,979,979
1529900675,985,985
1529902584,997,997
1529904511,1002,1002
1529906517,1008,1008
1529908350,1020,1020
1529910285,1029,1029
1529912192,2165,2165
1529914131,8238,8238
1529916029,8246,8246
1529917952,8238,8238
1529919882,8245,8245
1529921792,8244,8244
1529923711,8241,8241
1529925641,8208,8208
1529927549,8209,8209
1529929495,8208,8208
1529931385,8230,8230
1529933306,8233,8233
1529935330,8233,8233
1529937153,8233,8233
1529939075,8232,8232
1529940982,8239,8239
1529942923,8233,8233
1529944838,8228,8228
1529946752,8237,8237
1529948663,8240,8240
1529950600,8264,8264
1529952505,8283,8283
1529954438,8291,8291
1529956349,8296,8296
1529958692,8313,8313
1529960509,8326,8326
1529962347,8340,8340
1529964269,8343,8343
1529966197,8353,8353
1529968107,8353,8353
1529970017,8357,8357
1529971958,8358,8358
1529973865,8361,8361
1529975790,8364,8364
1529977703,8371,8371
1529979618,8364,8364
1529982989,8358,8358
1529984894,8365,8365
1529986834,8344,8344
1529988739,8337,8337
1529990656,8333,8333
1529992588,8338,8338
1529994504,8329,8329
1529996504,8336,8336
1529998356,8147,8147
1530000262,1353,1353
1530002202,1353,1353
1530004120,1355,1355
1530006038,1362,1362
1530007950,1366,1366
1530009862,1364,1364
1530011797,1357,1357
1530013700,1380,1380
1530015629,1371,1371
1530017563,1349,1349
1530019465,1354,1354
1530021394,1355,1355
1530023305,1352,1352
1530025300,1365,1365
1530027145,1370,1370
1530029083,1403,1403
1530030982,1415,1415
1530032928,1422,1422
1530034824,1433,1433
1530036745,1452,1452
1530038678,1449,1449
1530040591,1481,1481
1530042622,1483,1483
1530044441,1486,1486
1530046348,1497,1497
1530048264,1477,1477
1530050195,1482,1482
1530052349,1474,1474
1530054268,1487,1487
1530056197,1490,1490
1530058126,1496,1496
1530060041,1493,1493
1530061953,1503,1503
1530063884,1508,1508
1530065797,1509,1509
1530067714,1508,1508
1530069643,1513,1513
1530071560,1510,1510
1530073504,1526,1526
1530075386,1528,1528
1530077333,1537,1537
1530079311,1537,1537
1530081161,1538,1538
1530083079,1546,1546
1530084992,1551,1551
1530086918,1548,1548
1530088831,1543,1543
1530090753,1561,1561
1530092708,1559,1559
1530094600,1562,1562
1530096550,1547,1547
1530098430,1545,1545
1530100351,1520,1520
1530102300,1524,1524
1530104185,1525,1525
1530106106,1525,1525
1530108106,1514,1514
1530109956,1506,1506
1530111873,1472,1472
1530113798,1478,1478
1530115730,1450,1450
1530117627,1443,1443
1530119546,1425,1425
1530121480,1407,1407
1530123383,1387,1387
1530125320,1384,1384
1530127230,1386,1386
1530129171,1397,1397
1530131310,1384,1384
1530133314,1389,1389
1530135169,1408,1408
1530137081,1407,1407
1530139453,1406,1406
1530141392,1408,1408
1530143311,1413,1413
1530145253,1423,1423
1530147148,1445,1445
1530149080,1454,1454
1530150986,1444,1444
1530152916,1500,1500
1530154912,1496,1496
1530156744,1490,1490
1530158674,1479,1479
1530160588,1483,1483
1530162514,1486,1486
1530164424,1477,1477
1530166354,1476,1476
1530168273,1471,1471
1530170189,3315,3315
1530172125,8525,8525
1530174026,8531,8531
1530175952,8532,8532
1530177871,8529,8529
1530179805,8533,8533
1530181704,8525,8525
1530183881,8526,8526
1530185807,8519,8519
1530187743,8515,8515
1530189652,8515,8515
1530191564,8517,8517
1530193469,8520,8520
1530195408,8516,8516
1530197580,8518,8518
1530199492,8513,8513
1530201405,8527,8527
1530203315,8524,8524
1530205307,8531,8531
1530207176,8525,8525
1530209092,8524,8524
1530211006,8530,8530
1530212917,8524,8524
1530214828,8508,8508
1530217130,8517,8517
1530219160,8512,8512
1530221107,8497,8497
1530222981,8493,8493
1530224900,8484,8484
1530226916,8479,8479
1530228753,8470,8470
1530231322,8457,8457
1530233468,8452,8452
1530235625,8452,8452
1530237699,8449,8449
1530240654,8394,8394
1530242681,8389,8389
1530244589,8379,8379
1530246524,8374,8374
1530248508,8364,8364
1530250347,8369,8369
1530254912,8351,8351
1530256812,5098,5098
1530258735,1241,1241
1530260673,1229,1229
1530262591,1220,1220
1530264762,1219,1219
1530266668,1224,1224
1530268581,1215,1215
1530270514,1225,1225
1530272443,1225,1225
1530274368,1215,1215
1530276303,1214,1214
1530278306,1217,1217
1530280338,1224,1224
1530282258,1549,1549
1530284200,2675,2675
1530286511,4187,4187
1530288530,5316,5316
1530290436,5863,5863
1530292343,5853,5853
1530294264,5859,5859
1530296818,5849,5849
1530301233,5841,5841
1530303134,5840,5840
1530305058,5839,5839
1530306991,5864,5864
1530308934,5871,5871
1530310816,5912,5912
1530312732,5939,5939
1530314655,5961,5961
1530316586,5969,5969
1530318493,5980,5980
1530320499,5989,5989
1530322353,5995,5995
1530324261,6000,6000
1530326203,6006,6006
1530328122,6035,6035
1530330024,6035,6035
1530331969,6049,6049
1530333868,6048,6048
1530335790,6040,6040
1530337722,6047,6047
1530339654,6053,6053
1530341568,6062,6062
1530343470,6069,6069
1530345389,6078,6078
1530347323,7901,7901
1530349317,10745,10745
1530351151,13012,13012
1530353090,13019,13019
1530354989,13033,13033
1530357154,13030,13030
1530359066,13033,13033
1530360997,13031,13031
1530362902,13032,13032
1530364983,13030,13030
1530366979,13033,13033
1530369149,12663,12663
1530371065,11807,11807
1530372997,10933,10933
1530374944,10215,10215
1530376820,9760,9760
1530378761,9751,9751
1530380664,9737,9737
1530382585,9735,9735
1530384518,9723,9723
1530386420,9733,9733
1530388342,9740,9740
1530390282,9742,9742
1530392180,9738,9738
1530394357,9732,9732
1530396273,9727,9727
1530398584,9719,9719
1530400660,9735,9735
1530402904,9721,9721
1530404766,9713,9713
1530406636,9706,9706
1530408653,9711,9711
1530410562,9713,9713
1530412601,9711,9711
1530414690,9690,9690
1530416674,9681,9681
1530418596,9677,9677
1530420520,9669,9669
1530422429,9683,9683
1530424349,9668,9668
1530426274,9684,9684
1530428192,9683,9683
1530430138,9672,9672
1530432122,9667,9667
1530433990,6856,6856
1530435871,3804,3804
1530437820,1327,1327
1530439731,1301,1301
1530441623,1292,1292
1530443561,1290,1290
1530445508,1285,1285
1530447541,1274,1274
1530449546,1257,1257
1530451843,371149,371149
1530454575,1235,1235
1530456510,1225,1225
1530458420,1208,1208
1530460226,1196,1196
1530462039,1197,1197
1530463940,1185,1185
1530465869,1192,1192
1530467787,1189,1189
1530469706,1195,1195
1530471699,1198,1198
1530473550,1190,1190
1530475464,1180,1180
1530477398,1168,1168
1530479306,1164,1164
1530481219,1157,1157
1530483179,1145,1145
1530485060,1129,1129
1530486989,1091,1091
1530488917,1100,1100
1530490821,1099,1099
1530492740,1086,1086
1530494698,1079,1079
1530496596,1067,1067
1530498526,1064,1064
1530500692,1047,1047
1530502585,1047,1047
1530504512,1038,1038
1530506439,1024,1024
1530508359,1012,1012
1530510309,1008,1008
1530512202,996,996
1530514109,1000,1000
1530516037,993,993
1530517981,7438,7438
1530519885,8287,8287
1530521737,8279,8279
1530523710,8272,8272
1530525705,8278,8278
