DateTime,Entries,UniqueIPs
1529531301,118,118
1529533244,120,120
1529536228,117,117
1529538044,115,115
1529539957,113,113
1529541876,108,108
1529543810,107,107
1529545712,106,106
1529547638,105,105
1529549730,108,108
1529551704,110,110
1529553722,106,106
1529555548,107,107
1529557469,109,109
1529559387,109,109
1529561308,108,108
1529563496,112,112
1529565400,112,112
1529567316,112,112
1529569250,110,110
1529571189,111,111
1529573092,107,107
1529574993,107,107
1529577171,109,109
1529579240,107,107
1529581225,112,112
1529583167,107,107
1529585069,107,107
1529587139,106,106
1529589150,108,108
1529591071,106,106
1529593014,109,109
1529594907,109,109
1529596908,110,110
1529598756,111,111
1529600932,118,118
1529604760,114,114
1529606683,114,114
1529608605,113,113
1529610521,113,113
1529612448,115,115
1529614396,115,115
1529616283,116,116
1529618194,117,117
1529621744,118,118
1529623723,117,117
1529625743,115,115
1529629482,118,118
1529631302,117,117
1529633340,117,117
1529635250,118,118
1529637158,115,115
1529639076,114,114
1529641004,112,112
1529642914,113,113
1529644850,112,112
1529646762,114,114
1529648671,113,113
1529650605,110,110
1529652773,106,106
1529654682,105,105
1529656589,104,104
1529660692,104,104
1529662595,103,103
1529664524,106,106
1529666541,103,103
1529668366,99,99
1529670272,100,100
1529672199,102,102
1529674111,105,105
1529676112,107,107
1529677949,109,109
1529679975,107,107
1529681800,108,108
1529683730,109,109
1529685643,105,105
1529687569,99,99
1529689465,100,100
1529691406,100,100
1529693311,101,101
1529695240,99,99
1529697146,98,98
1529699100,94,94
1529700982,94,94
1529702920,96,96
1529704946,95,95
1529706750,94,94
1529708689,95,95
1529710584,96,96
1529712521,99,99
1529714425,101,101
1529716348,101,101
1529718280,100,100
1529720184,101,101
1529722124,99,99
1529724271,101,101
1529726188,101,101
1529728112,104,104
1529730113,104,104
1529731963,108,108
1529733905,108,108
1529735800,107,107
1529737720,111,111
1529739631,114,114
1529741557,114,114
1529743486,114,114
1529745391,114,114
1529747322,116,116
1529749228,121,121
1529751154,118,118
1529753084,119,119
1529755012,119,119
1529756912,120,120
1529758899,119,119
1529760749,115,115
1529762845,114,114
1529764836,112,112
1529766751,111,111
1529768678,107,107
1529770849,108,108
1529772753,114,114
1529774667,116,116
1529776607,118,118
1529778514,116,116
1529780505,121,121
1529782356,125,125
1529784280,126,126
1529786449,129,129
1529788360,124,124
1529790269,127,127
1529792201,127,127
1529794714,126,126
1529796522,126,126
1529798526,127,127
1529800371,126,126
1529802271,131,131
1529804199,133,133
1529806114,134,134
1529808044,139,139
1529809969,135,135
1529811874,136,136
1529813806,129,129
1529815705,129,129
1529817644,128,128
1529819565,127,127
1529821481,127,127
1529823384,128,128
1529825321,129,129
1529827302,131,131
1529829167,131,131
1529831077,132,132
1529833014,136,136
1529834910,134,134
1529836845,130,130
1529838760,133,133
1529840666,133,133
1529842601,135,135
1529844409,134,134
1529846440,134,134
1529848353,136,136
1529850284,136,136
1529852185,137,137
1529854119,140,140
1529856099,142,142
1529857972,140,140
1529860134,135,135
1529862290,138,138
1529864221,139,139
1529866104,136,136
1529868038,135,135
1529869969,132,132
1529871824,132,132
1529873781,133,133
1529875701,137,137
1529877722,136,136
1529879546,136,136
1529881479,144,144
1529883401,148,148
1529885330,146,146
1529887241,147,147
1529889150,146,146
1529891069,144,144
1529892985,145,145
1529894904,142,142
1529896832,142,142
1529898756,143,143
1529900675,147,147
1529902584,144,144
1529904511,142,142
1529906517,140,140
1529908350,135,135
1529910285,133,133
1529912192,133,133
1529914131,135,135
1529916029,136,136
1529917952,137,137
1529919883,135,135
1529921792,138,138
1529923711,141,141
1529925642,142,142
1529927549,139,139
1529929495,141,141
1529931386,139,139
1529933306,141,141
1529935330,142,142
1529937154,144,144
1529939075,145,145
1529940983,141,141
1529942924,138,138
1529944838,141,141
1529946752,140,140
1529948664,137,137
1529950601,140,140
1529952506,140,140
1529954439,139,139
1529956349,143,143
1529958693,143,143
1529960510,142,142
1529962347,139,139
1529964270,139,139
1529966197,135,135
1529968107,131,131
1529970018,126,126
1529971958,125,125
1529973865,125,125
1529975790,120,120
1529977703,121,121
1529979618,119,119
1529982989,121,121
1529984894,121,121
1529986835,120,120
1529990656,121,121
1529992589,122,122
1529994504,123,123
1529996505,124,124
1529998356,128,128
1530000262,128,128
1530002203,129,129
1530004120,128,128
1530006039,119,119
1530007950,119,119
1530009862,118,118
1530011797,117,117
1530013700,117,117
1530015629,113,113
1530017563,115,115
1530019465,114,114
1530021395,115,115
1530023305,113,113
1530025300,111,111
1530027145,112,112
1530029083,112,112
1530030982,115,115
1530032928,116,116
1530034824,113,113
1530036745,110,110
1530038678,111,111
1530040592,115,115
1530042622,115,115
1530044442,114,114
1530046348,115,115
1530048265,112,112
