DateTime,Entries,UniqueIPs
1529364500,43,43
1529366564,42,42
1529368588,38,38
1529370512,36,36
1529372421,37,37
1529374364,36,36
1529376268,35,35
1529378190,34,34
1529385875,33,33
1529389707,32,32
1529391716,29,29
1529395473,30,30
1529399313,29,29
1529403146,28,28
1529405073,27,27
1529406990,26,26
1529408906,25,25
1529414913,24,24
1529416899,26,26
1529418773,24,24
1529420675,25,25
1529422578,21,21
1529426422,19,19
1529428345,17,17
1529434116,16,16
1529439861,14,14
1529443705,15,15
1529445706,14,14
1529450180,12,12
1529454030,11,11
1529459791,9,9
1529473221,10,10
1529475145,12,12
1529480783,11,11
1529484504,12,12
1529490264,11,11
1529496108,12,12
1529497963,15,15
1529503945,13,13
1529505887,10,10
1529507791,11,11
1529509713,12,12
1529513557,13,13
1529517697,14,14
1529521483,17,17
1529527465,20,20
1529529409,19,19
1529531302,22,22
1529536229,23,23
1529538045,24,24
1529539958,25,25
1529543811,29,29
1529545713,30,30
1529547639,31,31
1529549731,32,32
1529551705,33,33
1529553723,34,34
1529557470,35,35
1529559388,34,34
1529561309,33,33
1529563497,36,36
1529567316,39,39
1529569251,39,39
1529571190,41,41
1529573093,42,42
1529574994,43,43
1529579241,44,44
1529581226,45,45
1529583168,44,44
1529585070,41,41
1529587140,44,44
1529591072,45,45
1529594908,43,43
1529598757,42,42
1529600932,41,41
1529602837,42,42
1529604761,41,41
1529606684,39,39
1529608605,38,38
1529610522,39,39
1529612449,38,38
1529614397,38,38
1529616284,37,37
1529618195,36,36
1529621745,37,37
1529623724,36,36
1529625744,34,34
1529629483,30,30
1529631303,32,32
1529633341,30,30
1529637159,29,29
1529639077,28,28
1529641005,27,27
1529642915,26,26
1529644851,27,27
1529646763,26,26
1529648671,24,24
1529650606,23,23
1529652773,22,22
1529654682,21,21
1529656590,20,20
1529658546,19,19
1529660693,17,17
1529662596,19,19
1529664525,19,19
1529666542,20,20
1529668367,19,19
1529672200,18,18
1529674112,16,16
1529676112,20,20
1529677949,19,19
1529679976,20,20
1529687570,19,19
1529691407,20,20
1529693312,21,21
1529695241,22,22
1529697147,22,22
1529699100,24,24
1529700983,26,26
1529702921,28,28
1529704947,27,27
1529706751,27,27
1529708690,28,28
1529710585,30,30
1529712522,31,31
1529714425,34,34
1529716349,38,38
1529718281,37,37
1529720185,42,42
1529722125,46,46
1529724272,48,48
1529726189,51,51
1529728112,53,53
1529730113,55,55
1529731963,57,57
1529733905,58,58
1529735801,60,60
1529737721,62,62
1529739632,63,63
1529741558,65,65
1529743487,69,69
1529747323,70,70
1529749228,70,70
1529751155,71,71
1529753085,72,72
1529755013,73,73
1529756912,74,74
1529758899,76,76
1529760749,78,78
1529762845,79,79
1529764837,79,79
1529768679,81,81
1529770850,83,83
1529776608,82,82
1529778515,82,82
1529780506,83,83
1529782356,86,86
1529784281,86,86
1529786450,84,84
1529788361,81,81
1529790269,80,80
1529792202,79,79
1529794715,80,80
1529796523,78,78
1529798527,78,78
1529800371,76,76
1529802271,74,74
1529804200,72,72
1529806115,67,67
1529808044,67,67
1529809970,66,66
1529811875,65,65
1529813807,62,62
1529815705,61,61
1529817645,59,59
1529819566,58,58
1529821481,58,58
1529823385,55,55
1529825321,53,53
1529827303,53,53
1529829168,51,51
1529831077,48,48
1529834912,47,47
1529836846,44,44
1529838761,44,44
1529840667,43,43
1529842601,42,42
1529844410,40,40
1529846441,38,38
1529848354,35,35
1529850285,32,32
1529852186,34,34
1529854120,34,34
1529856100,34,34
1529857973,32,32
1529866105,30,30
1529868039,28,28
1529869970,26,26
1529871825,25,25
1529873782,24,24
1529875701,23,23
1529881480,22,22
1529883402,23,23
1529885331,23,23
1529889151,22,22
1529891070,21,21
1529894905,21,21
1529896833,19,19
1529898756,21,21
1529900676,20,20
1529902585,21,21
1529904512,20,20
1529906518,18,18
1529908351,20,20
1529912193,20,20
1529914132,20,20
1529916030,22,22
1529919883,24,24
1529923712,23,23
1529925643,23,23
1529927550,24,24
1529929496,25,25
1529933307,26,26
1529935331,27,27
1529937155,26,26
1529939076,31,31
1529940983,30,30
1529942924,29,29
1529948664,30,30
1529950601,33,33
1529952506,37,37
1529954439,38,38
1529956350,40,40
1529958693,41,41
1529960511,42,42
1529962348,43,43
1529964270,44,44
1529966198,45,45
1529968108,45,45
1529970018,46,46
1529971959,46,46
1529973866,47,47
1529975791,48,48
1529979619,49,49
1529982990,47,47
1529984895,48,48
1529986835,49,49
1529988740,48,48
1529990657,49,49
1529992590,50,50
1529994505,50,50
1529996505,51,51
1530000263,49,49
1530002203,48,48
1530004121,49,49
1530006039,49,49
1530007951,51,51
1530009863,53,53
1530011798,52,52
1530013701,51,51
1530015630,51,51
1530019465,50,50
1530021395,49,49
1530023306,49,49
1530025301,48,48
1530027146,49,49
1530030983,51,51
1530032929,53,53
1530034825,55,55
1530036746,55,55
1530038679,51,51
1530040592,51,51
1530042623,53,53
1530044442,54,54
1530046349,55,55
1530048266,59,59
1530050196,62,62
1530052350,62,62
1530054269,61,61
1530056197,61,61
1530058128,63,63
1530060042,65,65
1530061954,66,66
1530063886,73,73
1530065798,73,73
1530069645,70,70
1530071561,73,73
1530073505,72,72
1530077334,72,72
1530079312,73,73
1530081162,73,73
1530083080,74,74
1530084993,76,76
1530086919,78,78
1530088832,80,80
1530090754,80,80
1530092710,81,81
1530094601,77,77
1530096551,76,76
1530098431,77,77
1530102301,76,76
1530104186,77,77
1530106107,78,78
1530109957,78,78
1530111874,76,76
1530113799,73,73
1530115731,76,76
1530117628,76,76
1530119547,76,76
1530121481,74,74
1530123384,74,74
1530125321,73,73
1530127231,75,75
1530129172,71,71
1530131311,71,71
1530133315,67,67
1530135170,66,66
1530137082,64,64
1530139454,63,63
1530141393,65,65
1530143312,64,64
1530145256,61,61
1530147149,59,59
1530149081,59,59
1530150987,53,53
1530152917,55,55
1530154912,59,59
1530156745,60,60
1530158675,57,57
1530160589,59,59
1530162515,58,58
1530164425,57,57
1530168274,56,56
1530170190,55,55
1530172126,54,54
1530174027,52,52
1530175953,50,50
1530179806,48,48
1530181705,50,50
1530183882,50,50
1530185808,52,52
1530189653,53,53
1530191565,51,51
1530193470,53,53
1530195409,56,56
1530197581,56,56
1530199493,57,57
1530201406,57,57
1530203316,52,52
1530205308,52,52
1530207178,51,51
1530209094,53,53
1530211007,54,54
1530212919,54,54
1530214830,53,53
1530217131,52,52
1530219161,53,53
1530221109,52,52
1530222983,52,52
1530224901,54,54
1530228754,53,53
1530231323,54,54
1530233469,52,52
1530235626,53,53
1530237700,51,51
1530240655,48,48
1530242682,46,46
1530244591,46,46
1530246526,44,44
1530248509,47,47
1530250348,47,47
1530254913,47,47
1530256813,47,47
1530258736,47,47
1530260674,48,48
1530262592,48,48
1530264763,50,50
1530268583,48,48
1530270516,49,49
1530272444,48,48
1530276304,47,47
1530280339,43,43
1530282259,42,42
1530284201,41,41
1530286513,40,40
1530288531,39,39
1530290437,38,38
1530292345,43,43
1530294266,45,45
1530296819,43,43
1530301234,42,42
1530303135,45,45
1530305059,45,45
1530306992,48,48
1530308935,50,50
1530310818,49,49
1530312733,51,51
1530314656,51,51
1530316587,53,53
1530318494,52,52
1530320506,53,53
1530322354,53,53
1530324262,55,55
1530326204,56,56
1530328123,57,57
1530330025,60,60
1530331970,61,61
1530333869,62,62
1530335791,61,61
1530337723,65,65
1530339655,67,67
1530343471,66,66
1530345390,66,66
1530347323,64,64
1530349318,65,65
1530351153,65,65
1530353091,67,67
1530354991,68,68
1530357156,67,67
1530359067,69,69
1530360999,70,70
1530366980,73,73
1530369150,74,74
1530371067,75,75
1530372998,79,79
1530374945,82,82
1530376821,84,84
1530378763,81,81
1530380665,78,78
1530382586,80,80
1530384519,79,79
1530386421,81,81
1530388343,81,81
1530390283,80,80
1530392181,79,79
1530394358,79,79
1530396274,78,78
1530398585,78,78
1530400661,75,75
1530402905,74,74
1530404767,74,74
1530406638,73,73
1530408654,73,73
1530410563,72,72
1530412602,73,73
1530414691,72,72
1530416675,69,69
1530418597,70,70
1530420521,71,71
1530422431,68,68
1530424351,70,70
1530426275,67,67
1530428193,69,69
1530430139,68,68
1530432124,70,70
1530433991,69,69
1530435872,67,67
1530437820,67,67
1530439732,65,65
1530441625,64,64
1530443562,64,64
1530445509,62,62
1530447542,61,61
1530449547,62,62
1530451951,36586,36586
1530453880,58,58
1530455796,56,56
1530457708,54,54
1530460227,51,51
1530462041,48,48
1530463941,47,47
1530465870,48,48
1530467789,48,48
1530469707,48,48
1530471700,49,49
1530473551,46,46
1530475465,45,45
1530477399,46,46
1530479307,45,45
1530481220,44,44
1530483180,40,40
1530488918,39,39
1530490822,38,38
1530492741,38,38
1530494700,38,38
1530496597,38,38
1530498528,37,37
1530500694,36,36
1530502586,35,35
1530504513,34,34
1530506441,33,33
1530508361,30,30
1530510310,28,28
1530512204,26,26
1530514110,26,26
1530517983,25,25
1530519887,24,24
1530521738,25,25
1530523712,24,24
1530525706,26,26
