DateTime,Entries,UniqueIPs
1529314096,89,89
1529316100,90,90
1529317942,89,89
1529319857,91,91
1529321796,92,92
1529325621,91,91
1529327562,92,92
1529331390,89,89
1529333297,88,88
1529335228,89,89
1529337149,89,89
1529342899,90,90
1529344903,93,93
1529346746,94,94
1529348671,92,92
1529350578,93,93
1529354658,94,94
1529356591,92,92
1529358558,90,90
1529360434,91,91
1529362594,91,91
1529364500,90,90
1529366565,89,89
1529368588,88,88
1529370512,90,90
1529372422,93,93
1529374364,84,84
1529378191,80,80
1529380112,81,81
1529382038,82,82
1529383962,81,81
1529385875,81,81
1529387782,80,80
1529389707,79,79
1529393567,78,78
1529397391,77,77
1529399313,78,78
1529401259,77,77
1529403147,78,78
1529405073,77,77
1529408906,76,76
1529412755,73,73
1529414913,74,74
1529418773,77,77
1529420675,77,77
1529422579,78,78
1529424539,79,79
1529426422,81,81
1529428345,79,79
1529432181,78,78
1529434116,76,76
1529436032,76,76
1529437940,75,75
1529439862,74,74
1529441790,74,74
1529443705,75,75
1529445707,72,72
1529448268,74,74
1529450181,75,75
1529452117,77,77
1529454030,77,77
1529455954,77,77
1529457861,73,73
1529459792,75,75
1529461697,75,75
1529463707,76,76
1529465560,77,77
1529469378,76,76
1529471318,76,76
1529475146,75,75
1529476956,74,74
1529482589,76,76
1529486438,73,73
1529488345,72,72
1529490265,73,73
1529492198,72,72
1529494100,73,73
1529496108,78,78
1529497963,79,79
1529499869,78,78
1529502026,77,77
1529503946,76,76
1529507791,76,76
1529509714,75,75
1529511624,73,73
1529513557,72,72
1529515462,73,73
1529517697,72,72
1529519566,73,73
1529525561,74,74
1529527466,72,72
1529529410,74,74
1529531303,77,77
1529533246,78,78
1529536229,80,80
1529539959,82,82
1529543812,81,81
1529545713,78,78
1529547640,78,78
1529551705,77,77
1529555549,77,77
1529557470,77,77
1529559388,76,76
1529561309,72,72
1529563498,71,71
1529565401,70,70
1529567317,72,72
1529569251,68,68
1529571190,66,66
1529573093,68,68
1529577172,67,67
1529579241,66,66
1529583168,64,64
1529585071,63,63
1529587140,63,63
1529593015,62,62
1529594908,60,60
1529596909,61,61
1529598757,61,61
1529604762,62,62
1529606684,62,62
1529608606,61,61
1529610522,64,64
1529612449,62,62
1529614397,61,61
1529616284,61,61
1529618195,62,62
1529621745,63,63
1529623724,62,62
1529625744,61,61
1529627578,59,59
1529629484,60,60
1529631303,61,61
1529633341,61,61
1529635251,60,60
1529637160,59,59
1529639077,60,60
1529641006,62,62
1529642915,65,65
1529644851,66,66
1529646763,67,67
1529650606,66,66
1529654683,65,65
1529658547,64,64
1529660694,63,63
1529662596,61,61
1529666542,60,60
1529668367,62,62
1529670273,63,63
1529674112,64,64
1529677950,66,66
1529683731,66,66
1529685644,66,66
1529687570,68,68
1529689466,70,70
1529691407,69,69
1529693312,71,71
1529695241,70,70
1529697147,74,74
1529704947,72,72
1529706751,72,72
1529708690,72,72
1529710586,73,73
1529712522,69,69
1529714426,70,70
1529716349,71,71
1529718281,72,72
1529722125,73,73
1529724272,72,72
1529726189,72,72
1529728113,73,73
1529730114,73,73
1529733906,74,74
1529735801,75,75
1529741558,74,74
1529745392,73,73
1529751155,74,74
1529755013,73,73
1529756913,74,74
