DateTime,Entries,UniqueIPs
1529539959,289,289
1529541878,286,286
1529543812,287,287
1529545714,282,282
1529547641,282,282
1529549732,279,279
1529551706,279,279
1529553724,281,281
1529555550,278,278
1529557471,275,275
1529559389,275,275
1529561310,276,276
1529563498,273,273
1529565401,272,272
1529567317,272,272
1529569252,273,273
1529571192,273,273
1529573094,272,272
1529574995,273,273
1529577173,278,278
1529579242,277,277
1529581227,279,279
1529583169,280,280
1529585072,283,283
1529587141,282,282
1529589151,283,283
1529591073,284,284
1529593016,285,285
1529594909,281,281
1529596910,287,287
1529598758,286,286
1529600933,289,289
1529602838,293,293
1529604762,296,296
1529606685,207,207
1529608607,208,208
1529610523,213,213
1529612450,213,213
1529614398,220,220
1529616285,223,223
1529618196,224,224
1529621746,227,227
1529623725,232,232
1529625745,233,233
1529627579,233,233
1529629484,237,237
1529631304,236,236
1529633342,238,238
1529635251,239,239
1529637160,235,235
1529639078,232,232
1529641006,233,233
1529642916,231,231
1529644852,233,233
1529646764,236,236
1529648672,232,232
1529650607,230,230
1529652774,232,232
1529654683,231,231
1529656591,230,230
1529658548,230,230
1529660694,233,233
1529662597,227,227
1529664526,226,226
1529666543,224,224
1529668368,220,220
1529670274,217,217
1529672200,211,211
1529674112,211,211
1529676113,208,208
1529677950,204,204
1529679977,199,199
1529681801,196,196
1529683732,194,194
1529685644,193,193
1529687570,186,186
1529689467,182,182
1529691408,179,179
1529693313,181,181
1529695242,179,179
1529697148,174,174
1529699101,173,173
1529700983,165,165
1529702922,168,168
1529704948,166,166
1529706752,166,166
1529708691,160,160
1529710586,161,161
1529712523,157,157
1529714427,156,156
1529716350,154,154
1529718282,154,154
1529720186,152,152
1529722126,154,154
1529724273,155,155
1529726190,153,153
1529730114,154,154
1529731964,150,150
1529733906,149,149
1529735802,145,145
1529737722,145,145
1529739633,143,143
1529741559,141,141
1529743488,140,140
1529745393,139,139
1529747323,135,135
1529751156,135,135
1529753087,136,136
1529755014,136,136
1529756913,134,134
1529758900,137,137
1529760750,134,134
1529762846,134,134
1529764837,143,143
1529766753,142,142
1529768680,145,145
1529770851,148,148
1529772754,148,148
1529774669,150,150
1529776609,148,148
1529778516,142,142
1529780507,144,144
1529782357,146,146
1529784282,146,146
