DateTime,AddedIPs,RemovedIPs
1530138021,12,10
1530138739,3,4
1530139428,9,6
1530140169,3,6
1530140909,5,7
1530141614,1,3
1530142346,6,5
1530143058,10,8
1530143778,6,7
1530144498,6,8
1530145218,6,7
1530145938,7,5
1530146665,13,10
1530147373,6,0
1530148352,4,8
1530149061,6,6
1530149779,7,10
1530150744,18,9
1530151463,10,9
1530152179,10,8
1530152898,8,6
1530153624,4,13
1530154338,6,6
1530155059,8,8
1530155783,8,9
1530156498,8,5
1530157476,5,13
1530158433,7,9
1530159129,7,0
1530159852,10,4
1530160571,5,3
1530161292,1,6
1530162019,10,1
1530162735,4,5
1530163450,6,5
1530164173,35,6
1530164888,13,4
1530165618,1,9
1530166335,6,9
1530167054,10,2
1530167771,6,9
1530168490,6,13
1530169214,4,1
1530169957,4,7
1530170660,6,4
1530171379,4,8
1530172102,6,6
1530172936,12,3
1530173788,1,4
1530174749,5,6
1530175457,2,6
1530176174,7,5
1530176914,6,15
1530177615,7,0
1530178344,4,9
1530179057,5,0
1530179784,5,8
1530180498,4,0
1530181217,7,10
1530181942,2,4
1530182661,7,4
1530183380,5,4
1530184346,9,11
1530185058,7,14
1530185784,6,5
1530186744,6,4
1530187721,4,5
1530188675,9,11
1530189628,12,2
1530190336,5,3
1530191067,1,3
1530191776,3,9
1530192503,1,3
1530193217,9,6
1530193942,5,6
1530194667,7,2
1530195385,7,10
1530196096,6,8
1530196816,6,1
1530197552,8,7
1530198510,5,6
1530199235,6,5
1530199942,11,8
1530200666,10,6
1530201380,6,11
1530202118,8,2
1530202817,2,5
1530203542,4,6
1530204261,6,6
1530204974,7,9
1530205708,6,0
1530206414,9,7
1530207149,14,8
1530207856,6,0
1530208580,5,15
1530209547,14,0
1530210259,7,2
1530210982,8,4
1530211707,7,2
1530212438,6,1
1530213132,6,4
1530213853,5,13
1530214575,10,5
1530215289,3,5
1530216039,10,17
1530217488,18,7
1530218176,6,9
1530218900,8,9
1530219628,9,6
1530220341,8,4
1530221086,7,4
1530221782,5,9
1530222745,12,5
1530223718,11,12
1530224662,8,12
1530225443,5,7
1530226090,7,7
1530226811,3,8
1530227531,4,8
1530228250,3,7
1530228971,3,4
1530230295,5,11
