DateTime,Entries,UniqueIPs
1529817335,8542,8542
1529818944,8542,8542
1529820878,8539,8539
1529823323,8538,8538
1529824528,8536,8536
1529826202,8530,8530
1529828062,8528,8528
1529830229,8528,8528
1529831427,8528,8528
1529833363,8522,8522
1529835333,8521,8521
1529836108,8522,8522
1529836942,8520,8520
1529838334,8517,8517
1529841050,8514,8514
1529842233,8511,8511
1529844983,8511,8511
1529848621,8512,8512
1529849672,8513,8513
1529850501,8517,8517
1529852027,8508,8508
1529853219,8505,8505
1529854836,8505,8505
1529855787,8507,8507
1529856916,8503,8503
1529858556,8500,8500
1529859938,8500,8500
1529861122,8502,8502
1529862332,8502,8502
1529864062,8499,8499
1529866343,8498,8498
1529867733,8496,8496
1529869343,8492,8492
1529871276,8494,8494
1529872951,8494,8494
1529873801,8496,8496
1529875701,8497,8497
1529876545,8499,8499
1529878471,8497,8497
1529879301,8498,8498
1529882069,8499,8499
1529883757,8496,8496
1529884596,8497,8497
1529885690,8495,8495
1529887357,8493,8493
1529888747,8493,8493
1529890122,8495,8495
1529890958,8496,8496
1529892633,8498,8498
1529894547,8498,8498
1529895939,8497,8497
1529897311,8499,8499
1529898995,8496,8496
1529900063,8495,8495
1529900907,8496,8496
1529903138,8491,8491
1529903677,8493,8493
1529906182,8497,8497
1529908115,8498,8498
1529908940,8503,8503
1529910869,8500,8500
1529912542,8499,8499
1529913390,8501,8501
1529916147,8500,8500
1529918136,8501,8501
1529919749,8508,8508
1529923359,8510,8510
1529925263,8512,8512
1529926441,8510,8510
1529927791,8512,8512
1529928869,8514,8514
1529930211,8515,8515
1529931438,8517,8517
1529932831,8517,8517
1529933993,8516,8516
1529934982,8518,8518
1529936140,8516,8516
1529937752,8515,8515
1529938587,8518,8518
1529939733,8517,8517
1529940513,8518,8518
1529943037,8516,8516
1529944950,8520,8520
1529946873,8521,8521
1529948124,8520,8520
1529950471,8527,8527
1529951628,8529,8529
1529952993,8530,8530
1529954110,8530,8530
1529955634,8534,8534
1529957431,8532,8532
1529959342,8532,8532
1529960182,8534,8534
1529961267,8533,8533
1529962867,8532,8532
1529964634,8532,8532
1529967034,8517,8517
1529968234,8514,8514
1529970152,8514,8514
1529971837,8512,8512
1529972911,8514,8514
1529973756,8517,8517
1529975663,8519,8519
1529976926,8519,8519
1529978190,8517,8517
1529979342,8517,8517
1529980945,8517,8517
1529982335,8516,8516
1529983912,8515,8515
1529986471,8517,8517
1529988154,8514,8514
1529988986,8515,8515
1529991226,8514,8514
1529992581,8515,8515
1529993676,8516,8516
1529995533,8519,8519
1529996182,8520,8520
1529997273,8524,8524
1529998112,8525,8525
1529998951,8523,8523
1530000450,8524,8524
1530002558,8524,8524
1530004474,8529,8529
1530006250,8528,8528
1530008061,8531,8531
1530008902,8532,8532
1530010592,8535,8535
1530011730,8533,8533
1530012507,8537,8537
1530014123,8538,8538
1530015261,8537,8537
1530016390,8538,8538
1530016953,8539,8539
1530018867,8539,8539
1530019708,8540,8540
1530020540,8532,8532
1530021388,8533,8533
1530022475,8534,8534
1530023311,8539,8539
1530024141,8541,8541
1530026076,8540,8540
1530027637,8541,8541
1530029326,8543,8543
1530030590,8539,8539
1530031816,8540,8540
1530033273,8541,8541
1530034113,8542,8542
1530035781,8543,8543
1530036931,8544,8544
1530038553,8545,8545
1530041320,8549,8549
1530044069,8545,8545
1530045757,8546,8546
1530047101,8545,8545
1530048637,8543,8543
1530049353,8544,8544
1530052948,8544,8544
1530054881,8547,8547
1530056594,8548,8548
1530057381,8549,8549
1530058462,8553,8553
1530059313,8555,8555
1530060142,8553,8553
1530060992,8554,8554
1530062129,8556,8556
1530063742,8556,8556
1530065681,8554,8554
1530067356,8557,8557
1530068731,8559,8559
1530070119,8560,8560
1530071815,8561,8561
1530072868,8559,8559
1530074552,8557,8557
1530075387,8558,8558
1530076470,8556,8556
1530077308,8558,8558
1530078927,8556,8556
1530080074,8555,8555
1530081638,8553,8553
1530083129,8552,8552
1530084502,8553,8553
1530085821,8552,8552
1530087272,8553,8553
1530088111,8555,8555
1530089780,8541,8541
1530090060,8539,8539
1530091233,8542,8542
1530092543,8539,8539
1530094468,8541,8541
1530096153,8542,8542
1530096999,8546,8546
1530098075,8550,8550
1530099746,8553,8553
1530100971,8550,8550
1530102515,8551,8551
1530104091,8550,8550
1530105260,8551,8551
1530106456,8552,8552
1530107792,8554,8554
1530108933,8552,8552
1530110552,8553,8553
1530112474,8555,8555
1530114157,8551,8551
1530115837,8549,8549
1530117750,8550,8550
1530119661,8549,8549
1530120510,8550,8550
1530122182,8548,8548
1530123267,8549,8549
1530124533,8547,8547
1530126333,8546,8546
1530127705,8545,8545
1530128923,8546,8546
1530130461,8547,8547
1530132051,8546,8546
1530133528,8546,8546
1530134066,8547,8547
1530135751,8545,8545
1530137663,8546,8546
1530139357,8544,8544
1530140191,8546,8546
1530141274,8549,8549
1530142947,8547,8547
1530144349,8545,8545
1530145603,8547,8547
1530147093,8546,8546
1530148233,8548,8548
1530148477,8549,8549
1530149731,8548,8548
1530150899,8549,8549
1530152080,8548,8548
1530153249,8550,8550
1530154362,8550,8550
1530155679,8548,8548
1530157345,8549,8549
1530158187,8550,8550
1530161795,8550,8550
1530165388,8548,8548
1530166466,8546,8546
1530167313,8547,8547
1530168922,8547,8547
1530170060,8547,8547
1530171632,8545,8545
1530173696,8546,8546
1530174516,8547,8547
1530176221,8544,8544
1530177339,8544,8544
1530179355,8541,8541
1530180869,8537,8537
1530182548,8533,8533
1530183926,8532,8532
1530185881,8533,8533
1530187717,8531,8531
1530188909,8533,8533
1530190605,8533,8533
1530191734,8533,8533
1530193343,8524,8524
1530195276,8526,8526
1530196940,8524,8524
1530198276,8523,8523
1530199535,8528,8528
1530200546,8524,8524
1530202474,8523,8523
1530205072,8521,8521
1530206433,8525,8525
1530207931,8531,8531
1530208606,8535,8535
1530209680,8541,8541
1530210513,8547,8547
1530211353,8549,8549
1530212735,8554,8554
1530214109,8555,8555
1530214951,8550,8550
1530217707,8555,8555
1530218541,8557,8557
1530220533,8557,8557
1530221730,8553,8553
1530224071,8557,8557
1530224913,8561,8561
1530225749,8562,8562
1530227675,8564,8564
1530229368,8564,8564
1530231271,8566,8566
1530232525,8570,8570
1530233787,8575,8575
1530235712,8583,8583
