DateTime,Entries,UniqueIPs
1529298869,90,90
1529301396,90,90
1529302554,91,91
1529304655,91,91
1529305841,90,90
1529306914,92,92
1529307753,88,88
1529309718,92,92
1529310508,93,93
1529311349,92,92
1529315273,92,92
1529316876,93,93
1529318554,93,93
1529320468,92,92
1529322043,95,95
1529324074,96,96
1529325221,95,95
1529327734,94,94
1529331341,93,93
1529333740,94,94
1529334869,92,92
1529336463,90,90
1529338476,95,95
1529340164,97,97
1529340998,98,98
1529345675,98,98
1529347360,97,97
1529348194,99,99
1529351423,98,98
1529352874,99,99
1529354565,96,96
1529360908,97,97
1529361748,96,96
1529363672,96,96
1529364897,94,94
1529367371,95,95
1529369144,94,94
1529370868,95,95
1529373478,95,95
1529376052,93,93
1529378086,92,92
1529378911,91,91
1529380398,89,89
1529381673,90,90
1529383257,93,93
1529384727,94,94
1529386234,98,98
1529388868,97,97
1529390311,96,96
1529393454,97,97
1529394948,98,98
1529397754,96,96
1529399667,97,97
1529402636,98,98
1529406934,98,98
1529409638,97,97
1529412528,96,96
1529413844,97,97
1529414908,98,98
1529416130,95,95
1529417435,96,96
1529419352,98,98
1529420730,99,99
1529422954,95,95
1529424876,100,100
1529426562,100,100
1529428480,99,99
1529429307,101,101
1529430153,102,102
1529431721,102,102
1529433758,101,101
1529437831,101,101
1529441795,100,100
1529443718,101,101
1529445387,99,99
1529446484,98,98
1529449151,97,97
1529451214,95,95
1529452593,99,99
1529453671,104,104
1529455353,106,106
1529458944,105,105
1529462571,105,105
1529463945,104,104
1529465319,106,106
1529466994,106,106
1529469747,110,110
1529471679,111,111
1529474215,112,112
1529476112,112,112
1529479781,111,111
1529482473,112,112
1529485529,111,111
1529489667,113,113
1529492194,114,114
1529494501,112,112
1529496872,113,113
1529500479,114,114
1529503837,119,119
1529505045,120,120
1529507672,119,119
1529508928,101,101
1529510134,100,100
1529511267,99,99
1529512107,100,100
1529516459,99,99
1529518477,97,97
1529520153,98,98
1529522072,97,97
1529528083,98,98
1529530111,100,100
1529530956,99,99
1529532880,99,99
1529533712,103,103
1529537580,102,102
1529539840,107,107
1529541042,107,107
1529543740,106,106
1529547039,105,105
1529548952,106,106
1529550880,105,105
1529554244,107,107
1529556995,110,110
1529558138,111,111
1529559638,112,112
1529564055,112,112
1529565281,111,111
1529570548,110,110
1529572469,109,109
1529574041,111,111
1529575186,110,110
1529577750,112,112
1529579679,111,111
1529583344,112,112
1529584530,110,110
1529586332,111,111
1529592041,110,110
1529593533,111,111
1529594917,113,113
1529595760,98,98
1529597667,100,100
1529599355,98,98
1529601280,98,98
1529602958,95,95
1529604938,96,96
1529606267,97,97
1529607935,95,95
1529610148,94,94
1529611540,96,96
1529613047,95,95
1529614593,95,95
1529617352,98,98
1529619269,101,101
1529620979,100,100
1529622333,98,98
1529622876,100,100
1529624550,91,91
1529626237,92,92
1529628157,93,93
1529632599,92,92
1529633753,91,91
1529635537,89,89
1529636733,89,89
1529638966,88,88
1529642554,89,89
1529643939,87,87
1529646746,88,88
1529649753,89,89
1529651668,90,90
1529652944,91,91
1529654199,92,92
1529655340,94,94
1529657790,93,93
1529662481,94,94
1529665540,95,95
1529668167,94,94
1529669668,94,94
1529672188,95,95
1529673276,94,94
1529674958,93,93
1529676878,94,94
1529678563,95,95
1529681443,90,90
1529684079,92,92
1529685762,81,81
1529687674,82,82
1529689243,84,84
1529691268,83,83
1529694878,86,86
1529699312,84,84
1529700153,83,83
1529702927,84,84
1529703754,80,80
1529706506,82,82
1529709869,83,83
1529710960,80,80
1529712917,85,85
1529714551,86,86
1529715962,85,85
1529718057,85,85
1529720926,87,87
1529725374,86,86
1529727266,85,85
1529728949,86,86
1529734480,86,86
1529735309,87,87
1529739760,89,89
1529741684,91,91
1529744735,89,89
1529747789,88,88
1529751017,89,89
1529754061,89,89
1529755191,88,88
1529757802,89,89
1529761537,89,89
1529763037,88,88
1529764956,87,87
1529766868,83,83
1529768561,81,81
1529772150,81,81
1529774078,82,82
1529776598,80,80
1529782113,82,82
1529784877,82,82
1529786448,81,81
1529787938,80,80
1529790994,79,79
1529794539,80,80
1529795741,82,82
1529796509,84,84
1529797352,86,86
1529799266,84,84
1529800878,83,83
1529806535,82,82
1529808992,83,83
1529811753,84,84
1529818951,83,83
1529820884,82,82
1529824534,81,81
1529826211,82,82
1529828068,86,86
1529830235,87,87
1529833369,87,87
1529835339,86,86
1529839713,88,88
1529841057,89,89
1529846068,88,88
1529852033,87,87
1529853225,85,85
1529854843,77,77
1529858562,76,76
1529859944,77,77
1529861128,78,78
1529862338,79,79
1529866349,78,78
1529869349,79,79
1529872957,79,79
1529875707,80,80
1529876552,77,77
1529878477,79,79
1529880161,77,77
1529882074,76,76
1529883766,73,73
1529885696,74,74
1529887362,73,73
1529890128,75,75
1529890965,71,71
1529894559,70,70
1529899002,67,67
1529903144,66,66
1529904810,65,65
1529906188,66,66
1529908946,64,64
1529912547,63,63
1529913396,64,64
1529914542,65,65
1529916153,66,66
1529918142,65,65
1529921684,65,65
1529923365,64,64
1529925268,66,66
1529927797,65,65
1529931448,64,64
1529936146,65,65
1529937762,66,66
1529938594,67,67
1529939740,68,68
1529940518,69,69
1529943043,67,67
1529944956,67,67
1529945795,69,69
1529948130,68,68
1529950481,70,70
1529951637,66,66
1529954130,64,64
1529957437,66,66
1529959348,67,67
1529964640,63,63
1529967039,56,56
1529968240,57,57
1529970158,58,58
1529979349,57,57
1529988160,58,58
1529997278,57,57
1529998957,56,56
1530000455,55,55
1530004480,56,56
1530008066,58,58
1530010600,60,60
1530011736,58,58
1530014129,59,59
1530023317,60,60
1530027643,53,53
1530029331,53,53
1530030614,57,57
1530031822,58,58
1530033278,57,57
1530035786,57,57
1530036942,58,58
1530038559,58,58
1530045763,57,57
1530047128,55,55
1530048651,54,54
1530051284,54,54
1530052953,51,51
1530056600,52,52
1530058469,53,53
1530060147,51,51
1530062137,52,52
1530063773,53,53
1530065687,52,52
1530071827,53,53
1530074557,53,53
1530083136,52,52
1530085828,61,61
1530087279,63,63
1530089786,66,66
1530096158,64,64
1530100978,65,65
1530105266,67,67
1530106473,66,66
1530108940,67,67
1530114165,60,60
1530115847,59,59
1530117756,64,64
1530119667,65,65
1530126339,64,64
1530128929,64,64
1530132057,65,65
1530137669,64,64
1530139363,64,64
1530141279,65,65
1530144356,66,66
1530148239,67,67
1530149742,68,68
1530150910,69,69
1530155685,70,70
1530157353,71,71
1530162866,72,72
1530165393,73,73
1530166472,74,74
1530173701,77,77
1530176241,77,77
1530179361,78,78
1530185903,77,77
1530187723,78,78
1530190612,81,81
1530193349,83,83
1530196947,82,82
1530200553,68,68
1530202480,69,69
1530206439,69,69
1530208612,70,70
1530209686,69,69
1530211359,68,68
1530214114,69,69
1530216874,72,72
1530218547,71,71
1530219398,73,73
1530220538,72,72
1530224078,73,73
1530224918,74,74
1530225755,75,75
1530227680,76,76
1530229375,76,76
1530232532,75,75
1530233795,75,75
1530235718,77,77
1530242078,76,76
1530245444,75,75
1530247349,76,76
1530249302,77,77
1530254154,78,78
1530256479,67,67
1530258928,66,66
1530260091,65,65
1530262601,64,64
1530267273,66,66
1530270886,65,65
1530276152,64,64
1530285267,63,63
1530286713,57,57
1530286963,56,56
1530288932,57,57
1530290547,55,55
1530292473,56,56
1530297040,57,57
1530297748,56,56
1530298589,57,57
1530300513,63,63
1530303136,62,62
1530311307,64,64
1530312148,65,65
1530314079,64,64
1530315940,63,63
1530318512,64,64
1530319631,63,63
1530320736,67,67
1530327978,66,66
1530330344,68,68
1530339350,69,69
1530340536,70,70
1530346476,73,73
1530347737,74,74
1530348928,73,73
1530354506,74,74
1530356188,75,75
1530357265,76,76
1530358960,75,75
1530362445,74,74
1530363937,73,73
1530369755,71,71
1530374136,64,64
1530375338,67,67
1530376828,69,69
1530378334,68,68
1530378877,70,70
1530382538,72,72
1530383308,71,71
1530384155,71,71
1530385543,70,70
1530387750,68,68
1530389674,65,65
1530392739,64,64
1530394954,61,61
1530395797,64,64
1530396952,65,65
1530398461,63,63
1530401459,65,65
1530404142,64,64
1530405639,63,63
1530407135,62,62
1530408520,65,65
1530412541,66,66
1530416478,68,68
1530420628,67,67
1530422079,68,68
1530422922,69,69
1530426676,70,70
1530428190,71,71
1530432634,72,72
1530435331,73,73
1530437647,71,71
1530439839,72,72
1530442599,73,73
1530445353,74,74
1530448115,75,75
1530451705,77,77
1530452985,78,78
1530456154,79,79
1530459755,75,75
1530463352,75,75
1530465341,75,75
1530466530,76,76
1530470144,71,71
1530480772,70,70
1530483274,68,68
1530484527,69,69
1530487705,71,71
1530488555,69,69
1530491305,62,62
1530492634,63,63
1530493844,63,63
1530499241,61,61
1530501040,62,62
1530502279,64,64
1530508546,66,66
1530509740,64,64
1530510984,65,65
1530512077,66,66
1530512916,67,67
1530515742,64,64
1530517370,62,62
1530518194,64,64
1530519276,67,67
1530520107,70,70
1530520957,120,120
1530522330,123,123
1530523483,125,125
1530524743,124,124
