DateTime,AddedIPs,RemovedIPs
1529880128,156,182
1529882047,495,159
1529883733,210,242
1529884567,62,0
1529885670,75,83
1529886497,110,0
1529887326,56,277
1529888725,109,157
1529890090,106,0
1529890937,76,186
1529892608,129,72
1529894527,118,185
1529895912,85,120
1529897287,90,0
1529898974,101,155
1529900047,66,84
1529900886,51,0
1529903111,147,245
1529903654,33,0
1529904764,53,90
1529906166,94,42
1529908086,163,106
1529908926,72,114
1529910845,103,171
1529912528,91,142
1529913366,103,0
1529914503,109,104
1529916126,106,77
1529916965,60,0
1529918112,60,101
1529919727,99,207
1529921646,113,102
1529923333,108,116
1529925246,106,83
1529926425,82,111
1529927768,114,43
1529928846,53,168
1529930194,81,160
1529931407,92,54
1529932506,60,95
1529933979,122,134
1529934968,55,0
1529936111,97,119
1529937734,178,79
1529938567,103,0
1529939712,70,82
1529940492,85,0
1529943010,199,273
1529944926,111,189
1529945766,54,0
1529946847,73,80
1529948105,77,95
1529950446,218,166
1529951602,159,94
1529953244,156,82
1529954409,121,0
1529955610,135,170
1529957646,172,149
1529959326,124,137
1529960167,58,0
1529960444,28,122
1529961246,72,0
1529962834,95,97
1529964613,84,104
1529965686,34,0
1529967011,78,194
1529968206,66,118
1529970127,99,119
1529971807,122,77
1529972885,45,0
1529973733,33,139
1529974566,44,0
1529975646,45,151
1529976910,69,172
1529978165,49,96
1529979312,83,92
1529980927,109,161
1529982314,79,72
1529983886,64,183
1529986448,142,116
1529988133,96,143
1529988965,47,0
1529990053,66,102
1529991200,75,165
1529992566,77,0
1529993651,81,83
1529995506,147,114
1529996166,63,0
1529997246,50,91
1529998086,71,0
1529998932,46,151
1530000423,83,137
1530002531,134,228
1530004446,132,81
1530006234,117,119
1530008046,145,74
1530008886,51,0
1530010566,119,172
1530011706,75,73
1530012486,35,0
1530014105,141,98
1530015246,55,117
1530016364,57,121
1530016927,36,53
1530018845,124,55
1530019686,29,1
1530020526,30,159
1530021367,55,0
1530022446,81,84
1530023286,82,0
1530024127,241,160
1530026046,331,86
1530027610,110,156
1530029311,100,171
1530030536,54,0
1530031801,81,166
1530033246,123,123
1530034086,60,0
1530035765,94,204
1530036907,56,114
1530038527,90,144
1530039366,52,1
1530041287,94,107
1530044046,127,305
1530045732,82,134
1530047073,44,125
1530048611,49,87
1530049334,69,28
1530051247,103,81
1530052927,64,179
1530054853,78,85
1530056578,80,188
1530057366,28,0
1530058447,57,101
1530059286,62,0
1530060126,46,167
1530060966,44,0
1530062105,47,134
1530063726,108,118
1530065647,81,111
1530067328,64,115
1530068707,74,109
1530070094,79,0
1530071796,67,162
1530072846,43,85
1530074527,93,117
1530075366,49,0
1530076446,48,96
1530077285,35,0
1530078910,112,209
1530080045,66,73
1530081610,78,94
1530083107,116,205
1530084486,75,0
1530085806,97,223
1530087245,79,97
1530088085,70,0
1530089765,120,121
1530090039,22,110
1530091207,96,2
1530092527,81,143
1530094445,138,83
1530096126,129,140
1530096977,41,0
1530098046,61,112
1530099726,125,104
1530100956,90,126
1530102485,100,0
1530104075,88,165
1530105247,55,90
1530106425,78,179
1530107769,97,1
1530108910,51,215
1530110527,73,198
1530112446,116,102
1530114126,151,170
1530115811,76,95
1530117726,124,131
1530119646,129,75
1530120486,72,0
1530122166,114,185
1530123246,81,100
1530124506,101,188
1530126306,247,175
1530126846,69,0
1530127686,72,1
1530128908,147,176
1530130446,183,83
1530132031,137,151
1530133506,204,68
1530134046,53,0
1530135733,121,109
1530137646,114,66
1530139326,100,105
1530140166,90,1
1530141245,104,97
1530142093,106,0
1530142927,131,83
1530144334,211,85
1530145588,90,0
1530145692,7,0
1530147072,105,81
1530148209,148,90
1530148447,26,0
1530149710,126,114
1530150871,201,32
1530152047,58,77
1530153231,66,71
1530154334,108,23
1530155655,141,77
1530157327,221,129
1530158167,48,0
1530160086,127,75
1530161770,132,150
1530162846,59,62
1530163687,59,0
1530165365,113,183
1530166445,90,100
1530167285,55,0
1530168907,162,104
1530170045,142,88
1530171611,116,114
1530173675,186,94
1530174486,43,0
1530176204,109,170
1530177311,77,86
1530178086,86,0
1530179340,69,127
1530180846,65,124
1530181686,63,0
1530182526,46,138
1530183906,101,112
1530185865,97,101
1530187702,73,110
1530188886,83,0
1530190582,105,99
1530191711,71,88
1530193327,98,199
1530195245,140,97
1530196086,41,0
1530196927,33,143
1530198261,81,66
1530199513,77,0
1530200527,71,131
1530202452,134,92
1530203286,42,0
1530205055,88,189
1530206410,62,60
1530207906,79,79
1530208567,53,0
1530209652,80,126
1530210486,58,0
1530211326,58,101
1530212713,38,107
1530214087,59,1
1530214926,56,106
1530216846,135,57
1530217688,42,0
1530218526,43,125
1530219366,68,0
1530220510,72,105
1530221706,58,98
1530224047,69,86
1530224891,34,0
1530225727,43,88
1530227645,119,73
1530229354,91,143
1530231247,74,66
1530232506,58,93
1530233766,58,37
1530235691,128,59
1530237264,82,113
1530238447,80,63
1530240134,163,120
1530242047,128,82
1530242886,71,1
1530243735,57,94
1530245410,109,109
1530247326,153,144
1530248166,36,0
1530249281,36,87
1530251106,105,114
1530251773,34,0
1530252911,53,108
1530254132,74,102
1530255250,69,0
1530256446,74,134
1530257707,91,129
1530258906,60,53
1530260064,110,96
1530260886,91,0
1530262566,89,109
1530263645,94,152
1530264880,64,146
1530265326,20,22
1530266173,44,0
1530267247,46,83
1530268506,42,136
1530269706,63,48
1530270848,57,93
1530272411,91,131
1530273365,62,0
1530274596,131,109
1530276127,104,168
1530278046,121,87
1530279731,208,100
1530281646,250,101
1530283005,330,167
1530284106,87,39
1530285245,174,66
1530286668,115,107
1530286934,14,58
1530287766,63,1
1530288906,92,103
1530290526,149,111
1530292446,139,126
1530293286,56,0
1530294126,66,198
1530296410,149,137
1530297727,93,205
1530298567,61,1
1530300486,105,133
1530301828,63,181
1530303091,57,212
1530304092,54,0
1530305706,118,185
1530306906,165,89
1530308406,157,63
1530310446,153,160
1530311286,44,0
1530312127,43,244
1530314052,117,211
1530315906,98,189
1530317410,58,122
1530318486,50,0
1530319594,97,218
1530320707,64,182
1530322086,87,0
1530323707,119,135
1530324845,72,127
1530325686,38,0
1530327906,151,411
1530330307,132,135
1530331807,73,139
1530332886,52,0
1530334130,53,167
1530335645,110,84
1530336486,39,0
1530338166,229,212
1530339306,1009,150
1530340506,787,189
1530341733,241,0
1530343686,421,139
1530346445,570,250
1530347710,220,137
1530348906,213,47
1530350045,107,67
1530351727,123,130
1530353196,129,130
1530354485,67,0
1530356166,75,118
1530357245,74,49
1530358926,113,119
1530359766,52,0
1530360910,60,74
1530362413,114,110
1530363905,73,108
1530365106,79,0
1530365292,8,0
1530367077,117,122
1530368053,110,70
1530368887,35,0
1530369732,74,174
1530370566,53,0
1530371712,588,87
1530372486,224,0
1530374110,225,145
1530375306,87,75
1530376809,121,87
1530378307,70,131
1530378846,37,0
1530379686,52,0
1530381367,193,120
1530382513,131,87
1530383286,85,0
1530384126,47,109
1530385510,122,66
1530386705,62,0
1530387726,80,149
1530389646,122,130
1530390911,64,91
1530392706,105,75
1530393246,28,0
1530394086,38,0
1530394927,79,72
1530395766,47,0
1530396911,58,69
1530398433,74,146
1530399815,76,63
1530401407,84,72
1530402966,109,0
1530404107,82,100
1530405611,87,148
1530407112,66,100
1530408485,101,0
1530409326,76,208
1530410166,45,0
1530411247,77,60
1530412507,139,140
1530413707,110,50
1530414911,85,78
1530416447,115,188
1530417365,76,0
1530418445,565,69
1530419293,345,1
1530420607,298,71
1530422052,849,112
1530422891,384,0
1530424207,75,101
1530425406,71,114
1530426626,55,141
1530428167,132,32
1530429306,36,78
1530430505,45,176
1530432607,179,128
1530433808,111,127
1530435305,93,36
1530436445,72,63
1530437615,94,88
1530439810,144,97
1530440886,36,0
1530442566,75,116
1530443707,46,99
1530444491,30,0
1530445326,27,221
1530447245,136,105
1530448086,54,0
1530448926,41,227
1530449768,39,1
1530451686,68,107
1530452963,73,159
1530454506,65,78
1530455285,45,0
1530456127,39,104
1530456966,54,0
1530458046,57,128
1530459727,97,133
1530461645,117,167
1530463325,99,172
1530464165,34,0
1530465305,78,93
1530466506,99,101
1530467707,75,37
1530468846,43,83
1530470116,58,79
1530471278,57,23
1530472446,103,65
1530473710,247,485
1530474975,292,59
1530476045,193,80
1530477591,253,164
1530478572,50,0
1530479646,50,136
1530480747,70,82
1530482166,85,0
1530483246,43,114
1530484506,51,95
1530486307,87,74
1530486851,21,0
1530487686,37,0
1530488526,32,113
1530489365,54,0
1530491285,102,88
1530492606,76,175
1530493806,54,92
1530495308,91,97
1530496625,42,0
1530498015,70,138
1530499211,42,84
1530501013,103,105
1530502933,78,115
1530504605,149,105
1530506527,69,140
1530507366,32,0
1530508511,51,298
1530509709,62,1214
1530510949,51,219
1530512046,76,221
1530512886,56,0
1530514507,55,534
1530515712,55,260
1530516485,32,0
1530517330,38,275
1530518166,45,0
1530519253,2559,302
1530520086,60,1
1530520927,96,195
1530522305,49,109
1530523453,50,2
1530524710,69,110
