DateTime,Entries,UniqueIPs
1529880128,24181,24181
1529882047,24517,24517
1529883733,24485,24485
1529884567,24547,24547
1529885670,24539,24539
1529886497,24649,24649
1529887326,24428,24428
1529888725,24380,24380
1529890090,24486,24486
1529890937,24376,24376
1529892608,24433,24433
1529894527,24366,24366
1529895912,24331,24331
1529897287,24421,24421
1529898974,24367,24367
1529900047,24349,24349
1529900886,24400,24400
1529903111,24302,24302
1529903654,24335,24335
1529904764,24298,24298
1529906166,24350,24350
1529908086,24407,24407
1529908926,24365,24365
1529910845,24297,24297
1529912528,24246,24246
1529913366,24349,24349
1529914503,24354,24354
1529916126,24383,24383
1529916965,24443,24443
1529918112,24402,24402
1529919727,24294,24294
1529921646,24305,24305
1529923333,24297,24297
1529925246,24320,24320
1529926425,24291,24291
1529927768,24362,24362
1529928846,24247,24247
1529930194,24168,24168
1529931407,24206,24206
1529932506,24171,24171
1529933979,24159,24159
1529934968,24214,24214
1529936111,24192,24192
1529937734,24291,24291
1529938567,24394,24394
1529939712,24382,24382
1529940492,24467,24467
1529943010,24393,24393
1529944926,24315,24315
1529945766,24369,24369
1529946847,24362,24362
1529948105,24344,24344
1529950446,24396,24396
1529951602,24461,24461
1529953244,24535,24535
1529954409,24656,24656
1529955610,24621,24621
1529957646,24644,24644
1529959326,24631,24631
1529960167,24689,24689
1529960444,24595,24595
1529961246,24667,24667
1529962834,24665,24665
1529964613,24645,24645
1529965686,24679,24679
1529967011,24563,24563
1529968206,24511,24511
1529970127,24491,24491
1529971807,24536,24536
1529972885,24581,24581
1529973733,24475,24475
1529974566,24519,24519
1529975646,24413,24413
1529976910,24310,24310
1529978165,24263,24263
1529979312,24254,24254
1529980927,24202,24202
1529982314,24209,24209
1529983886,24090,24090
1529986448,24116,24116
1529988133,24069,24069
1529988965,24116,24116
1529990053,24080,24080
1529991200,23990,23990
1529992566,24067,24067
1529993651,24065,24065
1529995506,24098,24098
1529996166,24161,24161
1529997246,24120,24120
1529998086,24191,24191
1529998932,24086,24086
1530000423,24032,24032
1530002531,23938,23938
1530004446,23989,23989
1530006234,23987,23987
1530008046,24058,24058
1530008886,24109,24109
1530010566,24056,24056
1530011706,24058,24058
1530012486,24093,24093
1530014105,24136,24136
1530015246,24074,24074
1530016364,24010,24010
1530016927,23993,23993
1530018845,24062,24062
1530019686,24090,24090
1530020526,23961,23961
1530021367,24016,24016
1530022446,24013,24013
1530023286,24095,24095
1530024127,24176,24176
1530026046,24421,24421
1530027610,24375,24375
1530029311,24304,24304
1530030536,24358,24358
1530031801,24273,24273
1530033246,24273,24273
1530034086,24333,24333
1530035765,24223,24223
1530036907,24165,24165
1530038527,24111,24111
1530039366,24162,24162
1530041287,24149,24149
1530044046,23971,23971
1530045732,23919,23919
1530047073,23838,23838
1530048611,23800,23800
1530049334,23841,23841
1530051247,23863,23863
1530052927,23748,23748
1530054853,23741,23741
1530056578,23633,23633
1530057366,23661,23661
1530058447,23617,23617
1530059286,23679,23679
1530060126,23558,23558
1530060966,23602,23602
1530062105,23515,23515
1530063726,23505,23505
1530065647,23475,23475
1530067328,23424,23424
1530068707,23389,23389
1530070094,23468,23468
1530071796,23373,23373
1530072846,23331,23331
1530074527,23307,23307
1530075366,23356,23356
1530076446,23308,23308
1530077285,23343,23343
1530078910,23246,23246
1530080045,23239,23239
1530081610,23223,23223
1530083107,23134,23134
1530084486,23209,23209
1530085806,23083,23083
1530087245,23065,23065
1530088085,23135,23135
1530089765,23134,23134
1530090039,23046,23046
1530091207,23140,23140
1530092527,23078,23078
1530094445,23133,23133
1530096126,23122,23122
1530096977,23163,23163
1530098046,23112,23112
1530099726,23133,23133
1530100956,23097,23097
1530102485,23197,23197
1530104075,23120,23120
1530105247,23085,23085
1530106425,22984,22984
1530107769,23080,23080
1530108910,22916,22916
1530110527,22791,22791
1530112446,22805,22805
1530114126,22786,22786
1530115811,22767,22767
1530117726,22760,22760
1530119646,22814,22814
1530120486,22886,22886
1530122166,22815,22815
1530123246,22796,22796
1530124506,22709,22709
1530126306,22781,22781
1530126846,22850,22850
1530127686,22921,22921
1530128908,22892,22892
1530130446,22992,22992
1530132031,22978,22978
1530133506,23114,23114
1530134046,23167,23167
1530135733,23179,23179
1530137646,23227,23227
1530139326,23222,23222
1530140166,23311,23311
1530141245,23318,23318
1530142093,23424,23424
1530142927,23472,23472
1530144334,23598,23598
1530145588,23688,23688
1530145692,23695,23695
1530147072,23719,23719
1530148209,23777,23777
1530148447,23803,23803
1530149710,23815,23815
1530150871,23984,23984
1530152047,23965,23965
1530153231,23960,23960
1530154334,24045,24045
1530155655,24109,24109
1530157327,24201,24201
1530158167,24249,24249
1530160086,24301,24301
1530161770,24283,24283
1530162846,24280,24280
1530163687,24339,24339
1530165365,24269,24269
1530166445,24259,24259
1530167285,24314,24314
1530168907,24372,24372
1530170045,24426,24426
