DateTime,Entries,UniqueIPs
1529878475,7089,7089
1529879305,7109,7109
1529880157,7042,7042
1529882072,6982,6982
1529883761,6875,6875
1529884600,6891,6891
1529885694,6873,6873
1529886523,6928,6928
1529887360,6777,6777
1529888751,6710,6710
1529890125,6762,6762
1529890962,6692,6692
1529892638,6691,6691
1529894551,6625,6625
1529895943,6588,6588
1529897315,6614,6614
1529898999,6587,6587
1529900067,6574,6574
1529900911,6592,6592
1529903142,6564,6564
1529903680,6574,6574
1529904802,6550,6550
1529906185,6572,6572
1529908119,6569,6569
1529908944,6548,6548
1529910872,6499,6499
1529912545,6456,6456
1529913393,6525,6525
1529914538,6528,6528
1529916151,6548,6548
1529916985,6555,6555
1529918139,6522,6522
1529919753,6406,6406
1529921682,6413,6413
1529923363,6406,6406
1529925266,6418,6418
1529926445,6409,6409
1529927795,6431,6431
1529928872,6355,6355
1529930215,6298,6298
1529931444,6306,6306
1529932838,6308,6308
1529933997,6277,6277
1529934986,6297,6297
1529936143,6271,6271
1529937755,6301,6301
1529938591,6337,6337
1529939737,6336,6336
1529940516,6363,6363
1529943041,6339,6339
1529944954,6292,6292
1529945793,6312,6312
1529946877,6273,6273
1529948127,6271,6271
1529950478,6260,6260
1529951636,6246,6246
1529952996,6263,6263
1529954119,6260,6260
1529955637,6211,6211
1529957435,6150,6150
1529957665,6154,6154
1529959345,6108,6108
1529960187,6129,6129
1529961271,6110,6110
1529962864,6121,6121
1529964638,6119,6119
1529965705,6126,6126
1529967037,6122,6122
1529968237,6103,6103
1529970156,6101,6101
1529971841,6101,6101
1529972914,6112,6112
1529973760,6048,6048
1529974586,6058,6058
1529975667,5984,5984
1529976930,5906,5906
1529978194,5876,5876
1529979347,5872,5872
1529980950,5851,5851
1529982339,5837,5837
1529983915,5747,5747
1529986474,5755,5755
1529988158,5748,5748
1529988994,5770,5770
1529990077,5744,5744
1529991230,5661,5661
1529992589,5686,5686
1529993680,5694,5694
1529995536,5715,5715
1529996185,5726,5726
1529997276,5696,5696
1529998116,5718,5718
1529998955,5656,5656
1530000453,5599,5599
1530002561,5512,5512
1530004478,5520,5520
1530006254,5496,5496
1530008064,5540,5540
1530008905,5562,5562
1530010598,5501,5501
1530011734,5500,5500
1530012511,5514,5514
1530014127,5539,5539
1530015264,5489,5489
1530016397,5431,5431
1530016956,5417,5417
1530018871,5415,5415
1530019711,5425,5425
1530020543,5367,5367
1530021391,5382,5382
1530022480,5385,5385
1530023315,5409,5409
1530024145,5349,5349
1530026080,5330,5330
1530027641,5265,5265
1530029329,5188,5188
1530030603,5143,5143
1530031820,5144,5144
1530033276,5110,5110
1530034116,5127,5127
1530035784,5073,5073
1530036938,5037,5037
1530038557,5023,5023
1530039392,5047,5047
1530041323,5035,5035
1530044073,4906,4906
1530045760,4856,4856
1530047109,4805,4805
1530048643,4790,4790
1530049356,4830,4830
1530051282,4803,4803
1530052951,4746,4746
1530054885,4727,4727
1530056597,4663,4663
1530057384,4667,4667
1530058467,4619,4619
1530059316,4632,4632
1530060145,4560,4560
1530060996,4577,4577
1530062135,4529,4529
1530063745,4516,4516
1530065685,4491,4491
1530067360,4479,4479
1530068737,4448,4448
1530070123,4459,4459
1530071820,4406,4406
1530072871,4376,4376
1530074555,4380,4380
1530075391,4411,4411
1530076475,4400,4400
1530077311,4418,4418
1530078932,4383,4383
1530080078,4382,4382
1530081642,4375,4375
1530083132,4283,4283
1530084506,4303,4303
1530085825,4214,4214
1530087276,4213,4213
1530088115,4252,4252
1530089784,4269,4269
1530091236,4303,4303
1530092546,4275,4275
1530094472,4301,4301
1530096156,4294,4294
1530097002,4303,4303
1530098078,4288,4288
1530099750,4296,4296
1530100975,4305,4305
1530102519,4336,4336
1530104094,4286,4286
1530105264,4266,4266
1530106467,4261,4261
1530107795,4293,4293
1530108938,4232,4232
1530110556,4196,4196
1530112478,4202,4202
1530114162,4249,4249
1530115843,4257,4257
1530117754,4264,4264
1530119664,4301,4301
1530120514,4344,4344
1530122186,4351,4351
1530123270,4375,4375
1530124537,4375,4375
1530126337,4468,4468
1530126870,4494,4494
1530127709,4515,4515
1530128927,4557,4557
1530130465,4619,4619
1530132055,4616,4616
1530133531,4719,4719
1530134069,4744,4744
1530135754,4738,4738
1530137667,4757,4757
1530139361,4753,4753
1530140195,4809,4809
1530141277,4805,4805
1530142120,4862,4862
1530142950,4890,4890
1530144353,4956,4956
1530145606,4991,4991
1530145719,4994,4994
1530147097,4980,4980
1530148236,4975,4975
1530148480,4984,4984
1530149739,4964,4964
1530150906,4958,4958
1530152084,4949,4949
1530153258,4940,4940
1530154366,4943,4943
1530155682,4935,4935
1530157351,4913,4913
1530158192,4924,4924
1530160104,4916,4916
1530161800,4921,4921
1530162864,4936,4936
1530163711,4979,4979
1530165391,4946,4946
1530166469,4960,4960
1530167316,4986,4986
1530168926,5031,5031
1530170063,5058,5058
1530171636,5065,5065
1530173699,5112,5112
1530174519,5130,5130
1530176227,5125,5125
1530178105,5173,5173
1530179359,5138,5138
1530180873,5127,5127
1530181704,5167,5167
1530182552,5143,5143
1530183930,5128,5128
1530185885,5121,5121
1530187721,5113,5113
1530188913,5124,5124
1530190610,5121,5121
1530191739,5121,5121
1530193347,5084,5084
1530195280,5100,5100
1530196106,5115,5115
1530196944,5105,5105
1530198280,5131,5131
1530199538,5170,5170
1530200551,5172,5172
1530202478,5227,5227
1530203310,5246,5246
1530205075,5251,5251
1530206436,5246,5246
1530207934,5249,5249
1530208610,5272,5272
1530209684,5244,5244
1530210517,5266,5266
1530211357,5254,5254
1530212738,5225,5225
1530214112,5237,5237
1530214955,5242,5242
1530216871,5301,5301
1530217711,5318,5318
1530218545,5287,5287
1530219395,5323,5323
1530220536,5309,5309
1530221735,5322,5322
1530224075,5326,5326
1530224916,5330,5330
1530225753,5322,5322
1530227678,5338,5338
1530229372,5339,5339
1530231275,5333,5333
1530232529,5328,5328
1530233792,5336,5336
1530235716,5345,5345
1530237289,5321,5321
1530238483,5330,5330
1530240165,5358,5358
1530242075,5365,5365
1530242907,5412,5412
1530243761,5417,5417
1530245441,5421,5421
1530247346,5463,5463
1530248196,5470,5470
1530249300,5438,5438
1530251138,5435,5435
1530251795,5447,5447
1530252945,5444,5444
1530254152,5442,5442
1530255271,5474,5474
1530256474,5465,5465
1530257727,5471,5471
1530258926,5469,5469
1530260089,5468,5468
1530260910,5519,5519
1530262598,5490,5490
1530263673,5445,5445
1530264899,5403,5403
1530265351,5398,5398
1530266193,5409,5409
1530267271,5396,5396
1530268525,5346,5346
1530269726,5353,5353
1530270883,5324,5324
1530272442,5303,5303
1530273385,5331,5331
1530274614,5383,5383
1530276150,5356,5356
1530278081,5380,5380
1530279764,5408,5408
1530281671,5455,5455
1530283024,5412,5412
1530284132,5410,5410
1530285265,5399,5399
1530286697,5379,5379
1530286961,5357,5357
1530287786,5380,5380
1530288930,5359,5359
1530290544,5359,5359
1530292471,5355,5355
1530293305,5382,5382
1530294143,5276,5276
1530297029,5181,5181
1530297745,5189,5189
1530298588,5218,5218
1530300510,5149,5149
1530301851,5078,5078
1530303108,4956,4956
1530304118,4978,4978
1530305741,4916,4916
1530306936,4935,4935
1530308436,4977,4977
1530310475,4936,4936
1530311304,4946,4946
1530312146,4854,4854
1530314077,4806,4806
1530315937,4733,4733
1530317441,4712,4712
1530318510,4727,4727
1530319612,4689,4689
1530320734,4701,4701
1530322118,4748,4748
1530323724,4772,4772
1530324883,4773,4773
1530325713,4783,4783
1530327941,4761,4761
1530330341,4790,4790
1530331835,4765,4765
1530332903,4772,4772
1530334160,4695,4695
1530335680,4703,4703
1530336506,4716,4716
1530338198,4667,4667
1530339348,4648,4648
1530340534,4580,4580
1530341752,4600,4600
1530343704,4570,4570
1530346474,4545,4545
1530347735,4541,4541
1530348926,4599,4599
1530350079,4629,4629
1530351745,4605,4605
1530353223,4616,4616
1530354504,4636,4636
1530356186,4637,4637
1530357263,4676,4676
1530358958,4722,4722
1530359787,4746,4746
1530360944,4747,4747
1530362442,4776,4776
1530363935,4763,4763
1530365134,4799,4799
1530365312,4802,4802
1530367125,4766,4766
1530368075,4823,4823
1530368906,4829,4829
1530369753,4779,4779
1530370585,4796,4796
1530371737,4755,4755
1530372517,4783,4783
1530374134,4819,4819
1530375335,4838,4838
1530376826,4873,4873
1530378331,4852,4852
1530378875,4865,4865
1530379706,4890,4890
1530381387,4972,4972
1530382536,5039,5039
1530383306,5092,5092
1530384153,5081,5081
1530385541,5094,5094
1530386726,5113,5113
1530387747,5070,5070
1530389672,5059,5059
1530390931,5052,5052
1530392736,5050,5050
1530393274,5059,5059
1530394119,5077,5077
1530394951,5110,5110
1530395791,5125,5125
1530396950,5120,5120
1530398458,5102,5102
1530399845,5134,5134
1530401447,5154,5154
1530402985,5213,5213
1530404140,5225,5225
1530405637,5246,5246
1530407133,5261,5261
1530408517,5307,5307
1530409344,5271,5271
1530410186,5304,5304
1530411279,5322,5322
1530412538,5306,5306
1530413740,5319,5319
1530414941,5326,5326
1530416475,5280,5280
1530417410,5316,5316
1530418464,5329,5329
1530419315,5346,5346
1530420625,5366,5366
1530422077,5351,5351
1530422920,5355,5355
1530424225,5341,5341
1530425430,5328,5328
1530426663,5263,5263
1530428188,5306,5306
1530429333,5287,5287
1530430525,5217,5217
1530432632,5260,5260
1530433836,5303,5303
1530435329,5340,5340
1530436465,5346,5346
1530437645,5364,5364
1530439833,5407,5407
1530440906,5418,5418
1530442596,5405,5405
1530443739,5383,5383
1530444517,5390,5390
1530445350,5312,5312
1530447264,5353,5353
1530448113,5372,5372
1530448944,5278,5278
1530449794,5287,5287
1530451703,5283,5283
1530452982,5273,5273
1530454537,5293,5293
1530455305,5298,5298
1530456152,5276,5276
1530456996,5282,5282
1530458074,5275,5275
1530459753,5286,5286
1530461663,5266,5266
1530463350,5248,5248
1530464183,5262,5262
1530465338,5248,5248
1530466527,5266,5266
1530467736,5268,5268
1530468869,5241,5241
1530470142,5236,5236
1530471296,5255,5255
1530472474,5282,5282
1530473735,5155,5155
1530474993,5160,5160
1530476065,5150,5150
1530477618,5070,5070
1530478597,5087,5087
1530479671,5049,5049
1530480770,5048,5048
1530482189,5084,5084
1530483272,5051,5051
1530484524,5023,5023
1530486331,5033,5033
1530486873,5042,5042
1530487703,5048,5048
1530488552,5035,5035
1530489394,5069,5069
1530491303,5102,5102
1530492632,5024,5024
1530493842,5009,5009
1530495328,5023,5023
1530496651,5031,5031
1530498043,5002,5002
1530499238,4993,4993
1530501038,4954,4954
1530502967,4946,4946
1530504635,4938,4938
1530506560,4917,4917
1530507386,4926,4926
1530508543,4915,4915
1530509738,4880,4880
1530510977,4884,4884
1530512075,4893,4893
1530512914,4909,4909
1530514537,4888,4888
1530515739,4848,4848
1530516504,4862,4862
1530517360,4813,4813
1530518192,4829,4829
1530519274,4733,4733
1530520104,4745,4745
1530520954,4679,4679
1530522328,4635,4635
1530523480,4653,4653
1530524741,4645,4645
