DateTime,Entries,UniqueIPs
1529880150,17917,17917
1529882067,17864,17864
1529883755,17733,17733
1529884594,17758,17758
1529885689,17740,17740
1529886517,17799,17799
1529887355,17625,17625
1529888745,17562,17562
1529890115,17632,17632
1529890955,17551,17551
1529892630,17566,17566
1529894544,17498,17498
1529895936,17457,17457
1529897308,17495,17495
1529898992,17455,17455
1529900061,17446,17446
1529900905,17473,17473
1529903135,17419,17419
1529903674,17438,17438
1529904793,17414,17414
1529906180,17453,17453
1529908110,17458,17458
1529908938,17431,17431
1529910868,17379,17379
1529912540,17333,17333
1529913388,17417,17417
1529914531,17422,17422
1529916145,17444,17444
1529916979,17490,17490
1529918132,17458,17458
1529919747,17339,17339
1529921672,17357,17357
1529923357,17357,17357
1529925261,17390,17390
1529926438,17373,17373
1529927789,17406,17406
1529928867,17332,17332
1529930209,17273,17273
1529931434,17299,17299
1529932826,17319,17319
1529933991,17297,17297
1529934980,17331,17331
1529936134,17321,17321
1529937750,17412,17412
1529938585,17485,17485
1529939730,17494,17494
1529940511,17538,17538
1529943035,17552,17552
1529944948,17522,17522
1529945788,17557,17557
1529946871,17529,17529
1529948122,17523,17523
1529950466,17505,17505
1529951626,17499,17499
1529952990,17539,17539
1529954106,17538,17538
1529955631,17514,17514
1529957426,17478,17478
1529957660,17489,17489
1529959340,17464,17464
1529960180,17498,17498
1529961266,17478,17478
1529962857,17474,17474
1529964631,17470,17470
1529965699,17485,17485
1529967032,17457,17457
1529968228,17434,17434
1529970150,17426,17426
1529971835,17425,17425
1529972908,17453,17453
1529973754,17371,17371
1529974580,17389,17389
1529975661,17301,17301
1529976923,17215,17215
1529978184,17187,17187
1529979338,17170,17170
1529980943,17124,17124
1529982333,17115,17115
1529983909,17023,17023
1529986469,17039,17039
1529988152,17012,17012
1529988985,17043,17043
1529990071,17022,17022
1529991220,16935,16935
1529992579,16981,16981
1529993674,16987,16987
1529995527,17007,17007
1529996180,17034,17034
1529997267,16999,16999
1529998110,17051,17051
1529998949,16967,16967
1530000448,16914,16914
1530002552,16832,16832
1530004472,16863,16863
1530006248,16855,16855
1530008059,16909,16909
1530008899,16942,16942
1530010588,16894,16894
1530011726,16897,16897
1530012505,16923,16923
1530014121,16958,16958
1530015259,16892,16892
1530016385,16843,16843
1530016947,16845,16845
1530018865,16870,16870
1530019706,16884,16884
1530020538,16806,16806
1530021385,16833,16833
1530022467,16828,16828
1530023309,16863,16863
1530024139,16759,16759
1530026074,16737,16737
1530027631,16644,16644
1530029324,16556,16556
1530030582,16491,16491
1530031814,16493,16493
1530033268,16439,16439
1530034111,16462,16462
