DateTime,AddedIPs,RemovedIPs
1529673276,0,2
1529674958,1,0
1529678562,1,1
1529682626,2,1
1529682987,1,1
1529684078,0,2
1529685761,1,2
1529687673,2,0
1529689242,1,1
1529691267,2,1
1529692956,1,2
1529693796,2,0
1529694877,0,3
1529695705,1,0
1529697393,3,2
1529699311,1,10
1529700152,0,1
1529701003,2,0
1529702157,1,2
1529702926,0,1
1529703753,1,0
1529704590,1,0
1529706506,2,1
1529707361,0,1
1529710959,4,0
1529712916,3,1
1529714551,4,1
1529715961,0,1
1529718056,2,2
1529718999,2,0
1529720153,2,0
1529722535,2,3
1529724523,1,1
1529725373,1,1
1529727265,0,1
1529731717,1,1
1529734480,1,0
1529735308,1,0
1529736991,1,3
1529738068,2,1
1529739759,1,0
1529741683,1,2
1529742928,3,1
1529744734,1,2
1529746240,1,2
1529747788,2,1
1529748938,1,0
1529749719,1,0
1529751016,3,0
1529754060,2,3
1529755190,0,1
1529757801,0,1
1529758977,0,1
1529760333,1,1
1529761536,2,4
1529763036,2,0
1529764955,1,1
1529766867,3,2
1529768561,2,1
1529769391,1,0
1529772150,1,1
1529774077,3,2
1529776597,3,0
1529777665,3,3
1529778519,1,3
1529779351,1,2
1529780201,0,1
1529782112,3,1
1529786446,1,1
1529787937,3,0
1529788467,1,1
1529789306,0,1
1529790993,3,2
1529792140,1,2
1529794538,2,5
1529795740,1,2
1529796509,1,1
1529797351,1,4
1529799266,2,1
1529800868,0,1
1529802335,0,1
1529803849,1,2
1529805038,1,0
1529806532,1,1
1529808154,1,0
1529808991,1,0
1529810156,1,1
1529811753,0,7
1529813441,1,0
1529816198,0,1
1529818950,0,2
1529820883,1,0
1529824534,1,1
1529826210,3,0
1529828067,0,2
1529830234,2,2
1529831433,1,0
1529833368,1,0
1529834201,2,0
1529836948,0,2
1529838339,0,2
1529839712,1,0
1529841056,1,1
1529842238,1,1
1529843315,1,0
1529844989,1,1
1529848643,0,3
1529852032,1,1
1529853224,1,0
1529856929,0,2
1529858561,4,0
1529859944,1,1
1529862338,2,2
1529864066,4,0
1529864917,1,0
1529866348,1,0
1529867737,1,0
1529869348,0,2
1529872957,1,1
1529876551,2,2
1529878477,3,0
1529879307,1,0
1529880160,2,2
1529882074,3,1
1529883765,3,4
1529885695,0,3
1529887362,2,3
1529888752,1,1
1529890127,3,1
1529890964,1,2
1529892639,0,1
1529894558,1,0
1529895945,1,3
1529897316,2,0
1529899001,3,1
1529900069,0,1
1529903144,0,2
1529904809,0,1
1529906187,0,1
1529908120,0,1
1529910874,1,0
1529912546,1,1
1529913395,1,0
1529914540,0,1
1529916152,1,1
1529919754,0,1
1529921684,1,1
1529923364,1,0
1529926453,2,2
1529927796,3,0
1529928873,1,1
1529930217,0,2
1529931447,1,1
1529932840,3,1
1529934006,1,1
1529934988,1,0
1529936145,0,1
1529937761,0,4
1529939739,1,0
1529940518,1,1
1529943042,0,5
1529944955,2,5
1529945794,1,0
1529946878,1,1
1529948130,3,1
1529950480,0,2
1529951636,0,1
1529953002,2,1
1529954127,1,0
1529955639,1,0
1529957436,0,2
1529957667,0,1
1529959347,2,2
1529960188,1,0
1529961273,1,0
1529962868,2,1
1529964639,1,3
1529968239,0,1
1529970157,1,0
1529971842,4,2
1529972915,0,1
1529975668,1,0
1529976931,0,1
1529978197,1,0
1529979348,1,0
1529980951,1,1
1529982341,0,1
1529983923,0,1
1529986476,1,2
1529988159,2,0
1529988996,1,1
1529990078,1,0
1529991232,1,0
1529992590,0,1
1529993681,4,0
1529997278,3,0
1530000454,3,0
1530002563,0,2
1530004480,1,1
1530006255,3,1
1530010599,1,0
1530011736,3,0
1530014128,3,1
1530015266,3,1
1530016399,1,1
1530016957,1,0
1530018872,1,3
1530022481,2,1
1530023317,1,0
1530024146,0,3
1530026081,4,1
1530027642,0,2
1530029331,2,1
1530030609,0,2
1530031822,3,0
1530033278,0,3
1530035786,1,3
1530036941,1,3
1530038559,0,2
1530039394,2,1
1530044074,3,0
1530045762,2,1
1530047118,2,5
1530048650,1,1
1530051284,1,2
1530052953,0,1
1530054886,2,0
