DateTime,Entries,UniqueIPs
1529673276,99,99
1529674958,100,100
1529678562,100,100
1529682626,101,101
1529682987,101,101
1529684078,99,99
1529685761,98,98
1529687673,100,100
1529689242,100,100
1529691267,101,101
1529692956,100,100
1529693796,102,102
1529694877,99,99
1529695705,100,100
1529697393,101,101
1529699311,92,92
1529700152,91,91
1529701003,93,93
1529702157,92,92
1529702926,91,91
1529703753,92,92
1529704590,93,93
1529706506,94,94
1529707361,93,93
1529710959,97,97
1529712916,99,99
1529714551,102,102
1529715961,101,101
1529718056,101,101
1529718999,103,103
1529720153,105,105
1529722535,104,104
1529724523,104,104
1529725373,104,104
1529727265,103,103
1529731717,103,103
1529734480,104,104
1529735308,105,105
1529736991,103,103
1529738068,104,104
1529739759,105,105
1529741683,104,104
1529742928,106,106
1529744734,105,105
1529746240,104,104
1529747788,105,105
1529748938,106,106
1529749719,107,107
1529751016,110,110
1529754060,109,109
1529755190,108,108
1529757801,107,107
1529758977,106,106
1529760333,106,106
1529761536,104,104
1529763036,106,106
1529764955,106,106
1529766867,107,107
1529768561,108,108
1529769391,109,109
1529772150,109,109
1529774077,110,110
1529776597,113,113
1529777665,113,113
1529778519,111,111
1529779351,110,110
1529780201,109,109
1529782112,111,111
1529786446,111,111
1529787937,114,114
1529788467,114,114
1529789306,113,113
1529790993,114,114
1529792140,113,113
1529794538,110,110
1529795740,109,109
1529796509,109,109
1529797351,106,106
1529799266,107,107
1529800868,106,106
1529802335,105,105
1529803849,104,104
1529805038,105,105
1529806532,105,105
1529808154,106,106
1529808991,107,107
1529810156,107,107
1529811753,100,100
1529813441,101,101
1529816198,100,100
1529818950,98,98
1529820883,99,99
1529824534,99,99
1529826210,102,102
1529828067,100,100
1529830234,100,100
1529831433,101,101
1529833368,102,102
1529834201,104,104
1529836948,102,102
1529838339,100,100
1529839712,101,101
1529841056,101,101
1529842238,101,101
1529843315,102,102
1529844989,102,102
1529848643,99,99
1529852032,99,99
1529853224,100,100
1529856929,98,98
1529858561,102,102
1529859944,102,102
1529862338,102,102
1529864066,106,106
1529864917,107,107
1529866348,108,108
1529867737,109,109
1529869348,107,107
1529872957,107,107
1529876551,107,107
1529878477,110,110
1529879307,111,111
1529880160,111,111
1529882074,113,113
1529883765,112,112
1529885695,109,109
1529887362,108,108
1529888752,108,108
1529890127,110,110
1529890964,109,109
1529892639,108,108
1529894558,109,109
1529895945,107,107
1529897316,109,109
1529899001,111,111
1529900069,110,110
1529903144,108,108
1529904809,107,107
1529906187,106,106
1529908120,105,105
1529910874,106,106
1529912546,106,106
1529913395,107,107
1529914540,106,106
1529916152,106,106
1529919754,105,105
1529921684,105,105
1529923364,106,106
1529926453,106,106
1529927796,109,109
1529928873,109,109
1529930217,107,107
1529931447,107,107
1529932840,109,109
1529934006,109,109
1529934988,110,110
1529936145,109,109
1529937761,105,105
1529939739,106,106
1529940518,106,106
1529943042,101,101
1529944955,98,98
1529945794,99,99
1529946878,99,99
1529948130,101,101
1529950480,99,99
1529951636,98,98
1529953002,99,99
1529954127,100,100
