DateTime,Entries,UniqueIPs
1529880138,5168,5168
1529882056,5550,5550
1529883750,5654,5654
1529884585,5689,5689
1529885680,5699,5699
1529886509,5745,5745
1529887341,5712,5712
1529888737,5725,5725
1529890105,5748,5748
1529890947,5733,5733
1529892621,5761,5761
1529894539,5762,5762
1529895927,5773,5773
1529897298,5809,5809
1529898987,5799,5799
1529900057,5791,5791
1529900897,5811,5811
1529903121,5778,5778
1529903666,5786,5786
1529904780,5777,5777
1529906176,5781,5781
1529908100,5835,5835
1529908934,5821,5821
1529910856,5802,5802
1529912536,5797,5797
1529913377,5810,5810
1529914520,5808,5808
1529916137,5812,5812
1529916975,5821,5821
1529918124,5810,5810
1529919739,5818,5818
1529921662,5811,5811
1529923350,5803,5803
1529925256,5786,5786
1529926434,5773,5773
1529927785,5805,5805
1529928858,5764,5764
1529930204,5744,5744
1529931427,5753,5753
1529932816,5739,5739
1529933987,5722,5722
1529934975,5733,5733
1529936122,5725,5725
1529937745,5737,5737
1529938577,5761,5761
1529939722,5748,5748
1529940507,5782,5782
1529943027,5694,5694
1529944935,5643,5643
1529945779,5660,5660
1529946863,5682,5682
1529948117,5669,5669
1529950458,5733,5733
1529951617,5807,5807
1529954420,5938,5938
1529955627,5947,5947
1529957415,5988,5988
1529957655,5996,5996
1529959336,6016,6016
1529960176,6033,6033
1529960459,6011,6011
1529961258,6033,6033
1529962846,6037,6037
1529964623,6025,6025
1529965695,6043,6043
1529967021,5992,5992
1529968218,5971,5971
1529970142,5964,5964
1529971823,6010,6010
1529972900,6027,6027
1529973746,6008,6008
1529974575,6032,6032
1529975656,6010,6010
1529976919,6000,6000
1529978180,5980,5980
1529979327,5989,5989
1529980938,5980,5980
1529982324,5995,5995
1529983900,5978,5978
1529986459,5979,5979
1529988145,5958,5958
1529988977,5965,5965
1529990063,5947,5947
1529991213,5951,5951
1529992575,5972,5972
1529993662,5955,5955
1529995516,5952,5952
1529996175,5984,5984
1529997257,5981,5981
1529998100,5994,5994
1529998942,5983,5983
1530000437,5978,5978
1530002540,5969,5969
1530004461,5980,5980
1530006243,5984,5984
1530008055,5991,5991
1530008895,6003,6003
1530010579,5988,5988
1530011718,5991,5991
1530012497,5996,5996
1530014116,6001,6001
1530015255,6007,6007
1530016381,5997,5997
1530016937,5975,5975
1530018857,6018,6018
1530019696,6028,6028
1530020534,5992,5992
1530021376,6017,6017
1530022456,6013,6013
1530023301,6046,6046
1530024135,6232,6232
1530026067,6498,6498
1530027620,6551,6551
1530029320,6567,6567
1530030545,6593,6593
1530031810,6596,6596
1530033257,6656,6656
1530034100,6692,6692
1530035774,6683,6683
1530036917,6672,6672
1530038543,6658,6658
1530039379,6676,6676
1530041303,6683,6683
1530044056,6678,6678
1530045747,6676,6676
1530047090,6662,6662
1530048623,6650,6650
1530049345,6665,6665
1530051263,6708,6708
1530052938,6663,6663
1530054863,6660,6660
1530056587,6626,6626
1530057374,6639,6639
1530058456,6638,6638
1530059297,6674,6674
1530060135,6671,6671
1530060982,6674,6674
1530062117,6646,6646
1530063735,6649,6649
1530065665,6645,6645
1530067341,6627,6627
1530068719,6623,6623
1530070108,6662,6662
1530071808,6644,6644
1530072858,6639,6639
1530074539,6640,6640
1530075377,6643,6643
1530076458,6622,6622
1530077297,6629,6629
1530078920,6570,6570
1530080056,6561,6561
1530081622,6543,6543
1530083118,6530,6530
1530084496,6562,6562
1530085815,6552,6552
1530087256,6565,6565
1530088100,6577,6577
1530089774,6571,6571
1530090052,6534,6534
1530091221,6546,6546
1530092536,6532,6532
1530094456,6537,6537
1530096140,6545,6545
1530096989,6555,6555
1530098057,6523,6523
1530099737,6520,6520
1530100964,6491,6491
1530102500,6521,6521
1530104084,6524,6524
1530105255,6518,6518
1530106444,6485,6485
1530107778,6521,6521
1530108920,6482,6482
1530110537,6441,6441
1530112457,6463,6463
1530114140,6454,6454
1530115820,6446,6446
1530117736,6413,6413
1530119655,6420,6420
1530120500,6428,6428
1530122175,6368,6368
1530123256,6342,6342
1530124517,6281,6281
1530126322,6292,6292
1530126856,6331,6331
1530127696,6368,6368
1530128917,6366,6366
1530130455,6392,6392
1530132042,6377,6377
1530133515,6409,6409
1530134056,6429,6429
1530135744,6437,6437
1530137656,6454,6454
1530139341,6460,6460
1530140177,6479,6479
1530141261,6474,6474
1530142106,6485,6485
1530142936,6466,6466
1530144343,6461,6461
1530145596,6485,6485
1530145706,6487,6487
1530147083,6486,6486
1530148227,6502,6502
1530148462,6506,6506
1530149721,6480,6480
1530150888,6511,6511
1530152059,6504,6504
1530153241,6509,6509
1530154350,6526,6526
1530155672,6531,6531
1530157338,6530,6530
1530158178,6555,6555
1530160094,6587,6587
1530161779,6573,6573
1530162854,6566,6566
1530163698,6573,6573
1530165376,6554,6554
1530166456,6533,6533
1530167298,6541,6541
1530168915,6528,6528
1530170054,6512,6512
1530171622,6516,6516
1530173686,6551,6551
1530174499,6565,6565
1530176213,6559,6559
1530177327,6562,6562
1530178095,6575,6575
1530179348,6561,6561
1530180855,6545,6545
1530181694,6558,6558
1530182537,6520,6520
1530183916,6523,6523
1530185874,6515,6515
1530187710,6505,6505
1530188899,6520,6520
1530190596,6508,6508
1530191722,6520,6520
1530193336,6475,6475
1530195259,6468,6468
1530196096,6478,6478
1530196935,6404,6404
1530198270,6399,6399
1530199525,6417,6417
1530200537,6385,6385
1530202468,6369,6369
1530203297,6380,6380
1530205065,6295,6295
1530206421,6292,6292
1530207915,6281,6281
1530208577,6294,6294
1530209664,6265,6265
1530210503,6278,6278
1530211341,6250,6250
1530212724,6213,6213
1530214098,6230,6230
1530214941,6196,6196
1530216857,6219,6219
1530217697,6230,6230
1530218535,6199,6199
1530219381,6219,6219
1530220521,6200,6200
1530221715,6191,6191
1530224060,6171,6171
1530224903,6181,6181
1530225737,6164,6164
1530227660,6185,6185
