DateTime,AddedIPs,RemovedIPs
1527562617,1,0
1527563705,0,1
1527570878,1,0
1527576161,0,1
1527579786,1,1
1527585294,0,1
1527586545,0,2
1527588950,0,1
1527590906,0,1
1527592058,0,1
1527598475,1,0
1527602212,6,0
1527603284,0,1
1527604854,0,2
1527606388,1,0
1527611315,1,0
1527627072,0,2
1527631855,0,1
1527650083,0,2
1527651698,0,6
1527653687,0,1
1527656209,3,0
1527658119,1,0
1527660878,0,1
1527662453,1,0
1527663951,0,1
1527668084,3,0
1527669339,1,0
1527671149,1,0
1527673572,1,1
1527675278,0,1
1527677739,4,0
1527688420,0,1
1527695802,1,0
1527702157,1,0
1527709369,0,1
1527714882,1,0
1527720062,0,1
1527727360,1,0
1527737324,1,0
1527738667,1,0
1527740083,0,3
1527744946,1,0
1527747055,1,0
1527749818,0,1
1527750951,0,1
1527755748,0,1
1527759877,1,0
1527762706,1,0
1527779760,1,0
1527781284,0,1
1527783293,0,1
1527804657,0,1
1527819292,1,0
1527820977,1,0
1527824107,1,1
1527826491,0,2
1527829784,1,0
1527843037,1,0
1527846050,0,2
1527848076,0,1
1527853372,1,0
1527858620,0,1
1527864068,0,1
1527871370,0,1
1527876962,1,0
1527891307,0,1
1527906538,1,0
1527910963,0,0
1527914570,1,0
1527916477,0,0
1527923741,0,0
1527925357,0,0
1527927349,0,0
1527928550,0,0
1527929799,0,0
1527930954,0,0
1527932142,0,0
1527934246,0,1
1527936163,0,1
1527938079,0,0
1527938922,0,0
1527941748,0,0
1527942951,0,1
1527945278,0,0
1527946610,0,0
1527948885,0,0
1527950586,0,0
1527951401,0,0
1527952497,1,1
1527953741,0,0
1527956748,0,1
1527957772,1,0
1527958609,0,0
1527959758,0,0
1527961355,0,0
1527963054,0,0
1527964976,0,0
1527965801,0,0
1527966885,0,0
1527968555,0,0
1527970491,0,0
1527972161,0,0
1527973000,0,0
1527974088,0,0
1527974936,0,0
1527975767,0,0
1527977453,0,0
1527978518,0,0
1527979361,0,0
1527980204,0,0
1527981353,0,0
1527982869,1,0
1527983798,0,0
1527985725,1,0
1527990635,2,0
1527991857,0,0
1527992927,0,0
1527995174,0,0
1527995680,0,0
1527997314,1,1
1527999280,0,6
1528000866,0,1
1528002345,0,0
1528002894,0,0
1528004563,1,0
1528035283,1,0
1528036547,0,1
1528038876,2,0
1528056902,0,3
1528059404,1,0
1528076571,0,1
1528080719,0,1
1528082927,1,0
1528085714,2,0
1528103690,2,0
1528107167,1,1
1528109015,1,0
1528112216,0,2
1528122519,1,0
1528127815,0,1
1528134175,0,1
1528142635,1,0
1528143942,1,0
1528158520,1,0
1528170210,1,0
1528173774,0,2
1528209462,1,0
1528211150,0,1
1528211690,1,0
1528222556,1,0
1528227760,0,1
1528229681,0,1
1528234911,1,0
1528236658,1,0
1528258542,1,0
1528263766,0,1
1528274446,0,1
1528275947,1,1
1528283747,5,0
1528294473,0,1
1528296644,0,1
1528298084,2,0
1528308527,0,0
1528318608,0,0
1528325010,0,0
1528329038,1,0
1528332993,0,1
1528337452,1,0
1528338701,0,1
1528361795,1,0
1528364563,0,1
1528366476,0,1
1528369004,0,1
1528378985,0,1
1528379796,1,0
1528384477,3,0
1528385741,2,0
1528386993,1,0
1528405540,0,1
1528423007,0,1
1528427692,0,1
1528431346,0,1
1528432113,1,0
1528445682,1,0
1528452875,2,0
1528454553,1,0
1528455394,2,0
1528458191,2,1
1528459709,1,0
1528460920,1,0
1528463160,2,0
1528471718,2,0
1528476211,1,0
1528477592,1,0
1528483013,0,1
1528515243,0,1
1528519362,0,1
1528522123,1,0
1528532144,0,1
1528542872,1,0
1528554653,0,1
1528557222,1,0
1528560931,1,0
1528562079,0,1
1528569666,1,0
1528589675,1,0
1528596903,0,1
1528598157,0,1
1528599355,0,1
1528603852,2,0
1528607751,0,1
1528609363,0,1
1528616886,0,2
1528623764,0,4
1528625157,0,2
1528632889,0,2
1528636484,0,1
1528638165,1,1
1528639843,1,0
1528642522,0,1
1528643680,1,0
1528650883,0,1
1528658093,1,0
1528672548,1,0
1528674169,1,0
1528685813,1,0
1528689409,1,0
1528694073,3,0
