DateTime,Entries,UniqueIPs
1527590906,159,159
1527592058,158,158
1527598475,159,159
1527602212,165,165
1527603284,164,164
1527604854,162,162
1527606388,163,163
1527611315,164,164
1527627072,162,162
1527631855,161,161
1527650083,159,159
1527651698,153,153
1527653687,152,152
1527656209,155,155
1527658119,156,156
1527660878,155,155
1527662453,156,156
1527663951,155,155
1527668084,158,158
1527669339,159,159
1527671149,160,160
1527673572,160,160
1527675278,159,159
1527677739,163,163
1527688420,162,162
1527695802,163,163
1527702157,164,164
1527709369,163,163
1527714882,164,164
1527720062,163,163
1527727360,164,164
1527737324,165,165
1527738667,166,166
1527740083,163,163
1527744946,164,164
1527747055,165,165
1527749818,164,164
1527750951,163,163
1527755748,162,162
1527759877,163,163
1527762706,164,164
1527779760,165,165
1527781284,164,164
1527783293,163,163
1527804657,162,162
1527819292,163,163
1527820977,164,164
1527824107,164,164
1527826491,162,162
1527829784,163,163
1527843037,164,164
1527846050,162,162
1527848076,161,161
1527853372,162,162
1527858620,161,161
1527864068,160,160
1527871370,159,159
1527876962,160,160
1527891307,159,159
1527906538,160,160
1527910963,160,160
1527914570,161,161
1527916477,161,161
1527923741,161,161
1527925357,161,161
1527927349,161,161
1527928550,161,161
1527929799,161,161
1527930954,161,161
1527932142,161,161
1527934246,160,160
1527934246,160,160
1527936163,159,159
1527938079,159,159
1527938922,159,159
1527941748,159,159
1527942951,158,158
1527945278,158,158
1527945278,158,158
1527946610,158,158
1527948885,158,158
1527950586,158,158
1527951401,158,158
1527952497,158,158
1527953741,158,158
1527953741,158,158
1527956748,157,157
1527957772,158,158
1527961355,158,158
1527961355,158,158
1527963054,158,158
1527964976,158,158
1527965801,158,158
1527966885,158,158
1527968555,158,158
1527968555,158,158
1527970491,158,158
1527972161,158,158
1527973000,158,158
1527974088,158,158
1527974936,158,158
1527975767,158,158
1527977453,158,158
1527978518,158,158
1527979361,158,158
1527980204,158,158
1527981353,158,158
1527982869,159,159
1527983798,159,159
1527985725,160,160
1527985725,160,160
1527985725,160,160
1527990635,162,162
1527991857,162,162
1527992927,162,162
1527992927,162,162
1527995174,162,162
1527995680,162,162
1527997314,162,162
1527997314,162,162
1527999280,156,156
1528000866,155,155
1528002345,155,155
1528002894,155,155
1528004563,156,156
1528035283,157,157
1528036547,156,156
1528038876,158,158
1528056902,155,155
1528059404,156,156
1528076571,155,155
1528080719,154,154
1528082927,155,155
1528085714,157,157
1528103690,159,159
1528107167,159,159
1528109015,160,160
1528112216,158,158
1528122519,159,159
1528127815,158,158
1528134175,157,157
1528142635,158,158
1528143942,159,159
1528158520,160,160
1528170210,161,161
1528173774,159,159
1528209462,160,160
1528211150,159,159
1528211690,160,160
1528222556,161,161
1528227760,160,160
1528229681,159,159
1528234911,160,160
1528236658,161,161
1528258542,162,162
1528263766,161,161
1528274446,160,160
1528275947,160,160
1528283747,165,165
1528294473,164,164
1528296644,163,163
1528298084,165,165
1528308527,165,165
1528318608,165,165
1528325010,165,165
1528329038,166,166
1528332993,165,165
1528337452,166,166
1528338701,165,165
1528361795,166,166
1528364563,165,165
1528366476,164,164
1528369004,163,163
1528378985,162,162
1528379796,163,163
1528384477,166,166
1528385741,168,168
1528386993,169,169
1528405540,168,168
1528423007,167,167
1528427692,166,166
1528431346,165,165
1528432113,166,166
1528445682,167,167
1528452875,169,169
1528454553,170,170
1528455394,172,172
1528458191,173,173
1528459709,174,174
1528460920,175,175
1528463160,177,177
1528471718,179,179
1528476211,180,180
1528477592,181,181
1528483013,180,180
1528515243,179,179
1528519362,178,178
1528522123,179,179
1528532144,178,178
1528542872,179,179
1528554653,178,178
1528557222,179,179
1528560931,180,180
1528562079,179,179
1528569666,180,180
1528589675,181,181
1528596903,180,180
1528598157,179,179
1528599355,178,178
1528603852,180,180
1528607751,179,179
1528609363,178,178
1528616886,176,176
1528623764,172,172
1528625157,170,170
1528632889,168,168
1528636484,167,167
1528638165,167,167
1528639843,168,168
1528642522,167,167
1528643680,168,168
1528650883,167,167
1528658093,168,168
1528672548,169,169
1528674169,170,170
1528685813,171,171
1528689409,172,172
1528694073,175,175
1528706146,176,176
