DateTime,AddedIPs,RemovedIPs
1529370491,7,12
1529372407,7,13
1529376246,14,15
1529380091,17,16
1529387768,6,23
1529389692,14,0
1529391621,10,7
1529393538,10,4
1529395459,5,9
1529397378,2,4
1529399291,16,9
1529401244,12,4
1529403131,13,15
1529405050,19,12
1529408890,15,7
1529410821,3,5
1529412734,9,0
1529414894,11,11
1529416822,2,6
1529418747,5,11
1529420663,1,0
1529422569,5,0
1529424522,7,9
1529426412,1,13
1529434108,21,46
1529436016,7,13
1529437932,6,0
1529439854,27,24
1529441775,1,9
1529443695,11,11
1529445620,12,13
1529448158,16,0
1529449958,6,0
1529451920,20,22
1529453771,1,0
1529455692,10,7
1529457615,10,0
1529459538,10,17
1529461449,14,6
1529463371,7,10
1529465284,5,17
1529467220,8,23
1529469142,8,23
1529471051,7,0
1529474898,13,20
1529476814,7,0
1529482577,8,41
1529486419,9,7
1529488335,5,0
1529490254,24,0
1529492179,12,15
1529494090,17,5
1529496031,6,13
1529499859,7,14
1529503934,4,12
1529505860,15,7
1529507780,7,5
1529509704,26,0
1529511613,11,2
1529513537,5,14
1529515449,24,8
1529517617,4,5
1529519548,6,0
1529521473,2,6
1529524120,23,7
1529527929,5,23
1529529861,22,0
1529531775,5,3
1529538496,15,6
1529540417,8,7
1529542340,10,9
1529544258,17,5
1529546176,7,11
1529548091,17,6
1529550025,4,7
1529551938,13,0
1529553862,3,2
1529555771,20,0
1529557714,11,3
1529559614,9,0
1529561544,8,0
1529563457,20,0
1529565375,22,9
1529567295,19,5
1529571151,8,5
1529574970,11,16
1529577142,15,5
1529579063,14,8
1529582902,15,21
1529584822,11,9
1529586752,25,0
1529588659,15,7
1529590826,13,9
1529592758,4,4
1529594656,12,0
1529596577,3,7
1529598490,25,8
1529600439,7,4
1529602352,5,0
1529604266,5,0
1529606193,8,0
1529608110,7,6
1529610022,7,6
1529613868,11,19
1529615792,13,0
1529617699,11,0
1529619626,17,9
1529622280,7,0
1529624187,14,0
1529626106,6,8
1529629943,1,25
1529633786,15,11
1529635694,15,9
1529637620,11,11
1529639545,10,0
1529641457,21,0
1529645291,23,9
1529647231,14,11
1529649147,1,5
1529651073,14,9
1529652970,3,13
1529654908,10,0
1529656812,8,11
1529658987,5,5
1529661140,22,4
1529663063,20,4
1529664972,8,0
1529666898,15,13
1529668858,5,10
1529670751,9,6
1529672658,5,8
1529676524,12,18
1529678423,5,10
1529680352,14,0
1529682254,16,4
1529684185,8,14
1529686101,17,15
1529688016,26,5
1529689941,11,7
1529691856,10,2
1529693779,9,10
1529695694,20,10
1529697649,6,6
1529699542,24,0
1529701472,7,0
1529703373,10,0
1529707825,15,8
1529709853,24,6
1529711773,6,12
1529713687,19,12
1529715625,19,6
1529717540,6,5
1529721377,22,19
1529725214,19,19
1529727144,18,11
1529729050,13,4
1529730991,14,0
1529732892,7,0
1529736740,2,5
1529738652,13,5
1529740576,23,0
1529742489,10,4
1529744419,13,5
1529746342,9,5
1529748280,9,3
1529750178,4,4
1529752106,18,4
1529754014,28,10
1529755949,18,13
1529757852,18,9
1529759784,7,10
1529761698,20,0
1529763631,25,12
1529765537,17,0
1529767451,10,3
1529769377,13,7
1529773224,4,19
1529775141,12,3
1529777070,11,0
1529778977,17,5
1529780908,6,8
1529784743,14,21
1529786647,13,4
1529788580,4,11
1529792406,18,9
1529795078,17,16
1529796976,13,9
1529798916,10,15
1529802751,15,17
1529804656,10,13
1529808496,20,22
1529810413,13,7
1529812335,12,0
1529816173,13,6
1529818099,28,11
1529820032,9,5
1529821948,15,12
1529823867,13,11
1529825779,18,3
1529827697,17,11
1529829628,14,0
1529831537,7,11
1529833460,13,2
1529835380,18,0
1529837293,19,4
1529839212,5,4
1529841142,14,8
1529843059,15,11
1529844979,9,0
1529846892,17,8
1529848897,16,0
1529850743,6,14
1529854823,11,23
1529856748,17,11
1529858663,19,12
1529860581,16,6
1529862491,15,0
1529866332,19,12
1529868258,16,4
1529870177,6,0
1529872123,14,9
1529875946,20,19
1529877864,10,0
1529880417,14,15
1529884329,9,23
1529886503,23,13
1529888425,5,0
1529890335,7,16
1529894177,14,11
1529896105,14,0
1529898017,13,13
1529899945,8,0
1529901857,12,0
1529903779,8,4
1529905695,10,7
1529907630,13,0
1529909537,5,10
1529911548,10,9
1529913374,15,6
1529915291,14,7
1529917231,14,5
1529919146,3,1
1529921060,2,0
1529922984,8,3
1529924902,4,2
1529926808,3,14
1529930900,19,12
1529932809,20,0
1529934751,3,4
1529936650,4,9
1529938567,4,11
1529940496,17,3
1529942419,5,14
1529944329,11,12
1529946263,13,0
1529948234,10,4
1529950095,5,11
1529952010,7,6
1529955858,13,18
1529958996,2,14
1529960899,6,10
1529962814,3,9
1529964743,14,0
1529966882,18,7
1529968817,11,0
1529972659,13,9
1529974569,14,9
1529976505,12,6
1529978418,11,0
1529980334,4,12
1529984175,6,14
1529986111,7,5
1529989938,10,21
1529993775,12,21
1529997638,13,26
1529999550,13,16
1530001696,9,7
1530003637,7,0
1530005536,2,2
1530009373,7,4
1530011296,1,4
1530013224,6,9
1530015140,12,4
1530017052,9,13
1530020891,16,16
1530022824,10,0
1530028570,3,22
1530034345,4,21
1530036265,2,0
1530038170,4,8
1530040103,1,4
1530042010,2,7
1530045857,10,4
1530047782,10,8
1530049695,12,13
1530051612,10,6
1530055459,5,10
1530059291,15,9
1530061462,10,7
1530063370,4,9
1530065305,15,10
1530067216,12,8
1530072970,10,24
1530074903,11,12
1530076813,9,7
1530078735,11,5
1530082572,9,22
1530084497,10,7
1530086459,8,5
1530088348,8,5
1530090264,7,9
1530092172,2,4
1530094119,4,3
1530096012,4,5
1530097966,5,7
1530099853,6,5
1530101776,9,11
1530103704,14,7
1530105610,6,8
1530107532,6,7
1530111366,2,3
1530113537,7,8
1530115461,7,0
1530117382,8,0
1530119315,10,10
1530121214,14,0
1530123148,13,5
1530125299,7,5
1530127212,7,5
1530129146,5,0
1530131295,9,1
1530133236,8,0
1530135145,7,1
1530137065,5,0
1530139425,16,10
1530141372,8,12
1530143292,10,6
1530145215,5,15
1530147129,5,0
1530149058,17,11
1530150972,2,9
1530152895,9,6
1530154820,4,0
1530156731,5,0
1530160568,9,0
1530162500,8,6
1530164409,10,3
1530166331,9,0
1530168259,17,0
1530170173,8,7
1530172099,14,20
1530174007,5,0
1530175935,4,9
1530177855,6,0
1530179780,2,3
1530181688,9,3
1530183862,5,17
1530185780,4,10
1530187717,7,12
1530189625,7,3
1530191544,3,0
1530193452,13,6
1530195382,10,6
1530197548,8,5
1530199457,19,0
1530201377,10,7
1530203291,8,3
1530205219,9,0
1530209070,6,3
1530210979,14,3
1530214811,10,9
1530217485,10,8
1530219370,4,11
1530221293,12,2
1530223233,6,1
1530225440,7,6
1530227304,2,5
1530229463,13,4
1530231274,17,5
1530235595,12,10
1530237601,10,5
1530241870,16,1
1530243746,15,2
1530247582,11,17
1530249609,22,9
1530251533,13,3
1530253451,16,4
1530257544,11,7
1530259454,6,11
1530261621,8,3
1530265454,6,5
1530267366,4,2
1530269539,2,0
1530271457,8,8
1530273389,14,9
1530275291,14,5
1530277232,14,5
1530279140,6,9
1530281068,19,2
1530284906,6,18
1530288742,11,9
1530290654,10,3
1530292577,11,7
1530296775,18,15
1530299316,15,0
1530305052,17,15
1530306978,17,3
1530314649,16,26
1530316573,13,6
1530318487,17,12
1530320431,12,4
1530324256,10,18
1530326198,11,4
1530328108,16,6
1530331947,15,19
1530333855,14,5
1530335776,18,13
1530337700,24,9
1530339639,12,8
1530341547,10,8
1530345374,13,17
1530347301,14,3
1530349235,12,9
1530351136,7,3
1530353067,7,6
1530360975,5,14
1530362887,19,4
1530364815,18,8
1530370569,5,20
1530372491,16,3
1530374448,12,11
1530376334,9,7
1530378258,14,2
1530380178,5,2
1530382093,16,10
1530384010,5,0
1530385940,21,6
1530387856,20,21
1530391716,13,6
1530393610,16,0
1530395527,8,2
1530397571,21,11
1530401675,13,11
1530403811,14,8
1530407679,18,20
1530409696,8,11
1530411635,15,7
1530413530,12,6
1530415449,13,10
1530417367,12,11
1530419292,13,11
1530421218,12,4
1530423137,18,9
1530425067,22,0
1530427201,17,3
1530429132,15,12
1530432977,11,12
1530434893,8,0
1530436812,3,3
1530438730,6,0
1530440653,3,0
1530442575,1,6
1530444491,5,10
1530446436,6,10
1530448337,10,18
1530450255,22,4
1530452437,15,8
1530454346,17,16
1530456257,7,3
1530458173,6,0
1530460176,18,8
1530462026,13,5
1530465848,12,8
1530467772,6,9
1530469688,8,7
1530471615,17,2
1530473535,8,10
1530475454,13,0
1530477375,14,11
1530479295,18,11
1530481205,14,13
1530483140,12,11
1530485047,13,9
1530486971,17,0
1530488895,22,5
1530492726,6,12
1530494677,14,6
1530496568,3,0
1530500667,17,13
1530504493,13,4
1530506414,12,9
1530508335,12,10
1530510249,24,0
1530512183,12,14
1530516006,10,9
1530517956,13,13
1530519850,7,0
1530521709,10,13
1530523687,8,5
1530525623,3,4
