DateTime,Entries,UniqueIPs
1529370491,4079,4164
1529372407,4068,4153
1529376246,4071,4156
1529380091,4081,4166
1529387768,4040,4124
1529389692,4046,4130
1529391621,4047,4130
1529393538,4059,4142
1529395459,4048,4131
1529397378,4041,4124
1529399291,4052,4135
1529401244,4050,4133
1529403131,4051,4133
1529405050,4054,4136
1529408890,4058,4142
1529410821,4051,4136
1529412734,4062,4147
1529414894,4069,4154
1529416822,4060,4145
1529418747,4053,4138
1529420663,4038,4123
1529422569,4021,4106
1529424522,4025,4110
1529426412,4019,4104
1529434108,4016,4101
1529436016,4011,4094
1529437932,3999,4082
1529439854,4018,4101
1529441775,4007,4088
1529443695,4010,4091
1529445620,4019,4100
1529448158,4015,4096
1529449958,4022,4103
1529451920,4025,4106
1529453771,4023,4104
1529455692,4021,4101
1529457615,4025,4105
1529459538,4028,4108
1529461449,4039,4119
1529463371,4040,4121
1529465284,4031,4112
1529467220,4028,4108
1529469142,4020,4099
1529471051,4017,4096
1529474898,4011,4090
1529476814,3987,4067
1529482577,3962,4041
1529486419,3944,4024
1529488335,3945,4025
1529490254,3960,4040
1529492179,3956,4035
1529494090,3954,4032
1529496031,3964,4042
1529499859,3956,4034
1529503934,3936,4013
1529505860,3939,4016
1529507780,3936,4013
1529509704,3964,4041
1529511613,3969,4046
1529513537,3972,4049
1529515449,3990,4067
1529517617,3993,4070
1529519548,3993,4070
1529521473,3996,4073
1529524120,4016,4093
1529527929,3991,4068
1529529861,4002,4080
1529531775,4007,4085
1529538496,4013,4091
1529540417,4020,4099
1529542340,4011,4091
1529544258,4022,4103
1529546176,4024,4103
1529548091,4042,4121
1529550025,4027,4106
1529551938,4036,4115
1529553862,4023,4101
1529555771,4034,4113
1529557714,4023,4102
1529559614,4032,4111
1529561544,4030,4108
1529563457,4054,4133
1529565375,4077,4157
1529567295,4077,4157
1529571151,4067,4146
1529574970,4078,4157
1529577142,4079,4157
1529579063,4096,4174
1529582902,4107,4186
1529584822,4095,4174
1529586752,4124,4203
1529588659,4143,4222
1529590826,4127,4205
1529592758,4115,4193
1529594656,4120,4199
1529596577,4113,4192
1529598490,4120,4200
1529600439,4127,4207
1529602352,4106,4185
1529604266,4098,4177
1529606193,4103,4182
1529608110,4105,4185
1529610022,4105,4185
1529613868,4114,4195
1529615792,4104,4184
1529617699,4094,4176
1529619626,4108,4190
1529622280,4118,4200
1529624187,4126,4208
1529626106,4128,4210
1529629943,4111,4193
1529633786,4107,4189
1529635694,4114,4196
1529637620,4129,4211
1529639545,4127,4210
1529641457,4123,4206
1529645291,4140,4223
1529647231,4148,4231
1529649147,4142,4225
1529651073,4146,4228
1529652970,4134,4216
1529654908,4138,4220
1529656812,4147,4229
1529658987,4147,4229
1529661140,4166,4248
1529663063,4192,4274
1529664972,4189,4271
1529666898,4196,4277
1529668858,4184,4265
1529670751,4193,4274
1529672658,4197,4280
1529676524,4190,4273
1529678423,4182,4267
1529680352,4181,4266
1529682254,4206,4291
1529684185,4220,4305
1529686101,4222,4307
1529688016,4245,4330
1529689941,4243,4328
1529691856,4251,4336
1529693779,4247,4332
1529695694,4259,4344
1529697649,4266,4351
1529699542,4295,4380
1529701472,4287,4371
1529703373,4289,4373
1529707825,4280,4365
1529709853,4296,4382
1529711773,4304,4392
1529713687,4326,4414
1529715625,4332,4418
1529717540,4326,4411
1529721377,4336,4423
1529725214,4335,4423
1529727144,4342,4429
1529729050,4358,4445
1529730991,4353,4440
1529732892,4348,4435
1529736740,4331,4417
1529738652,4346,4433
1529740576,4360,4447
1529742489,4362,4449
1529744419,4368,4454
1529746342,4377,4464
1529748280,4383,4469
1529750178,4377,4463
1529752106,4377,4463
1529754014,4406,4492
1529755949,4421,4505
1529757852,4438,4523
1529759784,4437,4523
1529761698,4435,4521
1529763631,4450,4536
1529765537,4470,4557
1529767451,4483,4571
1529769377,4489,4577
1529773224,4481,4570
1529775141,4479,4568
1529777070,4481,4570
1529778977,4494,4582
1529780908,4485,4574
1529784743,4505,4597
1529786647,4511,4603
1529788580,4502,4594
1529792406,4483,4575
1529795078,4491,4583
1529796976,4509,4601
1529798916,4506,4598
1529802751,4503,4595
1529804656,4504,4596
1529808496,4511,4603
1529810413,4509,4601
1529812335,4507,4598
1529816173,4505,4596
1529818099,4520,4610
1529820032,4510,4600
1529821948,4511,4600
1529823867,4515,4604
1529825779,4518,4607
1529827697,4519,4608
1529829628,4527,4615
1529831537,4511,4600
1529833460,4526,4615
1529835380,4543,4632
1529837293,4565,4654
1529839212,4554,4643
1529841142,4571,4662
1529843059,4572,4666
1529844979,4581,4675
1529846892,4598,4691
1529848897,4589,4684
1529850743,4575,4669
1529854823,4566,4660
1529856748,4561,4656
1529858663,4587,4682
1529860581,4600,4695
1529862491,4616,4711
1529866332,4603,4699
1529868258,4600,4698
1529870177,4584,4682
1529872123,4576,4673
1529875946,4561,4658
1529877864,4554,4651
1529880417,4543,4640
1529884329,4536,4633
1529886503,4540,4637
1529888425,4528,4625
1529890335,4526,4623
1529894177,4512,4609
1529896105,4518,4615
1529898017,4528,4625
1529899945,4529,4626
1529901857,4527,4624
1529903779,4539,4636
1529905695,4552,4651
1529907630,4570,4669
1529909537,4557,4656
1529911548,4556,4654
1529913374,4557,4656
1529915291,4571,4670
1529917231,4577,4676
1529919146,4581,4681
1529921060,4578,4678
1529922984,4577,4677
1529924902,4569,4669
1529926808,4573,4673
1529930900,4575,4677
1529932809,4585,4686
1529934751,4578,4679
1529936650,4567,4668
1529938567,4556,4657
1529940496,4563,4667
1529942419,4567,4671
1529944329,4571,4674
1529946263,4580,4683
1529948234,4590,4693
1529950095,4593,4696
1529952010,4593,4696
1529955858,4608,4712
1529958996,4603,4707
1529960899,4604,4708
1529962814,4605,4710
1529964743,4617,4722
1529966882,4626,4732
1529968817,4638,4744
1529972659,4652,4758
1529974569,4658,4764
1529976505,4665,4771
1529978418,4671,4777
1529980334,4678,4784
1529984175,4668,4773
1529986111,4657,4762
1529989938,4670,4775
1529993775,4685,4790
1529997638,4673,4778
1529999550,4679,4784
1530001696,4683,4788
1530003637,4690,4795
1530005536,4675,4780
1530009373,4657,4762
1530011296,4636,4741
1530013224,4644,4749
1530015140,4643,4748
1530017052,4648,4753
1530020891,4642,4746
1530022824,4651,4756
1530028570,4640,4745
1530034345,4631,4736
1530036265,4633,4738
1530038170,4638,4743
1530040103,4623,4728
1530042010,4616,4721
1530045857,4597,4702
1530047782,4608,4713
1530049695,4611,4716
1530051612,4611,4716
1530055459,4596,4701
1530059291,4593,4698
1530061462,4602,4705
1530063370,4593,4697
1530065305,4605,4710
1530067216,4608,4713
1530072970,4600,4705
1530074903,4612,4719
1530076813,4615,4722
1530078735,4631,4738
