DateTime,AddedIPs,RemovedIPs
1529370491,27,31
1529372407,28,28
1529376246,41,25
1529380091,45,44
1529387768,22,47
1529389692,43,20
1529391621,31,43
1529393538,28,33
1529395459,24,25
1529397378,13,26
1529399291,39,14
1529401244,28,36
1529403131,34,29
1529405050,46,35
1529408890,48,47
1529410821,17,48
1529412734,27,16
1529414894,43,26
1529416822,10,45
1529418747,19,9
1529420663,15,20
1529422569,14,14
1529424522,19,15
1529426412,9,19
1529434108,56,8
1529436016,31,56
1529437932,14,30
1529439854,64,15
1529441775,12,65
1529443695,45,10
1529445620,23,46
1529448158,39,22
1529449958,21,37
1529451920,47,23
1529453771,18,48
1529455692,42,16
1529457615,35,41
1529459538,35,35
1529461449,51,37
1529463371,28,47
1529465284,41,32
1529467220,18,41
1529469142,26,20
1529471051,36,26
1529474898,42,37
1529476814,33,38
1529482577,21,35
1529486419,22,21
1529488335,15,24
1529490254,61,15
1529492179,36,61
1529494090,45,33
1529496031,22,46
1529499859,28,21
1529503934,15,30
1529505860,46,14
1529507780,22,46
1529509704,57,23
1529511613,26,55
1529513537,24,27
1529515449,53,25
1529517617,25,54
1529519548,18,22
1529521473,8,19
1529524120,51,8
1529527929,27,51
1529529861,51,28
1529531775,18,51
1529538496,44,16
1529540417,18,45
1529542340,49,13
1529544258,37,48
1529546176,24,40
1529548091,54,25
1529550025,18,54
1529551938,42,19
1529553862,11,41
1529555771,54,11
1529557714,29,52
1529559614,23,33
1529561544,32,23
1529563457,46,29
1529565375,51,47
1529567295,42,48
1529571151,22,48
1529574970,44,21
1529577142,34,41
1529579063,36,34
1529582902,49,38
1529584822,19,49
1529586752,52,19
1529588659,45,53
1529590826,26,43
1529592758,16,28
1529594656,31,16
1529596577,13,30
1529598490,52,13
1529600439,21,52
1529602352,9,23
1529604266,21,9
1529606193,17,21
1529608110,16,17
1529610022,12,15
1529613868,38,12
1529615792,38,35
1529617699,28,39
1529619626,44,28
1529622280,14,44
1529624187,58,15
1529626106,14,59
1529629943,17,15
1529633786,32,13
1529635694,33,32
1529637620,47,32
1529639545,45,46
1529641457,56,44
1529645291,56,61
1529647231,39,53
1529649147,19,41
1529651073,41,18
1529652970,16,40
1529654908,30,20
1529656812,20,29
1529658987,29,21
1529661140,57,28
1529663063,52,57
1529664972,33,52
1529666898,50,34
1529668858,22,51
1529670751,19,22
1529672658,18,19
1529676524,37,16
1529678423,19,32
1529680352,32,23
1529682254,46,34
1529684185,39,43
1529686101,55,42
1529688016,54,54
1529689941,24,54
1529691856,39,24
1529693779,35,37
1529695694,56,36
1529697649,21,55
1529699542,56,21
1529701472,33,57
1529703373,32,33
1529707825,37,35
1529709853,62,38
1529711773,29,56
1529713687,57,29
1529715625,63,59
1529717540,20,65
1529721377,68,21
1529725214,57,63
1529727144,56,58
1529729050,52,57
1529730991,53,51
1529732892,33,54
1529736740,18,36
1529738652,38,18
1529740576,51,37
1529742489,42,49
1529744419,47,38
1529746342,24,49
1529748280,36,24
1529750178,14,36
1529752106,49,16
1529754014,64,45
1529755949,55,68
1529757852,54,57
1529759784,18,55
1529761698,57,18
1529763631,57,52
1529765537,48,57
1529767451,47,51
