DateTime,AddedIPs,RemovedIPs
1524889621,750,750
1524900421,770,770
1524911221,699,699
1524922021,529,529
1524932821,539,539
1524943621,512,512
1524954421,538,538
1524965221,895,895
1524976021,801,801
1524986821,707,707
1524997621,654,654
1525008421,556,556
1525019221,505,505
1525030021,462,462
1525040821,522,522
1525051621,887,887
1525062421,760,760
1525073221,707,707
1525084021,694,694
1525094821,565,565
1525105621,485,485
1525116421,591,591
1525127221,534,534
1525138021,930,930
1525148821,821,821
1525159621,721,721
1525170421,724,724
1525181221,589,589
1525192021,541,541
1525202821,529,529
1525213621,535,535
1525224421,925,925
1525235221,762,762
1525246021,692,692
1525256821,628,628
1525267621,519,519
1525278421,512,512
1525289221,423,423
1525300021,452,452
1525310821,870,870
1525321621,691,691
1525332421,636,636
1525343221,550,550
1525354021,570,570
1525364821,489,489
1525375621,447,447
1525386421,441,441
1525397221,846,846
1525408021,647,647
1525418821,615,615
1525429621,574,574
1525440421,542,542
1525451221,493,493
1525462021,428,428
1525472821,389,389
1525483621,823,823
1525494421,610,610
1525505221,591,591
1525516021,571,571
1525526821,542,542
1525537621,561,561
1525548421,668,668
1525559221,700,700
1525570021,998,998
1525580821,915,915
1525591621,657,657
1525602421,677,677
1525613221,571,571
1525624021,572,572
1525634821,677,677
1525645621,666,666
1525656421,958,958
1525667221,783,783
1525678021,713,713
1525688821,694,694
1525699621,526,526
1525710421,495,495
1525721221,485,485
1525732021,618,618
1525742821,936,936
1525753621,922,922
1525764422,792,792
1525775221,642,642
1525786021,531,531
1525796821,502,502
1525807621,500,500
1525818421,467,467
1525829221,1140,1140
1525840021,827,827
1525850821,664,664
1525861621,652,652
1525872421,594,594
1525883221,569,569
1525894021,503,503
1525904821,594,594
1525915621,1164,1164
1525926421,925,925
1525937221,864,864
1525948021,735,735
1525958821,638,638
1525969621,617,617
1525980421,623,623
1525991221,558,558
1526002021,1125,1125
1526012821,884,884
1526023621,710,710
1526034421,664,664
1526045221,612,612
1526056021,606,606
1526066821,606,606
1526077621,667,667
1526088421,1223,1223
1526099221,834,834
1526110021,823,823
1526120821,625,625
1526131621,612,612
1526142421,574,574
1526153221,587,587
1526164021,588,588
1526174821,1049,1049
1526185621,792,792
1526196421,683,683
1526207221,592,592
1526218021,507,507
1526228821,478,478
1526239621,617,617
1526250421,639,639
1526261221,970,970
1526272021,762,762
1526282821,676,676
1526293621,577,577
1526304421,509,509
1526315221,501,501
1526326021,482,482
1526336821,619,619
1526347621,896,896
1526358421,721,721
1526369221,629,629
1526380021,618,618
1526390821,606,606
1526401621,637,637
1526412421,577,577
1526423221,610,610
1526434021,1010,1010
1526444821,961,961
1526455621,816,816
1526466421,643,643
1526477221,589,589
1526488021,611,611
1526498821,611,611
1526509621,637,637
1526520421,1108,1108
1526531221,711,711
1526542021,636,636
1526552821,537,537
1526563621,519,519
1526574421,551,551
1526585221,496,496
1526596021,587,587
1526606821,959,959
1526617621,761,761
1526628421,649,649
1526639221,547,547
1526650021,529,529
1526664421,655,655
1526675221,484,484
1526686021,599,599
1526696821,1007,1007
1526707621,656,656
1526718421,616,616
1526729221,585,585
1526740021,463,463
1526750821,493,493
1526761621,443,443
1526772421,474,474
1526783221,950,950
1526794021,693,693
1526804821,594,594
1526815621,544,544
1526826421,511,511
1526837221,447,447
1526848021,443,443
1526858821,440,440
1526869621,793,793
1526880421,628,628
1526891221,590,590
1526902021,541,541
1526912821,508,508
1526927221,492,492
1526938021,401,401
1526948821,732,732
1526959621,688,688
1526970421,614,614
1526981221,591,591
1526992021,526,526
1527002821,451,451
1527013621,466,466
1527024421,357,357
1527035221,802,802
1527046021,756,756
1527056821,676,676
1527067621,545,545
1527078421,522,522
1527089221,504,504
1527100021,440,440
1527110821,388,388
1527121621,793,793
1527132421,600,600
1527143221,550,550
1527154021,539,539
1527164821,455,455
1527175621,517,517
1527186421,450,450
1527197221,417,417
1527208021,767,767
1527218821,510,510
1527229621,538,538
1527240421,542,542
1527251221,523,523
1527262021,458,458
1527272821,423,423
1527283621,389,389
1527294421,818,818
1527305221,569,569
1527316021,529,529
1527326821,474,474
1527337621,522,522
1527348421,453,453
1527359221,430,430
1527370021,379,379
1527380821,0,913
1527391621,602,602
1527402421,454,454
1527413221,462,462
1527424021,452,452
1527434821,423,423
1527445621,375,375
1527456421,411,411
1527467221,871,871
1527478021,741,741
1527488821,522,522
1527499621,478,478
1527510421,462,462
1527521221,449,449
1527532021,432,432
1527542821,452,452
1527553621,908,908
1527564421,741,741
1527575221,572,572
1527586021,515,515
1527596822,530,530
1527607621,447,447
1527618421,439,439
1527629221,431,431
1527640021,979,979
1527650822,751,751
1527661621,552,552
1527672421,544,544
1527683221,551,551
1527694021,331,331
1527704821,152,152
1527910021,4155,4155
1527920821,559,559
1527931621,493,493
1527942421,511,511
1527953221,445,445
1527964021,524,524
1527974821,389,389
1527985621,762,762
1527996421,661,661
1528007221,0,0
1528018021,492,492
1528028821,471,471
1528039621,472,472
1528050421,431,431
1528061221,386,386
1528072021,771,771
1528082821,727,727
1528093621,574,574
1528104421,536,536
1528115221,483,483
1528126021,500,500
1528136821,440,440
1528147621,429,429
1528158421,836,836
1528169221,741,741
1528180021,598,598
1528190821,536,536
1528201621,554,554
1528212421,552,552
1528223221,486,486
1528234021,465,465
1528244821,979,979
1528255621,718,718
1528266421,590,590
1528277221,580,580
1528288021,507,507
1528298821,426,426
1528309621,445,445
1528320421,465,465
1528331221,960,960
1528342021,629,629
1528352821,554,554
1528363621,594,594
1528374421,533,533
1528385221,483,483
1528396021,458,458
1528406821,449,449
1528417621,962,962
1528428421,767,767
1528439221,649,649
1528450021,672,672
1528460821,567,567
1528471621,531,531
1528482421,529,529
1528493221,478,478
1528504021,774,774
1528514821,837,837
1528525621,700,700
1528536421,633,633
1528547221,528,528
1528558021,488,488
1528568821,484,484
1528579621,461,461
1528590421,729,729
1528601221,769,769
1528612021,655,655
1528622821,620,620
1528633621,569,569
1528644421,528,528
1528655221,511,511
1528666021,459,459
1528676821,750,750
1528687621,735,735
1528698421,708,708
1528709221,589,589
1528720021,534,534
1528730821,515,515
1528741621,492,492
1528752421,468,468
1528763221,780,780
1528774021,723,723
1528784821,635,635
1528795621,574,574
1528806421,527,527
1528817221,527,527
1528828021,430,430
1528838821,445,445
1528849621,713,713
1528860421,725,725
1528871221,654,654
1528882021,536,536
1528892821,466,466
1528903621,482,482
1528914421,443,443
1528925221,397,397
1528936021,778,778
1528946821,613,613
1528957621,672,672
1528968421,723,723
1528979221,666,666
1528990021,743,743
1529000821,583,583
1529011621,625,625
1529022421,856,856
1529033221,1215,1215
1529044022,801,801
1529054821,725,725
1529065621,606,606
1529076421,545,545
1529087221,515,515
1529098021,593,593
1529108821,879,879
1529119621,1001,1001
1529130421,806,806
1529141221,676,676
1529152021,635,635
1529162821,623,623
1529173621,559,559
1529184421,540,540
1529195221,956,956
1529206021,882,882
1529216821,750,750
1529227621,652,652
1529238421,597,597
1529249221,566,566
1529260021,556,556
1529270821,609,609
1529281621,926,926
1529292421,790,790
1529303221,647,647
1529314021,578,578
1529324821,582,582
1529335621,570,570
1529346421,556,556
1529357221,581,581
1529368021,867,867
1529378821,839,839
1529389621,645,645
1529400421,604,604
1529411221,480,480
1529422021,506,506
1529432821,503,503
1529443621,475,475
1529454422,709,709
1529465221,781,781
1529476021,590,590
1529486821,543,543
1529497621,443,443
1529508421,455,455
1529519221,442,442
1529530021,468,468
1529540821,792,792
1529551621,728,728
1529562421,595,595
1529573221,541,541
1529584021,482,482
1529594821,433,433
1529605621,509,509
1529616421,452,452
1529627221,823,823
1529638021,770,770
1529648821,679,679
1529659621,565,565
1529670421,498,498
1529681221,498,498
1529692021,503,503
1529702821,453,453
1529713621,774,774
1529724421,887,887
1529735221,763,763
1529746021,685,685
1529756821,578,578
1529767621,634,634
1529818021,2152,2152
1529828821,764,764
1529839621,761,761
1529850421,729,729
1529861221,670,670
1529872021,579,579
1529882821,577,577
1529893621,1282,1282
1529904421,813,813
1529915221,744,744
1529926021,751,751
1529936821,709,709
1529947621,674,674
1529958421,568,568
1529969221,575,575
1529980021,1315,1315
1529990821,793,793
1530001621,720,720
1530012421,721,721
1530023221,718,718
1530034021,662,662
1530044821,593,593
1530055621,532,532
1530066421,1235,1235
1530077221,865,865
1530088021,811,811
1530098821,842,842
1530109621,731,731
1530120421,702,702
1530131222,633,633
1530142021,614,614
1530152821,1379,1379
1530163621,897,897
1530174421,850,850
1530185221,831,831
1530196021,611,611
1530206821,555,555
1530217621,517,517
1530228421,481,481
1530239221,1210,1210
1530250021,694,694
1530260821,625,625
1530271621,656,656
1530282421,580,580
1530293221,558,558
1530304021,465,465
1530314821,560,560
1530325621,1108,1108
1530336421,747,747
1530347221,586,586
1530358021,516,516
1530368821,544,544
1530379621,479,479
1530390421,442,442
1530401221,438,438
1530412021,907,907
1530422821,640,640
1530433621,572,572
1530444421,514,514
1530455221,427,427
1530466021,499,499
1530476821,443,443
1530487621,413,413
1530498421,828,828
1530509221,558,558
1530520021,498,498
