DateTime,AddedIPs,RemovedIPs
1530174312,60,63
1530175209,31,6
1530175502,76,21
1530176180,19,18
1530176422,76,51
1530177129,8,1
1530177371,81,56
1530178088,11,13
1530178351,77,41
1530179078,20,10
1530179291,44,31
1530180021,22,8
1530180258,48,33
1530180971,13,0
1530181223,60,13
1530181954,9,0
1530182413,100,29
1530182895,15,2
1530183387,57,42
1530183864,11,1
1530184353,68,7
1530184822,11,0
1530185295,66,58
1530185790,10,3
1530186283,65,29
1530186760,8,2
1530187229,76,10
1530187728,5,2
1530188184,67,37
1530188681,9,0
1530189134,60,5
1530189635,11,36
1530190096,59,50
1530190664,5,61
1530191080,72,94
1530191783,12,51
1530192009,50,7
1530192733,14,15
1530192986,59,36
1530193692,8,18
1530194001,57,43
1530194676,7,13
1530195140,57,48
1530195614,7,14
1530196103,78,75
1530196573,1,11
1530197084,40,28
1530197560,1,11
1530198030,39,34
1530198517,2,15
1530198984,31,33
1530199473,1,20
1530199950,37,5
1530200420,1,20
1530200892,35,28
1530201387,2,24
1530201855,49,22
1530202342,3,21
1530202823,38,58
1530203297,6,17
1530203770,51,4
1530204286,14,9
1530204734,68,51
1530205221,8,12
1530205727,66,45
1530206182,7,14
1530206652,55,12
1530207156,4,14
1530207616,51,43
1530208092,4,19
1530208586,75,24
1530209072,8,9
1530209553,59,32
1530210017,6,23
1530210490,83,15
1530210989,16,8
1530211742,75,41
1530212181,11,17
1530212659,52,33
1530213145,17,9
1530213616,80,18
1530214092,4,21
1530214594,63,27
1530215064,10,9
1530215547,70,45
1530216074,7,20
1530217497,106,77
1530218412,76,32
1530219373,76,46
1530220374,62,43
1530221338,63,40
1530222328,57,38
1530223244,69,45
1530224180,63,57
1530225449,25,0
1530226103,58,26
1530226579,10,37
1530227054,55,5
1530227563,10,19
1530228019,58,51
1530228488,3,15
1530228990,76,4
1530230303,92,97
1530231304,77,55
1530232405,86,45
1530233449,75,51
1530234499,85,48
1530235605,95,51
1530237051,81,100
1530238420,78,51
1530239471,37,50
1530240638,62,100
1530241893,40,48
1530242908,78,55
1530244104,75,41
1530245108,79,57
1530246020,88,69
1530247593,87,68
1530248662,80,29
1530249617,91,32
1530250580,83,34
1530251538,111,24
1530253034,80,51
1530254200,83,42
1530255142,76,76
1530256099,61,10
1530257088,91,152
1530258029,22,60
1530258991,90,40
1530260128,81,58
1530260666,23,38
1530261148,75,42
1530261631,10,22
1530262089,79,42
1530262584,11,19
1530263124,60,45
1530263588,18,13
1530264260,54,50
1530264754,19,18
1530265232,83,48
1530265694,6,14
1530266185,66,39
1530266661,9,17
1530267136,65,38
1530267626,7,18
1530268092,69,39
1530268575,10,18
1530269069,65,42
1530269560,9,10
1530270042,60,41
1530270505,4,9
1530270977,42,42
1530271470,7,15
1530271979,77,32
1530272434,6,10
1530272904,56,51
1530273400,7,25
1530273905,67,39
1530274361,5,14
1530274821,62,35
1530275293,6,14
1530275796,57,43
1530276295,4,6
1530276731,71,43
1530277249,11,4
1530277704,72,44
1530278299,4,12
1530278655,58,36
1530279370,8,12
1530279621,62,21
1530280332,9,11
1530280584,53,34
1530281312,12,9
1530281537,63,35
1530282252,9,11
1530282488,82,45
1530283206,6,15
1530283467,59,41
1530284193,7,8
