DateTime,AddedIPs,RemovedIPs
1530172341,1290,1274
1530173302,1236,1263
1530174312,1315,1338
1530175209,31,13
1530175502,1276,1300
1530176180,19,17
1530176422,1246,1211
1530177129,8,18
1530177371,1269,1281
1530178088,11,11
1530178351,1274,1254
1530179078,20,30
1530179291,1272,1250
1530180021,23,18
1530180258,1202,1202
1530180971,13,19
1530181223,1253,1237
1530181954,9,18
1530182413,1300,1291
1530182895,15,23
1530183387,1288,1288
1530183864,11,7
1530184353,1336,1325
1530184822,11,19
1530185295,1337,1341
1530185790,10,12
1530186283,1296,1268
1530186760,8,17
1530187229,1359,1338
1530187728,5,16
1530188184,1363,1356
1530188681,9,11
1530189134,1331,1319
1530189635,11,18
1530190096,1418,1406
1530190664,5,30
1530191080,1426,1402
1530191783,12,22
1530192009,1338,1350
1530192733,14,14
1530192986,1239,1244
1530193692,8,22
1530194001,1288,1282
1530194676,7,14
1530195140,1283,1282
1530195614,7,27
1530196103,1320,1300
1530196573,1,14
1530197084,1342,1321
1530197560,1,25
1530198030,1273,1271
1530198517,2,13
1530198984,1303,1302
1530199473,1,13
1530199950,1331,1330
1530200420,1,7
1530200892,1295,1293
1530201387,2,14
1530201855,1294,1293
1530202342,3,12
1530202823,1355,1331
1530203297,6,13
1530203770,1370,1398
1530204286,13,8
1530204734,1388,1397
1530205221,8,9
1530205727,1355,1333
1530206182,7,7
1530206652,1412,1406
1530207156,4,3
1530207616,1241,1248
1530208092,4,3
1530208586,1271,1243
1530209072,8,8
1530209553,1149,1144
1530210017,6,10
1530210490,1453,1452
1530210989,15,13
1530211742,1353,1353
1530212181,11,22
1530212659,1455,1462
1530213145,16,15
1530213616,1392,1383
1530214092,4,12
1530214594,1386,1374
1530215064,10,17
1530215547,1385,1381
1530216074,7,14
1530217497,1406,1396
1530218412,1393,1386
1530219373,1361,1343
1530220374,1343,1353
1530221338,1314,1318
1530222328,1309,1309
1530223244,1286,1284
1530224180,1375,1350
1530225449,25,13
1530226103,1337,1355
1530226579,10,14
1530227054,1331,1321
1530227563,9,9
1530228019,1337,1333
1530228488,3,9
1530228990,1355,1339
1530230303,1402,1426
1530231304,1410,1395
1530232405,1368,1392
1530233449,1401,1393
1530234499,1286,1313
1530235605,1408,1384
1530237051,1351,1373
1530238420,1404,1350
1530239471,1304,1321
1530240638,1368,1393
1530241893,1353,1366
1530242908,1376,1387
1530244104,1335,1343
1530245108,1418,1384
