DateTime,Entries,UniqueIPs
1530172341,3082,3082
1530173302,3055,3055
1530174312,3032,3032
1530175209,3050,3050
1530175502,3026,3026
1530176180,3028,3028
1530176422,3063,3063
1530177129,3053,3053
1530177371,3041,3041
1530178088,3041,3041
1530178351,3061,3061
1530179078,3051,3051
1530179291,3073,3073
1530180021,3078,3078
1530180258,3078,3078
1530180971,3072,3072
1530181223,3088,3088
1530181954,3079,3079
1530182413,3088,3088
1530182895,3080,3080
1530183387,3080,3080
1530183864,3084,3084
1530184353,3095,3095
1530184822,3087,3087
1530185295,3083,3083
1530185790,3081,3081
1530186283,3109,3109
1530186760,3100,3100
1530187229,3121,3121
1530187728,3110,3110
1530188184,3117,3117
1530188681,3115,3115
1530189134,3127,3127
1530189635,3120,3120
1530190096,3132,3132
1530190664,3107,3107
1530191080,3131,3131
1530191783,3121,3121
1530192009,3109,3109
1530192733,3109,3109
1530192986,3104,3104
1530193692,3090,3090
1530194001,3096,3096
1530194676,3089,3089
1530195140,3090,3090
1530195614,3070,3070
1530196103,3090,3090
1530196573,3077,3077
1530197084,3098,3098
1530197560,3074,3074
1530198030,3076,3076
1530198517,3065,3065
1530198984,3066,3066
1530199473,3054,3054
1530199950,3055,3055
1530200420,3049,3049
1530200892,3051,3051
1530201387,3039,3039
1530201855,3040,3040
1530202342,3031,3031
1530202823,3055,3055
1530203297,3048,3048
1530203770,3020,3020
1530204286,3025,3025
1530204734,3016,3016
1530205221,3015,3015
1530205727,3037,3037
1530206182,3037,3037
1530206652,3043,3043
1530207156,3044,3044
1530207616,3037,3037
1530208092,3038,3038
1530208586,3066,3066
1530209072,3066,3066
1530209553,3071,3071
1530210017,3067,3067
1530210490,3068,3068
1530210989,3070,3070
1530211742,3070,3070
1530212181,3059,3059
1530212659,3052,3052
1530213145,3053,3053
1530213616,3062,3062
1530214092,3054,3054
1530214594,3066,3066
1530215064,3059,3059
1530215547,3063,3063
1530216074,3056,3056
1530217497,3066,3066
1530218412,3073,3073
1530219373,3091,3091
1530220374,3081,3081
1530221338,3077,3077
1530222328,3077,3077
1530223244,3079,3079
1530224180,3104,3104
1530225449,3116,3116
1530226103,3098,3098
1530226579,3094,3094
1530227054,3104,3104
1530227563,3104,3104
1530228019,3108,3108
1530228488,3102,3102
1530228990,3118,3118
1530230303,3094,3094
1530231304,3109,3109
1530232405,3085,3085
1530233449,3093,3093
1530234499,3066,3066
1530235605,3090,3090
1530237051,3068,3068
1530238420,3122,3122
1530239471,3105,3105
1530240638,3080,3080
1530241893,3067,3067
1530242908,3056,3056
1530244104,3048,3048
1530245108,3082,3082
1530246020,3096,3096
1530247593,3113,3113
1530248662,3114,3114
1530249617,3111,3111
1530250580,3118,3118
1530251538,3100,3100
1530253034,3143,3143
1530254200,3143,3143
1530255142,3155,3155
1530256099,3155,3155
1530257088,3204,3204
1530258029,3198,3198
1530258991,3215,3215
1530260128,3215,3215
1530260666,3229,3229
1530261148,3267,3267
1530261631,3234,3234
1530262089,3226,3226
1530262584,3191,3191
1530263124,3205,3205
1530263588,3192,3192
1530264260,3202,3202
1530264754,3184,3184
1530265232,3192,3192
1530265694,3175,3175
1530266185,3183,3183
1530266661,3172,3172
1530267136,3187,3187
1530267626,3177,3177
1530268092,3194,3194
1530268575,3186,3186
1530269069,3192,3192
1530269560,3187,3187
1530270042,3211,3211
1530270505,3198,3198
1530270977,3176,3176
1530271470,3166,3166
1530271979,3189,3189
1530272434,3178,3178
1530272904,3195,3195
1530273400,3189,3189
1530273905,3191,3191
1530274361,3185,3185
1530274821,3178,3178
1530275293,3172,3172
1530275796,3171,3171
1530276295,3163,3163
1530276731,3199,3199
1530277249,3192,3192
1530277704,3197,3197
1530278299,3190,3190
1530278655,3182,3182
1530279370,3169,3169
1530279621,3182,3182
1530280332,3179,3179
1530280584,3180,3180
1530281312,3174,3174
1530281537,3174,3174
1530282252,3176,3176
1530282488,3172,3172
1530283206,3174,3174
1530283467,3187,3187
1530284193,3193,3193
1530284411,3203,3203
1530285136,3208,3208
1530285373,3208,3208
1530286863,3234,3234
1530287776,3249,3249
1530288747,3248,3248
1530289707,3251,3251
1530290694,3249,3249
1530291616,3234,3234
1530292609,3238,3238
1530293538,3222,3222
1530294496,3220,3220
1530295523,3212,3212
1530296797,3235,3235
1530297774,3216,3216
1530299326,3228,3228
1530300556,3260,3260
1530301495,3245,3245
1530302425,3265,3265
1530303388,3257,3257
1530304360,3251,3251
1530305319,3260,3260
1530306289,3259,3259
1530307209,3254,3254
1530308184,3271,3271
1530309165,3275,3275
1530310097,3281,3281
1530311054,3339,3339
1530312012,3320,3320
1530312984,3311,3311
1530313945,3302,3302
1530314889,3280,3280
1530317774,3202,3202
1530318749,3174,3174
1530319705,3147,3147
1530320657,3121,3121
1530321628,3086,3086
1530323592,3027,3027
1530324521,3015,3015
1530325459,3062,3062
1530326412,3117,3117
1530327640,3147,3147
1530328576,3197,3197
1530329536,3187,3187
1530330531,3158,3158
1530331463,3150,3150
1530332427,3193,3193
1530333388,3193,3193
1530334382,3202,3202
1530335300,3222,3222
1530336271,3211,3211
1530337216,3200,3200
1530338176,3227,3227
1530339158,3207,3207
1530340092,3206,3206
1530341086,3215,3215
1530342029,3200,3200
1530342989,3189,3189
1530343940,3192,3192
1530344894,3184,3184
1530345873,3185,3185
1530346830,3216,3216
1530347819,3199,3199
1530348770,3191,3191
1530349699,3192,3192
1530350658,3190,3190
1530351640,3194,3194
1530352584,3176,3176
1530353539,3198,3198
1530354504,3192,3192
1530355225,3211,3211
1530355451,3204,3204
1530356418,3209,3209
1530356667,3204,3204
1530357383,3208,3208
1530357607,3192,3192
1530358348,3201,3201
1530358570,3224,3224
1530359291,3240,3240
1530359543,3211,3211
1530360280,3207,3207
1530360741,3253,3253
1530361223,3248,3248
1530361738,3260,3260
1530362225,3260,3260
1530362671,3263,3263
1530363147,3263,3263
1530363617,3273,3273
1530364123,3267,3267
1530364587,3270,3270
1530365416,3269,3269
1530365800,3281,3281
1530366506,3285,3285
1530366749,3301,3301
1530367460,3293,3293
1530367697,3315,3315
1530368404,3303,3303
1530368686,3303,3303
1530369417,3302,3302
1530369650,3296,3296
1530370332,3299,3299
1530370571,3303,3303
1530371300,3301,3301
1530371546,3320,3320
1530372263,3312,3312
1530372508,3301,3301
1530373207,3286,3286
1530373476,3303,3303
1530374215,3300,3300
1530374458,3321,3321
1530375144,3300,3300
1530375374,3299,3299
1530376091,3294,3294
1530376336,3291,3291
1530377055,3274,3274
1530377320,3284,3284
1530378044,3277,3277
1530378260,3281,3281
1530378973,3283,3283
1530379209,3281,3281
1530379955,3282,3282
1530380246,3281,3281
1530380905,3274,3274
1530381365,3290,3290
1530381861,3284,3284
1530382343,3283,3283
1530382805,3260,3260
1530383342,3278,3278
1530383783,3258,3258
1530384256,3265,3265
1530384727,3256,3256
1530385232,3243,3243
1530385701,3231,3231
1530386172,3290,3290
1530386677,3281,3281
1530387131,3269,3269
1530387610,3257,3257
1530388110,3237,3237
1530388565,3233,3233
1530389057,3250,3250
1530389550,3243,3243
1530390025,3245,3245
1530390488,3246,3246
1530390984,3257,3257
1530391452,3251,3251
1530391940,3266,3266
1530392438,3258,3258
1530392897,3241,3241
1530393379,3246,3246
1530393866,3258,3258
1530394341,3249,3249
1530394808,3258,3258
1530395306,3246,3246
1530395768,3247,3247
1530396259,3251,3251
1530396747,3272,3272
1530397581,3272,3272
1530398567,3292,3292
1530399535,3320,3320
1530401692,3336,3336
1530402887,3344,3344
1530403823,3356,3356
1530404750,3410,3410
1530405771,3382,3382
1530407722,3440,3440
1530408635,3437,3437
1530409700,3443,3443
1530411165,3328,3328
1530412088,3297,3297
1530413055,3293,3293
1530414671,3282,3282
1530415700,3232,3232
1530416657,3209,3209
1530417661,3175,3175
1530418580,3144,3144
1530420196,3147,3147
1530421273,3124,3124
1530422187,3094,3094
1530423192,3099,3099
1530424093,3064,3064
1530425071,3092,3092
1530426010,3057,3057
1530427215,3077,3077
1530428174,3089,3089
1530429136,3057,3057
1530430121,3068,3068
1530431094,3068,3068
1530432072,3066,3066
1530432995,3039,3039
1530433975,3034,3034
1530434896,3050,3050
1530435858,3036,3036
1530436824,3028,3028
1530437806,3018,3018
1530438742,3025,3025
1530439716,2997,2997
1530440727,2993,2993
1530441609,2991,2991
1530442591,3011,3011
1530443547,3000,3000
1530444542,3011,3011
1530445493,3023,3023
1530446439,3026,3026
1530447526,3017,3017
1530448580,3029,3029
1530449531,3027,3027
1530450500,3016,3016
1530451464,3029,3029
1530452552,3027,3027
1530453871,3015,3015
1530454809,3038,3038
1530455788,3028,3028
1530456732,3024,3024
1530457698,3050,3050
1530458673,3044,3044
1530460212,3051,3051
1530461329,3053,3053
1530462265,3071,3071
1530463214,3051,3051
1530464187,3071,3071
1530465154,3067,3067
1530466128,3074,3074
1530467058,3080,3080
1530467774,3088,3088
1530468031,3086,3086
1530468740,3102,3102
1530468980,3100,3100
1530469691,3117,3117
1530469941,3118,3118
1530470712,3116,3116
1530471147,3102,3102
1530471617,3106,3106
1530472119,3086,3086
1530472587,3101,3101
1530473067,3086,3086
1530473537,3089,3089
1530474020,3079,3079
1530474568,3092,3092
1530474995,3086,3086
1530475690,3089,3089
1530475962,3085,3085
1530476663,3110,3110
1530477138,3099,3099
1530477657,3093,3093
1530478109,3079,3079
1530478576,3094,3094
1530479056,3084,3084
1530479556,3081,3081
1530480095,3088,3088
1530480487,3095,3095
1530481207,3102,3102
1530481450,3101,3101
1530482172,3112,3112
1530482436,3117,3117
1530483169,3127,3127
1530483372,3115,3115
1530484096,3110,3110
1530484334,3124,3124
1530485049,3120,3120
1530485309,3122,3122
1530486044,3127,3127
1530486263,3137,3137
1530486977,3152,3152
1530487212,3148,3148
1530487944,3139,3139
1530488193,3141,3141
1530488905,3131,3131
1530489130,3146,3146
1530489853,3137,3137
1530490093,3131,3131
1530490807,3117,3117
1530491086,3134,3134
1530491791,3125,3125
1530492009,3131,3131
1530492728,3119,3119
1530492971,3128,3128
1530493736,3125,3125
1530493958,3136,3136
1530494686,3117,3117
1530495135,3138,3138
1530495614,3135,3135
1530496108,3145,3145
1530496583,3122,3122
1530497056,3140,3140
1530497605,3126,3126
1530498025,3124,3124
1530498510,3120,3120
1530498983,3116,3116
