DateTime,AddedIPs,RemovedIPs
1530026656,7,0
1530027633,7,0
1530028572,21,0
1530029553,23,0
1530030492,15,0
1530031467,21,11
1530032443,18,67
1530033371,12,59
1530034355,5,19
1530035291,5,0
1530036267,3,32
1530037224,9,34
1530038172,9,0
1530039138,11,39
1530040113,4,0
1530041070,14,40
1530042012,9,0
1530042984,8,21
1530043938,12,17
1530044888,11,0
1530045869,10,11
1530046828,15,34
1530047784,5,26
1530048748,8,0
1530049697,5,27
1530050719,4,61
1530051861,11,0
1530052811,13,0
1530053772,12,28
1530054751,16,13
1530055688,13,32
1530056649,6,40
1530057628,8,39
1530058568,9,13
1530059626,16,53
1530061009,23,31
1530061936,9,22
1530062890,10,44
1530063868,8,29
1530064812,5,37
1530065778,14,24
1530066749,8,34
1530067696,9,15
1530068654,5,33
1530069625,6,27
1530070570,18,12
1530071542,20,6
1530072495,16,24
1530073470,9,3
1530074415,5,21
1530075370,11,18
1530076350,18,38
1530077293,29,25
1530078257,22,14
1530079265,33,32
1530080169,15,16
1530081140,23,19
1530082098,13,19
1530083062,15,22
1530084015,39,19
1530084975,20,19
1530085937,20,21
1530086900,16,26
1530087869,32,23
1530088812,15,15
1530089782,21,23
1530090735,17,8
1530091688,20,29
1530092681,34,11
1530093621,21,28
1530094581,39,23
1530095536,20,20
1530096510,23,24
1530097457,20,15
1530098410,21,19
1530099388,17,30
1530100334,20,21
1530101302,7,12
1530102266,16,24
1530103372,18,15
1530104422,29,29
1530105367,21,12
1530106330,16,22
1530107305,22,11
1530108260,11,27
1530109205,22,18
1530110181,17,17
1530111135,25,21
1530112102,11,16
1530113066,10,23
1530114012,13,21
1530114971,15,17
1530115962,11,9
1530116890,16,24
1530117854,8,18
1530118824,10,18
1530119773,3,12
1530120753,3,27
1530121690,3,12
1530122679,7,16
1530123609,3,17
1530124828,19,35
1530125770,17,0
1530126736,18,10
1530127702,17,41
1530128654,11,0
1530129623,12,44
1530130846,24,18
1530131770,12,42
1530132762,9,0
1530133711,7,0
1530134663,9,26
1530135611,7,21
1530136583,10,57
1530137533,9,0
1530138488,9,23
1530139435,7,14
1530140417,10,55
1530141374,15,0
1530142364,12,54
1530143294,17,0
1530144254,20,27
1530145224,22,71
1530146169,15,0
1530147131,27,19
1530148361,30,75
1530149291,6,38
1530150252,16,14
1530151218,27,45
1530152185,34,8
1530153155,31,29
1530154096,13,25
1530155066,21,25
1530156008,23,28
1530156979,24,23
1530157963,19,32
1530158892,16,21
1530159866,14,19
1530160810,14,15
1530161778,14,26
1530162742,11,4
1530163690,10,22
1530164659,3,19
1530165625,27,18
1530166570,14,8
1530167543,8,25
1530168497,3,27
1530169456,6,25
1530170408,4,18
1530171386,5,20
1530172330,5,28
1530173301,3,19
1530174295,12,16
1530175209,31,21
1530176180,33,18
1530177129,28,24
1530178088,29,25
1530179078,38,18
1530180021,24,24
1530180971,15,10
1530181954,13,26
1530182895,25,18
1530183864,14,16
1530184822,20,23
1530185790,22,7
1530186760,18,11
1530187728,10,20
1530188681,13,17
1530189635,17,12
1530190664,13,22
1530191783,19,26
1530192733,17,18
1530193692,10,15
1530194676,11,15
1530195614,10,15
1530196573,6,27
1530197560,3,21
1530198517,3,12
1530199473,2,15
1530200420,3,12
1530201387,4,14
1530202342,6,32
1530203297,8,20
1530204286,18,48
1530205221,14,0
1530206182,18,19
1530207156,10,20
1530208092,10,6
1530209072,17,18
1530210017,9,12
1530210989,19,21
1530212181,16,19
1530213145,21,16
1530214092,12,0
1530215064,12,12
1530216074,12,31
1530217495,28,26
1530218410,13,20
1530219372,22,16
1530220358,7,17
1530221294,12,17
1530222302,10,10
1530223243,12,18
1530224178,7,29
1530225449,25,10
1530226579,18,20
1530227563,17,43
1530228488,6,0
1530230302,52,66
1530231284,18,28
1530232403,37,57
1530233438,29,47
1530234491,17,33
1530235604,34,55
1530237048,37,35
1530238418,32,78
1530239461,9,25
1530240637,12,16
1530241887,3,37
1530242887,13,26
1530244103,31,65
1530245096,38,31
1530246008,19,40
1530247592,33,15
1530248660,26,47
1530249611,26,0
1530250578,24,38
1530251537,31,16
1530253001,25,64
1530254195,24,37
1530255131,18,23
1530256098,21,30
1530257070,23,17
1530258017,6,11
1530258970,37,41
1530260666,41,74
1530261631,22,13
1530262584,19,38
1530263588,24,31
1530264754,23,29
1530265694,17,33
1530266661,15,40
1530267626,18,20
1530268575,18,30
1530269560,13,13
1530270505,6,1
1530271470,12,1
1530272434,11,0
1530273400,16,1
1530274361,7,2
1530275293,15,0
1530276295,9,0
1530277249,20,50
