DateTime,Entries,UniqueIPs
1530026656,11965,11988
1530027633,11968,11991
1530028572,11979,12001
1530029553,11986,12010
1530030492,11978,12001
1530031467,11993,12017
1530032443,11999,12023
1530033371,12007,12031
1530034355,12005,12029
1530035291,12002,12025
1530036267,11988,12011
1530037224,11989,12012
1530038172,11984,12007
1530039138,11989,12012
1530040113,11975,11998
1530041070,11986,12009
1530042012,11988,12011
1530042984,11985,12008
1530043938,11985,12008
1530044888,11981,12004
1530045869,11974,11997
1530046828,11973,11996
1530047784,11961,11984
1530048748,11957,11980
1530049697,11950,11973
1530050719,11944,11967
1530051861,11945,11968
1530052811,11940,11963
1530053772,11938,11961
1530054751,11934,11957
1530055688,11927,11950
1530056649,11919,11942
1530057628,11903,11926
1530058568,11885,11908
1530059626,11888,11911
1530061009,11873,11895
1530061936,11860,11882
1530062890,11859,11881
1530063868,11850,11872
1530064812,11839,11861
1530065778,11843,11865
1530066749,11819,11839
1530067696,11817,11837
1530068654,11799,11818
1530069625,11787,11805
1530070570,11790,11808
1530071542,11792,11810
1530072495,11797,11815
1530073470,11782,11800
1530074415,11781,11799
1530075370,11783,11801
1530076350,11789,11807
1530077293,11809,11827
1530078257,11820,11838
1530079265,11847,11865
1530080169,11858,11876
1530081140,11881,11899
1530082098,11865,11883
1530083062,11872,11890
1530084015,11911,11929
1530084975,11921,11939
1530085937,11918,11937
1530086900,11934,11953
1530087869,11953,11972
1530088812,11960,11979
1530089782,11980,12000
1530090735,11969,11989
1530091688,11988,12009
1530092681,11879,11900
1530093621,11806,11827
1530094581,11783,11805
1530095536,11803,11825
1530096510,11789,11812
1530097457,11755,11777
1530098410,11744,11765
1530099388,11715,11736
1530100334,11708,11729
1530101302,11681,11702
1530102266,11654,11675
1530103372,11629,11650
1530104422,11592,11612
1530105367,11613,11633
1530106330,11593,11613
1530107305,11561,11581
1530108260,11572,11592
1530109205,11555,11575
1530110181,11523,11543
1530111135,11522,11542
1530112102,11533,11553
1530113066,11492,11512
1530114012,11505,11525
1530114971,11463,11483
1530115962,11443,11464
1530116890,11390,11411
1530117854,11340,11361
1530118824,11295,11316
1530119773,11251,11272
1530120753,11242,11263
1530121690,11222,11243
1530122679,11203,11224
1530123609,11188,11209
1530124828,11137,11159
1530125770,11154,11176
1530126736,11145,11167
1530127702,11084,11106
1530128654,11095,11117
1530129623,11072,11094
1530130846,11026,11048
1530131770,11038,11060
1530132762,10993,11017
1530133711,10980,11004
1530134663,10989,11013
1530135611,10960,10984
1530136583,10925,10949
1530137533,10904,10928
1530138488,10878,10901
1530139435,10854,10877
1530140417,10795,10819
1530141374,10810,10834
1530142364,10753,10777
1530143294,10770,10794
1530144254,10744,10768
1530145224,10696,10719
1530146169,10711,10734
1530147131,10711,10733
1530148361,10716,10738
1530149291,10722,10744
1530150252,10738,10760
1530151218,10765,10787
1530152185,10799,10821
1530153155,10830,10852
1530154096,10843,10865
1530155066,10815,10836
1530156008,10720,10741
1530156979,10684,10705
1530157963,10653,10674
1530158892,10616,10637
1530159866,10581,10602
1530160810,10579,10600
1530161778,10565,10586
1530162742,10576,10597
1530163690,10584,10605
1530164659,10587,10608
1530165625,10614,10635
1530166570,10628,10649
1530167543,10635,10656
1530168497,10635,10656
1530169456,10566,10587
1530170408,10498,10519
1530171386,10465,10486
1530172330,10435,10456
1530173301,10403,10424
1530174295,10376,10397
1530175209,10397,10418
1530176180,10407,10428
1530177129,10432,10453
1530178088,10435,10456
1530179078,10461,10482
1530180021,10468,10490
1530180971,10483,10505
1530181954,10495,10517
1530182895,10518,10540
1530183864,10531,10553
1530184822,10549,10571
1530185790,10567,10589
1530186760,10579,10601
1530187728,10587,10610
1530188681,10600,10623
1530189635,10571,10594
1530190664,10503,10525
1530191783,10444,10466
1530192733,10441,10463
1530193692,10425,10447
1530194676,10418,10440
1530195614,10408,10430
1530196573,10393,10415
1530197560,10375,10397
1530198517,10362,10384
1530199473,10343,10365
1530200420,10316,10339
1530201387,10293,10316
1530202342,10273,10296
1530203297,10256,10278
1530204286,10262,10284
1530205221,10251,10273
1530206182,10249,10271
1530207156,10240,10262
1530208092,10219,10241
1530209072,10224,10246
1530210017,10203,10225
1530210989,10209,10230
1530212181,10200,10221
1530213145,10207,10228
1530214092,10190,10211
1530215064,10192,10213
1530216074,10175,10196
1530217495,10168,10189
1530218410,10172,10192
1530219372,10178,10198
1530220358,10165,10185
1530221294,10170,10190
1530222302,10167,10187
1530223243,10159,10180
1530224178,10137,10158
1530225449,10162,10183
1530226579,10135,10158
1530227563,10129,10151
1530228488,10106,10128
1530230302,10107,10130
1530231284,10098,10121
1530232403,10110,10134
1530233438,10100,10124
1530234491,10093,10117
1530235604,10091,10115
1530237048,10061,10082
1530238418,10072,10092
1530239461,10047,10068
1530240637,10003,10025
1530241887,9982,10004
1530242887,9968,9990
1530244103,9972,9994
1530245096,9979,10001
1530246008,9969,9991
1530247592,9977,9999
1530248660,10003,10025
1530249611,10029,10051
1530250578,10053,10075
1530251537,10084,10106
1530253001,10109,10131
1530254195,10125,10147
1530255131,10088,10110
1530256098,10109,10131
1530257070,10030,10052
1530258017,9988,10009
1530258970,10025,10046
1530260666,10002,10023
1530261631,9994,10015
1530262584,9989,10010
1530263588,9993,10014
1530264754,9989,10010
1530265694,9983,10004
1530266661,9974,9995
1530267626,9967,9989
1530268575,9964,9986
1530269560,9957,9979
1530270505,9949,9972
1530271470,9938,9961
1530272434,9934,9957
1530273400,9919,9942
1530274361,9909,9932
1530275293,9904,9929
1530276295,9904,9930
1530277249,9912,9938
1530278299,9907,9934
1530279370,9906,9933
1530280332,9903,9930
1530281312,9907,9934
1530282252,9901,9928
1530283206,9888,9915
1530284193,9890,9917
1530285136,9889,9917
1530286852,9878,9906
1530287774,9874,9902
1530288746,9867,9896
1530289705,9849,9877
1530290674,9860,9889
1530291614,9850,9879
1530292579,9852,9883
1530293536,9842,9873
1530294494,9831,9863
1530295474,9814,9846
1530296786,9822,9854
1530297773,9813,9845
1530299325,9835,9868
1530300512,9841,9873
1530301477,9828,9860
1530302424,9843,9875
1530303387,9833,9865
1530304358,9838,9870
1530305294,9848,9880
1530306287,9821,9853
1530307207,9835,9867
1530308174,9823,9856
1530309145,9827,9860
1530310096,9812,9845
1530311053,9767,9800
1530312011,9771,9804
1530312983,9758,9791
1530313939,9742,9775
1530314888,9721,9754
1530315866,9680,9713
1530317772,9616,9649
1530318748,9575,9608
1530319700,9538,9571
1530320656,9518,9551
1530321627,9487,9520
1530322571,9451,9484
1530323538,9463,9496
1530324511,9530,9563
1530325458,9583,9616
1530326410,9595,9629
1530327639,9641,9676
1530328575,9659,9694
1530329535,9694,9729
1530330507,9696,9731
1530331462,9712,9747
1530332416,9733,9768
1530333387,9733,9768
1530334381,9707,9741
1530335298,9704,9739
1530336270,9727,9763
1530337214,9739,9775
1530338174,9731,9767
1530339156,9736,9772
1530340090,9722,9758
1530341054,9726,9762
1530342028,9704,9740
1530342988,9699,9735
1530343938,9704,9741
1530344893,9690,9727
1530345871,9708,9745
1530346829,9724,9761
1530347771,9710,9747
1530348748,9713,9750
1530349698,9714,9751
1530350657,9707,9744
1530351631,9722,9758
1530352583,9712,9748
1530353531,9707,9743
1530354504,9714,9750
1530355451,9717,9753
1530356418,9730,9766
1530357383,9724,9760
