DateTime,AddedIPs,RemovedIPs
1530026656,7,0
1530027633,7,0
1530028572,21,0
1530029553,23,1
1530030492,15,0
1530031467,21,0
1530032443,18,0
1530033371,12,0
1530034355,5,0
1530035291,5,0
1530036267,3,0
1530037224,9,0
1530038172,9,0
1530039138,11,0
1530040113,4,0
1530041070,14,0
1530042012,9,0
1530042984,8,0
1530043938,12,0
1530044888,11,0
1530045869,10,0
1530046828,15,0
1530047784,5,0
1530048748,8,0
1530049697,5,0
1530050719,4,0
1530051861,11,0
1530052811,13,0
1530053772,12,0
1530054751,16,0
1530055688,13,0
1530056649,6,0
1530057628,8,0
1530058568,9,0
1530059626,16,0
1530061009,23,0
1530061936,9,0
1530062890,10,0
1530063868,8,0
1530064812,5,0
1530065778,14,0
1530066749,8,0
1530067696,9,0
1530068654,5,0
1530069625,6,0
1530070570,18,0
1530071542,20,0
1530072495,16,0
1530073470,9,0
1530074415,5,0
1530075370,11,0
1530076350,18,0
1530077293,29,0
1530078257,22,0
1530079265,33,0
1530080169,15,0
1530081140,23,0
1530082098,13,0
1530083062,15,0
1530084015,39,0
1530084975,20,0
1530085937,20,25
1530086900,16,74
1530087869,32,87
1530088812,15,62
1530089782,21,62
1530090735,17,70
1530091688,20,65
1530092681,34,61
1530093621,21,38
1530094581,39,39
1530095536,20,30
1530096510,23,59
1530097457,20,42
1530098410,21,39
1530099388,17,30
1530100334,20,28
1530101302,7,8
1530102266,16,27
1530103372,18,17
1530104422,29,12
1530105367,21,18
1530106330,16,19
1530107305,22,16
1530108260,11,9
1530109205,22,15
1530110181,17,18
1530111135,25,17
1530112102,11,9
1530113066,10,9
1530114012,13,7
1530114971,15,20
1530115962,11,17
1530116890,16,30
1530117854,8,26
1530118824,10,15
1530119773,3,10
1530120753,3,8
1530121690,3,11
1530122679,7,4
1530123609,3,9
1530124828,19,14
1530125770,17,10
1530126736,18,11
1530127702,17,8
1530128654,11,8
1530129623,12,14
1530130846,24,17
1530131770,12,10
1530132762,9,8
1530133711,7,8
1530134663,9,19
1530135611,7,8
1530136583,10,8
1530137533,9,9
1530138488,9,18
1530139435,7,8
1530140417,10,11
1530141374,15,15
1530142364,12,18
1530143294,17,11
1530144254,20,10
1530145224,22,22
1530146169,15,18
1530147131,27,21
1530148361,30,22
1530149291,6,9
1530150252,16,17
1530151218,27,17
1530152185,34,11
1530153155,31,20
1530154096,13,8
1530155066,21,8
1530156008,23,7
1530156979,24,14
1530157963,19,24
1530158892,16,31
1530159866,14,12
1530160810,14,4
1530161778,14,16
1530162742,11,18
1530163690,10,23
1530164659,3,11
1530165625,27,23
1530166570,14,16
1530167543,8,24
1530168497,3,11
1530169456,6,11
1530170408,4,34
1530171386,5,20
1530172330,5,14
1530173301,3,17
1530174295,12,22
1530175209,31,14
1530176180,33,19
1530177129,28,22
1530178088,29,14
1530179078,38,30
1530180021,24,19
1530180971,15,21
1530181954,13,18
1530182895,25,25
1530183864,14,8
1530184822,20,21
1530185790,22,12
1530186760,18,18
1530187728,10,16
1530188681,13,12
1530189635,17,19
1530190664,13,30
1530191783,19,22
1530192733,17,14
1530193692,10,22
1530194676,11,14
1530195614,10,27
1530196573,6,14
1530197560,3,25
1530198517,3,13
1530199473,2,13
1530200420,3,7
1530201387,4,14
1530202342,6,12
1530203297,8,14
1530204286,18,8
1530205221,14,9
1530206182,18,7
1530207156,10,3
1530208092,10,4
1530209072,17,8
1530210017,9,10
1530210989,19,14
1530212181,16,24
1530213145,21,15
1530214092,12,13
1530215064,12,17
1530216074,12,14
1530217495,28,20
1530218410,13,7
1530219372,22,8
1530220358,7,9
1530221294,12,6
1530222302,10,9
1530223243,12,8
1530224178,7,8
1530225449,25,13
1530226579,18,15
1530227563,17,9
1530228488,6,9
1530230302,52,38
1530231284,18,18
1530232403,37,38
1530233438,29,30
1530234491,17,21
1530235604,34,25
1530237048,37,30
1530238418,32,17
1530239461,9,30
1530240637,12,24
1530241887,3,18
1530242887,13,18
1530244103,31,30
1530245096,38,9
1530246008,19,10
1530247592,33,22
1530248660,26,21
1530249611,26,18
1530250578,24,10
1530251537,31,17
1530253001,25,22
1530254195,24,6
1530255131,18,0
1530256098,21,2
1530257070,23,3
1530258017,6,3
1530258970,37,3
1530260666,41,11
1530261631,22,44
1530262584,19,50
1530263588,24,35
1530264754,23,39
1530265694,17,24
1530266661,15,20
1530267626,18,18
1530268575,18,18
1530269560,13,15
1530270505,6,18
1530271470,12,18
1530272434,11,17
1530273400,16,13
1530274361,7,12
1530275293,15,13
1530276295,9,13
1530277249,20,18
