DateTime,Entries,UniqueIPs
1530026656,888,888
1530027633,895,895
1530028572,916,916
1530029553,938,938
1530030492,953,953
1530031467,974,974
1530032443,992,992
1530033371,1004,1004
1530034355,1009,1009
1530035291,1014,1014
1530036267,1017,1017
1530037224,1026,1026
1530038172,1035,1035
1530039138,1046,1046
1530040113,1050,1050
1530041070,1064,1064
1530042012,1073,1073
1530042984,1081,1081
1530043938,1093,1093
1530044888,1104,1104
1530045869,1114,1114
1530046828,1129,1129
1530047784,1134,1134
1530048748,1142,1142
1530049697,1147,1147
1530050719,1151,1151
1530051861,1162,1162
1530052811,1175,1175
1530053772,1187,1187
1530054751,1203,1203
1530055688,1216,1216
1530056649,1222,1222
1530057628,1230,1230
1530058568,1239,1239
1530059626,1255,1255
1530061009,1278,1278
1530061936,1287,1287
1530062890,1297,1297
1530063868,1305,1305
1530064812,1310,1310
1530065778,1324,1324
1530066749,1332,1332
1530067696,1341,1341
1530068654,1346,1346
1530069625,1352,1352
1530070570,1370,1370
1530071542,1390,1390
1530072495,1406,1406
1530073470,1415,1415
1530074415,1420,1420
1530075370,1431,1431
1530076350,1449,1449
1530077293,1478,1478
1530078257,1500,1500
1530079265,1533,1533
1530080169,1548,1548
1530081140,1571,1571
1530082098,1584,1584
1530083062,1599,1599
1530084015,1638,1638
1530084975,1658,1658
1530085937,1653,1653
1530086900,1595,1595
1530087869,1540,1540
1530088812,1493,1493
1530089782,1452,1452
1530090735,1399,1399
1530091688,1354,1354
1530092681,1327,1327
1530093621,1310,1310
1530094581,1310,1310
1530095536,1300,1300
1530096510,1264,1264
1530097457,1242,1242
1530098410,1224,1224
1530099388,1211,1211
1530100334,1203,1203
1530101302,1202,1202
1530102266,1191,1191
1530103372,1192,1192
1530104422,1209,1209
1530105367,1212,1212
1530106330,1209,1209
1530107305,1215,1215
1530108260,1217,1217
1530109205,1224,1224
1530110181,1223,1223
1530111135,1231,1231
1530112102,1233,1233
1530113066,1234,1234
1530114012,1240,1240
1530114971,1235,1235
1530115962,1229,1229
1530116890,1215,1215
1530117854,1197,1197
1530118824,1192,1192
1530119773,1185,1185
1530120753,1180,1180
1530121690,1172,1172
1530122679,1175,1175
1530123609,1169,1169
1530124828,1174,1174
1530125770,1181,1181
1530126736,1188,1188
1530127702,1197,1197
1530128654,1200,1200
1530129623,1198,1198
1530130846,1205,1205
1530131770,1207,1207
1530132762,1208,1208
1530133711,1207,1207
1530134663,1197,1197
1530135611,1196,1196
1530136583,1198,1198
1530137533,1198,1198
1530138488,1189,1189
1530139435,1188,1188
1530140417,1187,1187
1530141374,1187,1187
1530142364,1181,1181
1530143294,1187,1187
1530144254,1197,1197
1530145224,1197,1197
1530146169,1194,1194
1530147131,1200,1200
1530148361,1208,1208
1530149291,1205,1205
1530150252,1204,1204
1530151218,1214,1214
1530152185,1237,1237
1530153155,1248,1248
1530154096,1253,1253
1530155066,1266,1266
1530156008,1282,1282
1530156979,1292,1292
1530157963,1287,1287
1530158892,1272,1272
1530159866,1274,1274
1530160810,1284,1284
1530161778,1282,1282
1530162742,1275,1275
1530163690,1262,1262
1530164659,1254,1254
1530165625,1258,1258
1530166570,1256,1256
1530167543,1240,1240
1530168497,1232,1232
1530169456,1227,1227
1530170408,1197,1197
1530171386,1182,1182
1530172330,1173,1173
1530173301,1159,1159
1530174295,1149,1149
1530175209,1166,1166
1530176180,1180,1180
1530177129,1186,1186
1530178088,1201,1201
1530179078,1209,1209
1530180021,1214,1214
1530180971,1208,1208
1530181954,1203,1203
1530182895,1203,1203
1530183864,1209,1209
1530184822,1208,1208
1530185790,1218,1218
1530186760,1218,1218
1530187728,1212,1212
1530188681,1213,1213
1530189635,1211,1211
1530190664,1194,1194
1530191783,1191,1191
1530192733,1194,1194
1530193692,1182,1182
1530194676,1179,1179
1530195614,1162,1162
1530196573,1154,1154
1530197560,1132,1132
1530198517,1122,1122
1530199473,1111,1111
1530200420,1107,1107
1530201387,1097,1097
1530202342,1091,1091
1530203297,1085,1085
1530204286,1095,1095
1530205221,1100,1100
1530206182,1111,1111
1530207156,1118,1118
1530208092,1124,1124
1530209072,1133,1133
1530210017,1132,1132
1530210989,1137,1137
1530212181,1129,1129
1530213145,1135,1135
1530214092,1134,1134
1530215064,1129,1129
1530216074,1127,1127
1530217495,1135,1135
1530218410,1141,1141
1530219372,1155,1155
1530220358,1153,1153
1530221294,1159,1159
1530222302,1160,1160
1530223243,1164,1164
1530224178,1163,1163
1530225449,1175,1175
1530226579,1178,1178
1530227563,1186,1186
1530228488,1183,1183
1530230302,1197,1197
1530231284,1197,1197
1530232403,1196,1196
1530233438,1195,1195
1530234491,1191,1191
1530235604,1200,1200
1530237048,1207,1207
