DateTime,Entries,UniqueIPs
1530020901,117998,134200
1530021866,118052,134263
1530022836,118051,134229
1530023775,118086,134273
1530024768,118013,134178
1530025705,118031,134197
1530026665,118010,134169
1530027635,118031,134188
1530028580,118102,134267
1530029564,118038,134194
1530030504,118033,134190
1530031468,118068,134231
1530032445,118003,134158
1530033372,118001,134153
1530034356,117981,134124
1530035292,118007,134156
1530036269,117984,134128
1530037228,117915,134045
1530038173,117964,134101
1530039147,117880,133987
1530040114,118281,134392
1530041084,118225,134314
1530042014,118270,134362
1530042985,118272,134352
1530043940,118225,134302
1530044903,118216,134292
1530045884,118188,134248
1530046830,118198,134250
1530047785,118176,134202
1530048749,118194,134223
1530049698,116767,132759
1530050743,116650,132584
1530051878,116686,132633
1530052812,116728,132684
1530053783,116715,132641
1530054752,116749,132681
1530055689,116705,132586
1530056676,116699,132566
1530057629,116687,132549
1530058570,116666,132491
1530059636,116664,132499
1530061010,116677,132509
1530061938,116629,132461
1530062912,116603,132437
1530063869,116593,132421
1530064828,116558,132375
1530065780,116544,132363
1530066750,116490,132299
1530067697,116470,132247
1530068655,116468,132238
1530069626,116461,132230
1530070571,116427,132182
1530071543,116411,132169
1530072497,116393,132156
1530073487,116353,132117
1530074416,116322,132092
1530075371,116327,132083
1530076351,116319,132071
1530077316,116339,132087
1530078258,116318,132066
1530079266,116303,132042
1530080170,116316,132054
1530081141,116306,132033
1530082099,116336,132050
1530083063,116307,132018
1530084016,116347,132058
1530084976,116310,132019
1530085939,116313,132014
1530086902,116285,131981
1530087878,116290,131978
1530088814,116290,131969
1530089784,116278,131944
1530090736,116270,131930
1530091690,116243,131902
1530092692,116256,131907
1530093622,116251,131890
1530094583,116287,131927
1530095541,116262,131899
1530096534,116242,131857
1530097459,116219,131831
1530098411,116220,131837
1530099390,116206,131816
1530100335,116211,131815
1530101303,116186,131773
1530102283,116176,131763
1530103391,116171,131768
1530104433,116171,131755
1530105368,116169,131747
1530106332,116133,131707
1530107310,116132,131695
1530108262,116122,131683
1530109216,116126,131686
1530110182,116123,131680
1530111143,116124,131658
1530112112,116104,131637
1530113079,116103,131640
1530114014,116074,131612
1530114982,116067,131603
1530115963,116044,131570
1530116904,116044,131564
1530117855,116062,131585
1530118825,116090,131415
1530119774,116081,131411
1530120755,116064,131382
1530121691,116072,131383
1530122681,116053,131340
1530123611,116029,131282
1530124829,116025,131258
1530125772,116067,131303
1530126738,116361,131601
1530127704,116331,131557
1530128703,116326,131514
1530130847,116253,131429
1530131790,116195,131354
1530132769,116231,131404
1530133712,116268,131445
1530134679,116238,131396
1530135612,116223,131380
1530136584,114698,129782
1530137535,114745,129839
1530138507,114708,129790
1530139437,114742,129830
1530140441,114693,129731
1530141376,114726,129777
1530142386,114692,129712
1530143295,114732,129760
1530144260,114691,129712
1530145226,114712,129736
1530146170,114756,129784
1530147132,114762,129796
1530148365,114758,129783
1530149305,114786,129800
1530150280,114790,129812
1530151220,114807,129815
1530152190,114807,129793
1530153169,114835,129823
1530154097,114858,129844
1530155067,114872,129861
1530156009,114894,129882
1530156994,114892,129879
1530157964,114874,129841
1530158894,114863,129841
1530159883,114868,129841
1530160811,114868,129826
1530161779,114873,129817
1530162743,114864,129811
1530163692,114862,129810
1530164714,114850,129787
1530165627,114835,129755
1530166591,114828,129745
1530167545,114807,129718
1530168498,114736,129579
1530169485,114674,129515
1530170410,114626,129457
1530171408,114595,129409
1530172341,114534,129306
1530173302,114503,129254
1530174312,114458,129197
1530175502,114435,129136
1530176422,114415,129102
1530177371,114398,129080
1530178351,114359,128920
1530179291,114292,128845
1530180258,114275,128826
1530181223,114246,128790
1530182413,114276,128824
1530183387,114278,128799
1530184353,114263,128758
1530185295,114252,128745
1530186283,114213,128707
1530187229,114180,128661
1530188184,114127,128597
1530189134,114049,128507
1530190096,114004,128428
1530191080,113945,128348
1530192009,113818,128203
1530192986,113725,128101
1530194001,113702,128059
1530195140,113735,128098
1530196103,113778,128145
1530197084,113798,128162
1530198030,113815,128184
1530198984,113832,128205
1530199950,113840,128219
1530200892,113861,128245
1530201855,113826,128194
1530202823,113794,128147
1530203770,113717,128047
1530204734,113612,127891
1530205727,113569,127836
1530206652,113493,127765
1530207616,113434,127699
1530208586,113384,127636
1530209553,113351,127588
1530210490,113311,127545
1530211742,113289,127509
1530212659,113221,127421
1530213616,113067,127252
1530214594,112934,127101
1530215547,112843,126982
1530217497,112633,126743
1530218412,112577,126674
1530219373,112471,126540
1530220374,112325,126357
1530221338,112190,126189
1530222328,112095,126079
1530223244,110700,124625
1530224180,110659,124570
1530226103,110635,124519
1530227054,110601,124482
1530228019,110524,124398
1530228990,110469,124340
1530230303,110444,124301
1530231304,110412,124263
1530232405,110339,124168
1530233449,110319,124127
1530234499,110327,124137
1530235605,110313,124141
1530237051,110336,124155
1530238420,110251,124057
1530239471,110192,123998
1530240638,110157,123958
1530241893,110063,123849
1530242908,110065,123847
1530244104,110080,123862
1530245108,110041,123800
1530246020,109981,123718
1530247593,109901,123633
1530248662,109806,123522
1530249617,109858,123581
1530250580,109807,123530
1530251538,109835,123554
1530253034,109732,123422
1530254200,109769,123457
1530255142,109698,123359
1530256099,109605,123249
1530257088,109625,123285
1530258029,109632,123293
1530258991,109628,123284
1530260128,109549,123183
1530261148,109515,123129
1530262089,109527,123138
1530263124,109509,123113
1530264260,109404,122989
1530265232,109364,122952
1530266185,109315,122904
1530267136,109371,122967
1530268092,109387,122985
1530269069,109308,122874
1530270042,109203,122758
1530270977,109236,122792
1530271979,109097,122611
1530272904,109136,122656
1530273905,108999,122493
1530274821,109032,122530
1530275796,108899,122352
1530276731,108933,122392
1530277704,108814,122248
1530278655,108849,122299
1530279621,108745,122167
1530280584,108785,122218
1530281537,108644,122049
1530282488,108682,122098
1530283467,108659,122067
1530284411,108654,122062
1530285373,108501,121887
1530286863,108409,121781
1530287776,108418,121795
1530288747,108339,121690
1530289707,108229,121570
1530290694,108228,121570
1530291616,108089,121412
1530292609,108036,121356
1530293538,107965,121292
1530294496,107961,121283
1530295523,107870,121180
1530296797,107853,121171
1530297774,107789,121094
1530299326,107644,120921
1530300556,107582,120851
1530301495,107582,120842
1530302425,107517,120741
1530303388,107529,120745
1530304360,107454,120659
1530305319,107398,120576
1530306289,107362,120512
1530307209,107305,120449
1530308184,107277,120394
1530309165,107275,120396
1530310097,105755,118852
1530311054,105626,118720
1530312012,105683,118797
1530312984,105717,118840
1530313945,105617,118680
1530314889,105584,118643
1530315867,105480,118507
1530317774,105344,118334
1530318749,105285,118267
1530319705,105303,118268
1530320657,105236,118194
1530321628,105196,118132
1530322572,105131,118050
1530323592,105114,118010
1530324521,105133,117946
1530325459,105093,117896
1530326412,105084,117867
1530327640,104983,117727
1530328576,105044,117792
1530329536,105118,117870
1530330531,104920,117613
1530331463,104995,117695
1530332427,105009,117682
1530333388,104870,117523
1530334382,104773,117384
1530335300,104766,117373
1530336271,104695,117291
1530337216,104693,117290
1530338176,104748,117355
1530339158,104628,117223
1530340092,104612,117193
1530341086,104211,116703
