DateTime,AddedIPs,RemovedIPs
1530020901,144,17
1530021866,155,50
1530022836,185,20
1530023775,103,42
1530024768,98,25
1530025705,117,35
1530026665,109,39
1530027635,151,35
1530028580,155,26
1530029564,142,46
1530030504,125,33
1530031468,101,42
1530032445,101,34
1530033372,99,44
1530034356,88,36
1530035292,121,49
1530036269,201,31
1530037228,93,34
1530038173,125,23
1530039147,90,32
1530040114,1338,32
1530041084,143,32
1530042014,98,19
1530042985,113,31
1530043940,120,19
1530044903,109,31
1530045884,110,17
1530046830,108,37
1530047785,129,24
1530048749,62,30
1530049698,86,16
1530050743,90,24
1530051878,107,58
1530052812,100,0
1530053783,92,13
1530054752,108,36
1530055689,119,26
1530056676,96,32
1530057629,97,22
1530058570,89,45
1530059636,99,27
1530061010,100,65
1530061938,77,20
1530062912,78,34
1530063869,84,17
1530064828,75,37
1530065780,70,37
1530066750,55,38
1530067697,72,47
1530068655,98,26
1530069626,100,38
1530070571,111,27
1530071543,86,26
1530072497,87,47
1530073487,83,30
1530074416,94,48
1530075371,96,32
1530076351,84,25
1530077316,101,40
1530078258,59,34
1530079266,96,36
1530080170,81,24
1530081141,79,0
1530082099,91,50
1530083063,76,31
1530084016,95,0
1530084976,58,62
1530085939,95,41
1530086902,73,0
1530087878,98,85
1530088814,84,30
1530089784,80,0
1530090736,95,83
1530091690,117,0
1530092692,101,66
1530093622,113,0
1530094583,108,84
1530095541,94,0
1530096534,103,26
1530097459,90,51
1530098411,90,66
1530099390,88,69
1530100335,77,57
1530101303,76,71
1530102283,86,53
1530103391,95,54
1530104433,104,123
1530105368,87,0
1530106332,94,59
1530107310,75,136
1530108262,107,0
1530109216,104,49
1530110182,90,137
1530111143,83,77
1530112112,79,73
1530113079,75,83
1530114014,75,0
1530114982,85,84
1530115963,83,65
1530116904,66,87
1530117855,71,33
1530118825,76,42
1530119774,73,43
1530120755,54,58
1530121691,45,43
1530122681,67,59
1530123611,62,34
1530124829,98,130
1530125772,73,0
1530126738,986,66
1530127704,103,127
1530128703,85,0
1530130847,91,160
1530131790,90,62
1530132769,82,65
1530133712,81,50
1530134679,53,71
1530135612,83,0
1530136584,63,84
1530137535,84,68
1530138507,78,155
1530139437,72,0
1530140441,87,67
1530141376,77,0
1530142386,78,108
1530143295,84,0
1530144260,82,51
1530145226,101,53
1530146170,89,53
1530147132,94,60
1530148365,88,124
1530149305,83,54
1530150280,82,6
1530151220,88,19
1530152190,84,24
1530153169,94,23
1530154097,96,9
1530155067,92,17
1530156009,102,47
1530156994,78,37
1530157964,78,61
1530158894,58,47
1530159883,63,58
1530160811,76,35
1530161779,81,31
1530162743,73,42
1530163692,66,1
1530164714,64,7
1530165627,74,37
1530166591,59,39
1530167545,68,27
1530168498,47,24
1530169485,58,52
1530170410,59,46
1530171408,56,66
1530172341,36,49
1530173302,41,58
1530174312,66,40
1530175502,100,18
1530176422,92,51
1530177371,103,61
1530178351,98,34
1530179291,68,28
1530180258,70,32
1530181223,87,0
1530182413,118,22
1530183387,77,40
1530184353,87,0
1530185295,84,54
1530186283,83,17
1530187229,91,0
1530188184,76,45
1530189134,70,0
1530190096,75,48
1530191080,84,105
1530192009,67,0
1530192986,75,35
1530194001,67,44
1530195140,68,50
1530196103,79,102
1530197084,52,27
1530198030,45,35
1530198984,40,35
1530199950,50,0
1530200892,39,33
1530201855,49,29
1530202823,47,71
1530203770,62,0
1530204734,83,57
1530205727,71,47
1530206652,70,0
