DateTime,AddedIPs,RemovedIPs
1527933614,1,1
1527937219,0,0
1527940815,2,0
1527944416,0,0
1527948015,0,0
1527951617,0,0
1527955216,0,0
1527958815,1,0
1527962416,0,0
1527966015,0,1
1527969615,0,0
1527973215,0,0
1527976820,0,0
1527980418,0,0
1527984016,0,0
1527987615,1,0
1527991215,0,0
1527994817,3,0
1527998415,1,0
1528002016,0,0
1528005615,1,2
1528009216,2,0
1528012816,1,2
1528016415,0,4
1528020015,1,4
1528023616,0,1
1528027215,1,1
1528030820,0,2
1528034423,0,1
1528038014,0,1
1528041617,1,0
1528045215,2,1
1528048821,0,3
1528052415,1,1
1528059615,0,1
1528063215,8,2
1528077614,0,2
1528088415,1,0
1528102817,5,0
1528106419,3,1
1528110016,5,8
1528117221,0,1
1528124420,1,0
1528128016,0,1
1528131616,0,1
1528138819,0,1
1528142414,1,1
1528146022,20,0
1528149616,9,0
1528160418,0,1
1528164018,1,2
1528171219,1,2
1528174816,5,1
1528178417,15,0
1528182018,1,0
1528185617,2,1
1528189217,0,1
1528192819,0,1
1528196417,1,0
1528200018,1,0
1528203619,1,2
1528207218,3,0
1528214425,0,1
1528221619,3,0
1528225218,0,1
1528228818,1,0
1528232417,1,1
1528239618,1,0
1528243218,0,2
1528246821,0,3
1528250423,0,12
1528254018,1,1
1528257620,1,0
1528261218,1,0
1528264822,1,0
1528268418,0,1
1528272024,0,1
1528275619,1,0
1528290018,0,1
1528293618,0,1
1528300818,1,2
1528308017,0,0
1528311619,2,1
1528318819,6,0
1528322417,1,0
1528329617,1,1
1528333217,2,1
1528340424,6,0
1528344019,6,0
1528347618,1,0
1528351218,3,0
1528358419,1,7
1528362019,1,0
1528365621,1,0
1528369222,1,1
1528372825,1,0
1528376418,2,0
1528380018,1,0
1528387221,3,0
1528398019,2,0
1528401619,1,0
1528405220,3,0
1528408819,9,8
1528412418,1,5
1528416019,1,2
1528419619,0,6
1528423217,0,5
1528426820,0,1
1528430418,0,3
1528434018,1,3
1528437619,0,1
1528441219,1,0
1528444817,2,1
1528452019,1,1
1528455618,8,0
1528462818,1,0
1528473618,1,0
1528477218,1,0
1528488020,1,0
1528491618,1,0
1528502422,2,2
1528506018,7,2
1528513219,0,1
1528516818,1,1
1528524020,1,0
1528527619,1,2
1528531220,0,1
1528538417,0,1
1528545618,1,1
1528549219,2,0
