DateTime,AddedIPs,RemovedIPs
1527267611,1,0
1527274821,1,0
1527285611,1,0
1527289210,0,0
1527292810,1,1
1527296411,0,1
1527300011,0,0
1527303610,0,0
1527307211,0,0
1527310811,1,0
1527314418,0,0
1527318013,0,0
1527321610,0,0
1527325211,0,0
1527328811,0,0
1527332414,0,0
1527336010,0,0
1527339610,0,0
1527343211,0,0
1527346811,0,0
1527350411,0,0
1527354010,0,0
1527357613,0,2
1527361210,1,1
1527364812,0,0
1527368412,0,1
1527372010,0,0
1527375610,0,0
1527379211,0,0
1527382810,0,0
1527386411,0,0
1527390011,0,1
1527393611,1,0
1527397211,0,0
1527400810,0,5
1527404410,0,5
1527411610,5,0
1527415211,4,0
1527418810,0,9
1527433210,1,0
1527436809,0,1
1527454810,0,1
1527505211,7,0
1527519610,1,0
1527523211,2,0
1527526811,2,0
1527530411,0,1
1527534010,1,0
1527537611,0,2
1527548410,1,0
1527552011,0,1
1527555610,1,0
1527559210,1,0
1527562810,1,1
1527566412,2,0
1527570011,2,1
1527573611,1,0
1527584412,0,1
1527588011,1,2
1527591612,1,2
1527595215,0,1
1527598811,1,0
1527606011,1,0
1527609611,1,2
1527613210,0,1
1527616811,0,2
1527620411,1,0
1527624010,0,1
1527627611,1,2
1527631211,1,0
1527638411,1,0
1527642011,1,0
1527649211,0,1
1527660011,0,1
1527663610,1,1
1527685211,1,0
1527696011,1,1
1527703211,1,0
1527706817,1,0
1527724858,1,5
1527728411,1,5
1527746410,0,1
1527753614,7,0
1527764410,0,8
1527768016,0,1
1527775210,1,0
1527800411,2,1
1527804012,7,1
1527807611,4,0
1527811212,2,1
1527814813,5,1
1527818411,5,0
1527822012,1,2
1527825612,4,0
1527829212,2,0
1527832813,1,0
1527840012,1,0
1527843611,1,1
1527847211,1,0
1527858012,1,0
1527861612,0,2
1527865211,0,1
1527879612,0,1
1527890416,1,0
1527897611,0,2
1527904811,0,2
1527912012,0,1
1527915611,0,0
1527919210,0,0
1527922812,1,0
1527926411,1,0
1527930013,0,0
1527933611,1,0
1527937219,0,0
1527940812,1,0
1527944412,0,0
1527948011,0,0
1527951617,0,0
1527955212,0,0
1527958811,0,0
1527962412,0,0
1527966011,0,1
1527969612,0,0
1527973211,0,0
1527976812,0,0
1527980411,0,0
1527984013,0,0
1527987612,1,0
1527991212,0,0
1527994812,0,0
1527998412,0,0
1528002013,0,0
1528016413,0,4
1528020011,0,4
1528023612,0,1
1528038012,0,1
1528063212,7,0
1528102813,5,0
1528106415,3,0
1528110012,5,8
1528124412,1,0
1528128014,0,1
1528131612,0,1
1528138819,0,1
1528142411,0,1
1528149612,1,0
1528160412,0,1
1528164013,1,2
1528171212,0,2
1528174811,5,1
1528178412,15,0
1528185612,2,1
1528189214,0,1
1528192814,0,1
1528196412,1,0
1528200014,1,0
1528203613,1,2
1528207214,3,0
1528214422,0,1
1528221615,3,0
1528225213,0,1
1528232413,1,1
1528239613,1,0
1528243225,0,1
1528246818,0,2
1528250415,0,2
1528254017,1,1
1528261215,1,0
1528264819,1,0
1528268417,0,1
1528272015,4,0
1528275616,2,0
1528290014,0,1
1528300814,1,2
1528308013,0,0
1528311616,0,1
1528318815,2,0
1528322413,1,0
1528329613,1,1
1528333213,2,1
1528340414,6,0
1528344014,4,0
1528351213,2,0
1528358413,0,7
1528369213,0,1
1528372825,1,0
1528387215,1,0
1528398014,1,0
1528405215,3,0
1528408818,9,8
1528412414,1,4
1528416014,0,2
1528419615,0,5
1528423213,0,5
1528426814,0,1
1528430413,0,3
1528434014,0,3
1528437613,0,1
1528444813,2,1
1528452019,1,1
1528455613,8,0
1528462813,1,0
1528473616,1,0
1528477213,1,0
1528488015,1,0
1528491614,1,0
1528502421,2,1
1528506013,6,2
1528513213,0,1
1528524014,1,0
1528527614,1,1
1528531216,0,1
1528538413,0,1
1528545613,1,1
1528574419,1,0
1528578014,0,2
1528581614,1,0
1528592415,0,1
1528599613,1,1
1528603213,5,0
1528610414,2,0
1528614014,1,0
1528617615,1,0
1528624815,6,0
1528632015,5,0
1528635614,4,0
1528639214,1,0
1528642816,2,0
1528646414,2,0
1528650015,2,0
1528653622,3,0
1528660815,1,0
1528664416,1,0
1528668016,1,5
1528671615,1,0
1528686015,1,0
1528689615,1,0
1528693220,11,0
1528696819,2,0
1528700416,4,0
1528704016,1,0
1528707617,1,5
1528711216,0,2
1528714815,2,7
1528722016,1,0
1528729216,1,1
1528732816,1,1
1528740015,1,0
1528747215,2,0
1528754415,4,1
1528758017,2,0
1528761616,6,0
1528768816,0,2
1528772416,1,0
1528779616,0,5
1528783217,0,15
1528790416,0,1
1528801215,8,1
1528804815,0,1
1528808417,0,2
1528819214,2,1
1528826415,0,3
1528833616,1,0
1528837215,1,1
1528844415,0,2
1528848014,1,1
1528851614,0,1
1528855215,2,0
1528858815,1,0
1528869616,1,0
1528873214,1,0
1528876815,1,0
1528884051,1,5
1528902016,1,0
1528916415,0,1
1528923629,0,1
1528927217,1,1
1528930815,0,1
1528934414,1,1
1528938014,0,2
1528941621,0,1
1528945218,4,1
1528948815,4,8
1528956015,1,2
1528959616,1,0
1528963216,1,0
1528974015,1,0
1528977615,0,1
1528992015,1,0
1529002815,0,1
1529006419,1,0
1529010016,0,5
1529013614,0,8
1529017214,1,3
1529020814,1,0
1529024414,0,1
1529028019,2,0
1529035214,1,0
1529042414,1,1
1529046014,0,2
1529049622,0,2
1529060418,0,8
1529071213,2,1
1529078416,0,2
1529082013,0,1
1529092815,0,1
1529096414,1,1
1529100013,2,0
1529107213,8,0
1529110814,0,7
1529121614,1,0
1529125213,1,0
1529128813,0,2
1529139615,2,0
1529146816,8,0
1529150413,1,0
1529154017,1,0
1529164814,2,0
1529168416,0,1
1529179214,1,1
1529204414,0,1
1529208015,0,2
1529215216,0,2
1529218816,0,1
1529222414,1,0
1529229613,0,4
1529236813,0,6
1529240413,0,3
1529244013,0,1
1529247613,2,2
1529251213,0,2
1529254813,1,4
1529258412,0,5
1529262022,0,1
1529265619,0,1
1529298012,0,5
1529301613,0,1
1529305212,0,3
1529308812,0,2
1529312412,0,2
1529319612,0,2
1529334012,0,1
1529337614,0,1
1529344813,0,1
1529352013,1,2
1529359220,0,2
1529362811,0,1
1529366413,2,6
1529380811,1,0
1529384412,1,0
1529395211,0,1
1529398811,0,1
1529406011,0,7
1529416811,1,0
1529438410,0,2
1529452815,0,1
1529456411,0,1
1529481611,1,1
1529485212,9,0
1529488811,2,1
1529506812,0,1
1529532013,0,1
1529550012,0,6
1529553611,0,3
1529571611,0,1
1529593214,0,1
1529604012,1,0
1529607643,1,0
1529614813,1,0
1529622011,2,1
1529629212,1,0
1529632812,1,1
1529636413,1,0
1529647212,0,2
1529658012,1,0
1529661614,1,0
1529668812,0,1
1529676012,1,2
1529686811,1,0
1529690413,1,1
1529701212,1,1
1529704817,0,2
