DateTime,AddedIPs,RemovedIPs
1528412586,13,0
1528416199,5,6
1528419793,2,2
1528423409,1,4
1528427000,3,1
1528430586,0,3
1528434200,1,1
1528437792,0,2
1528441389,1,0
1528444942,1,2
1528448588,2,0
1528452194,1,1
1528459395,0,3
1528462982,0,4
1528466589,0,16
1528470186,0,1
1528473814,1,0
1528477347,4,0
1528480983,1,0
1528484585,0,2
1528488186,1,1
1528491793,1,2
1528495387,1,0
1528498993,2,2
1528502591,2,3
1528506199,0,3
1528509795,2,0
1528513408,3,1
1528517002,0,1
1528520603,2,4
1528524193,1,2
1528531389,0,2
1528534991,0,2
1528538588,0,1
1528542189,0,2
1528549378,1,1
1528552992,14,0
1528556586,0,1
1528560185,1,0
1528563794,1,0
1528567412,0,2
1528570996,2,0
1528574591,2,2
1528578195,2,1
1528588987,1,1
1528592586,1,1
1528596188,3,3
1528599779,0,1
1528603380,1,1
1528606983,2,1
1528610589,1,0
1528614195,1,0
1528617802,0,1
1528621364,0,1
1528624990,0,1
1528628600,2,0
1528643002,0,1
1528646590,0,1
1528650196,2,1
1528653785,1,0
1528657396,1,1
1528660995,1,0
1528664598,0,1
1528668195,1,19
1528671772,3,2
1528675407,3,1
1528679000,2,1
1528682580,3,1
1528686186,1,2
1528689800,2,3
1528693379,1,0
1528696989,0,3
1528700581,3,3
1528704200,1,2
1528707788,2,0
1528711391,1,1
1528714985,3,0
1528718590,0,2
1528722190,1,3
1528725779,0,2
1528729391,1,0
1528732978,3,1
1528736593,3,0
1528740198,1,2
1528743795,3,6
1528747421,1,9
1528750995,2,4
1528754624,2,11
1528758204,0,3
1528761801,18,1
1528765387,3,1
1528769005,2,0
1528772600,2,1
1528776192,2,0
1528779818,1,1
1528783395,1,1
1528786990,0,2
1528790592,0,1
1528797821,0,2
1528801416,1,0
1528805032,3,0
1528808600,1,1
1528812216,0,18
1528819400,1,1
1528823012,1,0
1528826612,0,2
1528830192,1,2
1528833816,1,1
1528837405,4,1
1528840995,1,0
1528844619,3,2
1528848208,0,1
1528855378,1,4
1528859014,2,5
1528862589,2,2
1528869814,1,0
1528873409,0,1
1528877006,1,1
1528880572,2,1
1528887821,1,0
1528891410,1,0
1528898624,20,2
1528902210,1,1
1528905806,0,1
1528909388,0,1
1528913028,0,3
1528916616,1,0
1528920208,0,1
1528923826,2,2
1528927403,3,1
1528931035,3,0
1528934610,2,1
1528938235,3,2
1528941776,4,0
1528945394,2,0
1528948982,1,2
1528952579,1,1
1528959795,1,1
1528966993,1,1
1528970596,1,1
1528974205,1,2
1528981413,0,2
1528985032,1,0
1528988569,1,0
1528995795,2,1
1528999404,4,0
1529003011,3,2
1529006598,0,2
1529010223,3,0
1529013800,0,10
1529017380,1,7
1529021013,0,2
1529024589,0,3
1529031780,0,2
1529038990,2,1
