DateTime,AddedIPs,RemovedIPs
1528726067,13,36
1528729668,14,15
1528733270,20,15
1528736866,18,28
1528740466,17,17
1528744071,15,25
1528747666,19,22
1528751268,45,22
1528754872,38,24
1528758467,16,14
1528762067,10,18
1528765668,15,9
1528769294,31,20
1528772875,13,26
1528776478,24,13
1528780066,21,26
1528783661,24,21
1528787261,16,24
1528790868,46,15
1528794466,38,14
1528798063,16,41
1528801686,14,13
1528805270,9,9
1528808877,20,17
1528812471,25,20
1528816065,15,31
1528819677,22,74
1528823280,17,87
1528826872,27,50
1528830460,16,55
1528834071,15,64
1528837651,36,40
1528841251,15,61
1528844851,8,41
1528848450,14,32
1528852043,13,24
1528855648,32,42
1528859244,13,53
1528862835,19,32
1528866438,13,47
1528870034,19,37
1528873636,19,32
1528877238,20,34
1528880838,30,44
1528884435,19,86
1528888030,10,40
1528891634,12,53
1528895227,15,31
1528898827,38,40
1528902417,13,71
1528906021,15,65
1528909613,21,35
1528913221,20,50
1528916823,125,33
1528920427,83,36
1528924032,32,37
1528927629,64,43
1528931229,16,57
1528934829,19,53
1528938422,6,33
1528942017,20,28
1528945632,34,38
1528949227,10,57
1528952825,25,33
1528956427,14,62
1528960017,16,37
1528963619,58,59
1528967217,16,40
1528970827,243,30
1528974437,231,50
1528978044,148,27
1528981651,89,23
1528985249,84,14
1528988850,74,25
1528992449,38,44
1528996051,48,27
1528999654,40,48
1529003255,44,22
1529006855,32,27
1529010448,40,21
1529014058,43,28
1529017654,26,56
1529021254,17,19
1529024857,61,18
1529028454,24,22
1529032057,48,22
1529035659,15,21
1529039255,24,8
1529042855,18,29
1529046455,14,30
1529050057,11,13
1529053656,23,10
1529057257,28,13
1529060856,17,25
1529064455,16,34
1529068057,16,15
1529071651,10,64
1529075253,36,23
1529078852,23,27
1529082456,18,18
1529086054,27,21
1529089656,19,36
1529093254,12,16
1529096855,20,12
1529100450,21,15
1529104058,35,23
1529107657,9,31
1529111249,14,21
1529114851,5,33
1529118439,22,18
1529122048,28,29
1529125647,10,23
1529129254,28,15
1529132846,19,45
1529136445,17,54
1529140046,17,9
1529143643,21,20
1529147245,37,21
1529150851,122,49
1529154447,69,16
1529158056,49,28
1529161655,43,19
1529165255,53,27
1529168859,36,33
1529172458,59,17
1529176061,28,34
1529179654,34,31
1529183255,19,23
1529186863,36,17
1529190459,39,9
1529194061,17,36
1529197659,11,12
1529201261,13,21
1529204858,13,27
1529208459,36,23
1529212060,15,19
1529215654,24,16
1529219258,22,15
1529222858,40,32
1529226461,34,9
1529230065,37,14
1529233663,38,15
1529237271,24,19
1529240862,15,30
1529244462,16,20
1529248064,17,24
1529251662,42,18
1529255264,8,22
1529258862,17,18
1529262463,24,19
1529266069,25,34
1529269666,25,19
1529273263,34,12
1529276868,32,16
1529280465,29,24
1529284066,12,31
1529287655,14,18
1529291264,8,29
1529294862,22,20
1529298469,33,20
1529302063,15,19
1529305666,25,17
1529309268,29,34
1529312865,20,19
1529316467,14,9
1529320066,20,19
1529323675,33,15
1529327270,17,43
1529330866,21,16
1529334472,11,19
1529338077,29,24
1529341670,33,20
1529345280,18,17
1529348872,23,14
1529352475,14,24
1529356076,21,29
1529359666,13,20
1529363268,19,12
1529366866,33,13
1529370466,16,24
1529374065,8,28
1529377667,7,15
1529381268,14,28
1529384868,33,18
1529388463,24,26
1529392064,21,16
1529395660,13,49
1529399278,21,35
1529402864,15,15
1529406460,18,23
1529410066,31,11
1529413670,111,28
1529417272,50,32
1529420869,58,22
1529424471,43,34
1529428071,54,24
1529431675,27,32
1529435275,19,14
1529438874,36,15
1529442485,30,33
1529446074,26,24
1529449676,68,13
1529453277,31,19
1529456881,34,15
1529460474,7,35
1529464078,13,15
1529467675,7,28
1529471281,22,14
1529474878,34,23
1529478475,15,17
1529482083,22,14
1529485681,23,27
1529489279,39,23
1529492878,11,10
1529496480,10,11
1529500076,14,18
1529503672,12,42
1529507278,35,26
1529510882,15,22
1529514478,27,25
1529518075,35,20
1529521679,28,27
1529525276,41,50
1529528877,24,35
1529532478,34,68
1529536069,17,47
1529539677,12,53
1529543271,9,45
1529546872,10,24
1529550474,24,28
1529554071,25,8
1529557673,11,22
1529561269,22,18
1529564870,18,13
1529568465,17,59
1529572065,18,16
1529575667,25,64
1529579266,30,39
1529582868,17,34
1529586467,16,33
1529590062,8,41
1529593665,27,53
1529597269,34,37
1529600866,13,48
1529604454,25,31
1529608062,24,22
1529611662,31,28
1529615265,18,31
1529618862,20,57
1529622459,34,27
1529626055,17,14
1529629649,8,67
1529633252,6,26
1529636850,54,47
1529640454,36,14
1529644051,12,39
1529647648,37,23
1529651254,24,24
1529654850,29,26
1529658452,10,22
1529662052,18,37
1529665652,33,21
1529669257,9,30
1529672850,12,19
1529676453,19,9
1529680048,12,41
1529683650,36,31
1529687248,8,19
1529690849,20,33
1529694461,19,25
1529698069,151,21
1529701675,84,30
1529705372,38,24
1529708968,42,38
1529712469,20,12
1529716066,9,13
1529719670,13,5
1529723270,9,25
1529726867,25,31
1529730458,20,17
1529734056,11,30
1529737651,19,24
1529741259,19,27
1529744852,25,15
1529748462,19,25
1529752056,22,39
1529755660,23,32
1529759255,11,24
1529762866,12,23
1529766456,7,22
1529770072,29,46
1529773658,27,31
1529777262,12,61
1529780859,57,28
1529784461,12,43
1529788057,27,14
1529791659,10,29
1529795255,20,44
1529798857,34,29
1529802460,20,11
1529806059,15,21
1529809647,7,18
1529813260,13,50
1529816853,34,19
1529820453,18,33
1529824049,22,27
1529827640,11,46
1529831246,26,21
1529834844,6,28
1529838442,21,41
1529842048,39,26
1529845640,10,17
1529849240,13,19
1529852834,10,25
1529856449,12,50
1529860052,35,15
1529863648,15,34
1529867251,31,30
1529870854,13,33
1529874449,23,31
1529878046,18,41
1529881646,16,38
1529885247,35,43
1529888846,14,21
1529892447,21,33
1529896044,14,16
1529899647,12,27
1529903240,22,44
1529906830,29,29
1529910433,21,31
1529914033,31,37
1529917626,19,28
1529921232,26,17
1529924827,12,24
1529928442,23,39
1529932042,29,28
1529935639,21,17
1529939238,17,14
1529942841,7,29
1529946436,25,32
1529950040,36,23
1529953644,44,32
1529957246,25,17
1529960841,21,25
1529964443,30,17
1529968049,49,19
1529971644,13,36
1529975244,38,19
1529978848,31,13
1529982443,13,14
1529986037,10,21
1529989640,10,38
1529993232,33,34
1529996829,19,27
1530000431,35,19
1530004029,17,26
1530007639,27,23
1530011244,19,17
1530014843,24,28
1530018417,37,66
1530022042,13,43
1530025636,12,63
1530029234,22,62
1530032827,16,71
1530036432,45,53
1530040029,12,68
1530043625,28,76
1530047224,18,91
1530050822,17,45
1530054423,19,69
1530058019,74,41
1530061622,33,41
1530065215,13,22
1530068811,15,31
1530072410,10,20
1530076006,8,37
1530079608,43,49
1530083189,18,18
1530086809,16,30
1530090402,30,22
1530094005,31,49
1530097607,23,17
1530101204,12,14
1530104804,23,23
1530108411,32,17
1530112002,22,59
1530115600,14,27
1530119204,11,35
1530122805,20,29
1530126409,30,32
1530130002,14,44
1530133597,30,29
1530140798,80,65
1530144409,17,12
1530148001,21,23
1530151601,34,9
1530155202,43,32
1530158804,13,35
1530162404,13,20
1530165988,19,37
1530169596,36,29
1530173196,18,32
1530176795,26,20
1530180400,14,29
1530183992,29,47
1530187600,12,25
1530191197,30,28
1530194797,36,13
1530198400,15,28
1530201995,18,40
1530205599,18,22
1530209198,16,36
1530212799,39,29
1530216399,15,40
1530219995,26,18
1530223596,15,21
1530227194,22,43
1530230797,16,18
1530234398,19,13
1530237994,34,12
1530241591,15,62
1530245189,5,34
1530248794,15,23
1530252400,10,38
1530255990,36,30
1530259587,23,37
1530263192,14,12
1530266787,27,15
1530270390,21,41
1530273989,26,16
1530277591,19,15
1530281197,177,23
1530284806,144,24
1530288409,96,51
1530292006,78,21
1530295611,46,39
1530299213,56,42
1530302814,61,46
1530306420,76,57
1530310020,135,29
1530313622,78,31
1530317222,45,16
1530320826,53,13
1530324415,47,17
1530328043,41,7
1530331646,20,29
1530335249,23,26
1530338840,27,19
1530342441,21,26
1530346038,42,24
1530349623,32,24
1530353219,33,15
1530356809,21,23
1530360437,39,23
1530364028,20,23
1530367629,61,17
1530371228,36,13
1530374832,21,27
1530378434,8,35
1530382045,16,19
1530385625,10,60
1530389241,43,12
1530392828,12,25
1530396429,22,11
1530400028,24,15
1530403635,20,38
1530407227,18,15
1530410827,20,17
1530414426,35,13
1530418032,18,14
1530421631,16,31
1530425225,11,17
1530428822,9,24
1530432422,18,19
1530436031,40,26
1530439626,13,12
1530443222,24,21
1530446824,24,44
1530450434,12,10
1530454023,26,18
1530457622,21,11
1530461226,48,13
1530464827,31,40
1530468435,26,14
1530472034,16,33
1530475627,29,14
1530479231,30,18
1530482832,11,18
1530486431,37,20
1530490033,21,38
1530493631,27,15
1530497235,10,24
1530500834,17,16
1530504432,33,7
1530508027,12,24
1530511618,10,31
1530515227,11,29
1530518825,12,35
1530522422,44,16
1530526025,17,22
