DateTime,AddedIPs,RemovedIPs
1528726141,6,30
1528729743,11,10
1528733343,17,16
1528736943,13,23
1528740542,10,12
1528744142,13,23
1528747741,18,18
1528751347,40,19
1528754947,32,21
1528758550,16,11
1528762146,5,10
1528765747,12,5
1528769358,28,17
1528772953,12,25
1528776553,19,10
1528780143,15,22
1528783738,23,18
1528787328,13,19
1528790944,42,13
1528794534,33,14
1528798142,14,38
1528801754,13,13
1528805349,7,9
1528808950,16,17
1528812545,24,20
1528816140,11,23
1528819762,19,42
1528823364,9,60
1528826964,23,23
1528830562,13,31
1528834159,14,28
1528837727,33,32
1528841328,13,39
1528844926,4,26
1528848529,10,20
1528852128,9,17
1528855732,32,24
1528859324,10,41
1528862927,15,22
1528866518,8,36
1528870113,17,22
1528873712,9,25
1528877313,15,24
1528880911,29,28
1528884509,16,69
1528888110,4,24
1528891707,9,40
1528895308,10,22
1528898906,35,30
1528902500,9,53
1528906103,11,50
1528909702,17,26
1528913301,16,33
1528916907,122,29
1528920513,80,27
1528924113,31,28
1528927711,31,33
1528931311,13,46
1528934911,14,48
1528938505,3,31
1528942104,15,22
1528945714,30,25
1528949313,8,48
1528952911,23,22
1528956505,13,50
1528960104,12,26
1528963706,55,45
1528967298,13,33
1528970903,160,29
1528974513,133,42
1528978116,85,20
1528981718,47,12
1528985317,47,9
1528988917,46,21
1528992522,24,39
1528996123,33,17
1528999722,28,37
1529003325,32,20
1529006925,25,19
1529010524,32,12
1529014125,33,26
1529017720,18,49
1529021322,13,15
1529024923,54,16
1529028524,17,18
1529032124,37,17
1529035724,9,18
1529039325,20,5
1529042923,13,22
1529046523,14,25
1529050124,9,13
1529053723,20,8
1529057322,25,8
1529060924,11,20
1529064521,11,31
1529068124,13,12
1529071720,7,57
1529075317,32,18
1529078920,21,19
1529082519,15,14
1529086120,17,17
1529089718,17,36
1529093318,11,11
1529096917,14,10
1529100519,16,9
1529104122,29,16
1529107727,4,20
1529111321,7,15
1529114919,1,29
1529118517,17,9
1529122117,27,23
1529125716,6,16
1529129315,19,13
1529132910,15,40
1529136509,18,47
1529140109,13,4
1529143709,15,16
1529147309,31,13
1529150913,57,41
1529154515,38,14
1529158115,24,27
1529161713,26,14
1529165314,40,23
1529168916,22,23
1529172517,47,15
1529176117,18,27
1529179718,23,15
1529183316,13,7
1529186920,25,15
1529190518,33,5
1529194119,13,33
1529197720,8,7
1529201319,9,12
1529204919,7,19
1529208518,34,17
1529212118,9,17
1529215717,17,15
1529219319,17,13
1529222918,38,29
1529226519,37,6
1529230122,35,9
1529233719,30,9
1529237324,22,14
1529240923,9,24
1529244523,12,13
1529248120,8,18
1529251725,42,18
1529255326,8,17
1529258926,15,13
1529262527,20,14
1529266130,20,31
1529269727,19,15
1529273327,13,8
1529276927,21,10
1529280531,23,16
1529284128,5,26
1529287726,6,12
1529291324,3,26
1529294925,14,16
1529298528,31,17
1529302129,9,9
1529305730,17,12
1529309327,23,28
1529312926,13,17
1529316528,12,6
1529320127,17,13
1529323733,27,10
1529327331,9,35
1529330935,7,8
1529334528,7,17
1529338140,22,20
1529341735,30,13
1529345337,15,11
1529348935,21,12
1529352534,12,22
1529356134,16,27
1529359727,9,14
1529363328,14,10
1529366929,31,6
1529370528,12,20
1529374127,4,25
1529377725,5,15
1529381324,12,23
1529384927,31,13
1529388523,21,24
1529392123,18,10
1529395720,11,43
1529399322,17,31
1529402922,13,11
1529406523,15,17
1529410127,28,9
1529413731,67,23
1529417326,24,31
1529420924,38,19
1529424527,33,29
1529428126,44,18
1529431725,21,23
1529435328,15,12
1529442529,53,44
1529446129,22,20
1529449733,61,5
1529453337,25,13
1529456932,26,10
1529460531,5,34
1529464132,8,12
1529467728,2,24
1529471326,20,10
1529474930,27,23
1529478528,11,11
1529482130,18,13
1529485733,17,26
1529489329,33,21
1529492935,11,6
1529496533,3,10
1529500128,9,9
1529503732,9,38
1529507331,32,15
1529510930,13,18
1529514532,24,22
1529518130,34,16
1529521733,30,27
1529525331,38,46
1529528932,19,31
1529532531,32,42
1529536131,13,42
1529539732,11,51
1529543335,7,48
1529546929,5,16
1529550527,23,25
1529554127,21,8
1529557726,9,20
1529561322,20,12
1529564923,15,10
1529568523,15,55
1529572122,17,14
1529575722,22,53
1529579323,26,29
1529582924,12,21
1529586522,8,19
1529590119,5,26
1529593724,23,39
1529597329,30,28
1529600933,10,32
1529604519,20,23
1529608126,12,15
1529611723,24,17
1529615324,11,22
1529618924,16,44
1529622520,31,19
1529626118,13,12
1529629713,6,58
1529633314,3,21
1529636916,49,44
1529640517,31,12
1529644109,11,31
1529647714,32,22
1529651309,22,22
1529654913,25,22
1529658513,5,20
1529662114,18,30
1529665715,27,14
1529669318,7,16
1529672916,6,12
1529676514,10,5
1529680112,6,33
1529683712,34,27
1529687313,7,17
1529690913,19,21
1529694540,16,17
1529698150,152,20
1529701751,81,21
1529705559,38,22
1529709158,39,33
1529712546,17,11
1529716142,8,8
1529719745,10,5
1529723344,5,19
1529726943,21,27
1529730522,19,11
1529734123,9,25
1529737720,17,19
1529741320,17,26
1529744922,18,12
1529748528,15,16
1529752122,15,34
1529755728,21,18
1529759329,8,9
1529762928,9,15
1529766519,2,19
1529770154,21,40
1529773739,27,20
1529777338,10,47
1529780940,50,15
1529784536,10,26
1529788141,24,7
1529791738,6,20
1529795338,16,34
1529798940,31,24
1529802538,13,5
1529806137,10,10
1529809739,5,9
1529813336,9,38
1529816937,31,11
1529820518,15,25
1529824116,19,14
1529827714,6,43
1529831317,23,18
1529834914,4,20
1529838512,21,30
1529842120,34,19
1529845713,9,10
1529849313,7,13
1529852910,6,13
1529856531,8,43
1529860134,31,12
1529863733,9,20
1529867334,26,24
1529870939,11,22
1529874537,22,23
1529878132,16,17
1529881733,14,21
1529885337,27,32
1529888932,9,15
1529892533,15,26
1529896129,9,11
1529899730,8,21
1529903327,18,39
1529906909,25,16
1529910508,10,18
1529914109,25,28
1529917707,17,17
1529921309,25,11
1529924908,10,17
1529928525,19,30
1529932133,22,17
1529935730,14,10
1529939320,12,6
1529942930,3,21
1529946526,17,26
1529950132,36,16
1529953733,41,28
1529957331,18,13
1529960933,18,19
1529964536,25,12
1529968130,14,14
1529971736,12,34
1529975331,28,9
1529978965,27,7
1529982533,6,9
1529986131,8,14
1529989726,8,37
1529993309,28,21
1529996909,15,23
1530000511,30,14
1530004110,15,19
1530007712,26,13
1530011334,8,14
1530014935,16,27
1530018536,29,49
1530022136,11,29
1530025730,5,23
1530029328,16,38
1530032921,11,51
1530036531,33,40
1530040125,7,33
1530043718,25,47
1530047318,12,55
1530050919,16,28
1530054518,16,57
1530058120,61,23
1530061717,26,33
1530065317,10,15
1530068902,9,13
1530072499,7,7
1530076100,5,25
1530079698,40,34
1530083300,11,15
1530086897,9,25
1530090495,20,17
1530094099,27,35
1530097696,16,15
1530101296,10,4
1530104899,19,12
1530108504,21,10
1530112093,11,42
1530115696,13,17
1530119295,3,31
1530122900,16,21
1530126501,26,30
1530130094,6,39
1530133695,28,20
1530137305,42,35
1530140893,34,17
1530144497,16,13
1530148094,17,17
1530151693,29,8
1530155297,36,24
1530158896,9,27
1530162494,8,17
1530166091,19,28
1530169693,28,23
1530173294,11,26
1530176892,24,11
1530180490,11,24
1530184087,23,38
1530187691,10,16
1530191291,24,15
1530194891,31,10
1530198490,13,22
1530202092,5,35
1530205693,10,14
1530209295,10,30
1530212895,32,20
1530216493,11,33
1530220093,23,10
1530223693,11,17
1530227292,17,38
1530230890,13,12
1530234489,16,9
1530238091,26,6
1530241688,11,55
1530245286,4,33
1530248885,10,17
1530252485,6,37
1530256081,30,27
1530259681,16,29
1530263282,12,6
1530266882,27,13
1530270483,15,32
1530274083,19,11
1530277685,14,8
1530281288,78,13
1530284892,70,13
1530288491,37,45
1530292093,29,13
1530295693,22,32
1530299292,35,28
1530302893,49,33
