DateTime,AddedIPs,RemovedIPs
1528211027,1,5
1528218225,0,1
1528221828,0,7
1528225427,3,3
1528229024,3,0
1528232622,0,1
1528236226,0,1
1528239827,1,0
1528243424,0,1
1528247031,3,1
1528250630,1,1
1528254228,1,0
1528257822,0,1
1528261470,3,2
1528265028,1,1
1528272239,1,2
1528275830,4,0
1528279438,2,0
1528283044,2,1
1528286642,3,0
1528290238,2,0
1528293843,3,0
1528297439,2,0
1528301044,7,0
1528304648,1,0
1528308245,1,2
1528311852,1,3
1528315427,1,0
1528322623,0,6
1528329825,1,1
1528333423,1,0
1528337031,2,8
1528340632,1,3
1528344222,0,2
1528347838,1,0
1528355022,1,1
1528358623,3,2
1528362231,3,0
1528369443,1,5
1528373045,1,0
1528376629,0,1
1528380238,2,2
1528383830,0,6
1528387432,1,3
1528391034,3,2
1528394627,0,2
1528398227,0,1
1528405429,0,3
1528409031,0,1
1528412625,1,13
1528416229,0,9
1528419832,2,0
1528423431,1,1
1528427029,0,1
1528430618,0,1
1528437836,1,0
1528448650,2,0
1528452245,1,0
1528455859,1,3
1528459456,0,1
1528470248,10,2
1528473840,13,0
1528477440,0,1
1528481039,0,2
1528491842,1,2
1528495446,0,1
1528499034,0,1
1528502631,1,1
1528509838,3,0
1528517032,8,2
1528520633,3,1
1528524237,0,3
1528527839,0,1
1528531434,2,0
1528535035,1,1
1528538631,0,1
1528553040,0,2
1528560239,1,2
1528563839,1,0
1528567440,1,1
1528571030,2,1
1528574643,1,1
1528578236,0,1
1528581838,2,1
1528585438,0,1
1528589034,2,0
1528592633,1,0
1528599831,0,1
1528607033,0,7
1528610628,1,13
1528614225,1,15
1528617831,1,7
1528625029,0,1
1528628650,1,3
1528632245,1,0
1528639446,1,0
1528643043,0,1
1528646641,0,1
1528653842,2,1
1528657440,1,3
1528664644,0,1
1528675440,3,2
1528679047,0,2
1528682639,1,0
1528693440,1,1
1528697045,2,0
1528704246,3,0
1528707853,0,2
1528711447,2,1
1528718637,0,1
1528722244,0,1
1528725851,0,1
1528729439,1,0
1528733033,1,1
1528740244,2,0
1528743836,0,1
1528747434,1,2
1528751041,0,4
1528754640,0,1
1528758240,2,1
1528761840,0,1
1528769048,1,1
1528776244,5,0
1528783429,1,0
1528787036,0,1
1528794226,2,2
1528797832,1,0
1528801444,3,0
1528805045,2,1
1528808641,1,4
1528812238,0,1
1528815839,1,0
1528819450,0,1
1528826648,2,0
1528830244,2,1
1528833850,1,2
1528837432,0,1
1528841031,2,0
1528851870,0,3
1528855428,0,1
1528859029,1,0
1528862637,1,0
1528866225,7,3
1528869830,2,1
1528873421,0,1
1528877016,1,2
1528880626,2,4
1528884226,0,3
1528887823,1,2
1528891418,2,3
1528895027,1,1
1528898617,0,2
1528902223,0,2
1528905825,4,10
1528909417,0,1
1528913024,0,3
1528916624,1,1
1528920221,3,4
1528927430,2,1
1528931027,3,0
1528938224,0,3
1528941829,0,3
1528945428,0,4
1528952630,1,1
1528959830,1,0
1528963427,1,0
1528967023,0,3
1528970615,3,1
1528974225,2,1
1528977825,2,0
1528981425,3,0
1528985019,2,1
1528988621,2,0
1528992235,2,0
1528995842,2,4
1528999427,1,2
1529003021,1,1
1529010226,3,0
1529013829,6,1
1529017421,0,1
1529028225,1,2
1529031826,2,0
1529035430,1,0
1529049828,1,0
1529053421,2,0
1529057027,7,1
1529060634,4,0
1529064221,2,0
1529075023,0,2
1529078634,2,2
1529082223,0,1
1529093026,1,0
1529096619,1,1
1529100230,0,1
1529103828,6,0
1529114627,1,1
1529118222,1,0
1529121831,1,5
1529125420,1,2
1529136234,1,0
1529150622,1,0
1529154235,1,0
1529157822,0,3
1529165015,0,1
1529168623,2,1
1529172223,0,1
1529175822,2,2
1529179423,2,0
1529190218,1,0
1529193821,0,2
1529197425,0,1
1529204620,1,0
1529211823,1,0
1529215417,1,1
1529219018,0,2
1529222625,1,2
1529226219,2,2
1529237028,0,1
1529240628,1,2
1529244222,2,0
1529251425,1,0
1529255022,1,0
1529258623,1,0
1529262225,0,2
1529265827,0,1
1529269423,0,1
1529273018,0,1
1529280227,0,2
1529283826,0,1
1529294625,0,1
1529298222,2,2
1529301819,0,2
1529305420,1,1
1529312624,1,1
1529316254,1,5
1529319829,1,1
1529330632,2,0
1529334229,2,0
1529341433,0,1
1529345034,1,4
1529352230,1,1
1529359426,1,0
1529363025,1,0
1529366627,1,0
1529373827,1,0
1529377423,0,1
1529381024,0,31
1529384621,1,1
1529388221,1,1
1529391817,0,1
1529399022,1,1
1529402622,0,1
1529406220,3,1
1529409813,1,1
1529413424,1,1
1529417025,1,0
1529424223,1,0
1529427818,2,0
1529431412,1,2
1529435028,1,2
1529438625,2,1
1529442225,0,1
1529445825,2,2
1529449428,3,0
1529453030,4,0
1529460222,3,0
1529467424,1,2
1529471027,1,0
1529478220,1,0
1529485424,2,1
1529492625,0,1
1529499820,1,2
1529503415,1,0
1529510616,2,2
1529514221,2,2
1529517821,2,0
1529525028,2,0
1529528627,1,0
1529532222,0,2
1529535832,0,5
1529539423,1,0
1529543024,1,2
1529546625,1,0
1529550226,0,1
1529553824,1,0
1529557426,2,0
1529561018,1,0
1529564623,0,1
1529575427,2,2
1529579024,1,0
1529582627,2,2
1529586227,1,1
1529589826,1,2
1529593425,1,1
1529597029,1,3
1529600638,1,0
1529607828,1,4
1529611421,2,0
1529615034,1,1
1529618629,1,3
1529622232,1,1
1529633018,1,1
1529636633,1,1
1529640226,0,3
1529643824,1,0
1529647429,1,0
1529654618,4,2
1529661822,0,2
1529665427,0,1
1529669032,0,2
1529676223,0,2
1529679823,1,1
1529683421,1,1
1529687019,0,2
1529690631,2,2
1529694243,1,0
1529697844,2,2
1529701452,1,1
1529705136,1,2
1529708728,1,5
1529712238,0,1
1529719443,0,1
1529723037,0,3
1529730219,1,0
1529733826,1,0
1529741022,1,5
1529748217,1,3
1529751826,3,0
1529755424,1,1
1529759022,1,0
1529762631,3,1
1529766221,0,2
