DateTime,AddedIPs,RemovedIPs
1528844162,63,89
1528848016,83,103
1528849922,55,75
1528853762,85,77
1528855682,0,3
1528857603,80,84
1528861443,82,108
1528865522,71,81
1528867443,178,142
1528869362,198,225
1528871282,72,71
1528873214,71,72
1528875122,126,107
1528880882,64,57
1528884723,57,64
1528886644,65,47
1528890482,79,68
1528892412,68,79
1528894322,118,101
1528898162,73,80
1528900083,71,66
1528903922,79,73
1528905842,73,79
1528907762,131,117
1528911602,87,89
1528915446,91,57
1528917362,79,89
1528923123,79,83
1528928882,57,99
1528932003,62,112
1528933923,86,87
1528937762,55,55
1528941616,72,68
1528943523,76,95
1528945442,0,2
1528947362,96,98
1528951203,65,74
1528955043,94,69
1528958882,75,69
1528960802,72,69
1528964642,92,64
1528970418,68,52
1528972323,65,63
1528974242,69,61
1528980003,80,63
1528985763,66,59
1528989602,56,66
1528991522,77,74
1528995363,81,55
1528999212,102,131
1529001122,187,159
1529006882,86,74
1529008803,68,72
1529012643,75,99
1529017227,69,96
1529019122,96,98
1529022962,42,72
1529024883,78,64
1529030642,71,76
1529034482,76,97
1529038322,63,79
1529040242,91,68
1529046018,61,59
1529047922,83,63
1529051763,60,67
1529055602,63,58
1529059442,76,50
1529063282,74,72
1529066170,57,52
1529068082,66,77
1529073844,71,64
1529077683,74,56
1529081522,80,70
1529085362,73,76
1529087283,72,74
1529091123,127,122
1529093044,153,153
1529095202,66,61
1529099045,86,91
1529102882,54,103
1529106722,101,87
1529110562,42,87
1529114409,73,60
1529116322,58,75
1529120162,88,96
1529124003,59,83
1529127842,102,61
1529131682,69,62
1529135522,67,64
1529139362,83,67
1529143217,78,59
1529145122,72,61
1529148962,72,66
1529150882,66,53
1529156642,77,74
1529160483,51,71
1529164322,61,61
1529168162,69,62
1529172013,77,77
1529173922,65,64
1529175842,56,58
1529181603,57,90
1529185443,71,56
1529189523,45,79
1529193362,104,75
1529199122,92,151
1529202962,66,69
1529206803,92,102
1529210642,72,74
1529214723,78,59
1529216643,59,78
1529218563,119,92
1529222410,75,55
1529226243,63,48
1529228163,69,68
1529232003,72,44
1529237762,83,71
1529239682,64,58
1529243522,64,92
1529245443,92,64
1529247362,111,138
1529251215,69,65
1529253122,97,59
1529256962,70,81
1529260802,77,63
1529264643,68,71
1529268483,89,89
1529272322,65,90
1529274242,54,91
1529278323,98,90
1529282162,57,93
1529286003,79,64
1529289842,70,69
1529293683,87,119
1529299442,72,92
1529301362,96,61
1529305210,75,58
1529309042,69,58
1529310962,69,59
1529314802,48,56
1529318643,59,56
1529322482,73,47
1529326323,68,64
1529330162,65,85
1529334015,82,91
1529335922,97,78
1529340005,92,75
1529343843,77,89
1529347682,89,77
1529349602,150,128
1529351523,83,100
1529355363,82,67
1529361362,133,162
1529365203,93,114
1529369042,63,81
1529373121,83,82
1529375042,58,77
1529379123,88,101
1529382962,75,88
1529386803,92,56
1529390643,73,69
1529394482,74,56
1529398322,80,67
1529402162,54,70
1529406021,72,55
1529407922,42,1337
1529410082,1371,84
1529412002,61,67
1529415842,76,62
1529419682,64,63
1529423522,75,87
1529427363,87,71
1529431222,173,192
1529433122,267,189
1529436963,74,75
1529438882,69,91
1529442723,67,79
1529448988,63,111
1529452816,90,89
1529456642,52,85
1529458562,76,86
1529462402,75,93
1529466243,102,86
1529470082,71,79
1529473923,112,81
1529477763,141,164
1529479684,205,169
1529481606,77,73
1529483524,61,58
1529487363,42,57
1529489283,67,49
1529495044,60,60
1529499123,56,69
1529502962,72,72
1529508723,118,104
1529510882,6,0
1529512803,68,55
1529516642,86,76
1529520483,91,77
1529524562,77,91
1529526482,123,124
1529528413,80,68
1529530323,64,89
1529534162,62,99
1529538482,88,79
1529540403,155,127
1529542323,144,199
1529546163,86,65
1529550013,81,90
1529551922,71,97
1529555762,79,105
1529559602,82,75
1529561523,76,118
1529567282,112,68
1529571122,91,65
1529574963,48,60
1529577123,73,66
1529580963,75,60
1529586723,66,55
1529588644,65,63
1529592723,71,56
1529594643,71,75
1529600419,75,71
1529602323,160,138
1529606163,72,68
1529610004,75,64
1529613844,69,70
1529615763,0,4
1529617685,79,87
1529622244,54,111
1529624163,102,93
1529628002,52,66
1529633763,80,77
1529635682,82,88
1529639522,82,91
1529643363,71,75
1529647216,97,71
1529649122,73,55
1529651044,75,66
1529656803,61,58
1529661123,62,60
1529664963,69,58
1529668816,68,54
1529670723,67,68
1529674563,60,69
1529676484,74,71
1529682243,93,49
1529684163,82,81
1529689922,84,88
1529693763,80,71
1529697620,64,80
1529699523,71,78
1529703362,65,80
1529705282,61,99
1529711043,94,101
1529715122,54,70
1529718963,81,71
1529722813,64,78
1529726652,86,104
1529728562,73,94
1529732403,70,55
1529738163,71,49
1529740082,80,66
1529743923,90,68
1529747763,77,62
1529751622,66,68
1529753522,79,89
1529757362,89,68
1529759285,82,67
1529765043,75,74
1529768882,75,103
1529770804,84,63
1529776563,72,58
1529780410,70,78
1529782322,63,82
1529786402,59,57
1529790242,64,64
1529795044,56,86
1529796963,84,85
1529800804,47,76
1529802722,76,47
1529804642,47,76
1529806562,76,67
1529808482,66,84
1529810402,72,86
1529812323,86,72
1529814242,72,86
1529816163,375,267
1529818082,297,414
1529820018,79,62
1529821923,61,52
1529825762,65,52
1529829602,52,65
1529831522,108,96
1529833442,69,53
1529837282,100,115
1529839202,186,138
1529841122,0,5
1529843043,74,56
1529848808,113,159
1529850723,202,150
1529852883,82,68
1529856722,163,229
1529858643,254,168
1529862483,75,58
1529866323,85,82
1529872083,56,65
1529874017,396,455
1529875923,453,413
1529877844,67,106
1529883844,90,100
1529887682,44,74
1529891763,67,71
1529895618,65,87
1529899445,76,92
1529901363,77,81
1529905204,90,62
1529909043,57,58
1529913122,77,74
1529916963,74,77
1529918883,117,117
1529920818,81,42
1529922723,57,65
1529926562,57,58
1529930402,475,433
1529932323,451,464
1529934244,69,62
1529938082,64,67
1529941923,82,74
1529945762,75,79
1529949610,93,70
1529951523,84,75
1529955362,92,89
1529959442,78,79
1529963282,79,86
1529967362,62,115
1529971217,88,117
1529973122,65,79
1529978882,81,61
1529980803,78,102
1529982722,102,78
1529984642,78,102
1529986562,77,102
1529990402,82,84
1529992322,95,71
1529996163,61,60
1530000006,56,77
1530002163,79,59
1530006003,75,57
1530009842,70,54
1530015611,57,64
1530017522,59,45
1530021363,69,61
1530025225,55,61
1530027122,84,73
1530030962,82,57
1530034802,107,67
1530038643,83,83
1530040563,0,2
1530042483,90,91
1530046322,67,86
1530048242,82,93
1530052323,68,104
1530056162,99,112
1530060003,55,82
1530063843,88,87
1530067682,85,87
1530069603,157,156
1530071522,206,230
1530075362,91,93
1530077282,7,0
1530079216,93,70
1530081122,77,79
1530084962,84,72
1530086882,67,65
1530092643,76,49
1530094563,49,76
1530096482,120,78
1530100322,76,68
1530104163,63,62
1530108016,67,66
1530109922,68,65
1530111843,69,55
1530117603,84,74
1530121442,88,78
1530125283,106,74
1530127203,77,90
1530131283,58,82
1530135123,81,98
1530138962,59,101
1530142803,96,99
1530146645,49,73
1530150722,85,69
1530154812,69,92
1530156722,91,110
1530160562,110,91
1530162482,160,186
1530164403,90,66
1530166323,75,59
1530172083,79,60
1530175922,73,65
1530179763,56,72
1530181682,65,48
1530185763,76,68
1530189602,60,73
1530193442,78,121
1530199445,111,83
1530201362,93,75
1530205207,92,78
1530209043,98,75
1530210963,95,65
1530214802,78,93
1530219363,71,79
1530223216,63,92
1530225122,82,110
1530228962,110,127
1530233763,70,76
1530236406,82,73
1530241217,86,101
1530245044,70,86
1530246962,68,90
1530250802,88,66
1530254884,82,62
1530258722,73,74
1530262563,78,78
1530264722,71,73
1530268563,73,71
1530272403,77,53
1530276242,65,70
1530280082,90,67
1530282002,61,71
1530286803,81,87
1530288722,87,81
1530290642,153,174
1530294483,122,74
1530297123,31,3804
1530299285,3717,0
1530301203,138,88
1530305043,80,79
1530308882,72,82
1530312722,78,90
1530316562,81,80
1530320414,46,79
1530324243,70,82
1530326162,76,79
1530330003,71,100
1530331923,78,76
1530337682,85,58
1530339602,67,60
1530341523,60,67
1530343442,67,60
1530345363,63,73
1530349216,72,53
1530353044,77,72
1530354962,70,57
1530359042,76,65
1530360962,87,60
1530366722,84,69
1530374414,98,124
1530376322,87,68
1530380162,78,83
1530384004,79,75
1530387842,88,90
1530391682,76,75
1530395522,64,89
1530401043,69,99
1530403216,144,89
1530407043,64,80
1530408963,113,71
1530413042,71,103
1530416882,91,111
1530418802,84,90
1530422643,104,75
1530430563,76,43
1530432482,76,62
1530434403,82,63
1530438482,82,68
1530442322,74,69
1530446163,84,69
1530450015,65,65
1530452404,79,88
1530456243,88,75
1530460564,74,72
1530464643,81,61
1530466563,71,74
1530468482,83,71
1530474482,83,63
1530478323,80,68
1530482163,55,84
1530487922,137,174
1530489842,39,68
1530495602,80,73
1530499442,83,66
1530503282,90,118
1530507844,74,82
1530509765,95,79
1530513603,76,67
1530517443,77,70
1530521283,68,61
1530525122,70,55
