DateTime,Entries,UniqueIPs
1528844162,6187,6187
1528848016,6167,6167
1528849922,6147,6147
1528853762,6155,6155
1528855682,6152,6152
1528857603,6148,6148
1528861443,6122,6122
1528865522,6112,6112
1528867443,6148,6148
1528869362,6121,6121
1528871282,6122,6122
1528873214,6121,6121
1528875122,6140,6140
1528880882,6147,6147
1528884723,6140,6140
1528886644,6158,6158
1528890482,6169,6169
1528892412,6158,6158
1528894322,6175,6175
1528898162,6168,6168
1528900083,6173,6173
1528903922,6179,6179
1528905842,6173,6173
1528907762,6187,6187
1528911602,6185,6185
1528915446,6219,6219
1528917362,6209,6209
1528923123,6205,6205
1528928882,6163,6163
1528932003,6113,6113
1528933923,6112,6112
1528937762,6112,6112
1528941616,6116,6116
1528943523,6097,6097
1528945442,6095,6095
1528947362,6093,6093
1528951203,6084,6084
1528955043,6109,6109
1528958882,6115,6115
1528960802,6118,6118
1528964642,6146,6146
1528970418,6162,6162
1528972323,6164,6164
1528974242,6172,6172
1528980003,6189,6189
1528985763,6196,6196
1528989602,6186,6186
1528991522,6189,6189
1528995363,6215,6215
1528999212,6186,6186
1529001122,6214,6214
1529006882,6226,6226
1529008803,6222,6222
1529012643,6198,6198
1529017227,6171,6171
1529019122,6169,6169
1529022962,6139,6139
1529024883,6153,6153
1529030642,6148,6148
1529034482,6127,6127
1529038322,6111,6111
1529040242,6134,6134
1529046018,6136,6136
1529047922,6156,6156
1529051763,6149,6149
1529055602,6154,6154
1529059442,6180,6180
1529063282,6182,6182
1529066170,6187,6187
1529068082,6176,6176
1529073844,6183,6183
1529077683,6201,6201
1529081522,6211,6211
1529085362,6208,6208
1529087283,6206,6206
1529091123,6211,6211
1529093044,6211,6211
1529095202,6216,6216
1529099045,6211,6211
1529102882,6162,6162
1529106722,6176,6176
1529110562,6131,6131
1529114409,6144,6144
1529116322,6127,6127
1529120162,6119,6119
1529124003,6095,6095
1529127842,6136,6136
1529131682,6143,6143
1529135522,6146,6146
1529139362,6162,6162
1529143217,6181,6181
1529145122,6192,6192
1529148962,6198,6198
1529150882,6211,6211
1529156642,6214,6214
1529160483,6194,6194
1529164322,6194,6194
1529168162,6201,6201
1529172013,6201,6201
1529173922,6202,6202
1529175842,6200,6200
1529181603,6167,6167
1529185443,6182,6182
1529189523,6148,6148
1529193362,6177,6177
1529199122,6118,6118
1529202962,6115,6115
1529206803,6105,6105
1529210642,6103,6103
1529214723,6122,6122
1529216643,6103,6103
1529218563,6130,6130
1529222410,6150,6150
1529226243,6165,6165
1529228163,6166,6166
1529232003,6194,6194
1529237762,6206,6206
1529239682,6212,6212
1529243522,6184,6184
1529245443,6212,6212
1529247362,6185,6185
1529251215,6189,6189
1529253122,6227,6227
1529256962,6216,6216
1529260802,6230,6230
1529264643,6227,6227
1529268483,6227,6227
1529272322,6202,6202
1529274242,6165,6165
1529278323,6173,6173
1529282162,6137,6137
1529286003,6152,6152
1529289842,6153,6153
1529293683,6121,6121
1529299442,6101,6101
1529301362,6136,6136
1529305210,6153,6153
1529309042,6164,6164
1529310962,6174,6174
1529314802,6166,6166
1529318643,6169,6169
1529322482,6195,6195
1529326323,6199,6199
1529330162,6179,6179
1529334015,6170,6170
1529335922,6189,6189
1529340005,6206,6206
1529343843,6194,6194
1529347682,6206,6206
1529349602,6228,6228
1529351523,6211,6211
1529355363,6226,6226
1529361362,6197,6197
1529365203,6176,6176
1529369042,6158,6158
1529373121,6159,6159
1529375042,6140,6140
1529379123,6127,6127
1529382962,6114,6114
1529386803,6150,6150
1529390643,6154,6154
1529394482,6172,6172
1529398322,6185,6185
1529402162,6169,6169
1529406021,6186,6186
1529407922,4891,4891
1529410082,6178,6178
1529412002,6172,6172
1529415842,6186,6186
1529419682,6187,6187
1529423522,6175,6175
1529427363,6191,6191
1529431222,6172,6172
1529433122,6250,6250
1529436963,6249,6249
1529438882,6227,6227
1529442723,6215,6215
1529448988,6167,6167
1529452816,6168,6168
1529456642,6135,6135
1529458562,6125,6125
1529462402,6107,6107
1529466243,6123,6123
1529470082,6115,6115
1529473923,6146,6146
1529477763,6123,6123
1529479684,6159,6159
1529481606,6163,6163
1529483524,6166,6166
1529487363,6151,6151
1529489283,6169,6169
1529495044,6169,6169
1529499123,6156,6156
1529502962,6156,6156
1529508723,6170,6170
1529510882,6176,6176
1529512803,6189,6189
1529516642,6199,6199
1529520483,6213,6213
1529524562,6199,6199
1529526482,6198,6198
1529528413,6210,6210
1529530323,6185,6185
1529534162,6148,6148
1529538482,6157,6157
1529540403,6185,6185
1529542323,6130,6130
1529546163,6151,6151
1529550013,6142,6142
1529551922,6116,6116
1529555762,6090,6090
1529559602,6097,6097
1529561523,6055,6055
1529567282,6099,6099
1529571122,6125,6125
1529574963,6113,6113
1529577123,6120,6120
1529580963,6135,6135
1529586723,6146,6146
1529588644,6148,6148
1529592723,6163,6163
1529594643,6159,6159
1529600419,6163,6163
1529602323,6185,6185
1529606163,6189,6189
1529610004,6200,6200
1529613844,6199,6199
1529615763,6195,6195
1529617685,6187,6187
1529622244,6130,6130
1529624163,6139,6139
1529628002,6125,6125
1529633763,6128,6128
1529635682,6122,6122
1529639522,6113,6113
1529643363,6109,6109
1529647216,6135,6135
1529649122,6153,6153
1529651044,6162,6162
1529656803,6165,6165
1529661123,6167,6167
1529664963,6178,6178
1529668816,6192,6192
1529670723,6191,6191
1529674563,6182,6182
1529676484,6185,6185
1529682243,6229,6229
1529684163,6230,6230
1529689922,6226,6226
1529693763,6235,6235
1529697620,6219,6219
1529699523,6212,6212
1529703362,6197,6197
1529705282,6159,6159
1529711043,6152,6152
1529715122,6136,6136
1529718963,6146,6146
1529722813,6132,6132
1529726652,6114,6114
1529728562,6093,6093
1529732403,6108,6108
1529738163,6130,6130
1529740082,6144,6144
1529743923,6166,6166
1529747763,6181,6181
1529751622,6179,6179
1529753522,6169,6169
1529757362,6190,6190
1529759285,6205,6205
1529765043,6206,6206
1529768882,6178,6178
1529770804,6199,6199
1529776563,6213,6213
1529780410,6205,6205
1529782322,6186,6186
1529786402,6188,6188
1529790242,6188,6188
1529795044,6158,6158
1529796963,6157,6157
1529800804,6128,6128
1529802722,6157,6157
1529804642,6128,6128
1529806562,6137,6137
1529808482,6119,6119
1529810402,6105,6105
1529812323,6119,6119
1529814242,6105,6105
1529816163,6213,6213
1529818082,6096,6096
1529820018,6113,6113
1529821923,6122,6122
1529825762,6135,6135
1529829602,6122,6122
1529831522,6134,6134
1529833442,6150,6150
1529837282,6135,6135
1529839202,6183,6183
1529841122,6178,6178
1529843043,6196,6196
1529848808,6150,6150
1529850723,6202,6202
1529852883,6216,6216
1529856722,6150,6150
1529858643,6236,6236
1529862483,6253,6253
1529866323,6256,6256
1529872083,6247,6247
1529874017,6188,6188
1529875923,6228,6228
1529877844,6189,6189
1529883844,6179,6179
1529887682,6149,6149
1529891763,6145,6145
1529895618,6123,6123
1529899445,6107,6107
1529901363,6103,6103
1529905204,6131,6131
1529909043,6130,6130
1529913122,6133,6133
1529916963,6130,6130
1529918883,6130,6130
1529920818,6169,6169
1529922723,6161,6161
1529926562,6160,6160
1529930402,6202,6202
1529932323,6189,6189
1529934244,6196,6196
1529938082,6193,6193
1529941923,6201,6201
1529945762,6197,6197
1529949610,6220,6220
1529951523,6229,6229
1529955362,6232,6232
1529959442,6231,6231
1529963282,6224,6224
1529967362,6171,6171
1529971217,6142,6142
1529973122,6128,6128
1529978882,6148,6148
1529980803,6124,6124
1529982722,6148,6148
1529984642,6124,6124
1529986562,6099,6099
1529990402,6097,6097
1529992322,6121,6121
1529996163,6122,6122
1530000006,6101,6101
1530002163,6121,6121
1530006003,6139,6139
1530009842,6155,6155
1530015611,6148,6148
1530017522,6162,6162
1530021363,6170,6170
1530025225,6164,6164
1530027122,6175,6175
1530030962,6200,6200
1530034802,6240,6240
1530038643,6240,6240
1530040563,6238,6238
1530042483,6237,6237
1530046322,6218,6218
1530048242,6207,6207
1530052323,6171,6171
1530056162,6158,6158
1530060003,6131,6131
1530063843,6132,6132
1530067682,6130,6130
1530069603,6131,6131
1530071522,6107,6107
1530075362,6105,6105
1530077282,6112,6112
1530079216,6135,6135
1530081122,6133,6133
1530084962,6145,6145
1530086882,6147,6147
1530092643,6174,6174
1530094563,6147,6147
1530096482,6189,6189
1530100322,6197,6197
1530104163,6198,6198
1530108016,6199,6199
1530109922,6202,6202
1530111843,6216,6216
1530117603,6226,6226
1530121442,6236,6236
1530125283,6268,6268
