DateTime,AddedIPs,RemovedIPs
1529963125,2,0
1529963427,2,0
1529963722,1,0
1529965222,2,0
1529966122,1,0
1529966720,1,0
1529968222,7,0
1529968522,1,0
1529968823,5,0
1529969125,2,0
1529969721,2,0
1529970321,1,0
1529970622,3,0
1529973321,1,0
1529973625,1,0
1529974822,4,0
1529975125,2,0
1529975421,2,0
1529975721,4,0
1529976025,18,0
1529976325,1,0
1529976622,1,0
1529976926,1,0
1529977530,7,0
1529977824,2,0
1529979322,1,0
1529979922,23,0
1529980223,2,0
1529980824,2,0
1529981128,1,0
1529981721,1,0
1529982323,12,0
1529982622,7,0
1529982922,3,0
1529983225,4,0
1529983524,2,0
1529984123,1,0
1529985023,1,0
1529986824,5,0
1529987124,3,0
1529987423,1,0
1529988322,1,0
1529988622,1,0
1529989221,22,0
1529989821,3,0
1529990424,4,0
1529990728,4,0
1529991321,2,0
1529992526,1,0
1529994022,7,0
1529994622,4,0
1529996721,12,0
1529997022,5,0
1529997621,3,0
1529997925,1,0
1529998222,2,0
1529998521,1,1
1529999121,2,0
1529999422,1,0
1530000023,1,0
1530001522,2,0
1530002123,4,0
1530002722,4,0
1530003921,13,0
1530004223,10,0
1530004823,2,0
1530005127,1,0
1530005423,8,0
1530006025,1,0
1530006923,1,0
1530008425,3,0
1530009022,5,0
1530009323,1,0
1530009923,1,0
1530010822,3,0
1530011426,2,0
1530011723,4,0
1530012321,2,0
1530013524,2,0
1530014125,1,0
1530015027,2,0
1530015624,5,0
1530015924,2,0
1530016521,1,0
1530016830,2,0
1530017422,17,0
1530018026,6,0
1530018628,11,0
1530018923,1,0
1530019826,1,0
1530020122,1,0
1530022829,2,0
1530023126,3,0
1530023430,3,0
1530024027,0,4
1530024631,0,1
1530025230,12,0
1530025522,1,0
1530026123,1,0
1530026728,3,0
1530027023,4,0
1530027625,5,0
1530028524,2,0
1530029124,1,0
1530030325,2,0
1530030628,2,0
1530031822,2,0
1530032123,15,0
1530032421,7,0
1530032722,9,0
1530033024,10,0
1530033627,2,0
1530033927,3,0
1530034823,3,0
1530035124,2,0
1530036622,1,0
1530037221,3,0
1530037821,105,0
1530038121,206,0
1530038723,1,0
1530039624,10,0
1530039921,16,0
1530040522,1,0
1530041422,1,0
1530042025,4,0
1530045027,2,0
1530045325,1,0
1530046222,1,0
1530048020,21,0
1530048922,6,0
1530049521,48,0
1530049821,33,0
1530050726,1,0
1530051025,1,0
1530051325,1,0
1530051627,3,0
1530052229,6,0
1530052824,1,0
1530053421,2,0
1530054322,4,0
1530055222,1,0
1530055524,6,0
1530055821,114,0
1530056726,14,0
1530057631,3,0
1530060024,1,0
1530060628,38,0
1530061221,4,0
1530062421,2,0
1530062720,3,0
1530063625,0,2
1530065125,29,0
1530065723,2,1
1530066323,2,0
1530066621,1,0
1530067221,6,0
1530069026,1,0
1530069921,20,0
1530070823,3,0
1530071421,1,0
1530072024,8,0
1530073821,1,0
1530074123,1,0
1530074425,3,0
1530076222,8,0
1530076521,4,0
1530076823,5,0
1530077123,8,0
1530078325,2,0
1530079520,6,0
1530080730,3,0
1530081026,3,0
1530081623,21,0
1530081923,2,0
1530084326,3,0
1530084923,5,0
1530085229,6,0
1530086125,1,0
1530087631,11,0
1530088228,39,0
1530090024,1,0
1530090928,0,9
1530091229,1,3
1530091528,3,0
1530092123,2,0
1530092423,1,0
1530093622,53,0
1530093927,5,0
1530094525,15,0
1530094824,7,0
1530095724,27,0
1530096329,3,0
1530096925,2,0
1530098125,8,0
1530098721,7,0
1530102023,9,0
1530102621,11,0
1530102920,0,5
1530103225,26,2
1530103527,18,0
1530104723,1,0
1530105924,3,0
1530106823,2,0
1530108324,1,0
1530109522,12,0
1530109825,36,0
1530110125,3,0
1530110425,4,0
1530110723,5,0
1530112821,2,0
1530116428,3,0
1530116723,3,0
1530117030,28,0
1530117626,7,0
1530117926,4,0
1530118230,3,0
1530119425,3,0
1530120621,5,0
1530121223,2,0
1530122422,2,0
1530123021,1,0
1530123921,9,0
1530124224,11,0
1530124821,13,0
1530125426,1,0
1530125721,3,0
1530126625,2,0
1530127224,1,0
1530127524,5,0
1530128124,4,0
1530129022,172,0
1530130825,11,0
1530131122,3,0
1530131425,1,0
1530132022,3,0
1530132324,1,0
1530135024,2,0
1530137726,14,0
1530138328,1,0
1530138631,7,0
1530139227,8,0
1530139825,3,0
1530140123,2,0
1530140722,2,0
1530141623,8,0
1530141923,4,0
1530142825,4,0
1530143122,1,0
1530144624,4,0
1530144928,16,0
1530145228,2,0
1530145822,6,0
1530146429,1,0
1530146722,1,0
1530147026,1,0
1530149124,2,0
