DateTime,AddedIPs,RemovedIPs
1523940617,1,0
1523954116,1,0
1523967316,1,0
1523970022,1,0
1523976018,1,0
1523977220,1,0
1523979019,1,1
1523982019,1,0
1524003316,1,0
1524004218,21,0
1524004818,2,0
1524010517,1,0
1524011418,1,0
1524013816,1,0
1524024917,11,0
1524026417,1,0
1524047716,1,0
1524058219,1,0
1524066916,1,0
1524077416,0,4
1524093917,0,0
1524095116,1,0
1524097216,0,0
1524099316,220,0
1524124218,0,0
1524128718,0,1
1524138617,1,0
1524150316,1,0
1524160819,1,0
1524166220,0,3
1524190216,1,0
1524191118,1,0
1524192017,14,0
1524192318,1,0
1524192617,2,0
1524193219,21,0
1524193517,5,0
1524194116,1,0
1524210016,0,1
1524210916,15,0
1524221716,0,1
1524225618,1,0
1524227417,1,0
1524246019,1,0
1524247817,0,1
1524264316,1,0
1524277817,1,0
1524280516,1,0
1524290716,1,0
1524292517,6,0
1524294317,1,0
1524296115,1,0
1524328216,1,0
1524359118,1,0
1524363617,3,0
1524363916,1,0
1524365116,2,0
1524366018,1,0
1524366317,1,0
1524374416,1,0
1524378916,1,0
1524402021,1,0
1524415218,1,0
1524423620,1,0
1524477917,1,0
1524493217,1,0
1524533117,1,0
1524583217,1,0
1524632119,0,1
1524649817,1,0
1524677716,2,0
1524730517,1,0
1524731418,0,1
1524744916,3,0
1524745818,0,1
1524746416,1,0
1524760816,1,0
1524765317,0,1
1524787816,0,3
1524804018,1,0
1524808518,2,0
1524811218,0,1
1524812716,1,0
1524818118,0,5
1524828018,0,1
1524885016,1,0
1524886516,1,0
1524904518,1,0
1524926419,1,0
1524944719,1,0
1524955816,3,0
1524984318,1,0
1524987318,1,0
1524989416,1,0
1525096216,1,0
1525117218,2,0
1525118719,0,2
1525146017,1,0
1525179620,0,9
1525213218,164,0
1525213517,20,0
1525214418,1,0
1525216217,3,0
1525226420,2,0
1525226717,1,0
1525232717,1,0
1525268417,2,0
1525269319,0,1
1525270518,2,0
1525278619,1,0
1525286418,0,1
1525311018,59,0
1525311617,3,0
1525321217,3,0
1525329317,1,0
1525334116,1,0
1525338022,0,1
1525416319,0,1
1525427716,0,1
1525429218,3,0
1525431017,0,2
1525498819,1,0
1525581619,3,0
1525611317,1,0
1525632917,4,0
1525652116,1,0
1525672824,1,0
1525704317,1,0
1525837519,1,0
1525843518,1,0
1525882818,1,0
1525889718,1,0
1525917316,1,0
1525919418,1,0
1525944618,70,0
1525947317,5,0
1525947618,1,0
1525987517,30,0
1526002217,2,0
1526002818,3,0
1526004919,1,0
1526009116,2,0
1526010019,1,0
1526010616,23,0
1526023818,1,0
1526034620,1,0
1526034919,1,0
1526037916,0,1
1526038217,0,1
1526048417,0,1
1526049618,1,0
1526097316,1,0
1526097917,2,0
1526100018,1,0
1526104518,30,0
1526104821,7,0
1526105717,13,0
1526106018,1,0
1526106322,6,0
1526106918,5,0
1526107218,1,0
1526151318,1,0
1526160017,1,0
1526160317,1,0
1526190917,0,1
1526191519,0,1
1526191816,0,2
1526192418,0,1
1526193018,0,4
1526193618,0,1
1526193918,0,1
1526194216,0,1
1526195717,2,0
1526202317,1,0
1526231416,1,0
1526232017,1,0
1526232916,1,0
1526233519,2,0
1526233816,2,0
1526239218,1,0
1526239817,0,2
1526240716,0,1
1526243415,1,0
1526247018,1,0
1526247318,1,0
1526247618,1,0
1526271018,1,0
1526272818,10,0
1526273417,1,0
1526309719,0,0
1526323819,1,0
1526341220,0,5
1526381418,0,1
1526417119,0,1
1526437519,0,1
1526438118,0,2
1526544021,1,0
1526577617,0,1
1526594426,0,2
1526615717,1,0
1526618419,42,0
1526619018,108,0
1526619318,1,0
1526619620,9,0
1526643018,8,0
1526697617,6,0
1526706020,29,0
1526706618,2,0
1526726117,1,0
1526726419,176,0
1526726720,5,0
1526729418,1,0
1526736019,8,0
1526736317,2,0
1526736918,1,0
1526745620,0,3
1526745917,0,1
1526746517,0,2
1526746818,0,2
1526748319,1,0
1526764219,2,0
1526765420,11,0
1526768118,24,0
1526771419,2,0
1526772020,2,0
1526772619,2,0
1526772918,1,0
1526773218,1,0
1526775919,2,0
1526776218,1,0
1526777419,1,0
1526777718,1,0
1526778018,1,0
1526778318,1,0
1526778917,3,0
1526780117,1,2
1526793317,0,1
1526795418,1,0
1526824217,1,0
1526847917,36,0
1526848220,300,0
1526848820,351,0
1526863218,45,0
1526868019,4,0
1526875818,12,0
1526890217,1,0
1526909418,1,0
1526909717,1,0
1526915718,2,0
1526917518,2,0
1526918118,1,0
1526925019,2,0
1526925618,1,41567
1526946913,1,0
1526947814,1,0
1526952013,16,0
1526957114,1,0
1526959213,1,0
1526980813,1,0
1526986814,1,0
1526987112,1,0
1526987711,3,0
1526991612,1,0
1526996110,4,0
1526998510,1,0
1527000910,1,0
1527007211,30,0
1527007511,2,0
1527009012,1,0
1527014111,1,0
1527018012,0,1
1527030013,2,0
1527036012,1,0
1527038413,1,0
1527039310,15,0
1527060013,1,0
1527062414,6,0
1527062711,1,0
1527071412,1,0
1527072911,1,0
1527082810,2,0
1527084910,18,0
1527096310,12,0
1527119709,1,0
1527138312,12,0
1527141310,0,1
1527142510,0,4
1527142810,0,4
1527143411,0,3
1527144910,0,1
1527184812,1,0
1527190510,1,0
1527190811,1,0
1527198010,3,0
1527199510,1,0
1527202210,1,0
1527212410,2,0
1527212710,1,0
1527234310,7,0
1527234610,3,0
