DateTime,AddedIPs,RemovedIPs
1527051000,293,0
1527058200,545,67
1527065400,354,333
1527073200,186,190
1527080400,55,58
1527088800,97,86
1527096000,112,110
1527103200,109,108
1527110400,67,68
1527117600,49,44
1527124800,2,904
1527132000,843,0
1527139200,139,131
1527146400,240,244
1527153600,420,402
1527160800,348,356
1527168000,220,196
1527175200,142,137
1527182400,108,105
1527189600,78,85
1527196800,64,58
1527204000,33,29
1527207600,2,895
1527214800,850,0
1527222000,617,585
1527229200,128,125
1527236400,105,100
1527243600,59,54
1527250800,12,13
1527258000,7,6
1527268800,6,6
1527272400,8,10
1527279600,6,10
1527286800,7,7
1527291600,0,0
1527296400,1,891
1527300000,0,0
1527303600,878,0
1527307200,0,0
1527311400,581,595
1527315600,487,456
1527320400,0,0
1527324600,38,41
1527328800,0,0
1527332400,140,130
1527336000,0,0
1527339600,18,20
1527343800,22,18
1527348600,0,0
1527352800,11,10
1527357000,0,0
1527361800,21,22
1527365400,1,1
1527369600,0,0
1527374400,12,11
1527382800,1,905
1527387000,880,0
1527391200,0,0
1527395400,508,524
1527399600,0,0
1527403200,340,306
1527410400,33,37
1527417600,21,20
1527424800,19,19
1527432000,21,18
1527439200,5,6
1527446400,9,8
1527453600,33,31
1527461400,23,20
1527475800,515,798
1527483000,438,206
1527490200,571,539
1527497400,100,82
1527504600,114,119
1527511800,39,35
1527519000,15,14
1527526200,22,23
1527533400,16,18
1527541200,34,32
1527548400,14,12
1527555600,0,904
1527562800,869,0
1527570000,332,333
1527577200,266,246
1527584400,393,385
1527591600,31,31
1527598800,135,128
1527606000,36,38
1527613200,13,14
1527620400,15,14
1527627600,14,15
1527634800,13,15
1527638400,0,898
1527645600,266,0
1527652800,699,77
1527663600,223,231
1527667200,310,299
1527678000,24,23
1527685200,102,92
1527692400,17,18
1527699600,9,7
1527703200,8,8
1527714000,12,13
1527717600,11,12
1527724800,42,902
1527732000,324,7
1527739200,699,172
1527746400,275,276
1527753600,299,277
1527760800,88,95
1527768000,45,44
1527775200,23,24
1527782400,5,6
1527789600,7,7
1527796800,21,20
1527804000,39,34
1527811200,239,905
1527818400,866,239
1527825600,489,460
1527832800,259,267
1527840000,258,238
1527847200,60,58
1527854400,23,26
1527861600,15,16
1527868800,7,7
1527876000,7,6
1527883200,3,3
1527890400,3,3
1527901200,2,906
1527908400,877,0
1527912000,0,0
1527916800,731,733
1527921600,380,349
1527925200,0,0
1527928800,25,27
1527933600,0,0
1527938400,111,111
1527943200,7,7
1527947400,0,0
1527951600,11,11
1527955200,0,0
1527958800,14,13
1527962400,0,0
1527966000,3,4
1527969600,0,0
1527973800,12,12
1527977400,0,0
1527981000,0,3
1527984600,1,903
1527988200,0,0
1527991800,320,0
1527995400,0,0
1527999000,674,130
1528002600,0,0
1528006200,338,333
1528013400,312,283
1528020600,64,59
1528027800,26,27
1528035000,26,24
1528042200,13,16
1528049400,11,11
1528056600,49,44
1528063800,8,7
1528078200,351,816
1528085400,641,210
1528092600,530,513
1528099800,112,103
1528107000,65,63
1528114200,26,23
1528121400,24,27
1528128600,14,13
1528135800,23,22
1528143000,9,8
1528150200,56,50
1528157400,137,911
1528164600,161,2
1528171800,798,201
1528179000,285,269
1528186200,91,90
1528193400,101,99
1528200600,29,29
1528207800,18,19
1528215000,8,9
1528222200,6,8
1528229400,11,11
1528236600,6,7
1528243800,0,906
1528251000,430,0
1528258200,660,202
1528265400,292,286
1528272600,350,341
1528279800,82,77
1528287000,14,13
1528294200,4,5
1528301400,11,10
1528309200,4,7
1528318200,7,7
1528322400,0,0
1528329600,138,907
1528338600,888,138
1528345800,396,378
1528353000,191,194
1528360200,174,172
1528367400,49,43
1528374600,49,48
1528381800,19,16
1528389000,10,12
1528396200,17,18
1528403400,7,8
1528418400,8,911
1528425600,873,8
1528432800,384,369
1528440000,134,144
1528447200,380,357
1528454400,38,34
1528461600,35,32
1528469400,17,20
1528476600,13,12
1528483800,13,12
1528489200,8,6
1528496400,33,33
1528510800,684,713
1528518000,627,616
1528525200,192,184
1528532400,65,61
1528539600,65,56
1528546800,37,41
1528554000,24,26
1528561200,5,4
1528568400,14,13
1528575600,5,4
1528582800,8,9
1528590000,1,908
1528599600,868,1
1528606800,374,378
1528614000,397,369
1528621200,36,40
1528628400,12,13
1528642800,14,12
1528650000,10,7
1528657200,38,35
1528664400,3,3
1528671600,2,2
1528677000,878,895
1528684200,491,522
1528691400,719,698
1528698600,403,403
1528705800,243,237
1528713000,192,199
1528720200,857,843
1528727400,86,82
1528734600,82,76
1528741800,39,34
1528749000,4,4
1528756200,4,5
1528763400,894,895
1528768800,732,739
1528776000,579,564
1528783200,425,437
1528790400,285,297
1528797600,196,180
1528804800,183,189
1528812000,144,148
1528819200,86,95
1528826400,101,94
1528837200,62,60
1528844400,236,239
1528850400,871,881
1528857600,656,679
1528864800,745,696
1528872000,896,897
1528879200,14,14
1528886400,7,7
1528893600,7,6
1528900800,5,5
1528908000,1,1
1528915200,3,3
1528922400,3,3
1528929600,13,13
1528936800,887,897
1528944000,877,887
1528951200,246,232
1528958400,67,68
1528965600,14,15
1528972800,12,10
1528980000,3,5
1528987200,5,5
1528994400,3,3
1529001600,38,31
1529008800,4,3
1529017200,3,2
1529020800,869,898
1529028000,892,869
1529035200,217,220
1529042400,53,51
1529049600,24,22
1529056800,9,8
1529064000,5,6
1529071200,6,5
1529078400,8,7
1529085600,1,1
1529092800,6,6
1529100600,12,10
1529107800,872,897
1529115000,904,872
1529122200,214,217
1529129400,42,42
1529136600,14,15
1529143800,13,15
1529151000,4,4
1529158200,5,3
1529165400,4,4
1529172600,4,7
1529179800,4,4
1529187000,2,5
1529194200,888,894
1529201400,880,888
1529208600,212,204
1529215800,69,71
1529223000,23,24
1529230200,13,11
1529237400,6,5
1529244600,7,8
1529251800,11,9
1529259000,42,35
1529266200,3,3
1529273400,3,3
1529280600,843,896
1529287800,751,715
1529295000,592,581
1529302200,64,67
