DateTime,AddedIPs,RemovedIPs
1530177371,52,61
1530178088,11,14
1530178351,47,162
1530179078,20,9
1530179291,22,82
1530180021,23,15
1530180258,21,44
1530180971,13,7
1530181223,34,50
1530181954,9,17
1530182413,47,24
1530182895,14,14
1530183387,28,52
1530183864,11,10
1530184353,34,64
1530184822,11,15
1530185295,38,38
1530185790,9,3
1530186283,37,51
1530186760,8,7
1530187229,42,71
1530187728,5,9
1530188184,831,1522
1530188681,8,11
1530189134,30,77
1530189635,11,7
1530190096,36,100
1530190664,5,15
1530191080,44,87
1530191783,12,11
1530192009,24,98
1530192733,14,10
1530192986,30,93
1530193692,7,10
1530194001,34,53
1530194676,7,6
1530195140,32,1
1530195614,6,8
1530196103,32,3
1530196573,1,17
1530197084,21,7
1530197560,1,10
1530198030,14,0
1530198517,2,7
1530198984,16,1
1530199473,1,9
1530199950,15,8
1530200420,1,6
1530200892,21,0
1530201387,2,7
1530201855,23,61
1530202342,3,23
1530202823,24,58
1530203297,6,12
1530203770,27,108
1530204286,12,29
1530204734,38,165
1530205221,8,0
1530205727,40,74
1530206182,7,7
1530206652,24,77
1530207156,4,10
1530207616,28,63
1530208092,4,3
1530208586,45,57
1530209072,8,13
1530209553,28,67
1530210017,5,8
1530210490,46,72
1530210989,15,14
1530211742,41,59
1530212181,9,9
1530212659,33,86
1530213145,16,10
1530213616,46,137
1530214092,4,0
1530214594,42,119
1530215064,9,8
1530215547,46,119
1530216074,7,18
1530217497,70,187
1530218412,53,79
1530219373,46,116
1530220374,36,144
1530221338,38,129
1530222328,38,94
1530223244,37,1315
1530224180,37,83
1530225449,24,8
1530226103,35,67
1530226579,9,14
1530227054,35,60
1530227563,9,28
1530228019,29,84
1530228488,3,0
1530228990,44,80
1530230303,62,107
1530231304,43,72
1530232405,59,145
1530233449,53,97
1530234499,69,75
1530235605,66,70
1530237051,57,50
1530238420,55,139
1530239471,20,77
1530240638,25,49
1530241893,23,106
1530242908,55,46
1530244104,53,70
1530245108,65,81
1530246020,126,218
1530247593,56,86
1530248662,51,122
1530249617,54,0
1530250580,55,85
1530251538,69,48
1530253034,54,138
1530254200,49,35
1530255142,46,112
1530256099,46,124
1530257088,63,35
1530258029,127,1325
1530258991,61,67
1530260128,55,101
1530260666,22,47
1530261148,52,73
1530261631,10,11
1530261849,24,0
1530262089,52,34
1530262584,11,26
1530263124,36,45
1530263588,18,18
1530264260,32,122
1530264754,19,21
1530265232,49,66
1530265694,6,19
1530266185,37,61
1530266661,9,23
1530267136,37,0
1530267626,6,17
1530268092,41,24
1530268575,10,17
1530269069,38,106
1530269560,9,10
1530270042,27,88
1530270505,4,1
1530270977,25,0
1530271470,7,1
1530271979,42,142
1530272434,6,0
1530272904,30,0
1530273400,7,1
1530273905,37,140
1530274361,709,1056
1530274821,27,0
1530275293,7,0
1530275796,34,132
1530276295,5,0
1530276731,35,0
1530277249,10,31
1530277704,40,134
1530278299,5,59
1530278655,38,0
1530279370,8,45
1530279621,44,120
1530280332,9,24
1530280584,37,0
1530281312,12,31
1530281537,29,131
1530282252,9,5
1530282488,40,0
1530283206,6,14
1530283467,33,44
1530284193,6,18
1530284411,36,30
1530285136,8,16
1530285373,26,127
1530286863,49,138
1530287776,45,54
1530288747,43,109
1530289707,50,121
1530290694,62,59
1530291616,34,126
1530292609,49,82
1530293538,43,99
1530294496,55,49
1530295523,47,101
1530296797,68,58
1530297774,51,110
1530299326,69,177
1530300556,54,88
1530301495,48,42
1530302425,44,110
1530303388,49,50
1530304360,38,111
1530305319,35,110
1530306289,45,86
1530307209,28,77
1530308184,44,75
1530309165,45,41
1530310097,31,1358
1530311054,37,143
1530312012,57,0
1530312489,33,32
1530312984,50,27
1530313945,44,171
1530314889,38,71
1530315867,0,115
1530316334,63,57
1530317774,52,223
1530318749,47,89
1530319705,46,93
1530320657,46,108
1530321628,56,144
1530322572,0,81
1530323592,94,98
1530324521,110,159
1530325459,90,98
1530326412,67,86
1530327640,86,177
1530328576,68,5
1530329536,71,0
1530330531,67,254
1530331463,66,0
1530332427,154,168
1530333388,47,140
1530334382,33,145
1530335300,31,54
1530336271,67,115
1530337216,54,40
1530338176,70,0
1530339158,49,147
1530340092,49,56
1530341086,32,346
1530342029,36,957
1530342989,60,53
1530343940,59,0
1530344894,41,31
1530345873,68,55
1530346830,67,14
1530347292,31,23
1530347819,52,32
1530348770,64,36
1530349699,52,52
1530350658,63,0
1530351640,65,63
1530352584,54,0
1530353539,67,36
1530354504,10,11
1530355225,64,53
1530355451,8,5
1530356418,22,8
1530356667,37,36
1530357383,9,17
1530357607,39,14
1530358348,21,0
1530358570,36,25
1530359291,19,8
1530359543,52,15
1530360280,13,32
1530360741,660,1159
1530361223,9,0
1530361738,57,28
1530362225,13,21
1530362671,38,21
1530363147,11,7
1530363617,30,28
1530364123,6,5
1530364587,46,27
1530365416,12,9
1530365800,43,26
1530366506,15,3
1530366749,28,12
1530367460,9,14
1530367697,33,19
1530368404,5,14
1530368686,37,14
1530369417,12,14
1530369650,31,16
1530370332,10,13
1530370571,43,12
1530371300,8,10
1530371546,32,18
1530372263,5,0
1530372508,46,11
1530373207,10,8
1530373476,22,20
1530374215,16,18
1530374458,55,13
1530375144,7,0
1530375374,36,17
1530376091,10,12
1530376336,34,12
1530377055,8,0
1530377320,39,13
1530378044,11,7
1530378260,27,0
1530378973,14,8
1530379209,40,21
1530379955,5,12
1530380246,18,16
1530380905,2,6
1530381365,23,16
1530381861,3,16
1530382343,24,12
1530382805,5,17
1530383342,44,23
1530383783,6,6
1530384256,31,17
1530384727,15,14
1530385232,47,14
1530385701,4,12
1530386172,159,162
1530386677,13,15
1530387131,38,22
1530387610,4,5
1530388110,43,17
1530388565,10,11
1530389057,30,18
1530389550,8,11
1530390025,38,8
1530390488,10,25
1530390984,53,12
1530391452,7,6
1530391940,39,14
1530392438,7,14
1530392897,27,18
1530393379,13,9
1530393866,46,13
1530394341,9,8
1530394808,39,18
1530395306,1,13
1530395768,56,18
1530396259,12,18
1530396747,31,10
1530397581,11,9
1530398567,71,68
1530399535,52,15
1530401692,57,42
1530402887,98,116
1530403823,54,25
1530404750,54,54
1530405771,54,22
1530407722,79,85
1530408635,49,32
1530409700,46,38
1530411165,56,24
1530412088,45,32
1530413055,15,15
1530414671,45,67
1530415700,29,33
1530416657,34,19
1530417661,25,20
1530418580,94,185
1530420196,29,51
1530421273,35,22
1530422187,46,15
1530423192,78,27
1530424093,52,12
1530425071,46,23
1530426010,38,23
1530427215,65,17
1530428174,52,20
1530429136,53,19
1530430121,49,21
1530431094,42,17
1530432072,45,0
1530432995,49,5
1530433450,25,22
1530433975,40,3
1530434896,42,3
1530435858,47,2
1530436824,49,4
1530437806,42,8
1530438742,55,9
1530439716,37,10
1530440727,43,7
1530441609,5,0
1530442591,48,16
1530443547,39,11
1530444542,56,9
1530445493,40,13
1530446439,53,13
1530447526,47,15
1530448580,623,1181
1530449531,36,21
1530450500,48,22
1530451464,45,22
1530452552,67,26
1530453871,44,86
1530454809,39,29
1530455788,52,26
1530456732,45,24
1530457698,29,25
1530458673,49,30
1530460212,58,34
1530461329,42,31
1530462265,39,19
1530463214,35,23
1530464187,36,64
1530465154,35,0
1530466128,37,18
1530467058,9,21
1530467774,26,27
1530468031,6,5
1530468740,29,22
1530468980,2,5
1530469691,32,21
1530469941,8,12
1530470712,41,19
1530471147,15,12
1530471617,62,20
1530472119,4,9
1530472587,61,11
1530473067,7,0
1530473537,54,26
1530474020,10,13
1530474568,50,22
1530474995,11,11
1530475690,44,17
1530475962,11,6
1530476663,57,18
1530477138,12,11
1530477657,32,20
1530478109,3,3
1530478576,37,22
1530479056,4,10
1530479556,29,19
1530480095,16,2
1530480487,39,17
1530481207,27,4
1530481450,31,16
1530482172,26,6
1530482436,20,13
1530483169,18,6
1530483372,40,13
1530484096,37,9
1530484334,32,19
1530485049,10,7
1530485309,32,21
1530486044,18,0
1530486263,39,0
1530486977,21,11
1530487212,36,15
1530487944,65,1
1530488193,33,20
1530488905,6,21
1530489130,46,19
1530489853,18,21
1530490093,34,14
1530490807,15,7
1530491086,55,13
1530491791,18,31
1530492009,43,16
1530492728,18,5
1530492971,27,12
1530493736,24,22
1530493958,39,20
1530494686,12,1
1530495135,28,27
1530495614,8,32
1530496108,27,18
1530496583,10,6
1530497056,34,10
1530497605,11,29
1530498025,37,29
1530498510,11,4
1530498983,35,16
1530499474,13,31
1530499946,47,9
1530500677,8,6
1530501145,42,21
1530501607,15,25
1530502123,40,14
1530502572,16,8
1530503558,45,32
1530504497,54,26
1530505473,140,129
1530506425,39,0
1530507393,45,51
1530508345,42,0
1530509326,46,36
1530510293,32,0
1530511229,49,0
1530512186,67,39
1530513170,58,0
1530514094,51,45
1530515065,50,0
1530516020,48,27
1530516980,42,0
1530517965,52,29
1530518925,74,42
1530519379,30,0
1530519868,62,0
1530521111,51,40
1530522345,63,27
1530523457,69,72
1530524427,38,0
1530525367,48,52
1530526343,50,39
