DateTime,AddedIPs,RemovedIPs
1530186122,9,0
1530187365,4,0
1530187922,1,0
1530188654,1,79
1530189122,1,0
1530189602,57,0
1530189721,13,0
1530190321,16,0
1530190965,4,0
1530191522,10,0
1530192122,3,0
1530193442,65,18
1530194416,0,117
1530194522,1,0
1530195121,0,1
1530196922,4,0
1530197521,8,0
1530198166,2,2
1530199445,69,0
1530200522,1,0
1530201362,64,17
1530201766,2,1
1530202322,0,103
1530203522,18,0
1530205207,86,0
1530205367,4,3
1530205921,15,0
1530206521,4,0
1530207121,2,0
1530207721,1,0
1530208321,5,0
1530209043,78,15
1530209521,3,0
1530210002,0,113
1530210121,2,0
1530210963,91,0
1530211322,1,0
1530212566,0,1
1530213721,10,0
1530214322,1,0
1530214802,68,24
1530214921,2,0
1530215521,1,0
1530216017,0,117
1530217322,22,1
1530217922,1,1
1530218522,3,0
1530219363,68,0
1530219767,1,3
1530221762,59,67
1530222122,6,0
1530223216,0,86
1530223365,4,1
1530223922,3,0
1530224522,4,1
1530225122,78,0
1530225722,5,0
1530226322,1,0
1530227025,0,4
1530227762,0,105
1530228122,5,0
1530228962,102,0
1530230566,11,1
1530231722,17,0
1530232381,3,0
1530233764,58,185
1530234722,2,0
1530236406,82,0
1530237122,11,0
1530237838,4,2
1530238804,4,66
1530239581,1,1
1530241217,87,0
1530241923,7,3
1530242522,11,0
1530243124,0,96
1530243722,32,0
1530244322,7,0
1530245044,71,0
1530246122,2,0
1530246722,3,0
1530246962,61,7
1530247922,2,0
1530248523,5,0
1530248883,0,159
1530249122,3,0
1530249722,2,0
1530250802,86,0
1530250922,5,0
1530252122,3,0
1530252963,3,63
1530253322,5,0
1530253981,1,0
1530254522,4,0
1530254884,78,0
1530255122,1,0
1530255722,15,0
1530255767,0,1
1530256803,0,59
1530256922,6,0
1530258122,1,0
1530258722,70,0
1530259366,1,0
1530260522,2,0
1530261721,3,0
1530262563,69,125
1530262967,8,3
1530264121,2,0
1530264722,63,1
1530266582,3,1
1530267721,6,0
1530268563,57,11
1530268922,13,0
1530269521,4,0
1530270483,2,113
1530271322,14,0
1530272403,68,1
1530272522,2,0
1530273122,10,0
1530273826,1,1
1530274921,2,0
1530275521,1,0
1530276243,66,40
1530277428,33,0
1530277922,1,0
1530278522,17,0
1530279121,3,0
1530279722,2,0
1530280083,67,107
1530281027,10,1
1530282002,58,0
1530282121,11,0
1530282721,1,0
1530283322,1,0
1530283922,2,0
1530284522,25,0
1530284567,0,2
1530285122,1,0
1530286804,65,130
1530286922,12,0
1530287522,5,0
1530288226,6,2
1530288722,80,0
1530289322,5,0
1530290642,91,70
1530291767,1,3
1530292322,3,0
1530292563,0,105
1530292922,31,0
1530293522,2,0
1530294122,18,0
1530294483,109,0
1530294722,25,0
1530295366,21,2
1530297124,47,65
1530298321,12,0
1530299286,57,124
1530299521,1,0
1530300122,2,0
1530300781,6,0
1530301203,130,0
1530301321,11,0
1530302522,17,0
1530302626,0,1
1530303722,17,0
1530305044,69,69
1530305522,2,0
1530307321,1,0
1530308522,2,0
1530308883,64,64
1530309122,1,0
1530309721,47,0
1530309767,0,1
1530310322,15,0
1530310921,33,0
1530311521,3,0
1530312122,6,0
1530312722,63,66
1530313368,5,0
1530313922,3,0
1530314522,1,0
1530315182,0,1
1530315722,3,0
1530316563,64,155
1530316922,3,0
1530316967,0,3
1530318123,2,0
1530319322,58,0
1530320414,43,0
1530320521,44,0
1530321121,2,0
1530321722,18,0
1530322323,3,77
1530322921,22,0
1530324243,73,0
1530324722,24,0
1530325321,8,0
1530325922,8,0
1530326163,65,67
1530326522,9,0
1530327122,1,0
1530328921,2,0
1530330004,62,72
1530330122,6,0
1530330722,11,0
1530331367,13,1
1530331923,71,4
1530332521,9,0
1530333121,12,0
1530333843,10,94
1530334968,4,1
1530335522,1,0
1530336122,4,0
1530336722,15,0
1530337322,8,0
1530337682,81,10
1530338567,3,1
1530339604,58,106
1530339721,4,0
1530340922,5,0
1530341523,0,63
1530342122,4,0
1530342167,2,4
1530342722,7,0
1530343443,83,51
1530343922,1,0
1530344522,2,0
1530345363,60,0
1530345721,6,0
1530346921,2,0
1530347284,0,64
1530348122,4,0
1530348722,30,0
1530349216,68,0
1530349322,1,0
1530349367,0,1
1530349921,5,0
1530350522,7,0
1530351722,10,0
1530353044,76,17
1530354003,0,94
1530354122,10,0
1530354962,68,0
1530355322,2,0
1530356523,26,0
1530357121,0,3
1530357722,10,0
1530359042,73,26
1530359762,0,85
1530360168,3,1
1530360721,0,3
1530360962,82,0
1530361322,4,0
1530361981,17,4
1530362522,10,0
1530363122,5,1
1530363768,0,2
1530364322,6,0
1530364922,29,2
1530365581,1,0
1530366122,7,0
1530366722,71,17
1530367322,6,0
1530367683,0,93
1530368521,6,0
1530369721,30,11
1530370968,12,11
1530372122,37,10
1530373442,81,27
1530373921,3,0
1530374414,46,50
1530374569,13,8
1530375722,4,1
1530376322,67,8
1530376922,5,7
1530377522,1,4
1530378169,1,4
1530379203,0,129
1530379322,4,6
1530380162,76,0
1530380522,1,16
1530381722,18,0
1530381829,0,1
1530382922,7,17
1530383522,2,0
