DateTime,AddedIPs,RemovedIPs
1529601324,510,1
1529605300,1,1
1529605819,443,463
1529606400,2,2
1529609428,2,2
1529612662,4,0
1529616603,376,435
1529619768,11,2
1529622400,1,0
1529625603,92,46
1529626893,3,0
1529627403,777,697
1529628692,1,0
1529629236,0,27
1529630313,1,1
1529632800,204,92
1529634093,3,0
1529638021,615,685
1529640113,17,172
1529641282,6,2
1529647200,4,8
1529648493,1,0
1529648821,577,599
1529652100,3,2
1529654444,4,1
1529655687,1,0
1529659839,495,518
1529661603,3,2
1529662749,0,2
1529662893,3,0
1529670605,417,476
1529671128,2,0
1529672026,0,29
1529672944,202,207
1529673421,0,6
1529675057,11,0
1529676439,2,2
1529677290,6,0
1529681221,415,439
1529682945,5,1
1529683457,46,41
1529684497,5,0
1529690420,4,0
1529691685,4,1
1529692205,418,474
1529694238,3,5
1529698102,2,0
1529698884,1,0
1529699791,1,0
1529702821,392,429
1529704800,1,0
1529705194,2,2
1529705737,0,252
1529706097,1,0
1529706987,2,0
1529712036,880,48
1529713288,4,0
1529713621,732,608
1529715984,2,34
1529719200,428,783
1529720105,1,0
1529720492,2,0
1529724626,690,714
1529726400,33,513
1529726851,3,6
1529727687,4,0
1529733702,9,9
1529734899,6,0
1529735504,537,690
1529739032,0,1
1529740846,1,2
1529742252,2,0
1529742988,1,0
1529745405,1,0
1529746021,509,560
1529746236,256,0
1529746304,1,1
1529748117,3,0
1529749280,5,0
1529755200,0,1
1529756494,5,1
1529757003,427,553
1529759742,190,233
1529759822,0,6
1529762428,0,1
1529762455,0,4
1529763876,4,0
1529767621,456,625
1529767844,0,254
1529769600,2,1
1529770889,3,0
1529771539,40,50
1529776284,1,0
1529776800,2,1
1529778085,4,1
1529778485,1,0
1529784000,1,1
1529784380,1,0
1529785285,3,0
1529789306,2,8
1529790684,1,0
1529791200,1,0
1529792492,1,1
1529796094,1,0
1529798778,863,39
1529799680,0,1
1529800197,2,2
1529803005,0,21
1529805600,170,846
1529806886,3,0
1529810760,2,4
1529812800,18,156
1529814076,9,1
1529818021,1592,1868
1529820000,6,11
1529821287,1,0
1529821892,0,2
1529824877,1,0
1529827200,2,4
1529828485,2,1
1529829009,525,656
1529832969,0,1
1529834503,2,2
1529835677,1,0
1529839621,521,669
1529841600,0,2
1529843033,4,1
1529843546,1,4
1529846135,191,344
1529847028,1,1
1529848279,6,0
1529850087,3,0
1529850603,527,714
1529854356,5,3
1529856000,1,0
1529857281,5,0
1529860105,31,26
1529861221,480,651
1529863319,0,5
1529864485,2,0
1529865101,5,5
1529866820,252,0
1529868619,0,256
1529870400,1,0
1529871952,3,1
1529872203,457,514
1529876371,0,4
1529877600,1,0
1529878875,3,0
1529878924,253,0
1529882821,496,395
1529884880,857,33
1529886927,4,7
1529889858,0,20
1529892029,234,857
1529893278,2,0
1529893917,1075,1025
1529898013,1,2
1529899200,27,204
1529900475,7,0
1529904625,632,624
1529906400,8,18
1529907682,2,0
1529908720,4,4
1529909209,1,0
1529913600,3,8
1529914876,2,1
1529915406,521,508
1529919505,2,4
1529920800,2,4
1529922080,4,0
1529926021,537,617
1529927202,1,0
1529928383,14,2
1529929279,2,0
1529930561,3,4
1529932542,216,213
1529932600,1,0
1529932622,0,4
1529932893,0,23
1529933779,40,37
1529935628,6,2
1529936476,3,0
1529937004,514,904
1529937369,6,1
1529938825,256,0
1529941646,5,4
1529942400,3,0
1529943685,1,0
1529945193,1,0
1529947621,467,631
1529948416,1,0
1529949600,2,6
1529950326,181,228
1529950876,1,0
1529952682,2,3
1529953582,1,0
1529956800,0,3
1529958980,435,465
1529963593,1,2
1529965272,1,0
1529969221,456,424
1529970401,1,0
1529971230,874,37
1529974226,3,2
1529976081,0,15
1529978400,362,820
1529979678,2,0
1529980021,1098,1071
1529985304,1,1
1529985600,32,393
1529986884,6,0
1529990821,607,644
1529992800,3,13
1529994074,3,0
1529996249,0,4
1530000000,3,3
1530001283,11,0
1530001803,548,432
1530005775,1,0
1530007176,4,6
1530007200,4,2
1530008484,4,0
1530012421,545,525
1530015814,2,0
1530018273,2,4
