DateTime,AddedIPs,RemovedIPs
1528958937,18,12
1528960850,18,30
1528962783,14,30
1528964690,14,18
1528966609,24,53
1528968529,26,47
1528970476,43,78
1528972332,24,44
1528974297,19,33
1528976178,19,47
1528978108,20,1659
1528980014,20,28
1528981933,703,0
1528983870,21,26
1528985787,21,35
1528987693,23,21
1528989617,22,20
1528991542,28,34
1528993458,23,33
1528995378,15,26
1528997298,27,19
1528999222,42,48
1529001145,18,19
1529003059,10,18
1529004973,21,15
1529517619,1651,1954
1529590827,1034,759
1529592759,44,30
1529594657,19,32
1529596578,24,45
1529598492,11,36
1529600441,24,34
1529602353,20,29
1529604267,26,24
1529606194,23,31
1529608112,15,47
1529610024,35,48
1529611950,35,30
1529613870,19,27
1529615794,19,28
1529617700,14,24
1529619628,24,20
1529622281,700,0
1529624189,29,40
1529626108,14,39
1529628015,20,53
1529629945,23,34
1529631861,16,19
1529633789,16,28
1529635696,13,21
1529637622,59,31
1529639547,12,40
1529641459,14,33
1529643381,14,32
1529645294,10,27
1529647233,28,27
1529649149,16,21
1529651073,14,45
1529652970,26,52
1529654908,12,30
1529656812,28,36
1529658987,23,28
1529661140,18,27
1529663063,31,1366
1529664972,39,40
1529666899,608,0
1529668859,33,31
1529670752,18,22
1529672659,31,14
1529674583,31,23
1529676525,25,12
1529678424,24,10
1529680353,20,32
1529682255,15,37
1529684186,40,31
1529686102,15,24
1529688017,22,30
1529689942,15,16
1529691857,12,33
1529693780,19,22
1529695695,17,35
1529697650,19,41
1529699544,18,26
1529701473,13,16
1529703374,26,35
1529705297,23,30
1529707826,28,53
1529709855,566,0
1529711775,13,28
1529713688,12,24
1529715627,14,15
1529717542,15,19
1529719465,18,11
1529721379,8,8
1529723296,10,24
1529725215,26,46
1529727146,14,26
1529729052,14,22
1529730993,14,29
1529732894,7,9
1529734840,23,35
1529736742,20,17
1529738652,9,30
1529740577,22,40
1529742489,13,25
1529744419,23,28
1529746342,14,22
1529748280,21,932
1529750178,33,30
1529752106,435,0
1529754014,17,17
1529755949,23,23
1529757853,31,18
1529759784,25,28
1529761699,10,16
1529763632,11,17
1529765538,14,13
1529767452,4,15
1529769377,0,20
1529771290,0,14
1529773224,44,11
1529775141,0,18
1529777071,0,19
1529778978,0,23
1529780909,0,17
1529782811,0,13
1529784744,6,18
1529786649,0,24
1529788582,0,24
1529790489,0,21
1529792407,0,20
1529795080,393,0
1529796977,0,20
1529798918,0,18
1529800815,0,17
1529802753,0,30
1529804657,0,18
1529806582,0,16
1529808497,13,16
1529810415,0,16
1529812337,0,16
1529814264,0,14
1529816175,0,14
1529818101,10,11
1529820035,0,28
1529821950,20,20
1529823867,0,14
1529825779,0,25
1529827698,0,13
1529829629,0,21
1529831538,0,30
1529833461,0,21
1529835381,3,1045
1529837294,0,35
1529839213,473,0
1529841143,0,16
1529843060,0,18
1529844980,0,23
1529846894,0,27
1529848899,0,24
1529850744,0,14
1529852907,0,15
1529854825,0,27
1529856750,0,21
1529858664,0,13
1529860582,0,20
1529862493,0,13
1529864420,0,19
1529866334,0,26
1529868260,0,18
1529870178,0,22
1529872125,0,26
1529874043,0,30
1529875948,0,29
1529877866,0,30
1529880419,0,42
1529882415,473,0
1529884331,0,16
1529886505,0,21
1529888427,0,20
1529890337,0,27
1529892269,2,24
1529894180,0,16
1529896108,0,13
1529898020,0,27
1529899948,0,21
1529901860,0,13
1529903781,0,20
1529905698,0,13
1529907632,2,20
1529909539,0,25
1529911548,0,18
1529913374,0,22
1529915291,0,26
1529917231,0,27
1529919146,0,32
1529921060,0,381
1529934750,406,0
1529936650,399,0
1529938568,573,0
1529940496,395,0
1529942419,275,0
1529944329,20,0
1529946264,17,1
1529948235,19,0
1529950095,13,0
1529952011,17,0
1529953936,8,0
1529955858,12,0
1529958996,17,0
1529960899,11,0
1529962814,11,0
1529964743,14,0
1529966882,11,0
1529968818,14,0
1529970730,12,0
1529972659,16,0
1529974569,12,0
1529976505,15,0
1529978418,66,2
1529980335,8,0
1529982270,13,0
1529984176,9,0
1529986111,21,0
1529988013,18,0
1529989938,16,0
1529991859,9,0
1529993776,41,0
1529995695,28,0
1529997639,26,1
1529999550,19,0
1530001696,38,0
1530003638,44,0
1530005536,43,1
1530007473,41,0
1530009373,20,0
1530011296,17,0
1530013224,21,0
1530015141,17,0
1530017053,29,0
1530018973,26,0
1530020892,23,0
1530022826,34,0
1530024731,29,0
1530026655,17,0
1530028571,25,0
1530030491,8,0
1530032421,36,0
1530034347,25,0
1530036267,8,0
1530038171,21,0
1530040105,31,0
1530042012,30,0
1530043934,14,0
1530045859,33,0
1530047783,25,0
1530049696,26,0
1530051614,23,0
1530053531,31,0
1530055460,100,2
1530057368,30,0
1530059293,21,0
1530061464,34,0
1530063372,31,0
1530065307,34,0
1530067218,23,0
1530069136,30,0
1530071066,15,0
1530072973,12,0
1530074905,17,0
1530076815,12,0
1530078737,19,0
1530080661,11,0
1530082574,22,0
1530084497,20,0
1530086459,31,0
1530088349,21,0
1530090264,25,0
1530092173,27,0
1530094119,16,2523
1530096012,31,17
1530097966,594,0
1530099854,38,19
1530101777,43,25
1530103705,46,13
1530105611,48,18
1530107533,32,13
1530109463,50,8
1530111367,23,22
1530113538,26,14
1530115462,28,21
1530117383,36,20
1530119315,32,13
1530121215,33,13
1530123149,12,30
1530125300,40,36
1530127213,25,30
1530129147,19,18
1530131296,43,41
1530133237,36,47
1530135146,22,45
